   Āryabhaṭakṛtam	Ārya Bawa kRtam
   Āryabhaṭīyam	Ārya BawI iyam
   Bhāskara viracita bhāṣyopetam	BhAskara viracita  BAzya upetam
   Gītikāpādaḥ	GItikA pAdaH
   [ maṅgalācaraṇam ]	[ maFgala AcaraNam ]
   yasmāt aśeṣajagatām prabhavam sthitim ca	yasmAt aSeza jagatAm praBavam sTitim ca
   saṃhāram api upadiśanti samagradhīkāḥ |	saMhAram api upadiSanti samagraDIkAH |
   bhṛgvaṅgiraḥprabhṛtayaḥ viditāntarāyāḥ	BRgu aFgiraH praBRtayaH vidita antarAyAH
   tasmai namaḥ kamalajāya caturmukhāya |	tasmE namaH kamala jAya caturmuKAya |
   atha aśeṣajagadanugrahāya	aTa aSeza jagat anugrahAya
   ācāryāryabhaṭamukhāravindavinissṛta daśagītikā sūtravyākhyānam ārabhyate |	AcArya Ari aBawa muKa aravinda vinissRta daSa gItikA  sUtra vyAKyAnam AraByate |
   tasya eva aśeṣavighnanirākaraṇāya sarvavidyāprabhavasya bhagavataḥ	tasya eva aSeza viGna nirAkaraNAya sarva vidyA praBavasya BagavataH
   kamalayoneḥ praṇāmaprakrāntaśāstravastuparigrahāya āryām ādau prayuktavān	kamala yoneH praNAma prakrAnta SAstra vastu parigrahAya AryAm AdO prayuktavAn
   ã	ã
   praṇipatya ekam anekam kam satyām devatām param brahma |	praNipatya ekam anekam kam satyAm devatAm param brahma |
   āryabhaṭaḥ trīṇi gadati gaṇitam kālakriyām golam || 1 ||	Arya BawaH trINi gadati gaNitam kAla kriyAm golam || 1 ||
   asyāḥ padavibhāgaḥ: ã praṇipatya, ekam, anekam, kam, satyām, devatām,	asyAH pada viBAgaH: ã praNipatya, ekam, anekam, kam, satyAm, devatAm,
   param, brahma, āryabhaṭaḥ, trīṇi, gadati, gaṇitam, kālakriyām, golam |	param, brahma, Arya BawaH, trINi, gadati, gaNitam, kAla kriyAm, golam |
   atra praṇipatya iti "pra" śabdaḥ prakarṣavācī, prakarṣeṇa nipatya	atra praNipatya iti "pra"  SabdaH prakarza vAcI, prakarzeNa nipatya
   praṇipatya, praṇāmam kṛtvā iti arthaḥ | ktvāpratyayena pūrvakālakriyā	praNipatya, praNAmam kRtvA iti arTaH | ktvA apratyayena pUrva kAla kriyA
   abhidhīyate, yathā snātvā bhuṅkte iti | snānakriyā anantaram bhojanakriyā	aBiDIyate, yaTA snAtvA BuFkte iti | snAna kriyA anantaram Bojana kriyA
   | evam atra api praṇipatanānantaram gaṇitam, kālakriyām, golam ca gadati |	| evam atra api praNipatana anantaram gaNitam, kAla kriyAm, golam ca gadati |
   ekam, abhedarūpeṇa vyavasthitam, nirvikāram | anekam, na ekam anekam,	ekam, aBeda rUpeNa vyavasTitam, nirvikAram | anekam, naH ekam anekam,
   bhedarūpeṇa vyavasthitam | kam, kaḥ iti prajāpateḥ ākhyānam | kam	Beda rUpeNa vyavasTitam | kam, kaH iti prajApateH AKyAnam | kam
   praṇipatya evaṃguṇaviśiṣṭam	praNipatya evaMguNa viSizwam
   atha yadi asau prajāpatiḥ ekaḥ katham asau anekaḥ? yadi asau anekaḥ katham	aTa yadi asO prajApatiH ekaH kaTam asO anekaH? yadi asO anekaH kaTam
   ekaḥ? ekānekayoḥ parasparaviruddhayoḥ yugapat ekatra avasthānam na	ekaH? eka anekayoH paraspara virudDayoH yugapad ekatra avasTAnam na
   sambhavati, yathā atyantaviruddhayoḥ cchāyā ātapayoḥ uṣṇaśītayoḥ vā iti |	samBavati, yaTA atyanta virudDayoH cCAyA AtapayoH uzNa SItayoH vA iti |
   atra ucyate ã yathā vṛkṣaḥ ekavasturūpeṇa [tiṣṭhati], asau eva yadā	atra ucyate ã yaTA vRkzaH eka vastu rUpeNa [tizWati], asO eva yadA
   mūla skandha śākhā prarohādiprapañcena vikalpyate tadā anekaḥ | evam asau	mUla skanDa  SAKA  praroha Adi prapaQcena vikalpyate tadA anekaH | evam asO
   api paramātmā nirvikāraḥ nirañjanaḥ ekaḥ eva, asau eva [yadā]	api paramAtmA nirvikAraH niraQjanaH ekaH eva, asO eva [yadA]
   anekaprāṇiśarīre vyavasthitaḥ	aneka prANi SarIre vyavasTitaH
   vikalpyate [tadā] anekaḥ | āha ca ã	vikalpyate [tadA] anekaH | Aha ca ã
   ekaḥ eva hi bhūtātmā bhūte bhūte vyavasthitaḥ |	ekaH eva hi BUtAtmA BUte BUte vyavasTitaH |
   ekadhā bahudhā ca eva dṛśyate jalacandravat ||	ekaDA bahuDA ca eva dRSyate jala candra vat ||
   [amṛtabindūpaniṣat, śloí 12]	[amRta bindu upanizat, Sloí 12]
   iti | athavā asau ekaḥ eva āsīt, tataḥ svayam ardhena puruṣaḥ abhavat	iti | aTavA asO ekaH eva AsIt, tatas svayam arDena puruzaH aBavat 
   ardhena nārī iti | tataḥ sarvān prāṇinaḥ asṛjat iti | athavā asau bhagavān	arDena nArI iti | tatas sarvAn prANinaH asRjat iti | aTavA asO BagavAn
   prajāpatiḥ viśvarūpaḥ | tasmāt tasya viśvarūpatvāt ekānekatvam ekasmin	prajApatiH viSva rUpaH | tasmAt tasya viSva rUpa tvAt eka aneka tvam ekasmin
   yugapat sambhavati iti ayam adoṣaḥ |	yugapad samBavati iti ayam adozaH |
   satyām devatām | devaḥ eva devatā, satyā ca devatā ca | sa eva kaḥ	satyAm devatAm | devaH eva devatA, satyA ca devatA ca | saH eva kaH
   satyatvena devatātvena ca viśiṣyate | kam satyām devatām praṇipatya | na	satya tvena devatA tvena ca viSizyate | kam satyAm devatAm praNipatya | na
   kevalam satyatvena devatātvena ca viśeṣitaḥ | kena ca tarhi iti āha ã	kevalam satya tvena devatA tvena ca viSezitaH | kena ca tarhi iti Aha ã
   param brahma | param ca tat brahma param brahma | param śrūyate	param brahma | param ca tat brahma param brahma | param SrUyate
   pulastya pulaha kratvādikam | evam asau bhagavān kaḥ, satyā devatā, param	pulastya  pulaha  kra tva Adikam | evam asO BagavAn kaH, satyAH devatA, param
   brahma ca | kam, satyām devatām, param brahma ca praṇipatya |	brahma ca | kam, satyAm devatAm, param brahma ca praNipatya |
   atha katham kaḥ śabdaḥ pulliṅgaḥ, satyā devatā strīliṅgaḥ, param brahma	aTa kaTam kaH SabdaH pulliFgaH, satyA devatA strI liFgaH, param brahma
   napuṃsakaliṅgaḥ? taiḥ bhinnaliṅgaiḥ ekam vastu abhidhīyate | nanu ca atra	napuMsaka liFgaH? tEH Binna liFgEH ekam vastu aBiDIyate | nanu ca atra
   sarvaiḥ eva śabdaiḥ ekaliṅgaiḥ bhavitavyam? na iti āha | ete śabdāḥ	sarvEH eva SabdEH eka liFgEH Bavitavyam? naH iti Aha | ete SabdAH
   āviṣṭaliṅgāḥ | taiḥ āviṣṭaliṅgaiḥ śabdaiḥ ekam eva vastu abhibhīyate |	Avizwa liFgAH | tEH Avizwa liFgEH SabdEH ekam eva vastu aBiBIyate |
   yathā ã "kāraṇam iyam brāhmaṇī, bhūtam iyam brāhmaṇī, āvapanam iyam	yaTA ã "kAraNam iyam brAhmaNI, BUtam iyam brAhmaNI, Avapanam iyam
