   chap.1.nakSatrakarmaphala 20	Cap.1.nakSatra-karma-Pala 20
   chap.2.dinezaphala 3	Cap.2.-dineza-Pala 3
   chap.3.muhUrtakarmaguNa 8	Cap.3.-muhUrta-karma-guNaH 8
   chap.4.candraphala 3	Cap.4.candra-Pala 3
   chap.5.lagnavizuddhi 5	Cap.5.-lagna-vizudDi 5
   chap.6.lagnabheda 7	Cap.6.lagna-Beda 7
   chap.7.grahavizuddhiH 16	Cap.7.graha-vizudDiH 16
   chap.8.diggrahAnulomyaH 6	Cap.8.diggraha-AnulomyaH 6
   chap.9.(non title) 35	Cap.9.(non title) 35
   total 103 verses	totat 103 verseH-
   chap.1.nakṣatrakarmaphala	Cap.1.nakzatra-karma-Pala
   TY_1.1ab/.ghanatimiranāgasiṃhastribhuvanabhavanādhipo jagaccakṣuḥ/	TY_1.1ab/.Gana-timira-nAga-siMhaH-triBuvana-Bavana-aDipaH jagaccakzuH/
   TY_1.1cd/.udayāstāca(la)maulir jayati ravir gaganatilakaikaḥ//	TY_1.1cd/.udayAH-tAca(la)mOliH jayati raviH gagana-tilaka-ekaH//
   TY_1.2ab/.mūrdhnā gaṇeśaṃ ca sarasvatīṃ ca salokapālaṃ parameśvaraṃ ca/	TY_1.2ab/.mUrDnA gaNeSam ca sarasvatIm ca sa-lokapAlam parameSvaram ca/
   TY_1.2cd/.padmodbhavaṃ padmadhanaṃ hariṃ ca trailokyadīpaṃ praṇamāmi	TY_1.2cd/.-padmodBavam padma-Danam harim ca trElokya-dIpam praNamAmi
   bhānum//	BAnum//
   TY_1.3ab/.yātrāvidhir ata ūrdhvaṃ vijigīṣor viditajanmasamayasya/	TY_1.3ab/.yAtrA-viDiH atas UrDvam vijigIzoH vidita-janma-samayasya/
   TY_1.3cd/.pratyabdamāsavāsaravibhaktasukhaduḥkhaniṣṭhasya//	TY_1.3cd/.-pratyabda-mAsa-vAsara-viBakta-suKa-duHKa-nizWasya//
   TY_1.4ab/.vidite horārāśau sthānabalaparigrahe grahāṇāṃ ca/	TY_1.4ab/.-vidite horA-rASO sTAna-bala-parigrahe grahANAm ca/
   TY_1.4cd/.āyuṣi ca parijñāte śubham aśubhaṃ vā phalaṃ vācyam//	TY_1.4cd/.Ayuzi ca parijQAte SuBam aSuBam vA Palam vAcyam//
   TY_1.5ab/.prastutavirodha evaṃ sthitaviṣaye bhavati śāstranirdeśaḥ/	TY_1.5ab/.-prastuta-viroDaH evam sTita-vizaye Bavati SAstra-nirdeSaH/
   TY_1.5cd/.janmasamayaṃ ca kecid vadanti na vadanti bahuvo 'nye//	TY_1.5cd/.-janma-samayam ca kecid vadanti na vadanti bahuvaH anye//
   TY_1.6ab/.janmarkṣodayalagne tad api yayor vā yiyāsataḥ praśne/	TY_1.6ab/.janma-Rkza-udaya-lagne tat api yayoH vA yiyAsataH praSne/
   TY_1.6cd/.triṣaḍekādaśaśīrṣodayeṣu mārgeṣu ca jayaḥ syāt//	TY_1.6cd/.-trizaz-ekAdaSa-SIrza-udayezu mArgezu ca jayaH syAt-//
   TY_1.7ab/.śatror horārāśis tad adhipatir janmabhaṃ tadīśo vā//	TY_1.7ab/.SatroH horA-rASiH tat aDipatiH janmaBam tat-ISaH vA//
