   akasmāj jāyate sthūlaḥ VMv_1.61a	akasmAt jAyate sTUlaH VMu-_1.61a
   akasmāt kṛṣṇarekhā syāj VMv_1.58a	akasmAt kRzNareKA syAt VMu-_1.58a
   akasmāt puruṣaṃ paśyet VMv_1.86a	akasmAt puruzam paSyet VMu-_1.86a
   akasmād dhṛdayaṃ nimnaṃ VMv_1.57a	akasmAt DRdayam nimnam VMu-_1.57a
   akasmān nāsikā vakrā VMv_1.56a	akasmAt nAsikA vakrAH VMu-_1.56a
   akṣaraiḥ paripūritam VMv_4.31b	akzarEH paripUritam VMu-_4.31b
   akṣobhyāditathāgatān VMv_4.21b	akzoBi-Adi-taTAgatAn VMu-_4.21b
   agatvā kāryāntaṃ viṣaya-salilāvartapatitā VMv_4.97c	agatvA kArya-antam vizaya--salila-Avarta-patitAH VMu-_4.97c
   aghṛṇamaraṇabhīter yatnataḥ saṃvidheyaṃ VMv_4.98c	aGRNa-maraNa-BIteH yatnatas saMviDeyam VMu-_4.98c
   acintyaśaktiyuktatvaṃ VMv_3.38c	acintya-Sakti-yukta-tvam VMu-_3.38c
   acintyaśakter mantrasya VMv_3.49c	acintya-SakteH mantrasya VMu-_3.49c
   acintyahetusāmarthyāc VMv_4.47c	acintya-hetu-sAmarTyAt VMu-_4.47c
   acintyaṃ mantrasāmarthyaṃ VMv_3.65c	acintyam mantra-sAmarTyam VMu-_3.65c
   acintyāṃ naiva cintayet VMv_4.77b	acintyAm na-eva cintayet VMu-_4.77b
   acintyauṣadhisāmarthyaṃ VMv_3.82c	acintya-ozaDi-sAmarTyam VMu-_3.82c
   ajarāmarakārakam VMv_1.2b	ajara-amara-kArakam VMu-_1.2b
   ajarāmaratāprāptyai VMv_1.2c	ajara-amara-tA-prAptyE VMu-_1.2c
   ajarāmaratāṃ prāptam VMv_1.2a	ajara-amara-tAm prAptam VMu-_1.2a
   ajarāmaratāṃ vrajet VMv_4.50d	ajara-amara-tAm vrajet VMu-_4.50d
   ato bhedena lakṣayet VMv_1.13d	atas Bedena lakzayet VMu-_1.13d
   ato viparyayāt kalpyaṃ VMv_2.7c	atas viparyayAt kalpyam VMu-_2.7c
   atyarthaṃ mṛtyudarśanāt VMv_1.25b	atyarTam mRtyu-darSanAt VMu-_1.25b
   athavā pañcavāsaraiḥ VMv_1.59d	aTavA paQca-vAsarEH VMu-_1.59d
   adṛṣṭvā lakṣaṇaṃ yatra VMv_1.19a	adRzwvA lakzaNam yatra VMu-_1.19a
   adya śvo vā kariṣyāma VMv_4.96c	adya Svas vA karizyAma VMu-_4.96c
   adyaiva mṛtyur asmākam VMv_1.119c	adya-eva mRtyuH asmAkam VMu-_1.119c
   adhikāni śataiḥ ṣaḍbhiḥ VMv_4.51a	aDikAni SatEH zaxBiH VMu-_4.51a
   adhigataparamārthaḥ śrīghanavyūha eva VMv_1.1a	aDigata-parama-arTaH SrIGana-vyUhaH eva VMu-_1.1a
   ananuṣṭhānadoṣeṇa VMv_4.95c	ananuzWAna-dozeNa VMu-_4.95c
   ananuṣṭhānād viṣṭhābhir VMv_4.94c	ananuzWAnAt vizWABiH VMu-_4.94c
   anayoś ca sadābhyāsān VMv_3.81a	anayoH ca sadA-aByAsAn VMu-_3.81a
   anarghasyendranīlāder VMv_3.37a	anarGasya-indranIla-AdeH VMu-_3.37a
   anāmikānāṃ mūleṣu VMv_1.81a	anAmikAnAm mUlezu VMu-_1.81a
   anāratakriyābhyāsān VMv_4.40c	anArata-kriyA-aByAsAn VMu-_4.40c
   anulomaparo yogī VMv_4.58c	anuloma-paraH yogI VMu-_4.58c
   anuṣṭhānaparaḥ prājño VMv_4.85c	anuzWAna-paraH prAjQaH VMu-_4.85c
   antarāleṣu vāsarāḥ VMv_2.41b	antarAlezu vAsarAH VMu-_2.41b
   anyathā syāc chramaḥ paraḥ VMv_3.3d	anyaTA syAt SramaH paraH VMu-_3.3d
   anyasyāpi mahāmaṇeḥ VMv_3.37b	anyasya-api mahA-maNeH VMu-_3.37b
   anyā ca vāñchitā siddhiś VMv_4.37c	anyA ca vAQCitA sidDiH VMu-_4.37c
   anyāṃś ca bahulān mārān VMv_4.80c	anyAn ca bahulAn mArAn VMu-_4.80c
   anye 'pi skandhajā doṣāḥ VMv_4.27c	anye api skanDa-jAH dozAH VMu-_4.27c
   anyeṣām api divyānāṃ VMv_3.69a	anyezAm api divyAnAm VMu-_3.69a
   api kalpādisaṃkhyayā VMv_3.79d	api kalpa-Adi-saMKyayA VMu-_3.79d
   api tv ekādisaṃkhyayā VMv_1.18d	api tu eka-Adi-saMKyayA VMu-_1.18d
   api mṛtyuṃ nivārayet VMv_3.44d	api mRtyum nivArayet VMu-_3.44d
   api mṛtyuṃ nivārayet VMv_3.81d	api mRtyum nivArayet VMu-_3.81d
   apīḍane 'pi taddṛṣṭau VMv_1.104a	apIxane api tad-dRzwO VMu-_1.104a
   apy akhaṇḍitaromāgraṃ VMv_4.34c	api aKaNxita-roma-agram VMu-_4.34c
   abdabhāgais tu te śodhyā VMv_2.26c	abda-BAgEH tu te SoDyAH VMu-_2.26c
   abhāve sarvavastunaḥ VMv_4.81b	aBAve sarva-vastunaH VMu-_4.81b
