   Abhisamayālaṅkāra (Asa)	ABisamaya alaFkAraH (Asa)
   namo mañjuśriye kumārabhūtāya	namaH maQju Sriye kumAra BUtAya
   āryamaitreyanāthaviracitam abhisamayālaṅkāro nāma	Arya mEtreya nATa viracitam aBisamaya alaFkAraH nAma
   prajñāpāramitopadeśaśāstram	prajQApAramitA upadeSa SAstram
   sarvākārajñātādhikāraḥ prathamaḥ	sarva AkAra jQAta aDikAraH praTamaH
   maṅgālācaraṇam	maFgAla AcaraNam
   yā sarvajñatayā nayatyupaśamaṃ śāntaiṣiṇaḥ śrāvakān	yA sarvajQa tayA nayati upaSamam SAnta eziNaH SrAvakAn
   yā mārgajñatayā jagaddhitakṛtāṃ lokārthasampādikā /	yA mArga jQa tayA jagat hita kRtAm loka arTa sampAdikA /
   sarvākāramidaṃ vadanti munayo viśvaṃ yayā saṃgatās	sarva AkAram idam vadanti munayaH viSvam yayA saMgata as
   tasyai śrāvakabodhisattvagaṇino buddhasya mātre namaḥ // Asa_1.1 //	tasyE SrAvaka boDisattva gaNinaH budDasya mAtre namaH // Asa_1.1 //
   grānthārambhaprayojanam sarvākārajñatāmārgaḥ śāsitrā yo 'tra deśitaḥ /	grAnTa AramBa prayojanam sarva AkAra jQa tA mArgaH SAsitrAH yaH atra deSitaH /
   dhīmanto vīkṣiṣiraṃstamanālīḍhaṃ parairiti // Asa_1.2 //	DImantaH vIkziziran= tam anAlIXam parEH iti // Asa_1.2 //
   smṛtau cādhāya sūtrārthaṃ dharmacaryāṃ daśātmikām /	smRtO ca ADAya sUtra arTam Darma caryAm daSa AtmikAm /
   sukhena pratipatsīrannityārambhaprayojanam // Asa_1.3 //	suKena pratipatsIrat = iti AramBa prayojanam // Asa_1.3 //
   prajñāpāramitāyāḥ kāyikavyavasthāpanam	prajQApAramitAyAH kAyika vyavasTApanam
   prajñāpāramitāṣṭābhiḥ padārthaiḥ samudīritā /	prajQApAramitA azwABiH padArTEH samudIritA /
   sarvākārajñatā mārgajñatā sarvajñatā tataḥ // Asa_1.4 //	sarva AkAra jQa tA mArga jQa tA sarvajQa tA tatas // Asa_1.4 //
   sarvākārābhisambodho mūrdhaprāpto 'nupūrvikaḥ /	sarva AkAra aBisamboDaH mUrDa prAptaH anupUrvikaH /
   ekakṣaṇābhisambodho dharmakāyaśca te 'ṣṭadhā // Asa_1.5 //	eka kzaNa aBisamboDaH Darma kAyaH ca te azwaDA // Asa_1.5 //
   cittotpādo 'vavādaśca nirvedhāṅgaṃ caturvidham /	citta utpAdaH avavAdaH ca nirveDa aFgam caturviDam /
   ādhāraḥ pratipatteśca dharmadhātusvabhāvakaḥ // Asa_1.6 //	ADAraH pratipatteH ca DarmaDAtu svaBAvakaH // Asa_1.6 //
   ālambanaṃ samuddeśaḥ sannāhaprasthitikriye /	Alambanam samuddeSaH sannAha prasTiti kriye /
   sambhārāśca saniryāṇāḥ sarvākārajñatā muneḥ // Asa_1.7 //	samBArAH ca sa niryANAH sarva AkAra jQa tA muneH // Asa_1.7 //
