   oṃ namaḥ sarvajñāya ||	om namaH sarvajQAya ||
   evaṃ mayā śrutam ekasmin samaye bhagavān* śrāvastyāṃ viharati sma jetavane	evam mayA Srutam ekasmin samaye BagavAn* SrAvastyAm viharati sma jetavane
   anāthapiṇḍadasyārāme mahatā bhikṣusaṃghena sārdham ardhatrayodaśabhir	anATapiNxadasya-ArAme mahatA Bikzu-saMGena sArDam arDa-trayodaSaBiH-
   bhikṣusahasraiḥ | tadyathā āyuṣmatā cājñātakauṇḍinyena āyuṣmatā ca	Bikzu-sahasrEH | tat-yaTA AyuzmatA ca-ajQAta-kONxinyena AyuzmatA ca
   mahānāmnā āyuṣmatā ca revatena āyuṣmatā ca vakkulena āyuṣmatā ca	mahAnAmnA AyuzmatA ca revatena AyuzmatA ca vakkulena AyuzmatA ca
   śāripu[treṇa āyuṣmatā ca] pūrṇena maitrāyaṇī[putreṇa] ca śrāvakaniyutaiḥ |	SAripu[treNa AyuzmatA ca] pUrNena mEtrAyaNI[-putreNa] ca SrAvaka-niyutEH |
   te sarve yena bhagavān yena ca jetavanaṃ vihāraṃ tenopasaṃkrāntā	te sarve yena BagavAn yena ca jetavanam vihAram tena-upasaMkrAntA
   bhagavataḥ pādau śirasābhivandya bhagavataḥ puratas tasthur dvātriṃśatā	BagavataH pAdO SirasA-aBivandya BagavataH puratas tasTuH dvAtriMSatA
   bodhisatvasahasraiḥ | tadyathā sahacittotpādadharmacakrapravartanena ca	boDisatva-sahasrEH | tat-yaTA saha-citta-utpAda-Darma-cakra-pravartanena ca
   bodhisatvena mahāsatvena anikṣiptadhureṇa ca bodhisatvena mahāsatvena	boDisatvena mahAsatvena anikzipta-DureNa ca boDisatvena mahAsatvena
   maitreyeṇa ca bodhisatvena mahāsatvena avalokiteśvareṇa ca bodhisatvena	mEtreyeNa ca boDisatvena mahAsatvena avalokita-ISvareNa ca boDisatvena
   mahāsatvena mahāsthāmaprāptena ca bodhisatvena mahāsatvena |	mahAsatvena mahA-sTAma-prAptena ca boDisatvena mahAsatvena |
   evaṃpramukhair dvātriṃśatā bodhisatvasahasraiḥ | te sarve yena bhagavān	evaMpramuKEH dvAtriMSatA boDisatva-sahasrEH | te sarve yena BagavAn
   yena ca jetavanaṃ vihāraṃ tenopasaṃkrāntā bhagavataḥ pādau śirasābhivandya	yena ca jetavanam vihAram tena-upasaMkrAntAH BagavataH pAdO SirasA-aBivandya
   bhagavataḥ puratas tasthuḥ | atha khalu bhagavān pūrvāhṇakālasamaye	BagavataH puratas tasTuH | aTa Kalu BagavAn pUrvAhNa-kAla-samaye
   nivāsya pātracīvaramā[traḥ] śrāvastīṃ mahānagarīṃ piṇḍāya prāviśat* | atha	nivAsya pAtra-cIvaram-A[traH] SrAvastIm mahA-nagarIm piNxAya prAviSat* | aTa
   bhagavān āyuṣmantam ānandam (Asv 104) āmantrayate sma | gacchānanda pātraṃ	BagavAn Ayuzmantam Anandam (Asu 104) Amantrayate sma | gacCa-Ananda pAtram
   cakrikaṃ śikyamānaya | athāyuṣmān ānando bhagavataḥ śrutamātreṇa pātraṃ	cakrikam Sikyam-Anaya | aTa-AyuzmAn AnandaH BagavataH Sruta-mAtreNa pAtram
   cakrikaṃ śikyaṃ bhagavate upanāmayām āsa | athāyuṣmān ānando bhagavataḥ	cakrikam Sikyam Bagavate upanAmayAm Asa | aTa-AyuzmAn AnandaH BagavataH
   kṛtāñjalipuṭo bhagavantaṃ gāthābhir adhyabhāṣata |	kRta-aQjali-puwaH Bagavantam gATABiH aDyaBAzata |
   yadā tvaṃ praviśasi piṇḍapātika	yadA tvam praviSasi piNxapAtika
        vimocaye tvaṃ bahavaṃ hi prāṇinām* /–MS: vimocayeyaṃ ... uttārayeyaṃ	vimocaye tvam bahavam hi prANi-nAm* /–MS: vimocayeyam ... uttArayeyam
   uttāraye tvaṃ bahavaṃ satvā	uttAraye tvam bahavam satvA
        narakabhayāj jātijarāmahābhayā //	naraka-BayAt jAti-jarA-mahA-BayA //
   saṃsāraduḥkhakalilā mahābhayād	saMsAra-duHKa-kalilA mahA-BayAt-
        {vimocayeyaṃ tava lokanāyakāḥ} /	{vimocayeyam tava loka-nAyakAH} /
