   Mahāpratisarāvidyādhāraṇī	MahA-pratisara-avidyA-DAraNI
   (Mpv-Dh_130)	(Mpv-Dh_130)
   āryamahāpratisarāvidyādhāraṇī	Arya-mahA-pratisara-avidyA-DAraNI
   om namo bhagavatyai āryamahāpratisarāyai |	om namaH BagavatyE Arya-mahA-pratisarAyE |
   namo buddhāya namo dharmāya namaḥ saṃghāya | namaḥ sarvatathāgatebhyo	namaH budDAya namaH DarmAya namaH saMGAya | namaH sarva-taTAgateByaH-
   namaḥ sarvabuddhabodhisattvebhyo 'tītānāgatapratyutpannebhyo namaḥ |	namaH sarva-budDa-boDisattveByaH atIta-anAgata-pratyutpanneByaH namaH |
   om vipulagarbha vipulavimale vimalagarbhe vimale jayagarbhe	om vipula-garBa vipula-vimale vimala-garBe vimale jaya-garBe
   vajrajvālāgarbhe gatigahane gaganaviśodhani sarvapāpaviśodhani | om	vajra-jvAlA-garBe gati-gahane gagana-viSoDani sarva-pApa-viSoDani | om
   guṇavati gaganavicāriṇi-gaganavicāriṇi giri-giri giriṇi-giriṇi	guNavati gagana-vicAriNi--gagana-vicAriNi giri-giri giriNi-giriNi
   gabhari-garddhabhari gamari-gamari gabhari-gabhari gaha-gaha	gaBari-gardDa-Bari gamari--gamari gaBari--gaBari gaha-gaha
   gargāri-gargāri gagari-gagari gaṃbhari-gaṃbhari gabhi-gabhi gahi-gahi	garga-ari-gargAri gagari--gagari gaMBari--gaMBari gaBi-gaBi gahi-gahi
   gamani-gamani guha-guha guru-guru (Mpv-Dh_131) guruṇi cale mucale samucale	gama-ni-gamani guha-guha guru-guru (Mpu--Dm_131) guruNi cale mucale sa-mucale
   guhaṇi-guhaṇi guruṇi-guruṇi culu-culu cale-cale mucale jayavijaye jayavati	guhaNi-guhaNi guruNi-guruNi culu-culu cale-cale mucale jaya-vijaye jayavati
   aparājite sarvabhayavigate sarvagarbhasaṃrakṣaṇi siri-siri bhiri-bhiri	aparAjite sarva-Baya-vigate sarva-garBa-saMrakzaNi siri--siri Biri-BiH-i
   miri-miri giri-giri piri-piri samantākarṣaṇi sarvaśatrūn pramathani	miri-miri giri-giri piri-piri samantAkarzaNi sarva-SatrUn pramaTani
