   nāgānandam	nAga-Anandam
   prathamo 'ṅkaḥ	praTamaH aFkaH
   nāndī	nAndI
   dhyānavyājamupetya cintayasi kāmunmīlya cakṣuḥ kṣaṇaṃ	DyAna-vyAjam-upetya cintayasi kAm-unmIlya cakzuH kzaNam
   padhyānaṅgaśarāturaṃ janamimaṃ trātā 'pi no rakṣasi /	paDya-anaFga-Sara-Aturam janam-imam trAtA api naH rakzasi /
   mithyākāruṇiko 'si nirghṛṇātarastvattaḥ kuto 'nyaḥ pumān	miTyAkAruNikaH asi nirGRNAtaraH-tvattaH kutas anyaH pumAn
   serṣyaṃ māravadhūbhirityabhihito bodhau jinaḥ pātu vaḥ // Nā_1.1 //	sa-Irzyam mAra-vaDUBiH-iti-aBihitaH boDO jinaH pAtu vaH // NA_1.1 //
   api ca-	api ca-
   kāmenākṛṣya cāpaṃ hatapaṭuhāvalgibhirmāravīrair	kAmena-AkRzya cApam hata-pawu-hA-valgiBiH-mAra-vIrEH-
   bhrabhaṅgotkalpajṛmbhāsmitacalitaddṛśā divyanārījanena /	BraBaFga-utkalpa-jRmBA-asmita-cali-tad-dRSA divya-nArI-janena /
   siddhaiḥ prahvottamāṅgaiḥ pulakitavapuṣā vismayād vāsavena	sidDEH prahva-uttamAFgEH pulakita-vapuzA vismayAt vAsavena
   dhyāyan bodheravāptāvacalita iti vaḥ pātu dṛṣṭo munīndraḥ // Nā_1.2 //	DyAyan boDeH-avAptO=-acalitaH iti vaH pAtu dRzwaH muni-indraH // NA_1.2 //
   śrīharṣo nipuṇaḥ kaviḥ pariṣadapyeṣā guṇāgrāhiṇī	SrI-harzaH nipuNaH kaviH parizad-api-ezA guNa-agrAhiNI
   loke hāri ca bodhisattvacaritaṃ nāṭye ca dakṣā vayam /	loke hAri ca boDisattva-caritam nAwye ca dakzAH vayam /
   vastvekaikamapīha vāñchitaphalaprāpteḥ padaṃ kiṃ puna-	vastu-ekEkam-api-iha vAQCita-Pala-prApteH padam kim punar-
   rmadūbhāgyopacayādayaṃ samuditaḥ sarvo guṇānāṃ gaṇaḥ // Nā_1.3 //	rma-dU-BAgya-upacayAt-ayam samuditaH sarvaH guNAnAm gaNaH // NA_1.3 //
   dvijaparijanabandhuhite madbhavanataṭākahaṃsi mṛduśīle /	dvija-parijana-banDu-hite mad-Bavana-tawAkahaMsi mRdu-SIle /
   parapuruṣacandrakamalinyārye kāryāditastāvat // Nā_1.4 //	para-puruza-candra-kamalinI-Arye kAryAt-itaH-tAvat // NA_1.4 //
   pitrorvidhātuṃ śuśrūṣāṃ tyaktvaiśvarya kramāgatam /	pitroH-viDAtum SuSrUzAm tyaktvA-ESvarya krama-Agatam /
   vanaṃ yāmyahamadyaiva yathā jīmūtavāhanaḥ // Nā_1.5 //	vanam yAmi-aham-adya-eva yaTA jImUtavAhanaH // NA_1.5 //
   rāgasyāspadamityavaimi na hi me dhvaṃsīti na pratyayaḥ	rAgasya-Aspadam-iti-avEmi na hi me DvaMsi-iti na pratyayaH
   kṛtyākṛtyavicāraṇāsu vimukhaṃ ko vā na vetti kṣitau /	kRtyA-kRtya-vicAraNAsu vimuKam kaH vA na vetti kzitO /
   evaṃ nindyamapīdamindriyavaśaṃ prītyai bhaved yauvanaṃ	evam nindyam-api-idam-indriya-vaSam prItyE Bavet yOvanam
   bhaktyā yāti yadītthameva pitarau śuśrūṣamāṇasya me // Nā_1.6 //	BaktyA yAti yadi-itTam-eva pitarO SuSrUzamANasya me // NA_1.6 //
   tiṣṭhan bhāti pituḥ puro bhuvi yathā siṃhāsane kiṃ tathā?	tizWan BAti pituH puras Buvi yaTA siMhAsane kim taTA?
   yat saṃvāhayataḥ sukhaṃ tu caraṇau tātasya kiṃ rājake?	yat saMvAhayataH suKam tu caraNO tAtasya kim rAjake?
   kiṃ bhukte bhuvanatraye dhṛtirasau bhuktojjhite yā guroḥ?	kim Bukte Buvanatraye DRtiH-asO Bukta-ujJite yA guroH?
   āyāsaḥ khalu rājyamujjhitagurustatrāsti kaścid guṇaḥ? // Nā_1.7 //	AyAsaH Kalu rAjyam-ujJita-guruH-tatra-asti kaScid guNaH? // NA_1.7 //
   nyāyye vartmani yojitāḥ prakṛtayaḥ santaḥ sukhaṃ sthāpitā	nyAyye vartmani yojitAH prakRtayaH santaH suKam sTApitA
   nīto bandhujanastathātmasamatāṃ rājye ca rakṣā kṛtā /	nItaH banDu-janaH-taTA-Atma-samatAm rAjye ca rakzA kRtA /
   datto dattamanorathādhikaphalaḥ kalpadrumo 'pyarthine	dattaH datta-manoraTa-aDika-PalaH kalpadrumaH api-arTine
   kiṃ karttavyamataḥ paraṃ kathaya vā yatte sthitaṃ cetasi // Nā_1.8 //	kim karttavyam-atas param kaTaya vA yat-te sTitam cetasi // NA_1.8 //
   mādyaddiggajagaṇḍabhittikaṣaṇairbhanasravaccandanaḥ	mAdyat-diggaja-gaNxa-Bittika-zaNEH-Banasravat-candanaH
   krandatkandaragahvaro jalanidherāsphālito vīcibhiḥ /	krandat-kandara-gahvaraH jalaniDeH-AsPAlitaH vIciBiH /
   pādālaktakaraktamauktikaśilaḥ siddhāṅganānāṃ gataiḥ	pAda-alaktaka-rakta-mOktika-SilaH sidDa-aFganAnAm gatEH
   sevyo 'yaṃ malayācalaḥ kimapi me cetaḥ karotyutsukam // Nā_1.9 //	sevyaH ayam malaya-acalaH kim-api me cetaH karoti-utsukam // NA_1.9 //
   dakṣiṇaṃ spandate cakṣuḥ phalākāṅkṣā na me kvacit /	dakziNam spandate cakzuH Pala-AkAFkzA na me kvacid /
   na ca mithyā munivacaḥ kathayiṣyati kiṃ nvidam // Nā_1.10 //	na ca miTyA muni-vacaH kaTayizyati kim nu-idam // NA_1.10 //
   vāso 'rthaṃ dayayaiva nātipṛthavaḥ kṛttāstarūṇāṃ tvaco	vAsaH arTam dayayA-eva na-ati-pRTavaH kRttAH-tarUNAm tvacaH-
   bhagnālakṣyajaratkamaṇḍalu nabhaḥsvacchaṃ payo nairjharam /	Bagna-Alakzya-jarat-kamaNxalu naBaH-svacCam payaH nErJaram /
   dṛśyante truṭitojjhitāśca baṭubhiormauñjyaḥ kvacinmekhalā	dRSyante truwita-ujJitAH-ca bawuBioH-mOQjyaH kvacid-meKalA
   nityākarṇanayā śukena ca padaṃ sāmnāmidaṃ paṭhayate // Nā_1.11 //	nityAkarNanayA Sukena ca padam sAmnAm-idam paWayate // NA_1.11 //
