   akatvam upapannayoḥ__Vdha_100.048	aka tvam upapannayoH__VDaH _100.048
   akampau nṛpa tiṣṭhataḥ__Vdha_102.032	akampO nRpa tizWataH__VDaH _102.032
   akartā heturahitaḥ__Vdha_068.034	akartA hetu rahitaH__VDaH _068.034
   akasmāt pāṇḍunandanāḥ__Vdha_043.013	akasmAt pANxu nandanAH__VDaH _043.013
   akāmaphalasaṃyogāt__Vdha_104.032	akAma Pala saMyogAt __VDaH _104.032
   akāmitvaṃ manaḥsthairyam__Vdha_097.019	akAmi tvam manaH sTEryam__VDaH _097.019
   akāmena dvijo bhūyas__Vdha_070.091	akAmena dvijaH BUyas __VDaH _070.091
   akārpaṇyam anāyāsas__Vdha_101.010	akArpaNyam anAyAsaH __VDaH _101.010
   akāryaprasṛtaṃ manaḥ__Vdha_094.040	akArya prasRtam manaH__VDaH _094.040
   akuṇṭhamataye dhātre__Vdha_092.021	akuNWa mataye DAtre__VDaH _092.021
   akurvan gauravaṃ mama__Vdha_076.045	akurvan gOravam mama__VDaH _076.045
   akurvan dvādaśīm imām__Vdha_024.028	akurvan dvAdaSIm imAm__VDaH _024.028
   akurvan niyatātmavān__Vdha_008.002	akurvan niyata AtmavAn__VDaH _008.002
   akurvan viṣṇutatparaḥ__Vdha_014.002	akurvan vizNu tatparaH__VDaH _014.002
   akṛtvāpi pitṛsvadhām__Vdha_105.061	akRtvA api pitR svaDAm__VDaH _105.061
   akrodhano 'karavaṃ triṃśato 'bdān__Vdha_079.075	akroDanaH akaravam triMSataH abdAn__VDaH _079.075
   akrodhaṃ dharmaśīlatām__Vdha_073.026	akroDam Darma SIla tAm__VDaH _073.026
   akṣayaṃ tu bhavec chrāddham__Vdha_052.003	akzayam tu Bavet SrAdDam__VDaH _052.003
   akṣayaṃ tu bhavec chrāddhaṃ__Vdha_060.035	akzayam tu Bavet SrAdDam__VDaH _060.035
   akṣayaṃ pratipadyate__Vdha_080.024	akzayam pratipadyate__VDaH _080.024
   akṣayaṃ labhate phalam__Vdha_017.011	akzayam laBate Palam__VDaH _017.011
   akṣaraṃ paramaṃ padam__Vdha_068.011	akzaram paramam padam__VDaH _068.011
   akṣaraṃ puṣkarekṣaṇam__Vdha_067.051	akzaram puzkara IkzaNam__VDaH _067.051
   akṣasūtraṃ ca pulahaḥ__Vdha_076.087	akza sUtram ca pulahaH__VDaH _076.087
   akṣīṇakarmabandhas tu__Vdha_068.001	akzINa karma banDaH tu__VDaH _068.001
   akṣīṇakarmā puruṣo__Vdha_079.042	akzINa karmA puruzaH __VDaH _079.042
   akṣīṇakarmā maraṇe__Vdha_079.088	akzINa karmA maraNe__VDaH _079.088
   akṣīṇarāgadoṣo 'pi__Vdha_002.080	akzINa rAga dozaH api__VDaH _002.080
   akṣauhiṇyā daśāṣṭa ca__Vdha_035.053	akzOhiNyA daSa azwa ca__VDaH _035.053
   akhaṇḍadvādaśīm etām__Vdha_016.011	aKaNxa dvAdaSIm etAm__VDaH _016.011
