   // Ārya amoghapāśahṛdaya nāma mahāyānasūtram //	// Ārya amoGapASa-hRdaya nAma mahAyAna-sUtram //
   // om namo bhagavate ārya amoghapāśahṛdaya //	// om namaH Bagavate Arya amoGa-pASa-hRdayaH //
   evaṃ mayā śrutam - ekasmin samaye bhagavān potalake parvate viharati sma /	evam mayA Srutam  ekasmin samaye BagavAn potalake parvate viharati sma /
   āryāvalokiteśvarasya bhavane anekaśālatamālacampakāśokātimuktaka	Arya-avalokita-ISvarasya Bavane aneka-SAla-tamAla-campaka-aSoka-atimuktaka
   nānāvṛkṣasamalaṅkṛte / mahatābhikṣusaṃghena	nAnA-vRkza-samalaFkRte / mahatA-aBikzu-saMGena
   sārddhamaṣṭādaśabhirbhikṣusahasraiḥ / navanavatibhiśca	sArdDam-azwAdaSaBiH-Bikzu-sahasrEH / navanavatiBiH-ca
   bodhisattvakoṭiniyutaśatasahasraiḥ / anekaiśca śuddhāvāsikairdevaputra	boDisattva-kowi-niyuta-Sata-sahasrEH / anekEH-ca SudDAvAsikEH-deva-putra
   koṭiniyutaśatasahasraiḥ parivṛtaḥ puraskṛta īśvaramaheśvarabrahmakāyikān	kowi-niyuta-Sata-sahasrEH parivRtaH puraskRtaH ISvara-maheSvara-brahmakAyikAn
   devaputrān adhikṛtya dharma deśayati sma /	deva-putrAn aDikRtya Darma deSayati sma /
   atha khalu āryāvalokiteśvaro bodhisattvo mahāsattva utthāyāsanādekāṃ	aTa Kalu Arya-avalokita-ISvaraH boDisattvaH mahAsattvaH utTAya-AsanAt-ekAm
   samuttarāsaṃgaṃ kṛtvā dakṣiṇaṃ jānumaṇḍalaṃ pṛthivyāṃ pratiṣṭhāpya yena	samuttarA-saMgam kRtvA dakziNam jAnu-maNxalam pRTivyAm pratizWApya yena
   bhagavān tenāñjaliṃ kṛtvā praṇamya prahasitavadano bhūtvā	BagavAn tena-aQjalim kRtvA praNamya prahasita-vadanaH BUtvA
   bhagavantametadavocat /	Bagavantam-etat-avocat /
   asti mama bhagavan amoghapāśarājannāma hṛdayaṃ yanmayā pūrvvamekanavatime	asti mama Bagavan amoGapASa-rAjan-nAma hRdayam yat-mayA pUrvvam-ekanavatime
   kalpe vilokitāyāṃ lokadhātau lokendrarājo nāma tathāgatasya	kalpe vilokitAyAm lokaDAtO loka-indra-rAjaH nAma taTAgatasya
   sakāśādudgṛhītam / yena bhagavannīśvara devamaheśvara devaputrapramukhāni	sakASAt-udgRhItam / yena Bagavan=-ISvara deva-maheSvara deva-putra-pramuKAni
   vahūni śuddhāvāsikāyika devaputrapramukhānyanekadevaputraśatasahasrāṇi	vahUni SudDAvAsikAyika deva-putra-pramuKAni-aneka-deva-putra-Sata-sahasrANi
   samādāpitānyanuttarāyāṃ samyaksambodhau asaṃmohajñānavyūhapramukhāni ca	samAdApitAni-anuttarAyAm samyaksamboDO asaMmoha-jQAna-vyUha-pramuKAni ca
   mayā daśasamādhiśatasahasrāṇi pratilabdhāni / yasmiṃśca puna rbhagavan	mayA daSa-samADi-Sata-sahasrANi pratilabDAni / yasmin=-ca puna rBagavan
   pṛthivī pradeśe idamamoghapāśahṛdayaṃ pracaret / veditavyaṃ bhagavan	pRTivI pradeSe idam-amoGa-pASa-hRdayam pracaret / veditavyam Bagavan
   stasmin pṛthivīpradeśe īśvaramaheśvarabrahmakāyikapramukhāni	stasmin pRTivI-pradeSe ISvara-maheSvara-brahma-kAyika-pramuKAni
   dvādaśadevaputraśatasahasrāṇi rakṣāvaraṇaguptaye sthāsyanti /	dvAdaSa-deva-putra-Sata-sahasrANi rakzA-AvaraNa-guptaye sTAsyanti /
   caityasammato bhagavan pṛthivīpradeśo bhaviṣyati / yatredam	cEtya-sammataH Bagavan pRTivI-pradeSaH Bavizyati / yatra-idam
   amoghapāśahṛdayaṃ pracariṣyati / aneka buddhakoṭi	amoGa-pASa-hRdayam pracarizyati / aneka budDa-kowi
   niyutaśatasahasrāvaropitakuśalamūlāste bhagavan sattvā bhaviṣyanti / ya	niyuta-Sata-sahasra-avaropita-kuSala-mUlAH-te Bagavan sattvAH Bavizyanti / ya
   idaṃmadīyam amoghapāśahṛdayaṃ śroṣyanti / yaḥ kaścidabhagavan kilviṣakārī	idaMmadIyam amoGa-pASa-hRdayam Srozyanti / yaH kaScid-aBagavan kilviza-kArI
   syāt / sarvvapāpāspadaḥ pāpadharmmasamācāraḥ āryāpavādakaḥ	syAt / sarvu-apApa-AspadaH pApa-Darmma-samAcAraH Arya-apavAdakaH
   sadharmapratikṣepakaḥ / avīciparāyaṇaḥ sarvabuddhabodhisattva ārya	saDarma-pratikzepakaH / avIci-parAyaNaH sarva-budDa-boDisattvaH Arya
   śrāvakapratyeka buddha pratikṣepakaḥ / sa cedviprasāraṃ gacchet / āpabhyāṃ	SrAvaka-pratyeka budDa pratikzepakaH / sa ced-viprasAram gacCet / ApaByAm
   samvaramāpadyate /	samvaram-Apadyate /
   yasyaiva tāvadbhagavan ekopavāho jāpena ihaiva janmani tatkarma viśudhyati	yasya-eva tAvat-Bagavan eka-upavAhaH jApena iha-eva janmani tat-karma viSuDyati
   / parikṣayaṃ gacchati vāntibhavati / ekāhikena jvareṇa dvāhikena trāhikena	/ parikzayam gacCati vAntiBavati / ekAhikena jvareNa dvAhikena trAhikena
   vā cāturthikena vā evaṃ saptāhi kena vā jvareṇa / akṣiśūlena vā karṇa	vA cAturTikena vE evam saptAhi kena vA jvareNa / akzi-SUlena vA karNa
   śūlena vā nāsāśūlena vā / daṃtoṣṭhaśūlena vā jivhāśūlena vā / tāluśūlena	SUlena vA nAsA-SUlena vA / daMtozWa-SUlena vA jivhA-SUlena vA / tAlu-SUlena
   va hṛdayaśūlena va udaraśūlena vā pārśvaśūlena vā kaṭiśūlena vā	va hRdaya-SUlena vaH udara-SUlena vA pArSva-SUlena vA kawi-SUlena vA
   aṅgapratyaṅgaśūlena vā arśagrahaṇīśūlena vā atisāreṇa vā hastapādaveda	aFga-pratyaFga-SUlena vE arSa-grahaNI-SUlena vA atisAreNa vA hasta-pAda-veda
   nayā vā śirorujā va valāhakaścitra kuṣṭhaśriyarccikā	nayA vA SiraH-rujA va valAhakaH-citra kuzWa-SriyA-rccikA
   kirīmalohaliṅgalagrahabhagaṇḍalavisphoṭaka apasmāra kākhorddakhyai	kirIma-loha-liFgala-graha-Ba-gaNxala-visPowaka apasmAra kAKoH-ddaKyE
   rvākṛtāpakṛtyaivā vaṃndhanaṃ vandhanatāḍana tarjjanā bhūtākhyanairvā /	rvAkRta-apakRtya-evA vaMnDanam vanDana-tAxana tarjjanAH BUta-AKyanEH-vA /
   saṃkṣepato bhagavan kāyapīḍayāvā cittapīḍayā vā dusvapnadarśanaṃ vā	saMkzepataH Bagavan kAya-pIxayA-avA citta-pIxayA vA dusvapna-darSanam vA
   tatkarmaparikṣayaṃ gacchati / paryavadānaṃ gacchati / prāgeva	tad-karma-parikzayam gacCati / paryavadAnam gacCati / prAk-eva
