   atha sāṃkhyatattvapradīpaḥ /	aTa sAMKya-tattva-pradIpaH /
   śrīgaṇeśāya namaḥ /	SrI-gaNeSAya namaH /
        prakṛtiṃ puruṣaṃ śuddhaṃ praṇipatya praṇīyate /	prakRtim puruzam SudDam praNipatya praNIyate /
        pradīpaḥ sāṃkhyatattvasya paropakṛtaye mayā //	pradIpaH sAMKya-tattvasya para-upakRtaye mayA //
        iha khalu pravāhavidhvastottaraṇopāyā iva	iha Kalu pravAha-viDvasta-uttaraNa-upAyAH iva
   sāṃkhyatantrādhyayanapariśramālasāstatprakriyājñānatarīvihīnāḥ	sAMKya-tantra-aDyayana-pariSrama-alasAH-tad-prakriyA-jQAna-tarI-vihInAH
   śabdodadhāvananyāvalambanāḥ sīdanti tattaraṇopāyaḥ	Sabda-udaDO=-ananyA-avalambanAH sIdanti tad-taraNa-upAyaH
   sakalasāṃkhyaprakriyādyotako bahvartho 'lpākṣaro mayā prakāśyate /	sakala-sAMKya-prakriyA-AdyotakaH bahu-arTaH alpa-akzaraH mayA prakASyate /
   kāpilatantrādhyayanālasaistatprakriyājijñāsāyāmidameva prakaraṇaṃ	kApila-tantra-aDyayana-alasEH-tad-prakriyA-ajijQAsAyAm-idam-eva prakaraNam
   samyagavalokanīyamatyugraśubhāśubhādṛṣṭaphalavat prayatnaṃ vinaiva	samyak-avalokanIyam-ati-ugra-SuBa-aSuBa-adRzwa-Pala-vat prayatnam vinA-eva
   sarvamatraivādhigantavyam ayatnalabdherthe yatnādarśanāt / uktaṃ ca	sarvam-atra-eva-aDigantavyam ayatna-labDerTe yatna-adarSanAt / uktam ca
   sāṃkhyācāryaiḥ /	sAMKya-AcAryEH /
        akke cenmadhu vindeta kimarthaṃ parvataṃ vrajet /	akke ced-maDu vindeta kim-arTam parvatam vrajet /
        iṣṭasyārthasya saṃsiddhau ko vidvān yatnamācaret //	izwasya-arTasya saMsidDO kaH vidvAn yatnam-Acaret //
        ṛjumārgeṇa siddhyato 'rthasya vakreṇa sādhanāyogāt iti kecit /	Rju-mArgeNa sidDi-atas arTasya vakreNa sADana-ayogAt iti kecid /
        duḥkhatrayābhighātodvignacittāstānnivṛttyupāyameva tāvadabhikāmayante	duHKa-traya-aBiGAta-udvigna-cittAH-tAn-nivRtti-upAyam-eva tAvat-aBikAmayante
   / taṃ cāgre darśayiṣyāmaḥ / duḥkhatrayaṃ ca	/ tam ca-agre darSayizyAmaH / duHKa-trayam ca
   ādhyātmikamādhibhautikamādhidaivikaṃ ca / tatrādhyātmikaṃ dvidhā śārīraṃ	ADyAtmikam-ADi-BOtikam-ADidEvikam ca / tatra-ADyAtmikam dviDA SArIram
   mānasaṃ ca vātapittaśleṣmaṇāṃ vaiṣamyanimittaṃ śārīram	mAnasam ca vAta-pitta-SlezmaNAm vEzamya-nimittam SArIram
   kāmakrodhalobhamoherṣyāviṣādaviṣayaviśeṣādarśanakāraṇakaṃ mānasam /	kAma-kroDa-loBa-moha-IrzyA-vizAda-vizaya-viSeza-adarSana-kAraNakam mAnasam /
   āntaropāyasādhyatvādādhyātmikaṃ duḥkhamiti vyapadiśyate /	Antara-upAya-sADya-tvAt-ADyAtmikam duHKam-iti vyapadiSyate /
   brāhmopāyasādhyamapi duḥkhaṃ dvividham / ādhibhautikamādhidaivaikaṃ ca /	brAhma-upAya-sADyam-api duHKam dviviDam / ADiBOtikam-ADidEva-ekam ca /
   tatrādhibhautikaṃ mānuṣapakṣisarīsṛpasthāvaranibandhanam / ādhidaivikaṃ	tatra-ADiBOtikam mAnuza-pakzi-sarIsRpa-sTAvara-nibanDanam / ADidEvikam
   pakṣarākṣavināyakagrahādyāveśanimittam / sarvaṃ mānasapratyakṣam / etad	pakza-rAkza-vinAyaka-graha-Adi-a-AveSa-nimittam / sarvam mAnasa-pratyakzam / etat-
   duḥkhaṃ rajaḥpariṇāmaviśeṣo nityapariṇāmitvādidamapi nityamiti na śakyate	duHKam rajaH-pariNAma-viSezaH nitya-pariNAmi-tvAt-idam-api nityam-iti na Sakyate
   bādhitum tathāpi śakya eva tadabhibhavaḥ kartuṃ sādhanena tacca sādhanaṃ	bADitum taTA-api SakyaH eva tad-aBiBavaH kartum sADanena tat-ca sADanam
   śāstrajanitaṃ prakṛtipuruṣānyatājñānaṃ nānyaditi tacchāstra pra	SAstra-janitam prakRti-puruza-anyatA-jQAnam na-anyat-iti tat-SAstra pra
   tipādyārtha śca turvidha ḥ ta dya thā kaścidartha ḥ pra kṛtireva na tu ka	tipAdya-arTa Sca turviDaH H te dya TA kaScid-arTaH H pra kRtiH-eva na tu ka
   sya cit vikṛtirya thā mūla pra kṛtiḥ sā sa rva sya mūla mādikāra ṇa ṃ na	sya cit vikRtiH-yaH TAH mUla pra kRtiH sA sa rva sya mUla mA-AdikAra Na m na
   tu ta syāḥ kāra ṇānta ra ṃ kiñcit pra māṇa siddha ṃ ta thātve vā mūla kṣa	tu te syAH kAra NAnta raH m kiQcid pra mANa sidDaH M te TAtve vA mUla kza
   tikārītya na va sthā syāt sva syaiva svakāraṇatve tu tasyāpekṣayā	tikArItya na vaH sTA syAt sva sya-eva sva-kAraNa-tve tu tasya-apekzayA
   kāraṇatvāt svasyaiva pūrvavartitvaṃ kāryatvāt paścādvartitvamityasaṃbhavaḥ	kAraNa-tvAt svasya-eva pUrva-varti-tvam kAryatvAt paScAt-varti-tvam-iti-asaMBavaH
   / sakāraṇatve ajāmekāṃ	/ sa-kAraNa-tve ajAm-ekAm
   lohitaśuklakṛṣṇāmityajatvapratipādanaparaśrutivirodhaḥ syāt / sā ca	lohita-Sukla-kRzNAm-iti-aja-tu-apratipAdana-para-Sruti-viroDaH syAt / sA ca
   prakarotīti prakṛtiḥ pradhānaṃ sattvarajastamasāṃ sāmyāvasthā /	prakaroti-iti prakRtiH praDAnam sattva-rajaH-tamasAm sAmya-avasTA /
        kaścidarthaḥ prakṛtirvikṛtiśca tacca mahattattvamahaṅkāraḥ	kaScid-arTaH prakRtiH-vikRtiH-ca tat-ca mahat-tattvam-ahaFkAraH
   pañcatanmātrāṇi ceti saptasaṅkhyāko gaṇaḥ kasyacitprakṛtiḥ kasyacidvikṛtiḥ	paQca-tanmAtrANi ca-iti sapta-saFKyAkaH gaNaH kasyacid-prakRtiH kasyacid-vikRtiH
   / tadyathā mahattattvamahaṅkārasya prakṛtirvikṛtiśca mūlaprakṛteḥ tathā	/ tat-yaTA mahat-tattvam-ahaFkArasya prakRtiH-vikRtiH-ca mUlaprakRteH taTA
   ahaṅkāraḥ pañcatanmātrāṇāmindriyāṇāṃ ca prakṛtirvikṛtirmahataḥ tathā	ahaFkAraH paQca-tanmAtrANAm-indriyANAm ca prakRtiH-vikRtiH-mahataH taTA
   pañcatanmātrāṇi bhūtānāmākāśādīnāṃ prakṛtayo vikṛtayaścāhaṅkārasya / pañca	paQca-tanmAtrANi BUtAnAm-AkASa-AdInAm prakRtayaH vikRtayaH-ca-ahaFkArasya / paQca
   mahābhūtānyekādaśendriyāṇi ceti ṣoḍaśasaṅkhyāko gaṇo vikṛtireva na tu	mahABUtAni-ekAdaSa-indriyANi ca-iti zoxaSa-saFKyAkaH gaNaH vikRtiH-eva na tu
   kasyacitprakṛtiḥ / nanu pṛthivyādīnāmapi goghaṭavṛkṣādayo vikārā	kasyacid-prakRtiH / nanu pRTivI-AdInAm-api go-Gawa-vRkza-AdayaH vikArA
   upalabhyante tathā tadvikāraviśeṣāṇāṃ payobījādīnāṃ dadhyaṅkurādaya iti	upalaByante taTA tad-vikAra-viSezANAm payaH-bIja-AdInAm daDi-aFkura-AdayaH iti
   kathaṃ vikṛtitvameva teṣāmiti cenna tattvāntaropādānatvaṃ	kaTam vikRti-tvam-eva tezAm-iti ced-na tattva-antara-upAdAna-tvam
   prakṛtitvamihābhyupagatam na tveteṣāṃ tadasti sthaulyendriyagrāhyatayā	prakRti-tvam-iha-aByupagatam na tu-etezAm tat-asti sTOlya-indriya-grAhya-tayA
   goghaṭādīnāṃ samānatvāt na tattvāntaratā pṛthivyādibhyaḥ / uktaṃ ca	go-Gawa-AdInAm samAna-tvAt na tattva-antara-tA pRTivI-AdiByaH / uktam ca
   tattvakaumudyām "sarveṣāṃ goghaṭādīnāṃ sthūlatendriyagrāhyatā ca sameti"	tattva-kOmudyAm "sarvezAm go-Gawa-AdInAm sTUla-tA-indriya-grAhya-tA ca sameti"
   na tattvāntaram / puruṣastu na kasyacit prakṛtirapariṇāmitvānnāpi	na tattva-antaram / puruzaH-tu na kasyacid prakRtiH-apariNAmi-tvAt-na-api
   vikṛtirnityatvādanyathā sādhanasādhyābhivyaktiḥ syāt ghaṭavat /	vikRtiH-nitya-tvAt-anyaTA sADana-sADya-aBivyaktiH syAt Gawa-vat /
        pramāṇavirahiṇo 'rthasya nṛśṛṅgasādṛśyābhyupagamāt /	pramANa-virahiNaH arTasya nR-SRFga-sAdRSya-aByupagamAt /
   uktaprameyasādhakaṃ trividhaṃ pramāṇamurarīkatyam	ukta-prameya-sADakam triviDam pramANa-murarIkatyam
   pratyakṣamanumānamāptavacanaṃ ceti / sāṅkhyācāryaiḥ /	pratyakzam-anumAnam-Apta-vacanam ca-iti / sAFKya-AcAryEH /
   anyavādyaṅgīkṛtapramāṇānāmeteṣveva triṣvantarbhāvaḥ / uktaṃ ca	anya-vAdI-aFgIkRta-pramANAnAm-etezu-eva trizu-antarBAvaH / uktam ca
   'sarvapramāṇasiddhatvāditi'; sarveṣāṃ vādyantarābhyupagatānāṃ pramāṇānāṃ	asarva-pramANa-sidDa-tvAt-iti-a; sarvezAm vAdi-antara-aByupagatAnAm pramANAnAm
   siddhatvāt triṣvevāntarbhāvādityarthaḥ / nanu yatra yatra	sidDa-tvAt trizu-eva-antarBAvAt-iti-arTaH / nanu yatra yatra
