   advaitaprakaraṇaṃ	advEta-prakaraNam
   START MandUpK 3.1	START Mandu-upK 3.1
   oṃkāranirṇaya uktaḥ prapañcopaśamaḥ śivodvaita ātmeti pratijñāmātreṇa /	oMkAra-nirNayaH uktaH prapaQca-upaSamaH Siva-udvEtaH AtmA-iti pratijQA-mAtreNa /
   jñāte dvaitaṃ na vidyata iti ca /	jQAte dvEtam na vidyate iti ca /
   tatra dvaitābhāvastu vaitathyaprakaraṇena	tatra dvEta-aBAvaH-tu vEtaTya-prakaraNena
   svapnamāyāgandharvanagarādidṛṣṭāntairdṛśyatvādyantavattvādihetubhistarkeṇa	svapna-mAyA-ganDarva-nagara-Adi-dRzwAntEH-dRSya-tvAt-i-antavat-tva-Adi-hetuBiH-tarkeNa
   ca pratipāditā /	ca pratipAditA /
   advaitaṃ kimāgamamātreṇa pratipattavyamāhosvittarkeṇāpītyata āha- śakyate	advEtam kim-Agama-mAtreNa pratipattavyam-AhosvittarkeNa-api-iti-atas Aha Sakyate
   tarkeṇāpi jñātum; tatkathamityadvaitaprakaraṇamārabhyata	tarkeNa-api jQAtum; tad-kaTam-iti-advEta-prakaraNam-AraByata
   upāsyopāsānādibhedajātaṃ sarvaṃ vitathaṃ kevalaścātmādvayaḥ paramārtha iti	upAsya-upAsAna-Adi-Beda-jAtam sarvam vitaTam kevalaH-ca-AtmA-dvayaH parama-arTaH iti
   sthitamatīte prakaraṇe; yataḥ-	sTitam-atIte prakaraNe; yatas--
   upāsanāśrito dharmo jāte brahmaṇi vartate /	upAsana-ASritaH DarmaH jAte brahmaNi vartate /
   prāgutpatter ajaṃ sarvaṃ tenāsau kṛpaṇaḥ smṛtaḥ // MandUpK_3.1 //	prAk-utpatteH ajam sarvam tena-asO kRpaNaH smRtaH // Mandu-upK_3.1 //
   MandUpKC_3.1	Mandu-upKC_3.1
   upāsanāśrita upāsanāmātmano mokṣasādhanatvena gata upāsako 'haṃ mamopāsyaṃ	upAsana-ASritaH upAsanAm-AtmanaH mokza-sADana-tvena gataH upAsakaH aham mama-upAsyam
   brahma /	brahma /
   tadupāsanaṃ kṛtvā jāte brahmaṇīdānīṃ vartamāno 'jaṃ brahma	tad-upAsanam kRtvA jAte brahmaNi-idAnIm vartamAnaH ajam brahma
   śarīrapātādūrdhvaṃ pratapatsye prāgutpatteścājamidaṃ sarvamahaṃ ca /	SarIra-pAtAt-UrDvam pratapatsye prAk-utpatteH-ca-Ajam-idam sarvam-aham ca /
   yadātmako 'haṃ prāgutpatteridānīṃ jāto jāte brahmaṇi ca vartamāna	yad-AtmakaH aham prAk-utpatteH-idAnIm jAtaH jAte brahmaNi ca vartamAna
   upāsanayā punastadeva pratipatsya ityevamupāsanāśrito dharmaḥ sādhako	upAsanayA punar-tat-eva pratipatsyaH iti-evam-upAsana-ASritaH DarmaH sADakaH-
   yenaivaṃ kṣudrabrahmavittenāsau kāraṇena kṛpaṇo dīno 'lpakaḥ smṛto	yena-evam kzudra-brahma-vittena-asO kAraNena kRpaNaH dInaH alpakaH smRtaH-
   nityājabrahmadarśibhirityabhiprāyaḥ /	nitya-aja-brahma-darSiBiH-iti-aBiprAyaH /
   "yadvācānabhyuditaṃ yena vāgabhyudyate /	"yat-vAcAn-aByuditam yena vAc-aByudyate /
   tadeva brahma tvaṃ viddhi nedaṃ yadidamupāsate"(ke.u.1 / 4)	tat-eva brahma tvam vidDi na-idam yat-idam-upAsate"(ke.u.1 / 4)
   ityādiśrutestalavakāraṇām //1//	ityAdi-SruteH-talava-kAraNAm //1//
   START MandUpK 3.2	START Mandu-upK 3.2
   sabāhyābhyantaramajamātmānaṃ pratipattumaśaknuvannavidyayā dīnamātmānaṃ	sa-bAhya-aByantaram-ajam-AtmAnam pratipattum-aSaknuvan=-avidyayA dInam-AtmAnam
   manyamāno jāto 'haṃ jāte brahmaṇi varte tadupāsanāśritaḥ sanbrahma	manyamAnaH jAtaH aham jAte brahmaNi varte tad-upAsana-ASritaH san-brahma
