   PADA MARKERS	PADAH MARKERS
   For a four-pada verse:	FoH a fouH--pada verse:
   For a six-pada verse:	FoH a six-pada verse:
   aṣṭāvakragītā	azwa-avakra-gItA
   janaka uvāca	janakaH uvAca
   kathaṃ jñānam avāpto 'ti $ kathaṃ muktir bhaviṣyati &	kaTam jQAnam avAptaH ati $ kaTam muktiH Bavizyati &
   vairāgyaṃ ca kathaṃ prāptam % etad brūhi mama prabho // Avg_1.1 //	vErAgyam ca kaTam prAptam % etat brUhi mama praBo // Avc-_1.1 //
   aṣṭāvakra uvāca	azwAvakraH uvAca
   muktim icchasi cet tāta $ viṣayān viṣavat tyaja &	muktim icCasi ced tAta $ vizayAn viza-vat tyaja &
   kṣamārjavadayātoṣa- % satyaṃ pīyūṣavad bhaja // Avg_1.2 //	kzamA-Arjava-dayA-toza % satyam pIyUza-vat Baja // Avc-_1.2 //
   na pṛthvī na jalaṃ nāgnir $ na vāyur dyaur na vā bhavān &	na pRTvI na jalam na-agniH $ na vAyuH dyOH na vA BavAn &
   eṣāṃ sākṣiṇam ātmānaṃ % cid-rūpaṃ viddhi muktaye // Avg_1.3 //	ezAm sAkziNam AtmAnam % cit---rUpam vidDi muktaye // Avc-_1.3 //
   yadi dehaṃ pṛthak kṛtya $ citi viśrāmya tiṣṭhasi &	yadi deham pRTak kRtyaH $ citi viSrAmya tizWasi &
   adhunaiva sukhī śānto % bandha-mukto bhaviṣyasi // Avg_1.4 //	aDunA-eva suKI SAntaH % banDa-muktaH Bavizyasi // Avc-_1.4 //
   na tvaṃ viprādiko varṇo $ nāśramī nākṣa-gocaraḥ &	na tvam vipra-AdikaH varNaH $ na-ASramI na-akza--gocaraH &
   asaṅgo 'si nirākāro % viśva-sākṣī sukhī bhava // Avg_1.5 //	asaFgaH asi nirAkAraH % viSva-sAkzI suKI Bava // Avc-_1.5 //
   dharmādharmau sukhaṃ duḥkhaṃ $ mānasāni na te vibho &	Darma-aDarmO suKam duHKam $ mAnasAni na te viBo &
   na kartāsi na bhoktāsi % mukta evāsi sarvadā // Avg_1.6 //	na kartAsi na BoktAsi % muktaH eva-asi sarvadA // Avc-_1.6 //
   eko draṣṭāsi sarvasya $ mukta-prāyo 'si sarvadā &	ekaH drazwAsi sarvasya $ mukta--prAyaH asi sarvadA &
   ayam eva hi te bandho % draṣṭāraṃ paśyasītaram // Avg_1.7 //	ayam eva hi te banDaH % drazwAram paSyasi-itaram // Avc-_1.7 //
   ahaṃ kartety ahaṃ-māna- $ mahā-kṛṣṇāhi-daṃśitaḥ &	aham kartA-iti ahaM-mAna $ mahA--kRzNa-ahi-daMSitaH &
   nāhaṃ karteti viśvāsā- % -mṛtaṃ pītvā sukhī bhava // Avg_1.8 //	na-aham kartA-iti viSvAsA % -mRtam pItvA suKI Bava // Avc-_1.8 //
   eko viśuddha-bodho 'ham $ iti niścaya-vahninā &	ekaH viSudDa--boDaH aham $ iti niScaya--vahninA &
   prajvālyājñāna-gahanaṃ % vīta-sokaḥ sukhī bhava // Avg_1.9 //	prajvAlya-ajQAna--gahanam % vIta-sokaH suKI Bava // Avc-_1.9 //
   yatra viśvam idaṃ bhāti $ kalpitaṃ rajju-sarpavat &	yatra viSvam idam BAti $ kalpitam rajju--sarpa-vat &
   ānanda-paramānandaḥ % sa bodhas tvaṃ sukhaṃ cara // Avg_1.10 //	Ananda-parama-AnandaH % sa boDaH tvam suKam cara // Avc-_1.10 //
   muktābhimānī mukto hi $ baddho baddhābhimāny api &	muktA-aBimAnI muktaH hi $ badDaH badDa-aBimAni api &
   kiṃ vadantīha satye 'yaṃ % yā matiḥ sā gatir bhavet // Avg_1.11 //	kim vadanti-iha satye ayam % yA matiH sA gatiH Bavet // Avc-_1.11 //
   ātmā sākṣī vibhuḥ pūrṇa $ eko muktaś cid akriyaḥ &	AtmA sAkzI viBuH pUrNa $ ekaH muktaH cit akriyaH &
   asaṅgo nispṛhaḥ śānto % bhramāt saṃsāravān iva // Avg_1.12 //	asaFgaH nispRhaH SAntaH % BramAt saMsAravAn iva // Avc-_1.12 //
   kūṭasthaṃ bodham advaitam $ ātmānaṃ paribhāvaya &	kUwasTam boDam advEtam $ AtmAnam pariBAvaya &
   ābhāso 'haṃ bhramaṃ muktvā % bhāvaṃ bāhyam athāntaraṃ // Avg_1.13 //	ABAsaH aham Bramam muktvA % BAvam bAhyam aTa-antaram // Avc-_1.13 //
   dehābhimāna-pāśena $ ciraṃ baddho 'si putraka &	deha-aBimAna--pASena $ ciram badDaH asi putrakaH &
   bodho 'haṃ jñāna-khaḍgena % tan niṣkṛtya sukhī bhava // Avg_1.14 //	boDaH aham jQAna--Kaxgena % tat nizkRtya suKI Bava // Avc-_1.14 //
   niḥsaṅgo niṣkriyo 'si tvaṃ $ sva-prakāśo nirañjanaḥ &	niHsaFgaH nizkriyaH asi tvam $ sva--prakASaH niraQjanaH &
   ayam eva hi te bandhaḥ % samādhim anutiṣṭhasi // Avg_1.15 //	ayam eva hi te banDaH % samADim anutizWasi // Avc-_1.15 //
   tvayā vyāptam idaṃ viśvaṃ $ tvayi protaṃ yathārthataḥ &	tvayA vyAptam idam viSvam $ tvayi protam yaTArTataH &
   śudddha-buddha-svarūpas tvaṃ, % mā gamaḥ kṣudra-cittatām // Avg_1.16 //	SuddDa-budDa--svarUpaH tvaM, % mA gamaH kzudra-citta-tAm // Avc-_1.16 //
   nirapekṣo nirvikāro $ nirbharaḥ śītalāśayaḥ &	nirapekzaH nirvikAraH $ nirBaraH SItala-ASayaH &
   agādha-buddhir akṣubdho % bhava cin-mātra-vāsanaḥ // Avg_1.17 //	agADa--budDiH akzubDaH % Bava cin--mAtra-vAsanaH // Avc-_1.17 //
   sākāram anṛtaṃ viddhi $ nirākāraṃ tu niścalam &	sa-AkAram anRtam vidDi $ nirAkAram tu niScalam &
   etat-tattvopadeśena % na punar-bhava-sambhavaḥ // Avg_1.18 //	etat--tattva-upadeSena % na punar--Bava--samBavaH // Avc-_1.18 //
   yathaivādarśam adhyasthe $ rūpe 'ntaḥ paritas tu saḥ &	yaTA-eva-AdarSam aDyasTe $ rUpe antar paritas tu saH &
   tathaivāsmin śarīre 'ntaḥ % paritaḥ parameśvaraḥ // Avg_1.19 //	taTA-eva-asmin SarIre antar % paritas parameSvaraH // Avc-_1.19 //
   ekaṃ sarva-gataṃ vyoma $ bahir antar yathā ghaṭe &	ekam sarva-gatam vyoma $ bahis antar yaTA Gawe &
   nityaṃ nirantaraṃ brahma % sarva-bhūta-gaṇe tathā // Avg_1.20 //	nityam nirantaram brahma % sarva-BUta--gaNe taTA // Avc-_1.20 //
   janaka uvāca	janakaH uvAca
   aho nirañjanaḥ śānto $ bodho 'haṃ prakṛteḥ paraḥ &	aho niraQjanaH SAntaH $ boDaH aham prakRteH paraH &
   etāvantam ahaṃ kālaṃ % mohenaiva viḍambitaḥ // Avg_2.1 //	etAvantam aham kAlam % mohena-eva vixambitaH // Avc-_2.1 //
   yathā prakāśayāmy eko $ deham enaṃ tathā jagat &	yaTA prakASayAmi ekaH $ deham enam taTA jagat &
   ato mama jagat sarvam % athavā na ca kiṃcana // Avg_2.2 //	atas mama jagat sarvam % aTavA na ca kiMcana // Avc-_2.2 //
   saśarīram aho viśvaṃ $ parityajya mayādhunā &	sa-SarIram aho viSvam $ parityajya mayA-aDunA &
   kutaścit kauśalād eva % paramātmā vilokyate // Avg_2.3 //	kutaScid kOSalAt eva % paramAtmA vilokyate // Avc-_2.3 //
   yathā na toyato bhinnās $ taraṅgāḥ phena-budbudāḥ &	yaTA na toyataH BinnAH $ taraFgAH Pena-budbudAH &
   ātmano na tathā bhinnaṃ % viśvam ātma-vinirgatam // Avg_2.4 //	AtmanaH na taTA Binnam % viSvam Atma--vinirgatam // Avc-_2.4 //
   tantu-mātro bhaved eva $ paṭo yadvad vicāritaḥ &	tantu--mAtraH Bavet eva $ pawaH yadvat vicAritaH &
