   Ekaviṃśatistotra	EkaviMSati-stotra
   namas tāre ture vīre kṣaṇadyutinibhekṣaṇe /	namaH tAre ture vIre kzaNa-dyuti-niBa-IkzaNe /
   trailokyanāthavaktrābjavikasatkesarodbhave // Nevs_1	trElokya-nATa-vaktra-abja-vikasat-kesara-udBave // NevH-_1
   namas śāntasaraccandrasaṃpūrṇapaṭalānane /	namaH SAnta-sarat-candra-saMpUrNa-pawala-Anane /
   tāre sahasravikalpaprahasatkiraṇojjvale // Nevs_2	tAre sahasra-vikalpa-prahasat-kiraNa-ujjvale // NevH-_2
   namaḥ kanakanīlābjapāṇipadmavibhūṣite /	namaH kanaka-nIla-abja-pANi-padma-viBUzite /
   dānavīryatapaḥkṣāntititikṣādhyānagocare // Nevs_3	dAna-vIrya-tapaH-kzAnti-titikzA-DyAna-gocare // NevH-_3
   namas tathāgatoṣṇīṣavijayānantacāriṇi /	namaH taTAgata-uzNIza-vijaya-ananta-cAriNi /
   aśeṣapāramitāprāptajinaputraniṣevite // Nevs_4	aSeza-pAramitA-prApta-jina-putra-nizevite // NevH-_4
   namas tuttārahūṃkārapūritāśādigantare /	namaH tuttAra-hUMkAra-pUrita-ASA-Adi-gantare /
   saptalokakramākrāntā aśeṣākarṣaṇakṣaṇe // Nevs_5	sapta-loka-krama-AkrAntAH aSeza-AkarzaNa-kzaNe // NevH-_5
   namaḥ śakranarabrahmamarudviśveśvarārcite /	namaH Sakra-nara-brahma-marut-viSva-ISvara-arcite /
   bhūtavetālagandharvagaṇapuraskṛte // Nevs_6	BUta-vetAla-ganDarva-gaNa-puraskRte // NevH-_6
   namas tratritriphaṭkāre paramantrapramardani /	namaH tratri-triPawkAre para-mantra-pramardani /
   pratyālīḍhapādanyāse śikhijvālākulojjvale // Nevs_7	pratyAlIXa-pAda-nyAse SiKi-jvAlA-Akula-ujjvale // NevH-_7
   namas ture mahāghore māravīravināśani /	namaH ture mahA-Gore mAra-vIra-vinASani /
   bhṛkuṭīkṛtavaktrābjasarvaduṣṭanisūdani // Nevs_8	BRkuwI-kRta-vaktra-abja-sarva-duzwa-nisUdani // NevH-_8
