   kaṭhopaniṣat	kaWopanizad-
   uśan ha vai vājaśravasaḥ sarvavedasaṃ dadau /	uSan ha vE vAjaSravasaH sarva-vedasam dadO /
   tasya ha naciketā nāma putra āsa // KaU_1.1 //	tasya ha naciketAH nAma putraH Asa // KaU_1.1 //
   taṃ ha kumāraṃ santaṃ dakṣiṇāsu nīyamānāsu śraddhāviveśa /	tam ha kumAram santam dakziNAsu nIyamAnAsu SradDA-AviveSa /
   so 'manyata // KaU_1.2 //	saH amanyate // KaU_1.2 //
   pītodakā jagdhatṛṇā dugdhadohā nirindriyāḥ /	pIta-udakAH jagDa-tRNAH dugDa-dohAH nirindriyAH /
   anandā nāma te lokās tān sa gacchati tā dadat // KaU_1.3 //	anandAH nAma te lokAH tAn sa gacCati tAH dadat // KaU_1.3 //
   sa hovāca pitaraṃ tata kasmai māṃ dāsyasīti /	sa ha-uvAca pitaram tata kasmE mAm dAsyasi-iti /
   dvitīyaṃ tṛtīyam /	dvitIyam tRtIyam /
   taṃ hovāca mṛtyave tvā dadāmīti // KaU_1.4 //	tam ha-uvAca mRtyave tvA dadAmi-iti // KaU_1.4 //
   bahūnām emi prathamo bahūnām emi madhyamaḥ /	bahUnAm emi praTamaH bahUnAm emi maDyamaH /
   kiṃ svid yamasya kartavyaṃ yan mayādya kariṣyati // KaU_1.5 //	kim svid yamasya kartavyam yat mayA-adya karizyati // KaU_1.5 //
   anupaśya yathā pūrve pratipaśya tathāpare /	anupaSya yaTA pUrve pratipaSya taTA-apare /
   sasyam iva martyaḥ pacyate sasyam ivājāyate punaḥ // KaU_1.6 //	sasyam iva martyaH pacyate sasyam iva-AjAyate punar // KaU_1.6 //
   vaiśvānaraḥ praviśati atithir brāhmaṇo gṛhān /	vESvAnaraH praviSati atiTiH brAhmaNaH gRhAn /
   tasyaitāṃ śāntiṃ kurvanti hara vaivasvatodakam // KaU_1.7 //	tasya-etAm SAntim kurvanti hara vEvasvata-udakam // KaU_1.7 //
   āśāpratīkṣe saṃgataṃ sūnṛtāṃ ca iṣṭāpūrte putrapaśūṃś ca sarvān /	ASA-pratIkze saMgatam sUnRtAm ca izwApUrte putra-paSUn ca sarvAn /
   etad vṛṅkte puruṣasyālpamedhaso yasyānaśnan vasati brāhmaṇo gṛhe //	etat vRFkte puruzasya-alpa-meDasaH yasya-anaSnan vasati brAhmaNaH gRhe //
   KaU_1.8 //	KaU_1.8 //
   tisro rātrīr yad avatsīr gṛhe me anaśnan brahmann atithir namasyaḥ /	tisraH rAtrIH yat avatsIH gRhe me anaSnan brahman atiTiH namasyaH /
   namas te 'stu brahman svasti me 'stu tasmāt prati trīn varān vṛṇīṣva //	namaH te astu brahman svasti me astu tasmAt prati trIn varAn vRNIzva //
   KaU_1.9 //	KaU_1.9 //
   śāntasaṅkalpaḥ sumanā yathā syād vītamanyur gautamo mābhi mṛtyo /	SAnta-saFkalpaH sumanAH yaTA syAt vIta-manyuH gOtamaH mA-aBi mRtyo /
   tvatprasṛṣṭaṃ mābhivadet pratīta etat trayāṇāṃ prathamaṃ varaṃ vṛṇe //	tvad-prasRzwam mA-aBivadet pratItaH etat trayANAm praTamam varam vRNe //
   KaU_1.10 //	KaU_1.10 //
   yathā purastād bhavitā pratīta auddālakir āruṇir matprasṛṣṭaḥ /	yaTA purastAt BavitA pratItaH OddAlakiH AruNiH mad-prasRzwaH /
   sukhaṃ rātrīḥ śayitā vītamanyus tvāṃ dadṛśivān mṛtyumukhāt pramuktam //	suKam rAtrIH SayitA vIta-manyuH tvAm dadRSivAn mRtyu-muKAt pramuktam //
   KaU_1.11 //	KaU_1.11 //
   svarge loke na bhayaṃ kiṃcanāsti na tatra tvaṃ na jarayā bibheti /	svarge loke na Bayam kiMcana-asti na tatra tvam na jarayA biBeti /
   ubhe tīrtvā aśanāyāpipāse śokātigo modate svargaloke // KaU_1.12 //	uBe tIrtvA aSanAyA-pipAse Soka-atigaH modate svarga-loke // KaU_1.12 //
   sa tvam agniṃ svargyam adhyeṣi mṛtyo prabrūhi taṃ śraddadhānāya mahyam /	sa tvam agnim svargyam aDyezi mRtyo prabrUhi tam SraddaDAnAya mahyam /
   svargalokā amṛtatvaṃ bhajanta etad dvitīyena vṛṇe vareṇa // KaU_1.13 //	svarga-lokAH amRta-tvam Bajante etat dvitIyena vRNe vareNa // KaU_1.13 //
   pra te bravīmi tad u me nibodha svargyam agniṃ naciketaḥ prajānan /	pra te bravImi tat u me niboDa svargyam agnim naciketaH prajAnan /
   anantalokāptim atho pratiṣṭhāṃ viddhi tvam etaṃ nihitaṃ guhāyām //	ananta-loka-Aptim aTo pratizWAm vidDi tvam etam nihitam guhAyAm //
   KaU_1.14 //	KaU_1.14 //
   lokādim agniṃ tam uvāca tasmai yā iṣṭakā yāvatīr vā yathā vā /	loka-Adim agnim tam uvAca tasmE yAH izwakAH yAvatIH vA yaTA vA /
   sa cāpi tat pratyavadad yathoktam athāsya mṛtyuḥ punar āha tuṣṭaḥ //	sa ca-api tat pratyavadat yaToktam aTa-asya mRtyuH punar Aha tuzwaH //
   KaU_1.15 //	KaU_1.15 //
   tam abravīt prīyamāṇo mahātmā varaṃ tavehādya dadāmi bhūyaḥ /	tam abravIt prIyamANaH mahAtmA varam tava-iha-adya dadAmi BUyas /
   tavaiva nāmnā bhavitāyam agniḥ sṛṅkāṃ cemām anekarūpāṃ gṛhāṇa // KaU_1.16	tava-eva nAmnA BavitA-ayam agniH sRFkAm ca-imAm aneka-rUpAm gRhANa // KaU_1.16
   triṇāciketas tribhir etya sandhiṃ trikarmakṛt tarati janmamṛtyū /	triNAciketaH triBiH etya sanDim tri-karma-kRt tarati janma-mRtyU /
   brahmajajñaṃ devam īḍyaṃ viditvā nicāyyemāṃ śāntim atyantam eti //	brahma-jajQam devam Ixyam viditvA nicAyya-imAm SAntim atyantam eti //
   KaU_1.17 //	KaU_1.17 //
   triṇāciketas trayam etad viditvā ya evaṃ vidvāṃś cinute nāciketam /	triNAciketaH trayam etat viditvA yaH evam vidvAn cinute nAciketam /
   sa mṛtyupāśān purataḥ praṇodya śokātigo modate svargaloke // KaU_1.18 //	sa mRtyu-pASAn puratas praNodya Soka-atigaH modate svarga-loke // KaU_1.18 //
   eṣa te 'gnir naciketaḥ svargyo yam avṛṇīthā dvitīyena vareṇa /	eza te agniH naciketaH svargyaH yam avRNITAH dvitIyena vareNa /
   etam agniṃ tavaiva pravakṣyanti janāsas tṛtīyaṃ varaṃ naciketo vṛṇīṣva //	etam agnim tava-eva pravakzyanti janAsaH tRtIyam varam naciketaH vRNIzva //
   KaU_1.19 //	KaU_1.19 //
   yeyaṃ prete vicikitsā manuṣye astīty eke nāyam astīti caike /	yA-iyam prete vicikitsA manuzye asti-iti eke na-ayam asti-iti ca-eke /
   etad vidyām anuśiṣṭas tvayāhaṃ varāṇām eṣa varas tṛtīyaḥ // KaU_1.20 //	etat vidyAm anuSizwaH tvayA-aham varANAm eza varaH tRtIyaH // KaU_1.20 //
   devair atrāpi vicikitsitaṃ purā na hi sujñeyam aṇur eṣa dharmaḥ /	devEH atra-api vicikitsitam purA na hi su-jQeyam aNuH eza DarmaH /
   anyaṃ varaṃ naciketo vṛṇīṣva mā moparotsīr ati mā sṛjainam // KaU_1.21 //	anyam varam naciketaH vRNIzva mA mA-uparotsIH ati mA sRja-enam // KaU_1.21 //
   devair atrāpi vicikitsitaṃ kila tvaṃ ca mṛtyo yan na sujñeyam āttha /	devEH atra-api vicikitsitam kila tvam ca mRtyo yat na su-jQeyam AtTa /
   vaktā cāsya tvādṛg anyo na labhyo nānyo varas tulya etasya kaścit //	vaktA ca-asya tvAdRS anyaH na laByaH na-anyaH varaH tulyaH etasya kaScid //
   KaU_1.22 //	KaU_1.22 //
   śatāyuṣaḥ putrapautrān vṛṇīṣva bahūn paśūn hastihiraṇyam aśvān /	Sata-AyuzaH putra-pOtrAn vRNIzva bahUn paSUn hasti-hiraNyam aSvAn /
   bhūmer mahad āyatanaṃ vṛṇīṣva svayaṃ ca jīva śarado yāvad icchasi //	BUmeH mahat Ayatanam vRNIzva svayam ca jIva SaradaH yAvat icCasi //
   KaU_1.23 //	KaU_1.23 //
   etat tulyaṃ yadi manyase varaṃ vṛṇīṣva vittaṃ cirajīvikāṃ ca /	etat tulyam yadi manyase varam vRNIzva vittam cira-jIvikAm ca /
