   Kalpadrumāvadānamālāyāṃ	Kalpadruma-avadAna-mAlAyAm
   10 subhūtyavadānam* ||	10 suBUti-avadAnam* ||
   athāśoko mahārājaḥ sarvaśokavinoditaḥ /	aTa-aSokaH mahA-rAjaH sarva-Soka-vinoditaH /
   upaguptaṃ guruṃ natvā kṛtāñjalipuṭo 'vadat* // KDA_1 //	upaguptam gurum natvA kRta-aQjali-puwaH avadat* // KDA_1 //
   bhadanta śrotum icchāmi punar anyat subhāṣitam* /	Badanta Srotum icCAmi punar anyat su-BAzitam* /
   yad uktaṃ śākyasiṃhena tan me gaditum arhasi // KDA_2 //	yat uktam SAkya-siMhena tat me gaditum arhasi // KDA_2 //
   iti pṛṣṭo nṛpeṇāsāv upagupto yatīśvaraḥ /	iti pRzwaH nRpeNa-asO upaguptaH yati-ISvaraH /
   parṣadaṃ ca samālokya saṃbabhāṣa subhāṣitam* // KDA_3 //	parzadam ca samAlokya saMbaBAza su-BAzitam* // KDA_3 //
   śṛṇu rājan mahābāho sarvalokahitārthataḥ /	SRNu rAjan mahA-bAho sarva-loka-hita-arTataH /
   subhūter avadānaṃ yat tat pravakṣye yathāśrutam* // KDA_4 //	suBUteH avadAnam yat tat pravakzye yaTASrutam* // KDA_4 //
   purā śrībhagavān buddho dharmarājas tathāgataḥ /	purA SrI-BagavAn budDaH DarmarAjaH taTAgataH /
   vidyācaraṇasaṃpannaḥ sugato lokavijjinaḥ // KDA_5 //	vidyA-caraNa-saMpannaH sugataH loka-vid-jinaH // KDA_5 //
   śāstā devamanuṣyāṇāṃ samyaksaṃbodhideśakaḥ /	SAstA deva-manuzyANAm samyaksaMboDi-deSakaH /
   satkṛto mānitaḥ satvair gurukṛtaś ca pūjitaḥ // KDA_6 //	satkRtaH mAnitaH satvEH gurukRtaH ca pUjitaH // KDA_6 //
   rājabhī rājamātraiś ca dhanibhiḥ puravāsibhiḥ /	rAjaBiH rAjamAtrEH ca DaniBiH pura-vAsiBiH /
   śreṣṭhibhiḥ sārthavāhaiś ca nānādeśasamāgataiḥ // KDA_7 //	SrezWiBiH sArTavAhEH ca nAnA-deSa-samAgatEH // KDA_7 //
   devāsuramahānāgair yakṣagandharvakinnaraiḥ /	deva-asura-mahA-nAgEH yakza-ganDarva-kinnarEH /
   guruḍaiś ca mahāsarpais tathānyasatvajātikaiḥ // KDA_8 //	guruxEH ca mahA-sarpEH taTA-anya-satva-jAtikEH // KDA_8 //
   susaṃjñāto mahāpuṇyo lābhī cīvaravāsasām* /	su-saMjQAtaH mahA-puNyaH lABI cIvara-vAsa-sAm* /
   piṇḍapātāsanādīnāṃ śayyādīnāṃ tathaiva ca // KDA_9 //	piNxa-pAta-Asana-AdInAm SayyA-AdInAm taTA-eva ca // KDA_9 //
   auṣadhādipariṣkāra- vastūnāṃ sarvataḥ sadā /	OzaDa-Adi-parizkAra vastUnAm sarvatas sadA /
   sārdhaṃ saśrāvakaiḥ saṃghair bhikṣubhiś ca jitendriyaiḥ // KDA_10 //	sArDam sa-SrAvakEH saMGEH BikzuBiH ca jita-indriyEH // KDA_10 //
   bhikṣuṇyupāsikābhiś ca celakopāsakais tathā /	BikzuNI-upAsikABiH ca celaka-upAsakEH taTA /
   bodhisatvamahāsatvaiḥ satvārthabodhivāñchibhiḥ // KDA_11 //	boDisatva-mahA-satvEH satva-arTa-boDivAn-SiBiH // KDA_11 //
   śrāvastyāṃ rājadhānyāṃ vai jetavane manorame /	SrAvastyAm rAjaDAnyAm vE jetavane manorame /
   vihāre vyaharad dharmaṃ deśayañ chubhayas sadā // KDA_12 //	vihAre vyaharat Darmam deSayan CuBayaH sadA // KDA_12 //
   tadā bhagavatā satva- vinayānugrahārthinā /	tadA BagavatA satva vinaya-anugraha-arTinA /
   āmantrya bhikṣavaḥ sarve samyagājñāpitā iti // KDA_13 //	Amantrya BikzavaH sarve samyak-AjQApitAH iti // KDA_13 //
   gacchata bhikṣavo yūyaṃ satvānāṃ vinayārthataḥ /	gacCata BikzavaH yUyam satvAnAm vinaya-arTataH /
   deśān pratyabhigacchantaḥ prakāśayata saṃvṛtim* // KDA_14 //	deSAn pratyaBigacCantaH prakASayata saMvRtim* // KDA_14 //
   -------------------- Vaidya, p. 266 --------------------	------------------- VEdya, p. 266 --------------------
   tathety eva pratiśrutya śāstuḥ pādau praṇamya ca /	taTA-iti eva pratiSrutya SAstuH pAdO praNamya ca /
   śrāvakā bhikṣavaś caiva pratasthus te niyoginaḥ // KDA_15 //	SrAvakAH BikzavaH ca-eva pratasTuH te niyoginaH // KDA_15 //
   guro ājñāṃ vahantas te kecit prācīṃ diśaṃ gatāḥ /	guro AjQAm vahantaH te kecid prAcIm diSam gatAH /
   deśayanti sma saddharmaṃ pratideśānupāsthitāḥ // KDA_16 //	deSayanti sma sadDarmam pratideSAn-upAsTitAH // KDA_16 //
   dakṣiṇasyāṃ tathā kecit kecic ca paścimāṃ diśam* /	dakziNasyAm taTA kecid kecid ca paScimAm diSam* /
   tathottarāṃ diśaṃ gatvā vidikṣu cāpi sarvataḥ // KDA_17 //	taTA-uttarAm diSam gatvA vidikzu ca-api sarvatas // KDA_17 //
   teṣāṃ dhyānaratā ye vai te viviktasukhaiṣiṇaḥ /	tezAm DyAna-ratAH ye vE te vivikta-suKa-eziNaH /
   meror upariṣaṇḍāyām adhyūṣur dhyānatatparāḥ // KDA_18 //	meroH uparizaNxAyAm aDyUzuH DyAna-tatparAH // KDA_18 //
   tadābdher garuḍenaiko nāgapotaḥ samuddhṛtaḥ /	tadA-abDeH garuxena-ekaH nAgapotaH samudDRtaH /
   tam āśramam upānīya bhakṣitum upacakrame // KDA_19 //	tam ASramam upAnIya Bakzitum upacakrame // KDA_19 //
   tatrasthās tena nāgena bhikṣavo dhyānasaṃratāḥ /	tatrasTAH tena nAgena BikzavaH DyAna-saMratAH /
   dṛṣṭvaiva suprasannena manasā praṇidhir dadhe // KDA_20 //	dRzwvA-eva su-prasannena manasA praNiDiH daDe // KDA_20 //
   dhanyās te bhikṣavo hy ete saddharmasukhacāriṇaḥ /	DanyAH te BikzavaH hi ete sat-Darma-suKa-cAriNaH /
   aham api ca bhūyāsaṃ tādṛgdharmasamāhitaḥ // KDA_21 //	aham api ca BUyAsam tAdRS-Darma-samAhitaH // KDA_21 //
   iti praṇidhiṃ kurvāṇo jīvitād vyavaropitaḥ /	iti praNiDim kurvANaH jIvitAt vyavaropitaH /
   tatraiva garuḍenaivaṃ bhakṣito 'bhūt sa nāgakaḥ // KDA_22 //	tatra-eva garuxena-evam BakzitaH aBUt sa nAgakaH // KDA_22 //
   tataḥ kālagatas tatra śrāvastyāṃ puri + + + /	tatas kAlagataH tatra SrAvastyAm puri + + + /
   bhūtināmnā dvijasyāsau bhāryāyā garbham āviśat* // KDA_23 //	BUti-nAmnA dvijasya-asO BAryAyAH garBam AviSat* // KDA_23 //
   tataś ca kramatas tasyā garbhaḥ samanuvardhitaḥ /	tatas ca kramatas tasyAH garBaH samanuvarDitaH /
   tatas tatsamaye prāpte dārakaḥ samajāyata // KDA_24 //	tatas tad-samaye prApte dArakaH samajAyata // KDA_24 //
   tataḥ pitā ca taṃ dṛṣṭā dārakaṃ saṃprasādikam* /	tatas pitA ca tam dRzwA dArakam saMprasAdikam* /
   darśanīyaṃ subhadrāṅgaṃ muhuḥ paśyann ananda saḥ // KDA_25 //	darSanIyam suBadra-aFgam muhur paSyan ananda saH // KDA_25 //
   tato jātimahaṃ kṛtvā jñānīnāhūya cādarāt* /	tatas jAti-maham kRtvA jQAnIn-AhUya ca-AdarAt* /
   bhavanto 'sya nu kiṃ nāma kriyatām iti so 'bravīt* // KDA_26 //	BavantaH asya nu kim nAma kriyatAm iti saH abravIt* // KDA_26 //
   jñātayo 'pi tathā śrutvā dṛṣṭvā cainaṃ ca bālakam* /	jQAtayaH api taTA SrutvA dRzwvA ca-enam ca bAlakam* /
   sarve harṣasamāpannā bhūtiṃ tam abruvaṃs tathā // KDA_27 //	sarve harza-samApannAH BUtim tam abruvan taTA // KDA_27 //
   yasmād bhūter ayaṃ putraṃ sujāto lakṣaṇānvitaḥ /	yasmAt BUteH ayam putram sujAtaH lakzaNa-anvitaH /
   tasmāt subhūtir ity eva nāmnā bhavatu viśrutaḥ // KDA_28 //	tasmAt suBUtiH iti eva nAmnA Bavatu viSrutaH // KDA_28 //
   tathā kramād vivṛddho 'sau subhūtir bālasundaraḥ /	taTA kramAt vivRdDaH asO suBUtiH bAlasundaraH /
   kumāratvaṃ kramāt prāpto rarāma sa vayonvitaḥ // KDA_29 //	kumAra-tvam kramAt prAptaH rarAma sa vayaH-nvitaH // KDA_29 //
   -------------------- Vaidya, p. 267 --------------------	------------------- VEdya, p. 267 --------------------
   pūrvakarmabalādhānāt krodhanaḥ krūrabhāṣaṇaḥ /	pUrva-karma-bala-ADAnAt kroDanaH krUra-BAzaNaH /
   kiṃcin nimittasaṃruṣṭo vigrahe nirato 'bhavat // KDA_30 //	kiMcid nimitta-saMruzwaH vigrahe nirataH aBavat // KDA_30 //
   paruṣībhūtacittatvān na tasya ko 'py abhūt suhṛt* /	paruzIBUta-citta-tvAt na tasya kaH api aBUt suhRt* /
   sarvajñātiviruddhatvāt pitṛbhyām apy upekṣitaḥ // KDA_31 //	sarva-jQAti-virudDa-tvAt pitRByAm api upekzitaH // KDA_31 //
   bandhubhiś ca parityakto naiva kasyāpy abhūt priyaḥ /	banDuBiH ca parityaktaH na-eva kasya-api aBUt priyaH /
   viśrambhapraṇayaṃ tasmin naiva kaścid abhāṣata // KDA_32 //	viSramBa-praNayam tasmin na-eva kaScid aBAzata // KDA_32 //
   sthātuṃ gantuṃ tathā bhoktuṃ śayituṃ vābhilāpitum* /	sTAtum gantum taTA Boktum Sayitum vA-aBilApitum* /
   tenaiva krodhinā sārdhaṃ samutsehur na kecana // KDA_33 //	tena-eva kroDinA sArDam samutsehuH na kecana // KDA_33 //
   tadā pitrā niyukto 'sau lipiśālām upāgamat* /	tadA pitrA niyuktaH asO lipi-SAlAm upAgamat* /
   subhūtiś ca guruṃ natvā lipim anvagrahīt kramāt* // KDA_34 //	suBUtiH ca gurum natvA lipim anvagrahIt kramAt* // KDA_34 //
   tato vyākaraṇādīni sarvaśāstrāṇy anukramāt* /	tatas vyAkaraNa-AdIni sarva-SAstrANi anukramAt* /
   so 'dhītyaiṣāṃ suśīghreṇa pāraṃ prāpa subuddhimān* // KDA_35 //	saH aDItya-ezAm su-SIGreNa pAram prApa su-budDimAn* // KDA_35 //
   tathā vedān adhītyaivaṃ sāṅgopāṅgān yathākramam* /	taTA vedAn aDItya-evam sa-aFga-upAFgAn yaTAkramam* /
   atharvam apy adhītuṃ sa prārabhat tīkṣṇamānasaḥ // KDA_36 //	aTarvam api aDItum sa prAraBat tIkzNa-mAnasaH // KDA_36 //
   tatra pitā dvijo bhūtir atharvādhītasaṃratam* /	tatra pitA dvijaH BUtiH aTarva-aDIta-saMratam* /
   subhūtiṃ svātmajaṃ putraṃ dṛṣṭvaivaṃ samacintayat* // KDA_37 //	suBUtim sva-Atmajam putram dRzwvA-evam samacintayat* // KDA_37 //
   subhūtir mama putro 'yam agnikalpaḥ sutīkṣṇadhīḥ /	suBUtiH mama putraH ayam agni-kalpaH su-tIkzNa-DIH /
   kadācit kupito roṣāl loke 'narthaṃ kariṣyati // KDA_38 //	kadAcid kupitaH rozAt loke anarTam karizyati // KDA_38 //
   tad anvāharitavyo 'yam ātharvaṇāt prayatnataḥ /	tat anvAharitavyaH ayam ATarvaNAt prayatnataH /
   ṛṣiṣu preṣayitvainaṃ yojayiṣye ca saṃyame // KDA_39 //	Rzizu prezayitvA-enam yojayizye ca saMyame // KDA_39 //
   iti matvā pitā bhūtiḥ subhūtiṃ svātmajaṃ tathā /	iti matvA pitA BUtiH suBUtim sva-Atmajam taTA /
   ātharvaṇād vinirhṛtya prabodhayaṃs tam abravīt* // KDA_40 //	ATarvaNAt vinirhRtya praboDayan tam abravIt* // KDA_40 //
   śṛṇu putra mayā proktaṃ hitārthaṃ tava saṃmatam* /	SRNu putra mayA proktam hita-arTam tava saMmatam* /
   tvaṃ hi vidvān mahāvijñaḥ sarvaśāstrāṅgapāragaḥ // KDA_41 //	tvam hi vidvAn mahA-vijQaH sarva-SAstra-aFga-pAragaH // KDA_41 //
   kiṃ tavātharvavedena māyākleśārthasādhinā /	kim tava-aTarvavedena mAyA-kleSa-arTa-sADinA /
   viramya tadadhiṣṭhānād ṛṣicaryāṃ samācara // KDA_42 //	viramya tad-aDizWAnAt Rzi-caryAm samAcara // KDA_42 //
   munīnām upadeśāni pratilabhya jitendriyaḥ /	munInAm upadeSAni pratilaBya jita-indriyaH /
   śāntātmā sukham āsthāya carasva vratam uttamam* // KDA_43 //	SAnta-AtmA suKam AsTAya carasva vratam uttamam* // KDA_43 //
   dhanyās te vītarāgā ye gurubhaktāś ca nirmadāḥ /	DanyAH te vIta-rAgAH ye guru-BaktAH ca nirmadAH /
   viviktāraṇyavāseṣu vasanti dhyāyinaḥ sadā // KDA_44 //	vivikta-araNya-vAsezu vasanti DyAyinaH sadA // KDA_44 //
   -------------------- Vaidya, p. 268 --------------------	------------------- VEdya, p. 268 --------------------
   ye 'pi parigrahāṃs tyaktvā bhavanti brahmacāriṇaḥ /	ye api parigrahAn tyaktvA Bavanti brahmacAriNaH /
   devānām api te mānyā vandanīyāḥ sadā khalu // KDA_45 //	devAnAm api te mAnyAH vandanIyAH sadA Kalu // KDA_45 //
   ye pravrajyāṃ samāgṛhya śāntātmāno jitendriyāḥ /	ye pravrajyAm samAgRhya SAnta-AtmAnaH jita-indriyAH /
   avasanti puṇyatīrtheṣu te 'pi hi paramarṣayaḥ // KDA_46 //	avasanti puNya-tIrTezu te api hi parama-RzayaH // KDA_46 //
   kāmabhogyāni ye hitvā sādhayante tapovane /	kAma-BogyAni ye hitvA sADayante tapaH-vane /
   phalamūlodakais tuṣṭās te 'pi dhanyā dvijottamāḥ // KDA_47 //	Pala-mUla-udakEH tuzwAH te api DanyAH dvijottamAH // KDA_47 //
   ye 'pi kleśān vinirjitya caturbrahmavihāriṇaḥ /	ye api kleSAn vinirjitya catur-brahma-vihAriNaH /
   bhikṣāśinaḥ samādhisthās te hi brahmavidāṃ varāḥ // KDA_48 //	BikzA-ASinaH samADi-sTAH te hi brahma-vidAm varAH // KDA_48 //
   ye cāparigrahītāro nirlobhāḥ satyavādinaḥ /	ye ca-aparigrahItAraH nirloBAH satya-vAdinaH /
   nirmadā nirahaṃkārās ta eva brāhmaṇottamāḥ // KDA_49 //	nirmadAH nirahaMkArAH te eva brAhmaNa-uttamAH // KDA_49 //
   yasya dātuṃ mano nāsti matsarākrāntacetasaḥ /	yasya dAtum manaH na-asti matsara-AkrAnta-cetasaH /
   vedaśāstrāgamais tasya kim eva svātmapoṣiṇaḥ // KDA_50 //	veda-SAstra-AgamEH tasya kim eva sva-Atma-poziNaH // KDA_50 //
   yasya cittaṃ hy aviśuddhaṃ śīlasaṃvaravarjitam* /	yasya cittam hi aviSudDam SIla-saMvara-varjitam* /
   kiṃ bhāti muniveṣeṇa sa naṭarṣir ivonmadaḥ // KDA_51 //	kim BAti muni-vezeNa sa nawa-RziH iva-unmadaH // KDA_51 //
