   // tarkatāṇḍavam //	// tarka tANxavam //
   śrīrāghavendratīrthakṛtanyāyadīpākhyāvyākhyāsamalaṅkṛtam	SrI rAGava indra tIrTa kRta nyAya dIpa AKyA vyAKyA samalaFkRtam
   mukhopanyāsaḥ	muKa upanyAsaH
   vyāsatrayanāmnā prathiteṣu candrikānyāyāmṛtatarkatāṇḍavākhyeṣu grantheṣu	vyAsa traya nAmnA praTitezu candrikA anyAya amRta tarka tANxava AKyezu granTezu
   kṛtavimarṣānāṃ mahodayānāṃ vicāracāturī svasiddhāntavaikharī	kRta vimarzAnAm mahA udayAnAm vicAra cAturI sva sidDAnta vEKarI
   sutatvasādhurī ca sugamatayā bhavatīti nāviditamuddhoṣayāmo vayam /	suta tva sADurI ca sugamatayA Bavati iti na aviditam udDozayAmaH vayam /
   triṣvapyeṣu tarkatāṇḍavākhyoyaṃ vādagranthādirājaḥ nigamopakāratayā	trizu api ezu tarka tANxava AKyoyam vAda granTa Adi rAjaH nigama upakAra tayA
   śiṣṭaprarigṛhītāsu tarkaśāstraparamparāsvāgantukānāṃ,"vedāḥ kenacit kṛtāḥ	Sizwa prarigRhItAsu tarka SAstra paramparAsu AgantukAn AM," vedAH kenacid kRtAH
   / na pramāṇam / api tu sahakārimahinmaiva pramāṇam / īśvaraḥ parimitaguṇaḥ	/ na pramANam / api tu sahakAri mahinmA eva pramANam / ISvaraH parimita guNaH
   / duḥkhadhvaṃso mokṣaḥ"ityādimaviṣayān nigamamahimāpakarṣakān	/ duHKa DvaMsaH mokzaH"iti Adi mavizayAn nigama mahimA apakarzakAn
   pratipādayatāṃ prabandhānāṃ dūṣaṇīyatāṃ, nigamavirodhākūtānāmādaraṇīyatāṃ	pratipAdayatAm prabanDAnAm dUzaNIyatAn, nigama viroDa AkUtAnAm AdaraNIya tAm
   ca yuktyaiva samarpayati / yadasya nāmni; tarke tāṇḍavaṃ, tarkasya	ca yuktyA eva samarpayati / yat asya nAmni; tarke tANxavan, tarkasya
   taṇḍavaṃ, tarke tāṇḍavamiti ca tridhā vigrahītavyamāste / tena hi saptamyā	taNxavan, tarke tANxavam iti ca triDA vigrahItavyam Aste / tena hi saptamyA
   adhaḥkārasya, ṣaṣṭyā bhāvāviṣkaraṇaceṣṭāviśeṣarūpatāṇḍavānvayinaḥ	aDas kArasya, zazwyAH BAva AvizkaraNa cezwA viSeza rUpa tANxava anvayinaH
   sambandhasya, anumārtakatarkaśabdena yukteśca sulabho lābhaḥ /	sambanDasya, anumArtaka tarka Sabdena yukteH ca sulaBaH lABaH /
   kathamasminkalpanīvanāvanapathe niḥśaṅkasañcaraṇamādaraśceti śaṅkā	kaTam asmin kalpanIvanA vanapaTe niHSaFka saQcaraNam AdaraH ca iti SaFkA
   paramavaśiṣyate / tatraitadvyānasya diśaṃ pratyaṅguli prasārayāmaḥ /	param avaSizyate / tatra etat vyAnasya diSam pratyaFguli prasArayAmaH /
   vyākhyānasyāsya, tātparyacandrikāyāḥ prakaśasyeva, sudhāyāḥ parimalasyeva	vyAKyAnasya Asya, tAtparya candrikAyAH prakaSasi eva, suDAyAH parimalasya iva
   ca nartanopakārakavastunāmnā na nāmābhihitam / api tu mulanāmnopi	ca nartana upakAraka vastu nAmnA na nAma aBihitam / api tu mula nAmnA upi
   svanāmnaiva vyācikhyāsayā, śuṣkanyāyaṃ dīpayati dahatīti, sannyāyaṃ	sva nAmnA eva vyAci KyAsayA, Suzka nyAyam dIpayati dahati iti, sannyAyam
   prakāśayatīti, nyāyena yuktyā prakāśata iti ca sulabhatrivivāraṇaṃ	prakASa yati iti, nyAyena yuktyA prakASate iti ca sulaBa trivivAraNam
   nyāyadīpanāmaiva / naitavadeva santi ca vākyāni/ sampuṭesmin dvitīyapuṭe	nyAya dIpanAmA eva / na etavadeva santi ca vAkyAni/ sampuwesmin dvitIya puwe
   caturdaśatamapaṅkeḥ"atra nyāyacintāpare	caturdaSatama paFkeH "atra nyAya cintA pare
   granthe"ityāramya"brahmatantroktaprameyanirṇayopayuktapramāṇanyāyacintāparatvāttadviṣayādinaivāsya	granTe"iti Aramya" brahma tantra ukta prameya nirNaya upayukta pramANa nyAya cintA paratvAt tad vizaya AdinA eva asya
   viṣayādimattā"iti; tṛtīyasampuṭe navamāṅkau"tāṇḍavakaraṇasya prasañjakaṃ	vizaya Adi matta a"iti; tRtIya sampuwe navamAFkO"tANxava karaNasya prasaQjakam
   pūrvaraṅgaṃ nibadhnāti"iti ca / dvitīyasampuṭe upayuktacintāpadābhyāṃ	pUrva raFgam nibaDnAti"iti ca / dvitIya sampuwe upayukta cintA padAByAm
   brahmatantrā(vedāntānā)nukūlānanukūlanyāyoryuktāyuktatvāvimarśanasya	brahma tantrA( vedAntAn A)nukUla ananukUla nyAyoH yuktA yukta tva avimarSanasya
   tṛtīyapuṭapaṅktyā nartanārthavivakṣāyāḥ, sarvatra yuktyanudhāvanasya	tRtIya puwa paFktyAH nartana arTa vivakzAyAH, sarvatra yukti anuDAvanasya
   cāvagamaḥ sulabhaḥ//	ca avagamaH sulaBaH//
   idṛṅmahimnosya granthasya prathamaṃ sampuṭamidānīṃ prakāśayāmaḥ / tatra	idRS mahimnosya granTasya praTamam sampuwam idAnIm prakASayAmaH / tatra
   prathamataḥ granthaṃ	praTamatas granTam
   granthakartāraṃ cādhikṛtya kañcana mukhovanyāsamāracayema //	granTa kartAram ca aDikRtya kaQcana muKovanyA samAracayema //
   āstāmanantaraṃ vipulā granthavicāraṇā / karturapi vicāraṇe	AstAm anantaram vipulA granTa vicAraNA / kartuH api vicAraNe
   saṅkucitaivāsmadīyā pravṛttiḥ/ yataḥ pracīnaḥ somanāthakavivareṇyaḥ	saFkucitA eva asmadIyA pravRttiH/ yatas pracInaH soma nATaka vi vareNyaH
   vyāsavijayākhyakāvye suviśālamupāślokayat / upalabhamāhe	vyAsa vijaya AKya kAvye su viSAlam upASlokayat / upalaBa mAhe
   ca mudritaṃ kāvyamidamidānīm //	ca mudritam kAvyam idam idAnIm //
   suvicāravicāraṇāvivekaśauṇḍasyāsya tarkatāṇaḍavasya; apareṣāṃ  1.	su vicAra vicAraNa aviveka SONxasya asya tarka tANa xavasya; aparezAn 1.
   nyāyāmṛtam,	nyAya amRtam,
   2. tātparyacandrikā, 3. tatvavivekaṭīkāmandāramañjarī, 4.	2. tAtparya candrikA, 3. tatva vivekawIkA mandAra maQjarI, 4.
   upādhikaṇḍanaṭīkāmandāramañjarī, 5. māyāvādakhaṇḍanaṭīkāmandāramañjarī, 6.	upADi kaNxa nawI kA mandAra maQjarI, 5. mAyA vAda KaNxa nawI kA mandAra maQjarI, 6.
   mithyātvānumānakhaṇḍanaṭīkāmandāramañjarī, 7. bhedojjīvanam, ityeṣāmapi	miTyAtva anumAna KaNxa nawI kA mandAra maQjarI, 7. Beda ujjIvanam, iti ezAm api
   granthāmanāṃ grathayitāraḥ padavākyapramāṇajñāḥ sampradāyārthakovidāḥ	granTAmanAm graTayitAraH pada vAkya pramANa jQAH sampradAya arTa kovidAH
   vyāsarājamunayaḥ /	vyAsa rAja munayaH /
   ebhyaḥ pāravrājyapradātāraḥ  	eByaH pAravrAjya pradAtAraH  
   "kaṃsadhvaṃsipadāmbhoja saṃsakto haṃsapuṅgavaḥ /	"kaMsa DvaMsi padA amBoja saMsaktaH haMsa puFgavaH /
   brahmaṇyagururājākhyo vartatāṃ mama mānase"//	brahmaNyaguruH AjA AKyaH vartatAm mama mAnase"//
   iti tātparyacandrikādāvādṛtā brahmaṇyatīrthamunivareṇyāḥ / vidyāguravastu	iti tAtparya candrikA dO= AdRtAH brahmaNya tIrTa muni vareNyAH / vidyA gura vastu
   sarvaśāstraviśāradāḥ jñānabhaktivairāgyādiguṇagumbhitāḥ śrīpādarājāḥ iti	sarva SAstra viSAradAH jQAna Bakti vErAgya Adi guNa gumBitAH SrI pAda rAjAH iti
   viśrutā lakṣmīnārāyaṇamunayaḥ / imamapyabhiprayantigranthakārā eva	viSrutAH lakzmI nArAyaNa munayaH / imam api aBiprayanti granTa kArAH eva
   nyāyāmute  	nyAya amute  
   "jñānavairāgyabhaktyādi kalyāṇaguṇaśālinaḥ /	"jQAna vErAgya Bakti Adi kalyANa guNa SAlinaH /
   lakṣmīnārāyaṇamunīn vande vidyāgūrūn mama"// iti //	lakzmI nArAyaNa munIn vande vidyA gUrUn mama"// iti //
   eteṣāmantevāsina aneke avartanta / teṣu caturadhikaśatānāṃ granthānāṃ	etezAm antevAsina aneke avartanta / tezu catur aDika SatAnAm granTAnAm
   nirmātaro vijayīndrasaṃyamīndrāḥ,	nirmAtaraH vijayi indra saMyami indrAH,
   gurvarthadīpikāyuktimāllikādyanekagranthakatāro vādirājasvāminaśca	guru arTa dIpikA yukti mAllikA Adi aneka granTaka tAraH vAdi rAja svAminaH ca
   suprasiddhāḥ //	su prasidDAH //
   kristaśakaṣoḍaśaśatamāne bhāratabhūmimime mūrtitopyalamakurvanniti	kristaSaka zoxaSa Sata mAne BArata BUmim ime mUrtitopyalam akurvan= iti
   śāsanasaṃpādito nirṇayaḥ /"vijayanagarādhīśakṛṣṇadevarājena gaurapurābhido	SAsana saMpAditaH nirNayaH /"vijaya nagara aDISa kRzNa deva rAjena gOra pura aBidaH 
   grāmaḥ vyāsarājasvāmibhyaḥ	grAmaH vyAsa rAja svAmiByaH
   navacatvāriṃśatadadhikacatuḥśatottaraikasahasratame śakābde dattaḥ"iti hi	navacatvAriMSatadaDika catur Sata uttara eka sahasratame Saka abde dattaH"iti hi
   śāsane pa	SAsane pa
   ṭhanti / granthairebhirakhilānupakurvatāmeṣāṃ viśeṣataḥ sarve	Wanti / granTEH eBiH aKilAn upakurvatAm ezAm viSezataH sarve
   madhvamatāvalambina adhamarṇā eva //	maDvamata avalambina aDamarNAH eva //
   ayamapi tu kathāsaṃgrahaḥ paṇḍitaratnabirudāṅkitavidvadvaragauḍagori	ayam api tu kaTA saMgrahaH paNxita ratna biruda aFkita vidvat vara gOxa gori
   veṅkaṭapamaṇāryaracitacandrikāprakāśaprasarākhyagranthasya bhūmikāta	veFkawa pamaNa Arya racita candrikA prakASa prasara AKya granTasya BUmikAta
   uddhṛtaḥ //	udDRtaH //
   vyasatīrthā ete ganaśāstre karṇāṭakakavikarmaṇi ca sukṛtaparicayā iti	vyasatIrTAH ete ganaSAstre karNAwaka kavi karmaNi ca sukRta paricayAH iti
   ebhiḥkṛtagānagāthāpariśīlanena niścinumaḥ/ ata eṣāṃ śiṣyaparaṃpare dve /	eBiH kRta gAna gATA pariSIlanena niScinumaH/ atas ezAm Sizya paraMpare dve /
   gīrvāṇabhāṣayā dvaitasiddhāntapracārakāṇāmekā / karṇāṭakabhāṣayā	gIrvANa BAzayA dvEta sidDAnta pracArakANAm ekA / karNAwaka BAzayA
   dvaitasiddhāntapracārakāṇāmaparā / prathamaparamparāṃ vijayīndrādayāḥ	dvEta sidDAnta pracArakANAm aparAH / praTama paramparAm vijayi indra AdayAH
   paṇḍitaprakāṇḍā prathamaparigaṇanāḥ / dvitīyāyāṃ	paNxita prakANxA praTama parigaNanAH / dvitIyAyAm
   prasiddhatamapurandaradāsādayaḥ / yaiḥ kṛtagītikāmeva sarve gānābhyāsinaḥ	prasidDatama purandara dAsa AdayaH / yEH kRta gIti kAm eva sarve gAna aByAsinaH
   prathamamavalambante / purandaradāsādayopi nānādhītagīrvāṇaprabandhāḥ /	praTamam avalambante / purandarada AsAdayopi nAnA DIta gIrvANa prabanDAH /
   abhyastavedāntaśāstrā eva / paraṃlokopakārāya karṇāṭakabhāṣayā	aByasta veda anta SAstrAH eva / paraMloka upakArAya karNAwaka BAzayA
   prabandhānabandhayan //	prabanDAn abanDayan //
   tataḥ prakṛtagranthamimamadhikṛtya vicārayiṣyāmaḥ / tarkatāṇḍavasyetthaṃ	tatas prakRta granTam imam aDikRtya vicArayizyAmaH / tarka tANxavasya itTam
   nāmakareṇa tadanuguṇatve ca pūrvameva kiñcidalikhāma / idānīmatra	nAmakareNa tad anuguNa tve ca pUrvam eva kiQcid ali KAmaH / idAnIm atra
   prakaraṇavibhāga, pratipādanīyaṃ,	prakaraNa viBAga, pratipAdanIyaM,
   pratipādanāpāripāṭāṃ ca nirūpaṇāyāneṣyāmaḥ //	pratipAdana apAripAwAm ca nirUpaNAya anezyAmaH //
   vibhāgaḥ   ādau pratyakṣaparicchedaḥ śabdaparicchedaḥ anumānaparicchedaḥ	viBAgaH  AdO pratyakza paricCedaH Sabda paricCedaH anumAna paricCedaH
   iti tridhā paricchedanāmnā vibhāgaḥ kṛtaḥ / 487 puṭe 7 paṅktyau, 490   12	iti triDA paricCeda nAmnA viBAgaH kRtaH / 487 puwe 7 paFktyO, 490  12
   paṅktyau 505   5 paṅktyau ca vyākhyāne prathamadvitīyatṛtīyaśabdaiḥ	paFktyO 505  5 paFktyO ca vyAKyAne praTama dvitIya tRtIya SabdEH
   paricchedaśabdottarāṇyeva nāmāni vyaktībhavanti hārdaṃ kiñcidasti eva	paricCeda Sabda uttarANi eva nAmAni vyaktIBavanti hArdam kiQcid asti eva
   suvyaktamidam //	su vyaktam idam //
   pariśīlitesmin granthe prātho viṣṇutatvanirṇayasya pramāṇanirūpaṇavākyānāṃ	pariSIlitesmin granTe prATaH vizNu tatva nirNayasya pramANa nirUpaNa vAkyAnAm
   nānāvivaraṇānyupalabhyante / tatra"sadāgamaika"iti ślokena hariṃ stutvā	nAnA vivaraNAni upalaByante / tatra"sat Agama eka" iti Slokena harim stutvA
   tatroktaviśeṣaṇānāṃ tatkoṭipraviṣṭānāṃ ca samarthanāyottarodyogaḥ,	tatra ukta viSezaNAnAm tad kowi pravizwAnAm ca samarTanAya uttara udyogaH,
   paricchedanāmnaiva vibhāgaḥ, tepi traya eva hi vartante / atrāpi	paricCeda nAmnA eva viBAgaH, tepi trayaH eva hi vartante / atra api
   prathamataḥ"svatapramāṇaiḥ"riti ślokaḥ, tatra	praTamatas "svata pramANEH"riti SlokaH, tatra
   śrīramaṇaviśeṣaṇakoṭipraviṣṭānāṃ samarthanārthāmbhasca vartate /	SrI ramaNa viSezaNa kowi pravizwAnAm samarTana arTa amBaH ca vartate /
   paricchedatrayakṛtirapi tadvabhāgakaraṇamanuruṇaddhīti vayamutprekṣāmahe /	paricCeda traya kRtiH api tadvaBAga karaNam anuruNadDi iti vayam utprekzAmahe /
   etatsampuṭāntimagranthaparyālocanayā"svataḥ"ityādiślokapūrvordhoktasthāpanāyaitāvānprabandha	etad sampuwa antim agranTa paryAlocanayA"su ataH"iti Adi Sloka pUrva UrDa ukta sTApanAya etAvAn prabanDa
   iti suvyaktaṃ bhaviṣyati /"tadevaṃ varṇasya guṇatve uktarītyā	iti su vyaktam Bavizyati /"tat evam varNasya guNa tve ukta rItyA
   grahaṇāsambhavāt nityavibhudravyātmakavarṇasamudāyātmakasya	grahaNa asamBavAt nitya viBu dravya Atmaka varNa samudAya Atmakasya
   vedasyāpaurūṣeyatvaṃ yuktamiti"iti mūle /"yuktamiti /	vedasya apOrUzeya tvam yuktam iti" iti mUle /"yuktam iti /
   tathācāmnāyairādivarjitairityuktaṃ sādhviti bhāvaḥ"iti vyākhyāyāṃ cāsti //	taTA AcAmnAyEH Adi varjitEH iti uktam sADu iti BAvaH"iti vyAKyAyAm ca asti //
   paricchedeṣvapyeṣvāntarālikān ṣaḍvibhāgān	paricCedezu apyezu AntarAlikAn zaz viBAgAn
   tattadviṣayavivecanānuguṇairvādaśabdottarairnāmabhirupalabhāmahe / ta ime	tad tad vizaya vivecana anuguNEH vAda Sabda uttarEH nAmaBiH upalaBAmahe / te ime
   1. prāmāṇyavādaḥ	1. prAmANya vAdaH
   2.vedāpauruṣeyatvavādaḥ	2.veda apOruzeya tva vAdaH
   3. īśvaravādaḥ	3. ISvara vAdaH
   4.varṇavādaḥ	4.varNa vAdaH
   5. samavāyavādaḥ	5. samavAya vAdaH
   6. nirvikalpavādaḥ / iti /	6. nirvikalpa vAdaH / iti /
   ṣaṭsvapyeṣu dvātrindvibhāgāḥ santi / teṣāṃ"svamate jñāptau	zawsu apyezu dvAtrindvi BAgAH santi / tezAn"svamate jQAptO
   svatastvaniruktiḥ"itirītyā viṣayānuguṇānyeva nāmāni tattadante	svatas tu aniruktiH "itirItyA vizaya anuguNAni eva nAmAni tat tad ante
   likhitānyavalokyante / viṣayānukramaṇikāyāṃ tāni spaṣṭāni / yathā	liKitAni avalokyante / vizaya anukramaNikAyAm tAni spazwAni / yaTA
   mahāvibhāgānāṃ nāmasu samānaḥ paricchegaśabdaḥ. yathā ca tadalpānāṃ	mahA viBAgAnAm nAmasu samAnaH paricCega SabdaH. yaTA ca tad alpAnAm
   madhyavibhāgānāṃ nāmasu vādaśabdaḥ, evamevāntimavibhāgānāṃ nāmasvapi	maDya viBAgAnAm nAmasu vAda SabdaH, evam eva antimaviBAgAnAm nAmasu api
   samāno 'pratikūlārthadaḥ kaścana śabdo bhavedeva / tena	samAnaH apratikUla arTa daH kaScana SabdaH Bavet eva / tena
   prathamādvitīyādisaṃkhyāśabdānyojayitvāhvayāmetyaparamapyanukūlam /	praTama advitIya Adi saMKyA SabdAni ojayitvA AhvayAma ityaparam api anukUlam /
   bhagavān bādarāyaṇaḥ mahābhārateparvāntaiḥ	BagavAn bAdarAyaNaH mahABAra te parva antEH
   paulomāstikādiśabdairalpavibhāgān, tādṛśaiḥ	pOlomAstika Adi SabdEH alpa viBAgAn, tAdRSEH
   ādisabhādiśabdairanalpavibhāgāṃścorarīcakāra, ime	Adi saBA Adi SabdEH analpa viBAgAn= cora rIcakAra, ime
   vyālamunayopyalpobhayagaṇaghaṭitānāṃ nāmasvantamapratikūlārthaṃ	vyAla munayA upi alpa uBaya gaNa GawitAnAm nAmasu antam apratikUla arTam
   vādaśabdamevānumanyata ityasmān pratibhāti nāyamadhvāsmadupajñaḥ /	vAda Sabdam eva anumanyate iti asmAn pratiBAti na ayam aDvA asmad upajQaH /
   nyāyadīvakartraiva kṛtapadāṅkaḥ / tatra caturthapuṭe aṣṭamāṅkau"atra	nyAya dIva kartrA eva kRta pada aFkaH / tatra caturTa puwe azwama aFkO"atra
   svataḥ pramāṇyajñaptivādaparyantaṃ"iti; 108 tamapuṭe 11	svatas pramANyajQapti vAda paryantaM"iti; 108 tamapuwe 11
   paṅktau"atītavadoktadiśā niḥśaṅkapravṛttyarthaṃ, atra vāde uktadiśā"iti;	paFktO"atIta vat A ukta diSA niHSaFka pravRtti arTaM, atra vAde ukta diSA"iti;
   378 tamapuṭe 6 paṅktau"vyaktaṃ caitadvā (1) dānte granthe eva"iti ca	378 tamapuwe 6 paFktO" vyaktam ca etat vA (1) dAnte granTe eva" iti ca
   paśyāmaḥ /	paSyAmaH /
   svatantravādagranthe nyayāmṛtepyeṣaiva rītiriti, 459 tamapuṭe 8	svatantra vAda granTe nyaya amRtA ipi ezA eva rItiH iti, 459 tamapuwe 8
   mapaṅktau"nyāyāmṛte asato niṣedapratiyogitvasamarthanavāde"iti	mapaFktO"nyAyAm Rte asataH nizeda pratiyogi tva samarTa nava Ade" iti
   vyākhyānasyāsya vākyavimarśakā abhyupagaccheyuḥ / mūlepi keṣicitpustakeṣu	vyAKyAnasya asya vAkya vimarSakAH aByupagacCeyuH / mUlepi kezicid pustakezu
   184 tamapuṭe 9 mapaṅktau"ityutpatti svatastvavāde"ityasti //	184 tamapuwe 9 mapaFktO" iti utpatti svatas tu avAde"iti asti //
   āstāmayaṃ vicāraḥ / itthamasti mahāvādeṣu	AstAmayam vicAraH / itTam asti mahA vAdezu
   vinyastānāmaṇuvādānāmiyattānirṇayaḥ//	vinyastAnAm aNu vAdAnAm iyatta anirNayaH//
   prathame prāmāṇyavāde ..... aṣṭādaśa ..... 18	praTame prAmANya vAde ..... azwAdaSa ..... 18
   dvitīye ........ uttarāstrayaḥ ... 3	dvitIye ........ uttarAH trayaH ... 3
   tṛtīye .......... anantara eka eva 1	tRtIye .......... anantaraH ekaH eva 1
   caturthe ......... tataḥ ṣaṭ .... 6	caturTe ......... tatas zaw .... 6
   pañcame ......... upari dvau ..... 2	paQcame ......... upari dvO ..... 2
   ṣaṣṭe ......... avaśiṣṭau ...... 2 iti /	zazwe ......... avaSizwO ...... 2 iti /
   pratipādanīyaḥ.	pratipAdanIyaH.
   ādāveva nāmānirvacanāvyājena pratipādanīyo viṣayaḥ sāmānyataḥ	AdO= eva nAma anirvacana avyAjena pratipAdanIyaH vizayaH sAmAnyatas 
