   prathamaḥ sargaḥ	praTamaH sargaH
   atha mālyavataḥ prasthe kākutsthasya viyoginaḥ /	aTa mAlyavataH prasTe kAkutsTasya viyoginaH /
   durnivārāśrusaṃvego jagāma jaladāgamaḥ // Rc_1.1 //	durnivAra-aSru-saMvegaH jagAma jalada-AgamaH // Rt-_1.1 //
   śaśāma vṛṣṭir meghānām utsaṅge tasya bhūbhṛtaḥ /	SaSAma vRzwiH meGAnAm utsaFge tasya BUBRtaH /
   virarāma na rāmasya dhārāsantatir aśruṇaḥ // Rc_1.2 //	virarAma na rAmasya DArA-santatiH aSruNaH // Rt-_1.2 //
   itas tataḥ pariṇatiṃ bheje barhiṇakūjitam /	itas tatas pariNatim Beje barhiNa-kUjitam /
   hā priye rājaputrīti na rāmaparidevitam // Rc_1.3 //	hA priye rAja-putrI-iti na rAma-paridevitam // Rt-_1.3 //
   kāpy abhikhyā virajasoḥ sūryācandramasor abhūt /	kA-api aBiKyAH virajasoH sUryAcandramasoH aBUt /
   dāśarathyos tathaivāsīd ayogopahatā ruciḥ // Rc_1.4 //	dASaraTyoH taTA-eva-AsIt ayoga-upahatA ruciH // Rt-_1.4 //
   nirmalendu nabho reje vikacābjaṃ babhau saraḥ /	nirmala-indu naBaH reje vikaca-abjam baBO saraH /
   paraṃ paryaśruvadanau mamlaturbhrātarāvubhau // Rc_1.5 //	param paryaSru-vadanO mamlatuH-BrAtarO=-uBO // Rt-_1.5 //
   smartavyakalikājālaṃ jajñe kuṭajakānanam /	smartavya-kalikA-jAlam jajQe kuwaja-kAnanam /
   āsīt tathaiva tu mano rāmasyotkalikākulam // Rc_1.6 //	AsIt taTA-eva tu manaH rAmasya-utkalikA-Akulam // Rt-_1.6 //
   prapede punar udbhedaḥ śucinā kacchaketakaiḥ /	prapede punar udBedaH SucinA kacCaketakEH /
   upakriyāyāḥ sadṛśaṃ nārebhe ravisūnunā // Rc_1.7 //	upakriyAyAH sadRSam na-AreBe ravi-sUnunA // Rt-_1.7 //
   ākṛṣṭamālatīgandhaḥ siṣeve rāghavaṃ marut /	AkRzwa-mAlatI-ganDaH sizeve rAGavam marut /
   ānītamaithilīvārtas tam ārtaṃ na tu mārutiḥ // Rc_1.8 //	AnIta-mETilI-va-ArtaH tam Artam na tu mArutiH // Rt-_1.8 //
   rāmāya pūrāpagamavyaktoddeśāś cakāśire /	rAmAya pUrApa-gama-vyakta-uddeSAH cakASire /
   āste 'smāsu na sīteti śaṃsantya iva nimnagāḥ // Rc_1.9 //	Aste asmAsu na sItA-iti SaMsantyaH iva nimnagAH // Rt-_1.9 //
   yadārdraviraho rāmaḥ prāpitaḥ prāṇasaṃśayam /	yadArdra-virahaH rAmaH prApitaH prANa-saMSayam /
   nūnaṃ tenānutāpena jagmur jaladarājayaḥ // Rc_1.10 //	nUnam tena-anutApena jagmuH jalada-rAjayaH // Rt-_1.10 //
   dyaur muktameghāvaraṇā savitarkonmukhaṃ muhuḥ /	dyOH mukta-meGa-AvaraNA sa-vitarka-unmuKam muhur /
   yayāce sārasarutair vicāram iva rāghavam // Rc_1.11 //	yayAce sArasa-rutEH vicAram iva rAGavam // Rt-_1.11 //
   diśo dadṛśire tena stenaṃ taṃ parimārgatā /	diSaH dadRSire tena stenam tam parimArgatA /
   mārgadānāparādhinyo gatā dūraṃ bhayād iva // Rc_1.12 //	mArgadAna-aparADinyaH gatAH dUram BayAt iva // Rt-_1.12 //
   tasyākṛtiviśeṣasya viśeṣāt kaṣṭam īdṛśam /	tasya-AkRti-viSezasya viSezAt kazwam IdRSam /
   kacchāḥ kāśacchalād ūhur itīva palitāgamam // Rc_1.13 //	kacCAH kASa=-CalAt UhuH iti-iva palita-Agamam // Rt-_1.13 //
   paśyantyā iva kaṣṭāṃ tām avasthāṃ maithilīpateḥ /	paSyantyAH iva kazwAm tAm avasTAm mETilIpateH /
   śuṣkapaṅkacayavyājād vidadre hṛdayaṃ bhuvaḥ // Rc_1.14 //	Suzka-paFka-caya-vyAjAt vidadre hRdayam BuvaH // Rt-_1.14 //
   vṛṣṭivicchedajātena tānavenāsamāptinā /	vRzwi-vicCeda-jAtena tAnavenA-samAptinA /
   prapedire jaladharās tasya sabrahmacāritām // Rc_1.15 //	prapedire jalaDarAH tasya sa-brahmacAritAm // Rt-_1.15 //
   yayau virahasaṃvartaḥ padminīrājahaṃsayoḥ /	yayO viraha-saMvartaH padminI-rAjahaMsayoH /
   apāraduḥkhārṇavayor na sītārāmabhadrayoḥ // Rc_1.16 //	apAra-duHKa-arNavayoH na sItArAm-aBadrayoH // Rt-_1.16 //
   śāntanirjharajhātkāradhārāḥ śikhariṇo babhuḥ /	SAnta-nirJara-JAtkAra-DArAH SiKariNaH baBuH /
