   || Vṛttamālāstutiḥ ||	|| VRtta-mAla-AstutiH ||
   vṛttaṃ samam ardhasamaṃ $ viṣamaṃ cety āmananti vāgīśaḥ &	vRttam samam arDa-samam $ vizamam ca-iti Amananti vAgISaH &
   trividhaṃ parārthavidhaye % samāsato vyāsato 'nantam // JVms_1 //	triviDam para-arTa-viDaye % samAsatas vyAsataH anantam // JVmH-_1 //
   pratiniyatākṛtirūḍhaṃ $ varamunibhir yatra nāma saṃgītam &	pratiniyata-AkRti-rUXam $ vara-muniBiH yatra nAma saMgItam &
   chandaḥ padaṃ ca paramaṃ % sphurati yathāvividhavinyāsaiḥ // JVms_2 //	CandaH padam ca paramam % sPurati yaTA-viviDa-vinyAsEH // JVmH-_2 //
   pratirūpadarśanād api $ śakyāḥ sakalakrameṇa gurulaghavaḥ &	pratirUpa-darSanAt api $ SakyAH sakala-krameNa guru-laGavaH &
   vigaṇayituṃ dhīmadbhiḥ % kim aparam atrānuyogena // JVms_3 //	vigaNayitum DImadBiH % kim aparam atra-anuyogena // JVmH-_3 //
   prabhavatu vibhramahataye $ vicintyamānaṃ tad ādarād bhavatām &	praBavatu viBrama-hataye $ vicintyamAnam tat AdarAt BavatAm &
   sukṛtimukhābhijanānāṃ % vācāṃ nijam ekam ābharaṇam // JVms_4 //	sukRti-muKa-aBijanAnAm % vAcAm nijam ekam ABaraNam // JVmH-_4 //
   || prastāvanā ||	|| prastAvanAH ||
   dhī- $ gī[ḥ]- &	DI $ gI[H] &
   śrī- % ṇām // JVms_5 //	SrI % NAm // JVmH-_5 //
   nijai- $ kabhūḥ &	nijE $ kaBUH &
   vibhā- % ti yā // JVms_6 //	viBA % ti yA // JVmH-_6 //
   tadguṇā- $ śaṃsibhiḥ &	tad-guNA $ SaMsiBiH &
   sevyate % cāniśam // JVms_7 //	sevyate % ca-aniSam // JVmH-_7 //
   samāśraya- $ skhalanmalaiḥ &	samASraya $ sKalat-malEH &
   surāsurā- % diṣūdgataiḥ // JVms_8 //	sura-asurA % dizu-udgatEH // JVmH-_8 //
   naikabhavīyā- $ bhyāsavivṛddham &	na-eka-BavIyA $ ByAsa-vivRdDam &
   bodhaviśeṣaṃ % sādhu dadhānaiḥ // JVms_9 //	boDa-viSezam % sADu daDAnEH // JVmH-_9 //
   gītā gāyatrīva $ cchandaḥsv ādyā sadbhiḥ &	gItA gAyatrI-iva $ cCandaHsu AdyA sadBiH &
   vṛttaṃ bhāvi śreyo % yasyāṃ sad vā vaiśvam // JVms_10 //	vRttam BAvi SreyaH % yasyAm sat vA vESvam // JVmH-_10 //
   nīlotpalapāṇer $ līlānilayasya &	nIlotpala-pANeH $ lIlA-nilayasya &
   śāstur jayatīyaṃ % mūrtis tanumadhyā // JVms_11 //	SAstuH jayati-iyam % mUrtiH tanu-maDyAH // JVmH-_11 //
   prasīda bhagavan $ vilokaya manāk &	prasIda Bagavan $ vilokaya manAk &
   jaḍaṃ janam imaṃ % tvadekaśaraṇam // JVms_12 //	jaxam janam imam % tvad-eka-SaraNam // JVmH-_12 //
   jājvalīti śāsanaṃ $ tvāṃ sametya saugatam &	jAjvalI-iti SAsanam $ tvAm sametya sOgatam &
   sūryadhāma duḥsahaṃ % sātirekam uṣṇi hi // JVms_13 //	sUrya-DAma duHsaham % sa-atirekam uzNi hi // JVmH-_13 //
   dadhaty api nikāmaṃ $ kumāralalitāni &	daDati api nikAmam $ kumAra-lalitAni &
   tanus tava jinānāṃ % kumāra lalitaiva // JVms_14 //	tanuH tava jinAnAm % kumAra lalitA-eva // JVmH-_14 //
   jāyate janarāśer $ yām anusmarato 'pi &	jAyate jana-rASeH $ yAm anusmarataH api &
   nirdhutādharabhāvam % ūrdhvagāmi ca rūpam // JVms_15 //	nirDuta-aDara-BAvam % UrDva-gAmi ca rUpam // JVmH-_15 //
   yadguṇastutivistarād $ astasaṅgam anuṣṭubhi &	yad-guNa-stuti-vistarAt $ asta-saFgam anuzwuBi &
   dhīram ekam udīrayanty % uttamaṃ padam udgatāḥ // JVms_16 //	DIram ekam udIrayanti % uttamam padam udgatAH // JVmH-_16 //
   ghoramohatāmasāva- $ ruddhabuddhilocanasya &	Gora-moha-tAm-asAva $ rudDa-budDi-locanasya &
   ratnayaṣṭidīpikeva % yā samāny abhūj janasya // JVms_17 //	ratna-yazwi-dIpikA-iva % yA samAni aBUt janasya // JVmH-_17 //
   jagattrayātiśāyinīṃ $ munīndrasaṃpadaṃ prati &	jagattraya-atiSAyinIm $ muni-indra-saMpadam prati &
   sphuranty aśeṣanāyaka % pramāṇikāpi saiva naḥ // JVms_18 //	sPuranti aSeza-nAyakaH % pramANikA-api sA-eva naH // JVmH-_18 //
   tīvrakleśaploṣadhvaṃsa- $ prauḍhe vaṃśe saṃbuddhānām &	tIvra-kleSa-ploza-DvaMsa $ prOXe vaMSe saMbudDAnAm &
   dhatte bhūṣāṃ bhātīyaṃ te % 'mbhode yadvad vidyunmālā // JVms_19 //	Datte BUzAm BAtIyam te % amBode yadvat vidyunmAlA // JVmH-_19 //
   ketanadaṇḍaṃ dadhato $ 'dhyāpayituṃ nītim iva &	ketana-daNxam daDataH $ aDyApayitum nItim iva &
   sadgurulīlā bhavato % bhāti jaganmāṇavakam // JVms_20 //	sat-guru-lIlA BavataH % BAti jagat-mANavakam // JVmH-_20 //
   trijagato nijagatiṃ $ prathayataḥ pṛthudhiyaḥ &	trijagataH nija-gatim $ praTayataH pRTuDiyaH &
   karatalaṃ tava calat- % kisalayaṃ tulayati // JVms_21 //	kara-talam tava calat % kisalayam tulayati // JVmH-_21 //
   sādhigamaṃ samakālaṃ $ tattvaraseṣu vidhatte &	sa-aDigamam sama-kAlam $ tattva-rasezu viDatte &
   viśvam adhīśvara citraṃ % citrapadā tava vāṇī // JVms_22 //	viSvam aDISvara citram % citrapadA tava vANI // JVmH-_22 //
   bṛhatyāṃ vibhūtyāṃ ta eke $ padanyāsam āsādayanti &	bRhatyAm viBUtyAm te eke $ pada-nyAsam AsAdayanti &
   kṣaṇaṃ yatra te labdhalakṣyaḥ % kaṭakṣo 'pi viśrāntim eti // JVms_23 //	kzaNam yatra te labDa-lakzyaH % kawakzaH api viSrAntim eti // JVmH-_23 //
   tvaddṛśaiva parimalanād $ bhavyatām iyam upagatā &	tvad-dRSA-eva parimalanAt $ BavyatAm iyam upagatA &
   bhāti bhūmir iva janatā % saṃtatāhitahalamukhī // JVms_24 //	BAti BUmiH iva janatA % saMtata-ahita-hala-muKI // JVmH-_24 //
   varada sā hi saṃjanyate $ pariṇatis tayāsyāṃ yataḥ &	vara-da sA hi saMjanyate $ pariNatiH tayA-asyAm yatas &
   vacanabījam uptaṃ tvayā % phalati śāntirūpaṃ phalam // JVms_25 //	vacana-bIjam uptam tvayA % Palati SAnti-rUpam Palam // JVmH-_25 //
   kalayitum iha kaḥ śaktas $ tava khalu caritānīśa &	kalayitum iha kaH SaktaH $ tava Kalu caritAn-ISa &
   satamasi samaye toye % bhujagaśiśusṛtānīva // JVms_26 //	satamasi samaye toye % Bujaga-SiSu-sRtAni-iva // JVmH-_26 //
   kintūdasyati dhairyadhvasrī $ tvatkīrtiśrutijanmānandaḥ &	kintUdasyati DErya-DvasrI $ tvad-kIrti-Sruti-janma-AnandaH &
   svaprauḍhipratipattinyastāṃ % lokasyānanamudrām īśa // JVms_27 //	sva-prOXi-pratipatti-nyastAm % lokasya-Anana-mudrAm ISa // JVmH-_27 //
   śrīniketa līlācaturaṃ te $ prāptapāra vidyācaraṇānām &	SrIniketa lIlA-caturam te $ prApta-pAra vidyA-caraNAnAm &
   bhāti varṣma buddhātmajapaṅktau % yadvad ambujanmasv aravindam // JVms_28	BAti varzma budDa-Atmaja-paFktO % yadvat ambujanmasu aravindam // JVmH-_28
   tvām udgītakulodayaśailaṃ $ prajñālokam upāyarathastham &	tvAm udgIta-kula-udaya-SElam $ prajQA-lokam upAya-raTa-sTam &
   vande jāḍyavikhaṇḍanaśauṇḍaṃ % trailokīnalinīsavitāram // JVms_29 //	vande jAxya-viKaNxana-SONxam % trElokI-nalinI-savitAram // JVmH-_29 //
   buddhasutānām abhyudayorvī $ bhāti bhṛśaṃ bhūtyā tava nātha &	budDa-sutAnAm aByudaya-urvI $ BAti BRSam BUtyA tava nATa &
   śailaviśeṣasyeva śikhābhū % rukmavatī ratnāṅkurakāntyā // JVms_30 //	SEla-viSezasya-iva SiKABU % rukmavatI ratna-aFkura-kAntyA // JVmH-_30 //
   niḥśeṣas tava vijayadhvānaṃ $ tanvan bhrāmyati bhuvanoddyota &	niHSezaH tava vijaya-DvAnam $ tanvan BrAmyati Buvana-uddyotaH &
   sānandaḥ kṛtinivahaḥ svāmin % viṣvag ghoṣaṇapaṇavo yadvat // JVms_31 //	sa-AnandaH kRti-nivahaH svAmin % vizvak GozaNa-paNavaH yadvat // JVmH-_31 //
   vādivrātapravaraśiro'bja $ śrīdhāmnas te guṇamadhuyogāt &	vAdi-vrAta-pravara-SiraH-ap-ja $ SrI-DAmnaH te guNa-maDu-yogAt &
   dhīman dhīrān api mādayantī % trailokī vāg vilasati mattā // JVms_32 //	DIman DIrAn api mAdayantI % trElokI vAc vilasati mattAH // JVmH-_32 //
   viśvacakravartināṃ jinānāṃ $ vaṃśabhūṣaṇe tvayi sphuṭaiva &	viSva-cakravartinAm jinAnAm $ vaMSa-BUzaNe tvayi sPuwA-eva &
   mlāyatīva sā kumāratākhyā % yā mayūrasāriṇīṣyate tu // JVms_33 //	mlAyatI-iva sA kumAra-tA-AKyA % yA mayUrasAriNIzyate tu // JVmH-_33 //
   nānāratnamarīcimālinī $ pronmīlannijakāntisaṃpadā &	nAnA-ratna-marIci-mAlinI $ pronmIlat-nija-kAnti-saMpadA &
   pratyaṅgaṃ tava bhūṣaṇāvalī % nītā śuddhavirāṭ parābhavam // JVms_34 //	pratyaFgam tava BUzaNa-AvalI % nItA SudDa-virAj parABavam // JVmH-_34 //
   pātu jagat tava tattvanayā- $ khyānavidhau karavalgitakam &	pAtu jagat tava tattu-a-nayA $ KyAna-viDO karavalgitakam &
   vādipate vyatighaṭṭanato % valguninādacaladvalayam // JVms_35 //	vA-adipate vyatiGawwanataH % valgu-ni-nAda-calat-valayam // JVmH-_35 //
   rūpaṃ te guṇagaṇam atha kīrtiṃ $ saṃvīkṣyākhilam idam atiśāyi &	rUpam te guNa-gaNam aTa kIrtim $ saMvIkzya-aKilam idam atiSAyi &
   bibhrāṇaṃ nijaviṣayaviśrāmaṃ % mandaṃ triṣṭubhi jagad upajātam // JVms_36	biBrANam nija-vizaya-viSrAmam % mandam trizwuBi jagat upajAtam // JVmH-_36
   tanur atanudayādravopama- $ sphuradanupamakāntisaṃtatiḥ &	tanuH atanu-dayA-drava-upama $ sPurat-anupama-kAnti-saMtatiH &
   janayati bhavato na kasya vā % mudam adhipa samantabhadrikā // JVms_37 //	janayati BavataH na kasya vA % mudam aDipa samantaBadrikA // JVmH-_37 //
   śaradamṛtakarakaraśreṇī- $ samahimagatamalagaurīyam &	Sarad-amRtakara-kara-SreNI $ sa-ma-hima-gata-mala-gOrIyam &
   guṇasamuditir iva muktālī % vilasati hṛdi bhavato vṛttā // JVms_38 //	guNa-samuditiH iva muktAlI % vilasati hRdi BavataH vRttAH // JVmH-_38 //
