   śrīḥ	SrIH
   oṃ tatsadbrahmaṇe namaḥ |	om tad-sat-brahmaNe namaH |
   atha rasaratnasamuccayaḥ |	aTa rasaratna-samuccayaH |
   rasotpattirnāma prathamo 'dhyāyaḥ |	rasotpattiH-nAma praTamaH aDyAyaH |
   yasyānandabhavena maṅgalakalāsaṃbhāvitena sphura- dhāmnā siddharasāmṛtena	yasya-Ananda-Bavena maFgala-kalA-saMBAvitena sPura DAmnA sidDa-rasa-amRtena
   karuṇāvīkṣāsudhāsindhunā /	karuNA-vIkzA-suDA-sinDunA /
   bhaktānāṃ prabhavaprasaṃhṛtijarārāgādirogāḥ kṣaṇā- cchāntiṃ yānti	BaktAnAm praBava-prasaMhRti-jarA-rAga-Adi-rogAH kzaNA cSAntim yAnti
   jagatpradhānabhiṣaje tasmai parasmai namaḥ // VRrs_1.1 //	jagat-praDAna-Bizaje tasmE parasmE namaH // VRrH-_1.1 //
   ādimaścandrasenaś ca laṅkeśaś caviśāradaḥ /	AdimaH-candrasenaH ca laFkeSaH ca-viSAradaH /
   kapālī mattamāṇḍavyau bhāskaraḥ śūrasenakaḥ // VRrs_1.2 //	kapAlI matta-mANxavyO BAskaraH SUrasenakaH // VRrH-_1.2 //
   ratnakośaś ca śaṃbhuś ca sāttviko naravāhanaḥ /	ratnakoSaH ca SaMBuH ca sAttvikaH naravAhanaH /
   indrado gomukhaścaiva kambalirvyāḍireva ca // VRrs_1.3 //	indradaH gomuKaH-ca-eva kambaliH-vyAxiH-eva ca // VRrH-_1.3 //
   nāgārjunaḥ surānando nāgabodhiryaśodhanaḥ /	nAgArjunaH surAnandaH nAga-boDiH-ya-SoDanaH /
   khaṇḍaḥ kāpāliko brahmā govindo lampako hariḥ // VRrs_1.4 //	KaNxaH kApAlikaH brahmA govindaH lampakaH hariH // VRrH-_1.4 //
   saptaviṃśatisaṃkhyākā rasasiddhipradāyakāḥ /	saptaviMSati-saMKyAkAH rasa-sidDi-pradAyakAH /
   rasāṅkuśo bhairavaś ca nandī svacchandabhairavaḥ // VRrs_1.5 //	rasAFkuSaH BEravaH ca nandI svacCandaBEravaH // VRrH-_1.5 //
   manthānabhairavaścaiva kākacaṇḍīśvarastathā /	manTAnaBEravaH-ca-eva kAkacaNxISvaraH-taTA /
   vāsudeva ṛṣiḥ śṛṅgaḥ kriyātantrasamuccayī // VRrs_1.6 //	vAsudevaH RziH SRFgaH kriyAtantra-samuccayI // VRrH-_1.6 //
   rasendratilako yogī bhālukī maithilāhvayaḥ /	rasendratilakaH yogI BAlukI mETila-AhvayaH /
   mahādevo narendraś ca vāsudevo harīśvaraḥ // VRrs_1.7 //	mahAdevaH narendraH ca vAsudevaH hari-ISvaraH // VRrH-_1.7 //
   eteṣāṃ kriyate 'nyeṣāṃ tantrāṇyālokya saṃgrahaḥ /	etezAm kriyate anyezAm tantrANi-Alokya saMgrahaH /
   rasānāmatha siddhānāṃ cikitsārthopayoginām // VRrs_1.8 //	rasAnAm-aTa sidDAnAm cikitsA-arTa-upayoginAm // VRrH-_1.8 //
   sūnunā siṃhaguptasya rasaratnasamuccayaḥ /	sUnunA siMhaguptasya rasaratna-samuccayaH /
   rasoparasalohāni yantrādikaraṇāni ca // VRrs_1.9 //	rasa-uparasa-lohAni yantra-Adi-karaNAni ca // VRrH-_1.9 //
   śuddhyarthamapi lohānāṃ tantrādikaraṇāni ca /	SudDi-arTam-api lohAnAm tantra-Adi-karaNAni ca /
   śuddhiḥ sattvaṃ drutirbhasma- karaṇaṃ ca pravakṣyate // VRrs_1.10 //	SudDiH sattvam drutiH-Basma karaNam ca pravakzyate // VRrH-_1.10 //
   asti nīhāranilayo mahānuttaradiṅmukhe /	asti nIhAra-nilayaH mahAn-uttara-diFmuKe /
   uttuṅgaśṛṅgasaṃghāta- laṅghitābhro mahīdharaḥ // VRrs_1.11 //	uttuFga-SRFga-saMGAta laFGita-aBraH mahIDaraH // VRrH-_1.11 //
   viśrāmāya viyanmārga- vilaṅghanaghanaśramaḥ /	viSrAmAya viyat-mArga vilaFGana-Gana-SramaH /
   avatīrṇa iva kṣoṇīṃ śaradambumucāṃ gaṇaḥ // VRrs_1.12 //	avatIrNaH iva kzoNIm Sarad-ambumucAm gaNaH // VRrH-_1.12 //
   rāśirāśīviṣādhīśa- phaṇāphalakarociṣām /	rASiH-ASIviza-aDISa PaNA-Palaka-rocizAm /
   bhittvā bhuvamivottīrṇo yo vibhāti bhṛśonnataḥ // VRrs_1.13 //	BittvA Buvam-iva-uttIrNaH yaH viBAti BRSa-unnataH // VRrH-_1.13 //
   jvaladauṣadhayo yasya nitambamaṇibhūmayaḥ /	jvalat-OzaDayaH yasya nitamba-maNi-BUmayaH /
   naktamuddāmataḍitām anukurvanti vārmucām // VRrs_1.14 //	naktam-uddAma-taxitAm anukurvanti vArmucAm // VRrH-_1.14 //
   kaṭake saṃcarantīnāṃ yasya kinnarayoṣitām /	kawake saMcarantInAm yasya kinnara-yozitAm /
   pādeṣu dhāturāgeṇa lākṣākṛtyamanuṣṭhitam // VRrs_1.15 //	pAdezu DAtu-rAgeNa lAkzA-kRtyam-anuzWitam // VRrH-_1.15 //
   avataṃsitaśītāṃśur ācchāditadigambaraḥ /	avataMsita-SItAMSuH AcCAdita-digambaraH /
   yo guhādhigato lokair girīśa iti gīyate // VRrs_1.16 //	yaH guhA-aDigataH lokEH girISaH iti gIyate // VRrH-_1.16 //
   nimīlitadṛśo nityaṃ munayo yasya sānuṣu /	nimIlita-dRSaH nityam munayaH yasya sAnuzu /
   pratyakṣayanti giriśam avāṅmanasagocaram // VRrs_1.17 //	pratyakzayanti giriSam avAFmanasa-gocaram // VRrH-_1.17 //
   śilātalapratihatair yasya nirjharaśīkaraiḥ /	SilA-tala-pratihatEH yasya nirJara-SIkarEH /
   ahanyapi nirīkṣante yakṣāstārāṅkitaṃ nabhaḥ // VRrs_1.18 //	ahani-api nirIkzante yakzAH-tAra-aFkitam naBaH // VRrH-_1.18 //
   nīhārapavanodreka- niḥsahā yatra puruṣāḥ /	nIhAra-pavana-udreka niHsahAH yatra puruzAH /
   nijastrīṇāṃ niṣevante kucoṣmāṇaṃ nirantaram // VRrs_1.19 //	nija-strINAm nizevante kuca-UzmANam nirantaram // VRrH-_1.19 //
   saṃcaran kaṭake yasya nidāghe 'pi divākaraḥ /	saMcaran kawake yasya nidAGe api divAkaraH /
   uddāmahimaruddhoṣmā na śītāṃśorvibhidyate // VRrs_1.20 //	uddAma-hima-rudDa-UzmA na SItAMSoH-viBidyate // VRrH-_1.20 //
   guhāgṛheṣu kastūrī- mṛganābhisugandhiṣu /	guhA-gRhezu kastUrI mRganABi-suganDizu /
   gāyanti yatra kinnaryo gaurīpariṇayotsavam // VRrs_1.21 //	gAyanti yatra kinnaryaH gOrI-pariNaya-utsavam // VRrH-_1.21 //
   cakāsti tatra jagatām ādidevo maheśvaraḥ /	cakAsti tatra jagatAm AdidevaH maheSvaraH /
   rasātmanā jagattrātuṃ jāto yasmānmahārasaḥ // VRrs_1.22 //	rasa-AtmanA jagat-trAtum jAtaH yasmAt-mahArasaH // VRrH-_1.22 //
   śatāśvamedhena kṛtena puṇyaṃ gokoṭibhiḥ svarṇasahasradānāt /	Sata-aSvameDena kRtena puNyam go-kowiBiH svarNa-sahasra-dAnAt /
   nṛṇāṃ bhavet sūtakadarśanena yat sarvatīrtheṣu kṛtābhiṣekāt // VRrs_1.23	nRNAm Bavet sUtaka-darSanena yat sarva-tIrTezu kRta-aBizekAt // VRrH-_1.23
   vidhāya rasaliṅgaṃ yo bhaktiyuktaḥ samarcayet /	viDAya rasaliFgam yaH Bakti-yuktaH samarcayet /
   jagattritayaliṅgānāṃ pūjāphalamavāpnuyāt // VRrs_1.24 //	jagat-tritaya-liFgAnAm pUjA-Palam-avApnuyAt // VRrH-_1.24 //
   bhakṣaṇaṃ sparśanaṃ dānaṃ dhyānaṃ ca paripūjanam /	BakzaNam sparSanam dAnam DyAnam ca paripUjanam /
   pañcadhā rasapūjoktā mahāpātakanāśinī // VRrs_1.25 //	paQcaDA rasa-pUjA-uktA mahApAtaka-nASinI // VRrH-_1.25 //
   hanti bhakṣaṇamātreṇa pūrvajanmāghasaṃbhavam /	hanti BakzaNa-mAtreNa pUrvajanma-aGa-saMBavam /
   rogasaṃghamaśeṣāṇāṃ narāṇāṃ nātra saṃśayaḥ // VRrs_1.26 //	roga-saMGam-aSezANAm narANAm na-atra saMSayaH // VRrH-_1.26 //
   pūrvajanmakṛtaṃ pāpaṃ sadyo naśyati dehinām /	pUrva-janma-kRtam pApam sadyas naSyati dehinAm /
   sugandhapiṣṭasūtena yadi śaṃbhurvilepitaḥ // VRrs_1.27 //	suganDa-pizwa-sUtena yadi SaMBuH-vilepitaH // VRrH-_1.27 //
   abhrakaṃ truṭimātraṃ yo rasasya parijārayet /	aBrakam truwi-mAtram yaH rasasya parijArayet /
   śatakratuphalaṃ tasya bhavedityabravīcchivaḥ // VRrs_1.28 //	Sata-kratu-Palam tasya Bavet-iti-abravIt-SivaH // VRrH-_1.28 //
   yaś ca nindati sūtendraṃ śaṃbhostejaḥ parātparam /	yaH ca nindati sUtendram SaMBoH-tejaH parAtparam /
   sa patennarake ghore yāvatkalpavikalpanā // VRrs_1.29 //	sa patet-narake Gore yAvat-kalpa-vikalpanA // VRrH-_1.29 //
   rogibhyo yo rasaṃ datte śuddhipākasamanvitam /	rogiByaH yaH rasam datte SudDi-pAka-samanvitam /
   tulādānāśvamedhānāṃ phalaṃ prāpnoti śāśvatam // VRrs_1.30 //	tulA-dAna-aSvameDAnAm Palam prApnoti SASvatam // VRrH-_1.30 //
   siddhe rase kariṣyāmi nirdāridryagadaṃ jagat /	sidDe rase karizyAmi nirdAridrya-gadam jagat /
   rasadhyānamidaṃ proktaṃ brahmahatyādipāpanut // VRrs_1.31 //	rasa-DyAnam-idam proktam brahmahatyA-Adi-pApa-nud // VRrH-_1.31 //
   abhragrāso hi sūtasya naivedyaṃ parikīrtitam /	aBra-grAsaH hi sUtasya nEvedyam parikIrtitam /
   rasasyetyarcanaṃ kṛtvā prāpnuyātkratujaṃ phalam // VRrs_1.32 //	rasasya-iti-arcanam kRtvA prApnuyAt-kratu-jam Palam // VRrH-_1.32 //
