   atha yama smṛtiḥ ||	aTa yama smRtiH ||
   śrī gaṇeśāya namaḥ ||	SrI gaNeSAya namaH ||
   atha prāyaścitta varṇanam	aTa prAyaScitta varNanam
   athāto hy asya dharmasya prāyaścittābhidhāyakam /	aTa-atas hi asya Darmasya prAyaScitta-aBiDAyakam /
   caturṇām api varṇānāṃ dharmaśāstraṃ pravartate // YS78v_1 //	caturNAm api varNAnAm Darma-SAstram pravartate // YS78u-_1 //
   jalāgnyudvandhanabhraṣṭāḥ prabrajyānaśanacyutāḥ /	jala-agni-udvanDana-BrazwAH prabrajya-anaSana-cyutAH /
   viṣaprapatanaprāya- śastraghātacyutāśca ye // YS78v_2 //	viza-prapatana-prAya Sastra-GAta-cyutAH-ca ye // YS78u-_2 //
   sarve te pratyavasitāḥ sarvalokavahiṣkṛtāḥ /	sarve te pratyavasitAH sarva-loka-vahizkRtAH /
   cāndrāyaṇena śuddhyanti taptakṛcchradvayena vā // YS78v_3 //	cAndrAyaNena SudDi-anti taptakRcCra-dvayena vA // YS78u-_3 //
   ubhayāvasitāḥ pāpā ye 'grāmya śaraṇacyutāḥ /	uBayO=-asitAH pApAH ye agrAmya SaraNa-cyutAH /
   indudvayena śuddhyanti dattvā dhenuṃ tathā vṛṣam // YS78v_4 //	indu-dvayena SudDyanti dattvA Denum taTA vRzam // YS78u-_4 //
   gobrāhmaṇahanaṃ dagdhā mṛtam udvandhanena ca /	go-brAhmaNa-hanam dagDA mRtam udvanDanena ca /
   pāśaṃ tasyaiva chittvā tu taptakṛcchraṃ samācaret // YS78v_5 //	pASam tasya-eva CittvA tu taptakRcCram samAcaret // YS78u-_5 //
   kṛmibhir vraṇasaṃbhūtair makṣikāśvopaghātitaḥ /	kRmiBiH vraNa-saMBUtEH makzikA-aSva-upa-GAtitaH /
   kṛcchrārddhaṃ saṃprakurvīta śaktyā dadyāt tu dakṣiṇām // YS78v_6 //	kRcCra-ardDam saMprakurvIta SaktyA dadyAt tu dakziNAm // YS78u-_6 //
   brāhmaṇasya maladvāre pūyaśoṇita sambhave /	brAhmaNasya mala-dvAre pUya-SoNita samBave /
   kṛmibhuktabraṇe mauñjī- homena sa viśuddhyati // YS78v_7 //	kRmi-Bukta-braNe mOQjI homena sa viSudDi-ati // YS78u-_7 //
   yaḥ kṣatriyas tathā vaiśyaḥ śūdraścāpyanulomajaḥ /	yaH kzatriyaH taTA vESyaH SUdraH-ca-api-anuloma-jaH /
   jñātvā bhuṅkte viśeṣeṇa carec cāndrāyaṇaṃ vratam // YS78v_8 //	jQAtvA BuFkte viSezeNa caret cAndrAyaNam vratam // YS78u-_8 //
   kukkuṭāṇḍapramāṇan tu grāsañca parikalpayet /	kukkuwa-aNxa-pramANan tu grAsaQca parikalpayet /
   anyathāhāradoṣeṇa na sa tatra viśuddhyati // YS78v_9 //	anyaTA-AhAra-dozeNa na sa tatra viSudDi-ati // YS78u-_9 //
   ekaikaṃ varddhayec chukle kṛṣṇapakṣe ca hrāsayet /	ekEkam vardDayet Sukle kRzNa-pakze ca hrAsayet /
   amāvāsyāṃ na bhuñjīta eṣa cāndrāyaṇo vidhiḥ // YS78v_10 //	amAvAsyAm na BuQjIta eza cAndrAyaNaH viDiH // YS78u-_10 //
   surānyamadyapānena gomāṃsabhakṣaṇe kṛte /	sura-anya-madya-pAnena go-mAMsa-BakzaNe kRte /
   taptakṛcchrañ cared vipras tat pāpas tu praṇaśyati // YS78v_11 //	taptakRcCran caret vipraH tat pApaH tu praNaSyati // YS78u-_11 //
   prāyaścitte hy upakrānte kartā yadi vipadyate /	prAyaScitte hi upakrAnte kartA yadi vipadyate /
   pūtas tad ahar evāpi iha loke paratra ca // YS78v_12 //	pUtaH tat ahar eva-api iha loke paratra ca // YS78u-_12 //
   yāvad ekaḥ pṛthak dravyaḥ prāyaścittena śuddhyati /	yAvat ekaH pRTak dravyaH prAyaScittena SudDi-ati /
   aparās te na ca spṛśyās te 'pi sarve vigarhitāḥ // YS78v_13 //	aparAH te na ca spRSyAH te api sarve vigarhitAH // YS78u-_13 //
   abhojyāś cāpratigrāhyā asaṃpāṭhyā vivāhinaḥ /	aBojyAH ca-apratigrAhyAH asaMpAWyAH vivAhinaH /
   pūyante 'nuvrate cīrṇe sarve te ṛkthabhāginaḥ // YS78v_14 //	pUyante anuvrate cIrNe sarve te RkTa-BAginaH // YS78u-_14 //
   ūnaikādaśavarṣasya pañcavarṣāt parasya ca /	Una-ekAdaSa-varzasya paQca-varzAt parasya ca /
   prāyaścittaṃ cared bhrātā pitā vānyo 'pi bāndhavaḥ // YS78v_15 //	prAyaScittam caret BrAtA pitA vA-anyaH api bAnDavaH // YS78u-_15 //
   ato bālatarasyāpi nāparādho na pātakam /	atas bAlatarasya-api na-aparADaH na pAtakam /
   rājadaṇḍo na tasyāsti prāyaścittaṃ na vidyate // YS78v_16 //	rAja-daNxaH na tasya-asti prAyaScittam na vidyate // YS78u-_16 //
   aśītīryasya varṣāṇi bālo vāpy ūnaṣoḍaśaḥ /	aSItIH-yasya varzANi bAlaH vA-api Una-zoxaSaH /
   prāyaścittārddham arhanti striyo rogiṇa eva ca // YS78v_17 //	prAyaScitta-ardDam arhanti striyaH rogiNaH eva ca // YS78u-_17 //
   astaṃ gato yadā sūryaś cāṇḍālarajakastriyaḥ /	astam gataH yadA sUryaH cANxAla-rajaka-striyaH /
   saṃspṛṣṭās tu tadā kaiścit prāyaścittaṃ kathaṃ bhavet // YS78v_18 //	saMspRzwAH tu tadA kEScid prAyaScittam kaTam Bavet // YS78u-_18 //
   jātarūpaṃ suvarṇañ ca divānītaṃ ca yaj jalam /	jAtarUpam suvarNan ca divAnItam ca yat jalam /
   tena snātvā ca pītvā ca sarve te śucayaḥ smṛtāḥ // YS78v_19 //	tena snAtvA ca pItvA ca sarve te SucayaH smRtAH // YS78u-_19 //
   dāsanāpitagopāla- kulamitrārdhasīriṇaḥ /	dAsa-nApita-gopAla kula-mitra-arDa-sIriNaH /
   ete śūdreṣu bhojyānnā yaś cātmanaṃ nivedayet // YS78v_20 //	ete SUdrezu Bojya-annAH yaH ca-Atmanam nivedayet // YS78u-_20 //
   annaṃ śūdrasya bhojyaṃ vā ye bhuñjanty abudhā narāḥ /	annam SUdrasya Bojyam vA ye BuQjanti abuDAH narAH /
   prayaścittaṃ tathā prāptaṃ carec cāndrāyaṇaṃ vratam // YS78v_21 //	prayaH-cittam taTA prAptam caret cAndrAyaNam vratam // YS78u-_21 //
   prāpte dvādaśame varṣe yaḥ kanyāṃ na prayacchati /	prApte dvAdaSame varze yaH kanyAm na prayacCati /
   māsi māsi rajas tasyāḥ pitā pibati śoṇitam // YS78v_22 //	mAsi mAsi rajaH tasyAH pitA pibati SoNitam // YS78u-_22 //
   mātā caiva pitā caiva jyeṣṭho bhrātā tathaiva ca /	mAtA ca-eva pitA ca-eva jyezWaH BrAtA taTA-eva ca /
