   udayananirākaraṇam	udayana-nirAkaraNam
   prathamo 'dhyāyaḥ	praTamaH aDyAyaH
   om namastārāyai |	om namaH-tArAyE |
   vijñāyante svavacanasaraṇiṃ ramaṇīyatamāṃ guṇigaṇāvaśiṣṭām	vijQAyante sva-vacana-saraNim ramaNIyatamAm guNi-gaNa-avaSizwAm
   udayanavacanāt svavacana-[caraṇa]hatisaraṇiṃ bhaṇiṣyāmi |	udayana-vacanAt sva-vacana--[caraNa]-hati-saraNim BaNizyAmi |
   iha khalu viśālaśailamekhalāsthūlasthāṇusthānīye (2) parasya (jñāna	iha Kalu viSAla-SEla-meKalA-sTUla-sTANu-sTAnIye (2) parasya (jQAna
   prasūtapṛṣṭha) śrīmat	prasUta-pRzWa) SrImat-
   jñānaśrīmitrapādīyamuktasāmarthyāsāmarthyātprasphuṭita upaśaṅkātaḥ	jQAna-SrI-mitrapAdIyam-ukta-sAmarTyA-sAmarTyAt-prasPuwitaH upaSaFkAtaH
   sāmarthyāsāmarthyaviruddhadharmasaṃsargeṇa bhedasiddhau tatsiddhiriti	sAmarTya-AsAmarTya-virudDa-Darma-saMsargeNa Beda-sidDO tad-sidDiH-iti
   sattvādiṣupareṇaśleṣitaṃ kliśyate |	sattvAt-izu-pareNa-Slezitam kliSyate |
   avikalena hi sakaladūṣyakeṇa (3) hi pālanā pratyakṣataḥ pṛthvīpavanapāśraḥ	avikalena hi sakala-dUzyakeNa (3) hi pAlanA pratyakzatas pRTvI-pavana-pASraH
   pratyarthivījāni parasparopasarpaṇasampūrṇapratyayapratyarjitasannidhānāni	pratyarTivIjAni paraspara-upasarpaNa-sampUrNa-pratyaya-pratyarjita-sanniDAnAni
   tadudbhūtasvādhīnavarddhiṣṇutādiguṇaramaṇīyapariṇatyā pravardhante (4)	tad-udBUta-sva-aDIna-vaRdDizNu-tA-Adi-guNa-ramaNIya-pariNatyA pravarDante (4)
   prarohaṃ pratipratyayabhāvajānya [bhāvajāni]prabhāvyante |	praroham pratipratyaya-BAva-jAnyaH [BAva-jAni]-praBAvyante |
   yathoktaviśeṣaṇapratyayatvameṣāṃ	yaTA-ukta-viSezaNa-pratyaya-tvam-ezAm
   pratyātmapratiṣṭhādhiṣṭhitasauṣṭhavapṛṣṭapratyakṣānupalambhasambhavānvayavyatirekapa	pratyAtma-pratizWA-aDizWita-sOzWava-pRzwa-pratyakza-anupalamBa-samBava-anvaya-vyatirekapa
   (5) rikalpanā tasyā	(5) rikalpanA tasyAH-
   upalālitasakalitasahakārisākalyaviśeṣaṇasārupyamavasthāpanīyamaparathā	upalAlita-sakalita-sahakAri-sAkalya-viSezaNa-sArupyam-avasTApanIyam-aparaTA
   pratyayāntarapratyāsattisāpekṣatve bījasyeva kramayau (6)	pratyaya-antara-pratyAsatti-sApekza-tve bIjasya-iva kramayO (6)
   gapadyaviśeṣasauṣṭhavasphuṭitamupādhāvagrimakṣaṇasyāpi	gapadya-viSeza-sOzWava-sPuwitam-upADO=-agri-makzaNasya-api
   sahakārisākalyāsākalyāvasthayoḥ sthitāsthitatayā prarohaṃ prati pratyetuṃ	sahakAri-sAkalyAsAkalya-avasTayoH sTita-AsTita-tayA praroham prati pratyetum
   pāryeta | tathā ca kuśūlakukṣikuṇḍalitakṣaṇā (7) dhikatcāt	pAryeta | taTA ca kuSUla-kukzi-kuNxali-takzaNAH (7) DikatcAt-
   sahakārikṣaṇakrameṇa kedārākrāntakalevaraṃ kadambakamekamanekambeti	sahakAri-kzaNa-krameNa kedAra-AkrAnta-kalevaram kadambakam-ekam-anekamba-iti
   vistarata vicāracakramapakramante | kiṃ cet na tayo ka (8)	vistarata vicAra-cakram-apakramante | kim ced na tayo kaH (8)
   thitamidamuttānīkrameṇa	Titam-idam-uttAnIkrameNa
   sahakārisahacaritapratyayapratyāsattibhrāntasvabhāvāntaramintyupakṣipya	sahakAri-sahacarita-pratyaya-pratyAsatti-BrAnta-svaBAva-antaram-inti-upakzipya
   pakṣapratipakṣapa- rijighṛkṣākṣāntahṛdayā sādhakamidamiti jñāpakavirodhe	pakza-pratipakzapa riji-GRkza-akza-anta-hRdayA sADakam-idam-iti jQApaka-viroDe
   vyāharanti |	vyAharanti |
   jighṛkṣāsāmarthyasamarthanādau sākṣādvayavahatuṃ tattadā tatkarotyādi	jiGRkzA-sAmarTya-samarTanAdO sAkzAt-vayava-hatum tat-tadA tad-karoti-Adi
   tatkarotyeva vā yathā (2) ca yasya nehaḥ sandohaniḥ sandehapariṇatau	tat-karoti-eva vA yaTA (2) ca yasya na-IhaH sandohaniH sandeha-pariNatO
   praṇatidehotkṛṣṭaḥ yathāprakāśitasādhanātattvaprasādhanaśca kevalopi	praNati-deha-utkRzwaH yaTAprakASita-sADanA-tattva-prasADanaH-ca kevalopi
