   haṃsadūtaṃ	haMsa-dUtam
   dukūlaṃ bibhrāṇo dalitaharitāladyutibharaṃ	dukUlam biBrANaH dalita-haritAla-dyuti-Baram
   javāpuṣpaśreṇīrucirucirapādāmbujatalaḥ |	javA-puzpa-SreNI-ruci-rucira-pAda-ambuja-talaH |
   tamālaśyāmāṅgo davahasitalīlāñcitamukhaḥ	tamAla-SyAma-aFgaH dava-hasita-lIlA-aQcita-muKaH
   parānandābhogaḥ sphuratu hṛdi me ko.api puruṣaḥ ||1	para-Ananda-ABogaH sPuratu hRdi me ko.api puruzaH ||1
   yadā yāto gopīhṛdayamadano nandasadanān	yadA yAtaH gopI-hRdaya-madanaH nanda-sadanAn
   mukundo gāndinyāstanayamanuvindan madhupurīm |	mukundaH gAndinyAH-tanayam-anuvindat maDupurIm |
   tadāmānkṣīccintāsariti ghanaghūrṇāparicayair	tadA-amAn-kzIt-cintAsar-iti Gana-GUrNA-paricayEH-
   agādhāyāṃ bādhāmayapayasi rādhā virahiṇī ||2	agADAyAm bADa-Amaya-payasi rADA virahiNI ||2
   kadācit khedāgniṃ vighaṭayitumantargatamasau	kadAcid Keda-agnim viGawayitum-antargatam-asO
   sahālībhirlebhe taralitamanā yāmunataṭīm |	saha-AlIBiH-leBe taralita-manAH yAmuna-tawIm |
   cirādasyāścittaṃ paricitakuṭīrakalanād	cirAt-asyAH-cittam paricita-kuwIra-kalanAd
   avasthā tastāra sphuṭamatha suṣupteḥ priyasakhī ||3	avasTA tastAra sPuwam-aTa suzupteH priya-saKI ||3
   tadā niṣpandāṅgī kalitanalinīpallavakulaiḥ	tadA nizpanda-aFgI kalita-nalinI-pallava-kulEH
   parīṇāhāt premanāmakuśalaśatāśaṅkihṛdayaiḥ |	parINAhAt premanAmakuSala-Sata-ASaFki-hRdayEH |
   dṛgambhogambhīrīkṛtamihiraputrīlaharībhiḥ	dRS-amBaH-gamBIrIkRta-mihira-putrIla-harIBiH
   vilīnā dhulīnāmupari parivavre parijanaiḥ ||4	vilInAH DulInAm-upari parivavre parijanEH ||4
   tatastāṃ nyastāṅgīmurasi lalitāyāḥ kamalinī	tatas-tAm nyasta-aFgIm-urasi lalitAyAH kamalinI
   palāśaiḥ kālindīsalilaśiśirairvījitatanum |	palASEH kAlindI-salila-SiSirEH-vIjita-tanum |
   parāvṛtaśvāsāṅkuracalitakaṇṭhiṃ kalayatāṃ	parAvRta-SvAsa-aFkura-calita-kaNWim kalayatAm
   sakhīsandohānāṃ pramadabharaśālī dhvanirabhūt ||5	saKI-sanda-UhAnAm pramada-Bara-SAlI DvaniH-aBUt ||5
   nidhāyāṅke paṅkeruhadalaviṭaṅkasya lalitā	niDAya-aFke paFkeruha-dala-viwaFkasya lalitA
   tato rādhāṃ nīrāharaṇasaraṇau nyastacaraṇā |	tatas rADAm nIrAharaNa-saraNO nyasta-caraNAH |
   milantaṃ kālindīpulinabhuvi khelāñcitagatiṃ	milantam kAlindI-pulina-Buvi Kela-AQcita-gatim
   dadarśāgre kaṃcin madhuravirutaṃ śvetagarutam ||6	dadarSa-agre kaMcid maDura-virutam Sveta-garutam ||6
   tadālokastokocchvasitahṛdayā sādaramasau	tad-AlokaH-toka-ucCvasita-hRdayA sAdaram-asO
   praṇāmaṃ śaṃsantī laghu laghu samāsādya savidham |	praNAmam SaMsantI laGu laGu samAsAdya saviDam |
   dhṛtotkaṇṭhā sadyo harisadasi sandeśaharaṇe	DRta-utkaNWA sadyas hari-sadasi sandeSa-haraNe
   varaṃ dūtaṃ mene tamatilalitaṃ hanta lalitā ||7	varam dUtam mene tam-ati-lalitam hanta lalitAH ||7
   amarṣāt premerṣyāṃ sapadi dadhatī kaṃsamathane	amarzAt prema-IrzyAm sapadi daDatI kaMsa-maTane
   pravṛttā haṃsāya svamabhilaṣitaṃ śaṃsitumasau |	pravRttAH haMsAya svam-aBilazitam SaMsitum-asO |
   na tasyā doṣo.ayaṃ yadiha vihagaṃ prārthitavatī	na tasyAH dozaH-.ayam yat-iha vihagam prArTitavatI
   na kasmin viśrambhaṃ diśati haribhaktipraṇayitā ||8	na kasmin viSramBam diSati hari-Bakti-praNayitA ||8
   pavitreṣu prāyo viracayasi toyeṣu vasatiṃ	pavitrezu prAyas viracayasi toyezu vasatim
   pramodaṃ nālīke vahasi viśadātmā svayamasi |	pramodam na-alIke vahasi viSada-AtmA svayam-asi |
   tato.ahaṃ duḥkhārtā śaraṇamabalā tvāṃ gatavatī	tatas-.aham duHKa-ArtA SaraNam-abalA tvAm gatavatI
   na yācñā satpakṣe vrajati hi kadācidviphalatām ||9	na yAcQA sat-pakze vrajati hi kadAcid-viPala-tAm ||9
   ciraṃ vismṛtyāsmān virahadahanajvālavikalāḥ	ciram vismRtya-asmAn viraha-dahana-jvAla-vikalAH
   kalāvān sānandaṃ vasati mukharāyāṃ madhuripuḥ |	kalAvAn sa-Anandam vasati muKarAyAm maDuripuH |
   tadetaṃ sandeśaṃ svamanasi svamādhāya nikhilaṃ	tat-etam sandeSam sva-manasi svam-ADAya niKilam
   bhavān kṣipraṃ tasya śaraṇapadavīṃ saṅgamayatu ||10	BavAn kzipram tasya SaraNa-padavIm saFgamayatu ||10
   nirastapratyūhaṃ bhavatu bhavato vartmani śivaṃ	nirasta-pratyUham Bavatu BavataH vartmani Sivam
   samuttiṣṭha kṣipraṃ manasi mudamādhāya sadaraṃ |	samuttizWa kzipram manasi mudam-ADAya sa-daram |
   adhastāddhāvanto laghu laghu samuttānanayanair	aDastAt-DAvantaH laGu laGu samuttAna-nayanEH-
   bhavantaṃ vīkṣantāṃ kutukataralā gopaśiśavaḥ ||11	Bavantam vIkzantAm kutuka-taralAH gopa-SiSavaH ||11
   sa vaidagdhīsindhuḥ kaṭhinamatinā dānapatinā	sa vEdagDI-sinDuH kaWina-matinA dAnapatinA
   yayā ninye tūrṇaṃ paśupayuvatījīvanapatiḥ |	yayA ninye tUrNam paSupayuvatI-jIvana-patiH |
   tayā gantavyā te nikhilajagadekaprathitayā	tayA gantavyA te niKila-jagat-eka-praTitayA
   padavyā bhavyānāṃ tilaka kila dāśārhanagarī ||12	padavyA BavyAnAm tilaka kila dASArha-nagarI ||12
   galadbāṣpāsāraplutadhavalagaṇḍā mṛgadṛśo	galat-bAzpa-AsAra-pluta-Davala-gaNxA mRga-dRSaH-
   vidūyante yatra pramadamadanāveśavivaśāḥ |	vidUyante yatra pramada-madana-AveSa-vivaSAH |
   tvayā vijñātavyā haricaraṇasaṅgapraṇayino	tvayA vijQAtavyAH hari-caraNa-saFga-praNayino
   dhruvaṃ sā cakrāṅkīratisakha śatāṅgasya padavī ||13	Druvam sA cakra-aFkI-rati-saKa SatAFgasya padavI ||13
   piban jambūśyāmaṃ mihiraduhiturvāri madhuraṃ	piban jambU-SyAmam mihira-duhituH-vAri maDuram
   mṛṇālīrbhuñjāno himakarakaṇākomalarucaḥ |	mRNAlIH-BuQjAnaH himakara-kaNA-komala-rucaH |
   kṣaṇaṃ hṛṣṭastiṣṭhan niviḍaviṭape śākhini sakhe	kzaNam hRzwaH-tizWan nivixa-viwape SAKini saKe
   sukhena prasthānaṃ racayatu bhavān vṛṣṇinagare ||14	suKena prasTAnam racayatu BavAn vRzNi-nagare ||14
   balādākrandantī ratapathikamakrūramilitaṃ	balAt-AkrandantI rata-paTikam-akrUra-militam
   vidūrādābhīrītatiranuyayau yena ramaṇam |	vidUrAt-ABIrI-tatiH-anuyayO yena ramaNam |
   tamādau panthānaṃ racaya caritārthā bhavatu te	tam-AdO panTAnam racaya caritArTAH Bavatu te
   virājantī sarvopari paramahaṃsasthitiriyam ||15	virAjantI sarva-upari paramahaMsa-sTitiH-iyam ||15
   akasmādasmākaṃ harirapaharann aṃśukacayaṃ	akasmAt-asmAkam hariH-apaharan aMSuka-cayam
   yamārūḍho gūḍhapraṇayalaharīṃ kandalayitum |	yam-ArUXaH gUXa-praNaya-laharIm kandalayitum |
   tavāśrāntasyāntaḥsthagitaravibimbaḥ kisalayaiḥ	tava-aSrAntasya-antar-sTagita-ravi-bimbaH kisalayEH
   kadambaḥ kādamba tvaritamavalambaḥ sa bhavitā ||16	kadambaH kAdamba tvaritam-avalambaH sa BavitA ||16
