   dvitīya ucchvāsaḥ	dvitIyaH ucCvAsaH
   atimbhīre bhūpe kūpa iva janasya niravatārasya /	atimBIre BUpe kUpaH iva janasya niravatArasya /
   dadhati samīhitasiddhiṃ guṇavantaḥ pārthivā ghaṭakāḥ // 2.1 //	daDati samIhita-sidDim guNavantaH pArTivAH GawakAH // 2.1 //
   rāgiṇi naline lakṣmīṃ divaso nidadhāti dinakaraprabhavām /	rAgiNi naline lakzmIm divasaH nidaDAti dinakara-praBavAm /
   anapekṣitaguṇadoṣaḥ paropakāraḥ satāṃ vyasanam // 2.2 //	anapekzita-guNa-dozaH para-upakAraH satAm vyasanam // 2.2 //
   atha tatrānavaratādhyayanadhvanimukharāṇi, bhasmapuṇḍrakapāṇḍuralalāṭaiḥ	aTa tatra-anavarata-aDyayana-Dvani-muKa-rANi, Basma-puNxraka-pANxura-lalAwEH
   kapilaśikhājālajaṭilaiḥ kṛśānubhiriva	kapila-SiKA-jAla-jawilEH kRSAnuBiH-iva
   kratulobhāgatairbaṭubhiradhyāsyamānāni,	kratu-loBA-gatEH-bawuBiH-aDyAsyamAnAni,
   sekasukumārasomakedārikāharitāyamānapraghanāni,	seka-sukumAra-soma-kedArikA-haritAyamAna-praGanAni,
   kṛṣṇājinavikīrṇaśuṣyatpuroḍāśīyaśyāmākataṇḍulāni,	kRzNa-ajina-vikIrNa-Suzyat-puroxASIya-SyAmAka-taNxulAni,
   bālikāvikīryamāṇanīvārabalīni,	bAlikA-vikIryamANa-nIvAra-balIni,
   śuciśiṣyaśatānīyamānaharitakuśapūlīpalāśasamindhi, indhanago	Suci-Sizya-SatAnIyamAna-harita-kuSa-pUlI-palASa-saminDi, inDana-go
   mayapiṇḍakūṭasaṃkaṭāni, āmikṣīyakṣīrakṣāriṇīnāmagnihotradhenūnāṃ	maya-piNxa-kUwa-saMkawAni, AmikzIya-kzIra-kzAriNInAm-agni-hotra-DenUnAm
   khuravalayairvilikhitājiravitardikāni,	Kura-valayEH-viliKita-ajira-vitardikAni,
   kamaṇḍalavyamṛtpiṇḍamardanavyagrayatijanāni,	kamaNxalavyamRd-piNxa-mardana-vyagra-yati-janAni,
   vaitānavedīśaṅkavyānāmaudumbarīṇāṃ śākhānāṃ rāśibhiḥ pavitritaparyantāni	vEtAna-vedI-SaFkavyAnAm-OdumbarINAm SAKAnAm rASiBiH pavitrita-paryantAni
   vaiśvadevapiṇḍapāṇḍuritapradeśāni,	vESvadeva-piNxa-pANxurita-pradeSAni,
   havirdhūmadhūsaritāṅgaṇaviṭapikisalayāni,	haviH-DUma-DU-sarita-aFgaNa-viwapi-ki-salayAni,
   vatsīyabālakalālitalalattaralatarṇakāni,	vatsIya-bAla-kalAlita-lalat-tarala-tarNakAni,
   krīḍatkṛṣṇasāracchāgaśāvakaprakaṭitapaśubandhaprabandhāni,	krIxat-kRzNasAra=-CAga-SAvaka-prakawita-paSu-banDa-prabanDAni,
   śukasārikārabdhādhyayanadīyamānopādhyāyaviśrāntisukhāni,	Suka-sArika-ArabDa-aDyaya-nadIyamAna-upADyAya-viSrAnti-suKAni,
   sākṣāttrayītapovanānīva ciradṛṣṭānāṃ bāndhavānāṃ prīyamāṇo	sAkzAt-trayI-tapaH-vanAni-iva cira-dRzwAnAm bAnDavAnAm prIyamANaH-
   bhramanbhavanāni, bāṇaḥ sukhamatiṣṭhat /	Braman-BavanAni, bANaH suKam-atizWat /
   tatrasthasya cāsya kadācitkusumasamayayugamupasaṃharannajṛmbhata	tatrasTasya ca-asya kadAcid-kusuma-samaya-yugam-upasaMharan=-ajRmBata
   grīṣmābhidhānaḥ samutphullamallikādhavalāṭṭahāso mahākālaḥ /	grIzma-aBiDAnaH samutPulla-mallikA-Davala-awwahAsaH mahAkAlaH /
   pratyagranirjitasyāstamupagatavato vasantasāmantasya bālāpatyeṣviva	pratyagra-nirjitasya-astam-upagatavataH vasanta-sAmantasya bAla-apatyezu-iva
   payaḥpāyiṣu navodyāneṣu darśitasneho mṛdurabhūt /	payaH-pAyizu nava-udyAnezu darSita-snehaH mRduH-aBUt /
