   (Vaidya 212)	(VEdyaH 212)
   Karmavibhaṅgopadeśaḥ |	Karma-viBaFga-upadeSaH |
   śaṅkhakṣīramṛṇālakumudaprasmerahāraprabhaiḥ	SaFKa-kzIra-mRNAla-kumuda-prasmera-hAra-praBEH
   sauvarṇāgarudhūpadurdinatalaiścañcatpatākādharaiḥ |	sOvarNa-agaru-DUpa-durdina-talEH-caQcat-patAkA-DarEH |
   ślādhyairdhātuvaraidharanibhair (bhūryasya) saṃbhūṣitā	SlADyEH-DAtu-vara-eDara-niBEH (BUH-yasya) saMBUzitA
   taṃ vande suranāgayakṣamukuṭāvyāghṛṣṭapādaṃ munim ||	tam vande sura-nAga-yakza-mukuwa-avyAGRzwa-pAdam munim ||
   jayatu saddharmaḥ | ityāha bhikṣā śrutasomā |	jayatu sadDarmaH | iti-Aha BikzA SrutasomAH |
   asti karma alpāyuḥsaṃvartanīyam | asti karma alpāyuḥsaṃvartanīyamiti	asti karma alpa-AyuH-saMvartanIyam | asti karma alpa-AyuH-saMvartanIyam-iti
   karmagatiryathānyāyaṃ vistareṇa vibhaktāḥ | daśānuśaṃsāḥ	karma-gatiH-yaTAnyAyam vistareNa viBaktAH | daSa-anuSaMsAH
   pravrajyāraṇyakatve bhaikṣyacaryāyām | daśa vaiśāradyānīti | sarve	pravrajyA-AraNyaka-tve BEkzya-caryAyAm | daSa vESAradyAni-iti | sarve
   kāmaguṇā yathānyāyaṃ yuktāḥ |	kAma-guNAH yaTAnyAyam yuktAH |
   daśānuśaṃsāstathāgatacaityāñjalikarmagandhapuṣpacchatrāṇām | kathaṃ	daSa-anuSaMsAH-taTAgata-cEtya-aQjali-karma-ganDa-puzpa=-CatrANAm | kaTam
   daśānuśaṃsāḥ? nanu bhagavatā sūtramuktamekottarike - yāvanto bhikṣavaḥ	daSa-anuSaMsAH? nanu BagavatA sUtramuktam-eka-uttarike  yAvantaH BikzavaH
   sattvā apadā vā dvipadā vā catuṣpadā vā bahupadā vā, tathāgatasteṣāṃ	sattvAH apadAH vA dvipadAH vA catuzpadAH vA bahu-padAH vA, taTAgataH-tezAm
