   || namo ratnatrayāya ||	|| namaH ratnatrayAya ||
   sarvadoṣavinirmuktaṃ guṇaiḥ sarvair alaṃkṛtaṃ |	sarva-doza-vinirmuktam guNEH sarvEH alaMkRtam |
   praṇamya sarvajñam ahaṃ sarvasattvaikabāndhavaṃ || RATNA_01.01	praNamya sarvajQam aham sarva-sattva-eka-bAnDavam || RATNA_01.01
   dharmam ekāntakalyāṇaṃ rāja [ n dha ] rmodayāya te |	Darmam ekAnta-kalyANam rAja [ n DaH ] rma-udayAya te |
   vakṣyāmi dharmaḥ siddhiṃ hi yāti saddharmabhājane || RATNA_01.02	vakzyAmi DarmaH sidDim hi yAti sat-Darma-BAjane || RATNA_01.02
   prāg dharmābhyudayo yatra paścān naiḥśreyasodayaḥ |	prAk Darma-aByudayaH yatra paScAt nEHSreyasa-udayaH |
   samprāpyābhyudayaṃ yasmād eti naiḥśreyasaṃ kramāt || RATNA_01.03	samprApya-aByudayam yasmAt eti nEHSreyasam kramAt || RATNA_01.03
   sukham abhyudaya [ s tatra mokṣo ] naiḥśreyaso mataḥ |	suKam aByudaya [ s tatra mokzaH ] nEHSreyasaH mataH |
   asya sādhanasaṃkṣepaḥ śraddhāprajñe samāsataḥ || RATNA_01.04	asya sADana-saMkzepaH SradDA-prajQe samAsatas || RATNA_01.04
   śrāddhatvād bhajate dharmaṃ prājñatvād vetti tattvataḥ |	SrAdDa-tvAt Bajate Darmam prAjQa-tvAt vetti tattvataH |
   prajñā pradhānaṃ tv anayoḥ śraddhā pūrvaṅgamāsya tu || RATNA_01.05	prajQA praDAnam tu anayoH SradDA pUrvaFgam-Asya tu || RATNA_01.05
   chandād dveṣād bhayān mohād yo dharmaṃ nātivartate |	CandAt dvezAt BayAt mohAt yaH Darmam na-ativartate |
   sa śrāddha iti vijñeyaḥ śreyaso bhājanaṃ param || RATNA_01.06	sa SrAdDaH iti vijQeyaH SreyasaH BAjanam param || RATNA_01.06
   kāyavāṅmānasaṃ karma sarvaṃ samyak parīkṣya yaḥ |	kAya-vAc-mAnasam karma sarvam samyak parIkzya yaH |
   parātmahitam ājñāya sadā kuryāt sa paṇḍitaḥ || RATNA_01.07	para-Atma-hitam AjQAya sadA kuryAt sa paNxitaH || RATNA_01.07
   ahiṃsā cauryaviratiḥ paradāravivarjanam |	ahiMsA cOrya-viratiH para-dAra-vivarjanam |
   mithyāpaiśunyapāruṣyābaddhavādeṣu saṃyamaḥ || RATNA_01.08	miTyA-pESunya-pAruzya-AbadDa-vAdezu saMyamaH || RATNA_01.08
   lobhavyāpādanāstik [ yadṛṣṭīnāṃ parivarjanaṃ |	loBa-vyApAdana-astiS [ yadRzwInAm parivarjanam |
   ete karmapathā ] śuklā daśa kṛṣṇā viparyayāt || RATNA_01.09	ete karma-paTAH ] SuklAH daSa kRzNA viparyayAt || RATNA_01.09
   amadyapānaṃ svājīvo 'vihiṃsā dānam ādarāt |	amadya-pAnam svAjIvaH avihiMsA dAnam AdarAt |
   pūjyapūjā ca maitrī ca dharmaś caiṣa samāsataḥ || RATNA_01.10	pUjya-pUjA ca mEtrI ca DarmaH ca-eza samAsatas || RATNA_01.10
   śarīratāpanād dharmaḥ kevalān [ nāsti tena hi ] |	SarIra-tApanAt DarmaH kevalAn [ na-asti tena hi ] |
   [ 2,a ] na paradrohaviratir na pareṣām anugrahaḥ || RATNA_01.11	[ 2,aH ] na para-droha-viratiH na parezAm anugrahaH || RATNA_01.11
   dānaśīlakṣamāspaṣṭaṃ yaḥ saddharmamahāpatham |	dAna-SIlakzamA-spazwam yaH sadDarma-mahApaTam |
   anādṛtya vrajet kāyakleśago daṇḍakotpathaiḥ || RATNA_01.12	anAdRtya vrajet kAya-kleSa-gaH daNxaka-utpaTEH || RATNA_01.12
   sa saṃsārāṭavīṃ ghorām anantajanapādapām |	sa saMsAra-awavIm GorAm ananta-jana-pAdapAm |
   kleśavyālāvalīḍhāṅgaḥ sudīrghaṃ pratipadyate || RATNA_01.13	kleSa-vyAla-avalIXa-aFgaH su-dIrGam pratipadyate || RATNA_01.13
   hiṃsayā jāyate 'lpāyuḥ bahvābādho vihiṃsayā |	hiMsayA jAyate alpa-AyuH bahu-AbADaH vihiMsayA |
   cauryeṇa bhogavyasanī saśa [ truḥ ] paradārikaḥ || RATNA_01.14	cOryeNa Boga-vyasanI saSas [ truH ] para-dArikaH || RATNA_01.14
   pratyākhyānaṃ mṛṣāvādāt paiśunyāt mitrabhedanam |	pratyAKyAnam mRzAvAdAt pESunyAt mitra-Bedanam |
   apriyaśravaṇaṃ raukṣyād abāddhād durbhagaṃ vacaḥ || RATNA_01.15	apriya-SravaNam rOkzyAt abAdDAt durBagam vacaH || RATNA_01.15
   manorathān hanty abhidhyā vyāpādo bhayadaḥ smṛtaḥ |	manoraTAn hanti aBiDyA vyApAdaH Baya-daH smRtaH |
   mithyādṛṣṭiḥ kudṛṣṭitvaṃ madyapānaṃ matibhramaḥ || RATNA_01.16	miTyAdRzwiH kudRzwi-tvam madya-pAnam mati-BramaH || RATNA_01.16
   apradānena dāridryaṃ mithyājivena vañcanā |	apradAnena dAridryam miTyA-ajivena vaQcanA |
   stambhena duḥkuḷīnatvam alpaujaskatvam īrṣayā || RATNA_01.17	stamBena duHku?Ina-tvam alpa-ojaska-tvam IrzayA || RATNA_01.17
   krodhād durvarṇatā maurkhyam apraśnena vipaścitām |	kroDAt durvarNa-tA mOrKyam apraSnena vipaScitAm |
   phalam etan manuṣyatve sarvebhyaḥ prāk ca durgatiḥ || RATNA_01.18	Palam etat manuzya-tve sarveByaH prAk ca durgatiH || RATNA_01.18
   esāṃ akuśalākhyānāṃ vipāko yaḥ prakīrtitaḥ |	esAm akuSala-AKyAnAm vipAkaH yaH prakIrtitaH |
   kuśalānāṃ ca sarveṣāṃ viparītaḥ phalodayaḥ || RATNA_01.19	kuSalAnAm ca sarvezAm viparItaH Pala-udayaH || RATNA_01.19
   lobho dveṣaś ca mohas ca tajjaṃ karmeti cāśubham |	loBaH dvezaH ca mohaH ca tad-jam karma-iti ca-aSuBam |
   alobhāmohādveṣāś ca tajjaṃ karmetarac chubhaṃ || RATNA_01.20	aloBA-mohAdvezAH ca tad-jam karma-itarat SuBam || RATNA_01.20
   aśubhāt sarvaduḥkhāni sarvadurgatayas tathā |	aSuBAt sarva-duHKAni sarva-durgatayaH taTA |
   śubhāt sugatayaḥ sarvāḥ sarvajanmasukhāni ca || RATNA_01.21	SuBAt sugatayaH sarvAH sarva-janma-suKAni ca || RATNA_01.21
   nivṛttir [ 2,b ] aśubhāt kṛtsnāt pravṛttis tu śubhe sadā |	nivRttiH [ 2,B ] aSuBAt kRtsnAt pravRttiH tu SuBe sadA |
   manasā karmaṇā vācā dharmo 'yaṃ dvividhaḥ smṛtaḥ || RATNA_01.22	manasA karmaNA vAcA DarmaH ayam dviviDaH smRtaH || RATNA_01.22
   narakapretatiryagbhyo dharmād asmād vimucyate |	naraka-preta-tiryagByaH DarmAt asmAt vimucyate |
   nṛṣu deveṣu cāpnoti sukhaśrīrājyavistarān || RATNA_01.23	nRzu devezu ca-Apnoti suKa-SrI-rAjya-vistarAn || RATNA_01.23
   dhyānāpramāṇārūpyais tu brahmādyasukham aśnute |	DyAna-apramANA-rUpyEH tu brahma-Adya-suKam aSnute |
   ityabhyudayadharmo 'yaṃ phalaṃ cāsya samāsataḥ || RATNA_01.24	iti-aByudaya-DarmaH ayam Palam ca-asya samAsatas || RATNA_01.24
   naiḥśreyasaḥ punar dharmaḥ sūkṣmo gambhīradarśanaḥ |	nEHSreyasaH punar DarmaH sUkzmaH gamBIra-darSanaH |
   bālānāṃ [ aśrotravatām ] uktas trāsakāro jinaiḥ || RATNA_01.25	bAlAnAm [ aSrotravatAm ] uktaH trAsakAraH jinEH || RATNA_01.25
   nāsmy ahaṃ na bhaviṣyāmi na me 'sti na bhaviṣyati |	na-asmi aham na BavizyAmi na me asti na Bavizyati |
   iti bālasya santrāsaḥ paṇḍitasya bhayakṣayaḥ || RATNA_01.26	iti bAlasya santrAsaH paNxitasya Baya-kzayaH || RATNA_01.26
   ahaṃkāraprasūteyaṃ mamakāropasaṃhitā |	ahaMkAra-prasUtA-iyam mamakAra-upasaMhitA |
   prajā prajāhitaikāntavādinā 'bhihitā khila || RATNA_01.27	prajA prajA-hita-ekAnta-vAdinA aBihitA Kila || RATNA_01.27
   asty ahaṃ mama cāstīti mithyaitat paramārthataḥ |	asti aham mama ca-asti-iti miTyA-etat paramArTataH |
