   Mṛgendratantra, Vidyāpāda, 1	MRgendra-tantra, VidyA-pAda, 1
   parameśaṃ namaskṛtya bharadvājam ṛṣiṃ tataḥ /	parameSam namaskRtya BaradvAjam Rzim tatas /
   harād indrakramāyātaṃ jñānaṃ śṛṇuta suvratāḥ || MrgT_1,1.1 ||	harAt indra-krama-AyAtam jQAnam SRNuta suvratAH || MrgT_1,1.1 ||
   * he suvratāḥ parameśvarabhaktiprakarṣaparipoṣitaśobhātiśayatvāt suṣṭhu	* he suvratAH parameSvara-Bakti-prakarza-paripozita-SoBa-atiSaya-tvAt suzWu
   śobhanaṃ vrataṃ śāstrīyaniyamānuṣṭhānaṃ yeṣāṃ ta eva śrotāraḥ saṃbodhitāḥ	SoBanam vratam SAstrIya-niyama-anuzWAnam yezAm te eva SrotAraH saMboDitAH
   // MrgTV_1,1.1:1	// MrgTV_1,1.1:1
   * yad vakṣyaty upasaṃhāre bhavatsu śivaśītāṃśujyotsnāpāṇḍuṣv idaṃ mayā //	* yat vakzyati upasaMhAre Bavatsu Siva-SItAMSu-jyotsnA-pANxuzu idam mayA //
   MrgTV_1,1.1:2	MrgTV_1,1.1:2
   * tadicchayā mayaivoktam iti // MrgTV_1,1.1:3	* tad-icCayA mayA-eva-uktam iti // MrgTV_1,1.1:3
   * harād indrakramāyātaṃ jñānaṃ śṛṇuta ākarṇayateti sambandhaḥ //	* harAt indra-krama-AyAtam jQAnam SRNutaH AkarNayata-iti sambanDaH //
   MrgTV_1,1.1:4	MrgTV_1,1.1:4
   * harati paśubhyaḥ pāśān puṃso 'py ūrdhvaṃ padaṃ tatas tu haraḥ //	* harati paSuByaH pASAn puMsaH api UrDvam padam tatas tu haraH //
   MrgTV_1,1.1:5	MrgTV_1,1.1:5
   * iti yady api yaugikīyaṃ saṃjñā ananteśādiṣv api sāmānyā tathāpi	* iti yadi api yOgikIyam saMjQA ananta-ISa-Adizu api sAmAnyA taTA-api
   indraśabdasaṃnidher ihomāpatāv eva haraśabdo jñeyaḥ // MrgTV_1,1.1:6	indra-Sabda-saMniDeH iha-umApatO eva hara-SabdaH jQeyaH // MrgTV_1,1.1:6
   * yathāhuḥ arthaḥ prakaraṇaṃ liṅgaṃ śabdasyānyasya saṃnidhiḥ //	* yaTA-AhuH arTaH prakaraNam liFgam Sabdasya-anyasya saMniDiH //
   MrgTV_1,1.1:7	MrgTV_1,1.1:7
   * proktāḥ sāmānyaśabdānāṃ viśeṣasthitihetavaḥ // MrgTV_1,1.1:8	* proktAH sAmAnya-SabdAnAm viSeza-sTiti-hetavaH // MrgTV_1,1.1:8
   * iti // MrgTV_1,1.1:9	* iti // MrgTV_1,1.1:9
   * kuta etad iti ced yasmād aindre asmin kāmikabhede bhagavata umāpater	* kutas etat iti ced yasmAt Endre asmin kAmika-Bede BagavataH umApateH-
   vaktṛtvena indrasya ca śrotṛtvenaiva sambandhaḥ pratītaḥ // MrgTV_1,1.1:10	vaktR-tvena indrasya ca SrotR-tvena-eva sambanDaH pratItaH // MrgTV_1,1.1:10
   * tathā hi purastād ihaiva munīnām indro vakṣyati /	* taTA hi purastAt iha-eva munInAm indraH vakzyati /
   * śivodgīrṇam idaṃ jñānaṃ mantramantreśvareśvaraiḥ /	* Siva-udgIrNam idam jQAnam mantra-mantreSvara-ISvarEH /
   * kāmadatvāt kāmiketi pragītaṃ bahuvistaram // MrgTV_1,1.1:11	* kAma-da-tvAt kAmikA-iti pragItam bahu-vistaram // MrgTV_1,1.1:11
   * tebhyo 'vagatya dṛgjyotirjvālālīḍhasmaradrumaḥ /	* teByaH avagatya dRS-jyotiH-jvAlA-lIXa-smara-drumaH /
   * dadāv umāpatir mahyam iti // MrgTV_1,1.1:12	* dadO umApatiH mahyam iti // MrgTV_1,1.1:12
   * tasmāddharāt śrīkaṇṭhanāthāt indrādikrameṇāyātam iti avatīrṇam //	* tasmAt-harAt SrIkaNWa-nATAt indra-Adi-krameNa-AyAtam iti avatIrNam //
   MrgTV_1,1.1:13	MrgTV_1,1.1:13
   * kiṃ tat // MrgTV_1,1.1:14	* kim tat // MrgTV_1,1.1:14
   * jñāyante anena vidyācaryākriyāyogā iti jñānaṃ śāstram // MrgTV_1,1.1:15	* jQAyante anena vidyA-caryA-kriyA-yogAH iti jQAnam SAstram // MrgTV_1,1.1:15
   * kiṃ kṛtvā śṛṇuta // MrgTV_1,1.1:16	* kim kRtvA SRNuta // MrgTV_1,1.1:16
   * parameśvaraṃ namaskṛtya sṛṣṭisthitisaṃkṣobhaṇādibhiś cidacillakṣaṇaṃ	* parameSvaram namaskRtya sRzwi-sTiti-saMkzoBaNa-AdiBiH cit-acit-lakzaNam
   viśvam īṣṭe itīśaḥ īdṛktvaṃ cānanteśādīnām apy astīti paramapadena	viSvam Izwe iti-ISaH IdRS-tvam ca-ananta-ISa-AdInAm api asti-iti parama-padena
   viśeṣaṇam // MrgTV_1,1.1:17	viSezaNam // MrgTV_1,1.1:17
   * paramaś cāsāv anyeṣāṃ tadanugrahataḥ śivatvābhivyakteḥ īśaś ca	* paramaH ca-asO anyezAm tad-anugrahataH Siva-tva-aBivyakteH ISaH ca
