   Adhyaya 3, Pada 1	ADyayaH 3, Pada 1
   // atha śrīmannyāyasudhāyāṃ tṛtīyādhyāyasya prathamaḥ pādaḥ //	// aTa SrImat nyAya suDAyAm tRtIya aDyAyasya praTamaH pAdaH //
   kṛpitāhiphaṇacchāyāsamīkṛtyāparaṃ sukham /	kRpita ahi PaNa= CAyA samIkRtya aparam suKam /
   sevante yatpadaṃ dhīrāstaṃ bhajevallabhaṃ śriyaḥ //	sevante yat padam DIrAH tam BajevallaBam SriyaH //
   sādhanavicāro 'yamadhyāyaḥ /	sADana vicAraH ayam aDyAyaH /
   vairāgyārthe gatyādinirūpaṇā prathamapāda ityadhyāyapādapratipādyaṃ bhāṣya	vErAgya arTe gati Adi nirUpaNA praTama pAdaH iti aDyAya pAda pratipAdyam BAzya
   eva sphuṭam /	eva sPuwam /
   saṅgatiṃ tu lāghavāyaikīkṛtyopari vakṣyāma	saFgatim tu lAGavAya ekIkRtya upari vakzyAma
   ityāśayavāṃstṛtīyā(dhyāya)dyapādādhikaraṇapūvarpakṣasiddhāntayuktīḥ	iti ASayavAn= tRtIyA( DyAya)dya pAda aDikaraNa pUvarpakza sidDAnta yuktIH
   saṅgraheṇāha  svābhāviketi //	saFgraheNa aha svABAvika iti //
   svābhāvikānyathānāmasahābhāvānyathoktayaḥ /	svABAvikAnyaTAnAma sahABAvAni aToktayaH /
   aviśeṣo viśeṣau ca sahabhāvo vimiśratā // MAnuv_3,1.1 //	aviSezaH viSezO ca sahaBAvaH vimiSratA // Ma anuv_3,1.1 //
   viruddhoktiḥ sahasthānaṃ vaiyarthyaṃ cānyathāgatiḥ /	virudDa uktiH saha sTAnam vEyarTyam ca anyaTAgatiH /
   yuktayaḥ pūrvapakṣasya guṇādhikyārthatobhavau // MAnuv_3,1.2 //	yuktayaH pUrva pakzasya guNa ADikya arTatoBavO // Ma anuv_3,1.2 //
   upapattirdvirūpatvamādhikyamanurūpatā /	upapattiH dvi rUpa tvam ADikyam anurUpa tA /
   yogyatā prabalatvaṃ ca vibhāgaḥ kāraṇābhavaḥ /	yogya tA prabala tvam ca viBAgaH kAraNa aBavaH /
   kḷptiranyāgatiścaiva siddhāntasyaiva sādhakāḥ // MAnuv_3,1.3 //	k?ptiH anyA gatiH ca eva sidDAntasya eva sADakAH // Ma anuv_3,1.3 //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   sādhakā iti vakṣyamāṇaṃ pūrvapakṣasyetyatrāpi sambaddhayate /	sADakAH iti vakzyamANam pUrva pakzasya iti atra api sambadDayate /
   pūrvapakṣasya siddhāntasyeti jātāvekavacanam /	pUrva pakzasya sidDAntasya iti jAtO= eka vacanam /
   sādhakā iti chāndaso nirdeśaḥ /	sADakAH iti CAndasaH nirdeSaH /
   yadvā yuktayaḥ pūrvapakṣasyetyatra sādhakā iti nyakṛṣṭate /	yat vA yuktayaH pUrva pakzasya iti atra sADakAH iti nyakRzwate /
   pūrvapakṣasambandhino yuktaya ityevārthaḥ /	pUrva pakza sambanDinaH yuktayaH iti eva arTaH /
   siddhāntasyaiva sādhakā ityatra tu nyāyā iti śeṣaḥ /	sidDAntasya eva sADakAH iti atra tu nyAyAH iti SezaH /
   atra sūtram yoneḥ śarīramiti /	atra sUtram yoneH SarIram iti /
   tadvayākhyātaṃ bhāṣye /	tat vayA AKyAtam BAzye /
   svargādavāggato jīvo vṛṣṭidvārā vrīhyādibījeṣu saṅkrānto	svargAt avAk gataH jIvaH vRzwi dvArA vrIhi Adi bIjezu saFkrAntaH 
   retasmi(caṃpu)kpuruṣaṃ praviśya saha retasā mātryonidvāreṇa jaṭharaṃ	retasmi( caMpu)j puruzam praviSya saha retasA mAtryoni dvAreNa jaWaram
