   Pariccheda 1	Pari=-CedaH 1
   aum namo buddhāya |	Om namaH budDAya |
   sugatān sasutān sadharmakāyān praṇipatyādarato 'khilāṃśca vandyān /	sugatAn sa-sutAn sa-Darma-kAyAn praNipatya-AdarataH aKilAn=-ca vandyAn /
   sugatātmajasaṃvarāvatāraṃ kathayiṣyāmi yathāgamaṃ samāsāt // Bca_1.1 //	sugata-Atmaja-saMvara-avatAram kaTayizyAmi yaTAgamam samAsAt // Bca_1.1 //
   na hi kiṃcidapūrvamatra vācyaṃ na ca saṃgrathanakauśalaṃ mamāsti /	na hi kiMcid-apUrvam-atra vAcyam na ca saMgraTana-kOSalam mama-asti /
   ataeva na me parārthacintā svamano vāsayituṃ kṛtaṃ mamedaṃ // Bca_1.2 //	ataeva na me para-arTa-cintA sva-manaH vAsayitum kRtam mama-idam // Bca_1.2 //
   mama tāvadanena yāti vṛddhiṃ kuśalaṃ bhāvayituṃ prasādavegaḥ /	mama tAvat-anena yAti vRdDim kuSalam BAvayitum prasAda-vegaH /
   atha matsamadhātureva paśyed aparo 'pyenamato 'pi sārthako 'yaṃ // Bca_1.3	aTa mad-sama-DAtuH-eva paSyet aparaH api-enam-atas api sArTakaH ayam // Bca_1.3
   kṣaṇasaṃpadiyaṃ sudurlabhā pratilabdhā puruṣārthasādhanī /	kzaNa-saMpad-iyam su-durlaBA pratilabDA puruza-arTa-sADanI /
   yadi nātra vicintyate hitaṃ punarapyeṣa samāgamaḥ kutaḥ // Bca_1.4 //	yadi na-atra vicintyate hitam punar-api-eza samAgamaH kutas // Bca_1.4 //
   rātrau yathā meghaghanāndhakāre vidyutkṣaṇaṃ darśayati prakāśaṃ /	rAtrO yaTA meGa-Gana-anDakAre vidyut-kzaNam darSayati prakASam /
   buddhānubhāvena tathā kadācil-lokasya puṇyeṣu matiḥ kṣaṇaṃ syāt // Bca_1.5	budDa-anuBAvena taTA kadAcid---lokasya puNyezu matiH kzaNam syAt // Bca_1.5
   tasmācchubhaṃ durbalameva nityaṃ balaṃ tu pāpasya mahatsughoraṃ /	tasmAt-SuBam durbalam-eva nityam balam tu pApasya mahat-su-Goram /
   tajjīyate 'nyena śubhena kena saṃbodhicittaṃ yadi nāma na syāt // Bca_1.6	tat-jIyate anyena SuBena kena saMboDi-cittam yadi nAma na syAt // Bca_1.6
   kalpānanalpān pravicintayadbhir dṛṣṭaṃ munīndrairhitametadeva /	kalpAn-analpAn pravicintayadBiH dRzwam muni-indrEH-hitam-etat-eva /
   yataḥ sukhenaiva sukhaṃ pravṛddham utplāvayatyapramitāñjanaughān //	yatas suKena-eva suKam pravRdDam utplAvayati-apramitAn-jana-oGAn //
   Bca_1.7 //	Bca_1.7 //
   bhavaduḥkhaśatāni tartukāmair api sattvavyasanāni hartukāmaiḥ /	Bava-duHKa-SatAni tartu-kAmEH api sattva-vyasanAni hartu-kAmEH /
   bahusaukhyaśatāni bhoktukāmair na vimocyaṃ hi sadaiva bodhicittaṃ //	bahu-sOKya-SatAni Boktu-kAmEH na vimocyam hi sadA-eva boDi-cittam //
   Bca_1.8 //	Bca_1.8 //
   bhavacārakabandhano varākaḥ sugatānāṃ suta ucyate kṣaṇen /	Bava-cAraka-banDanaH varAkaH sugatAnAm sutaH ucyate kzaNet /
   na narāmaralokavandanīyo bhavati smodita eva bodhicitte // Bca_1.9 //	na nara-amara-loka-vandanIyaH Bavati sma-uditaH eva boDi-citte // Bca_1.9 //
   aśucipratimāmimāṃ gṛhītvā jinaratnapratimāṃ karotyanarghāṃ /	aSuci-pratimAm-imAm gRhItvA jinaratna-pratimAm karoti-anarGAm /
   rasajātamatīva vedhanīyaṃ sudṛḍhaṃ gṛhṇata bodhicittasaṃjñaṃ // Bca_1.10	rasajAtam-atIva veDanIyam su-dRXam gRhNata boDi-citta-saMjQam // Bca_1.10
   suparīkṣitamaprameyadhībhir bahumūlyaṃ jagadekasārthavāhaiḥ /	su-parIkzitam-aprameya-DIBiH bahu-mUlyam jagat-eka-sArTavAhEH /
   gatipattanavipravāsaśīlāḥ sudṛḍhaṃ gṛhṇata bodhicittaratnaṃ // Bca_1.11 //	gati-pattana-vipravAsa-SIlAH su-dRXam gRhNata boDi-citta-ratnam // Bca_1.11 //
   kadalīva phalaṃ vihāya yāti kṣayamanyatkuśalaṃ hi sarvameva /	kadalI-iva Palam vihAya yAti kzayam-anyat-kuSalam hi sarvam-eva /
   satataṃ phalati kṣayaṃ na yāti prasavatyeva tu bodhicittavṛkṣaḥ //	satatam Palati kzayam na yAti prasavati-eva tu boDi-citta-vRkzaH //
   Bca_1.12 //	Bca_1.12 //
   kṛtvāpi pāpāni sudāruṇāni yadāśrayāduttarati kṣaṇena /	kRtvA-api pApAni su-dAruNAni yad-ASrayAt-uttarati kzaNena /
   śūrāśrayeṇeva mahābhayāni nāśrīyate tatkathamajñasattvaiḥ // Bca_1.13 //	SUra-ASrayeNa-iva mahA-BayAni na-ASrIyate tat-kaTam-ajQa-sattvEH // Bca_1.13 //
   yugāntakālānalavanmahānti pāpāni yannirdahati kṣaṇena /	yuga-anta-kAla-anala-vat-mahAnti pApAni yat-nirdahati kzaNena /
