   pariśiṣṭam	pariSizwam
   bāṇa-praśastayaḥ	bANa--praSastayaH
   śleṣe kecana śabdagumphaviṣaye kecid rase cāpare	Sleze kecana Sabda-gumPa-vizaye kecid rase ca-apare
   'laṅkāre katicitsadarthaviṣaye cānye kathāvarṇane /	alaFkAre katicid-sad-arTa-vizaye ca-anye kaTA-AvarNane /
   āḥ sarvatra gabhīradhīrakavitāvindyāṭavīcāturī-	AH sarvatra gaBIra-DIra-kavitA-a=-indya-awavI-cAturI-
   sañcārī kavikumbhikumbhabhiduro bāṇastu pañcānanaḥ // 1 //	saQcArI kavi-kumBi-kumBa-BiduraH bANaH-tu paQcAnanaH // 1 //
   (śrīcandradevasya)	(SrI-candradevasya)
   hemno bhāraśatāni vā madamucāṃ vṛndāni vā dantināṃ	hemnaH BAra-SatAni vA mada-mucAm vRndAni vA dantinAm
   śrīharṣeṇa samarpitāni kavaye bāṇāya kutrādya tat /	SrI-harzeNa samarpitAni kavaye bANAya kutra-adya tat /
   yā bāṇena tu tasya sūktinikarairuṭṭaṅkitāḥ kīrtayas	yAH bANena tu tasya sUkti-nikarEH-uj-waFkitAH kIrtayaH-
   tāḥ kalpapralaye 'pi yānti na manāṅ manye parimlānatām // 2 //	tAH kalpa-pralaye api yAnti na manAk manye parimlAna-tAm // 2 //
   (ruyyakakṛtavyaktivivekavyākhyāne)	(ruyyaka-kRta-vyakti-viveka-vyAKyAne)
   artheśvaraṃ hanta bhaje 'bhinandaṃ vāgīśvaraṃ vākpatirājamīḍe /	arTeSvaram hanta Baje aBinandam vAgISvaram vAkpati-rAjam-Ixe /
   raseśvaraṃ naumi ca kālidāsaṃ bāṇaṃ tu sarvaśvaramānato 'smi // 3 //	raseSvaram nOmi ca kAli-dAsam bANam tu sarva-Svara-mAnataH asmi // 3 //
   (udayasundaryāṃ soḍhvalasya)	(udayasundaryAm soXvalasya)
   pariśīlitaiva sarasaṃ kavirājairbahubhiratra vāgdevī /	pariSIlitA-eva sarasam kavi-rAjEH-bahuBiH-atra vAgdevI /
   bāṇena tu vaijātyāt kathayati nāmaiva vāṇīti // 4 //	bANena tu vEjAtyAt kaTayati nAma-eva vANi-iti // 4 //
   (viśveśvarasya)	(viSveSvarasya)
   kādambarīsahodaryā sudhaye vai budhe hṛdi /	kAdambarI-sahodaryA suDaye vE buDe hRdi /
   harṣākhyāyikayā khyātiṃ bāṇo 'bdhiriva labdavān // 5 //	harza-AKyAyikayA KyAtim bANaH abDiH-iva labdavAn // 5 //
   śaśvadbāṇadvitīyena namadākāradhāriṇā /	SaSvat-bANa-dvitIyena namat-AkAra-DAriNA /
   dhanuṣeva guṇāḍhyena niḥśeṣo rañjito janaḥ // 6 //	DanuzA-iva guNa-AXyena niHSezaH raQjitaH janaH // 6 //
   (trivikramasya)	(trivikramasya)
   jātā śikhaṇḍinī prāgyathā śikhaṇḍī tathāvagacchāmi /	jAtA SiKaNxinI prAk-yaTA SiKaNxI taTA-avagacCAmi /
   prāgalbhyamadhikamāptuṃ vāṇī bāṇo babhūveti // 7 //	prAgalByam-aDikam-Aptum vANI bANaH baBUva-iti // 7 //
   (govardhanasya)	(govarDanasya)
   hṛdi lagnena bāṇena yanmando 'pi padakramaḥ /	hRdi lagnena bANena yat-mandaH api pada-kramaH /
   bhavet kavikuraṅgāṇāṃ cāpalaṃ tatra kāraṇam // 8 //	Bavet kavi-kuraFgANAm cApalam tatra kAraNam // 8 //
   subandhurbāṇabhaṭṭaśca kavirāja iti trayaḥ /	subanDuH-bANa-BawwaH-ca kavi-rAjaH iti trayaH /
   vakroktimārganipuṇāścaturtho vidyate na vā // 9 //	vakra-ukti-mArga-nipuNAH-caturTaH vidyate na vA // 9 //
   sacitravarṇavicchittihāriṇoravanīpatiḥ /	sa-citra-varNa-vicCitti-hAriNa-uH-avanIpatiH /
   śrīharṣa iva saṃghaṭṭaṃ cakre bāṇamayūrayoḥ // 10 //	SrI-harzaH iva saMGawwam cakre bANa-mayUrayoH // 10 //
   (navasāhasāṅke)	(nava-sAhasa-aFke)
   pratikavibhedanabāṇaḥ kavitātarugahanaviharaṇamayūraḥ /	pratikavi-Bedana-bANaH kavi-tA-taru-gahana-viharaNa-mayUraH /
   sahṛdayalokasubandhurjayati śrībhaṭṭabāṇakavirājaḥ // 11 //	sahRdaya-loka-subanDuH-jayati SrI-Bawwa-bANaka-virAjaH // 11 //
   (vīranārāyaṇacarite)	(vIra-nArAyaNa-carite)
   yuktaṃ kādambarīṃ śrutvā kavayo maunamāśritāḥ /	yuktam kAdambarIm SrutvA kavayaH mOnam-ASritAH /
   bāṇadhvanāvanadhyāyo bhavatīti smṛtiryataḥ // 12 //	bANa-DvanA-vanaDyAyaH Bavati-iti smRtiH-yatas // 12 //
