   īśvarasiddhiḥ /	ISvara-sidDiH /
   siddhāñjananāmakavyākhyopetā /	sidDAQjana-nAmaka-vyAKyA-upetAH /
   (sū0) tatra kasyacidekasya vaśe viśvaṃ pravartate /	(sU0) tatra kasyacid-ekasya vaSe viSvam pravartate /
   iti sādhayituṃ pūrvaṃ pūrvapakṣaṃ pracakṣmahe // 1 //	iti sADayitum pUrvam pUrva-pakzam pracakzmahe // 1 //
   tatra mīmāṃsakāḥ prāhuḥ - nāyaṃ sarvārthadarśanaśaktisampannaḥ puruṣo	tatra mImAMsakAH prAhuH  na-ayam sarva-arTa-darSana-Sakti-sampannaH puruzaH-
   'bhyupagamamarhati,	aByupagamam-arhati,
   atipatitasakalasādhakapramāṇasambhāvanābhūmitvātsphuṭavividhabādhakatvācca	ati-patita-sakala-sADaka-pramANa-samBAvanA-BUmi-tvAt-sPuwa-viviDa-bADaka-tvAt-ca
   / tathāhi - asya papratyakṣamanyadvā sādhakaṃ bhavet ? pratyakṣamapi	/ taTA-hi  asya papratyakzam-anyat-vA sADakam Bavet ? pratyakzam-api
   laukikaṃ yaugikaṃ vā ?	lOkikam yOgikam vA ?
   (vyākhyā) dhyātvā śrīpaticaraṇau natvā cācāryapādadmayugam /	(vyAKyA) DyAtvA SrIpati-caraNO natvA ca-AcArya-pAda-dma-yugam /
   īśvarasiddhervivṛtiṃ kurve lalitāṃ sukhāvabodhārthām // 1 //	ISvara-sidDeH-vivRtim kurve lalitAm suKa-avaboDa-arTAm // 1 //
   trayyantasiddha īśo matastu sadyukticintakairaniśam /	trayI-anta-sidDaH ISaH mataH-tu sat-yukti-cintakEH-aniSam /
   bhaktyā dhyānābhyāsāt prakaṭaḥ prajñāṃ tanotu me śubhrām // 2 //	BaktyA DyAna-aByAsAt prakawaH prajQAm tanotu me SuBrAm // 2 //
   atha khalu tatrabhavān paramācāryaḥ śrīmadbhagavadyāmunamunirātmacintāṃ	aTa Kalu tatraBavAn parama-AcAryaH SrImat-Bagavat-yAmuna-muniH-Atma-cintAm
   vidhāyātmasiddhau paramātmacintāṃ	viDAya-Atma-sidDO paramAtma-cintAm
   vidadhadīśvarasiddhāvīśvarasādhakapramāṇavyavasthāpanāyopakramamāṇaḥ	vidaDat-ISvara-sidDO=-ISvara-sADaka-pramANa-vyavasTApanAya-upakramamANaH
   pratijānīte tatre ti / samastamaṃ cetanācatanātmakaṃ jagat ekasya -	pratijAnIte tatre ti / samastamam cetanA-catana-Atmakam jagat ekasya -
