   bhadracaryāvidhiḥ ṣoḍaśaḥ paricchedaḥ ||	BadracaryA-viDiH zoxaSaH paricCedaH ||
   idānīṃ trayāṇām api vṛddhir vā-	idAnIm trayANAm api vRdDiH vA-
   [ Cambridge MS f119a ---> ]	[ Cambridge M f119aH ---> ]
   cyā ||	cyAH ||
   kim arthaṃ |	kim arTam |
   grahītāraḥ subahavaḥ svalpaṃ cêdam anena kiṃ |	grahItAraH su-bahavaH su-alpam cêdam anena kim |
   na câtitṛptijanakaṃ vardhanīyam idaṃ tataḥ ||atitṛpti buddhatvaṃ |	na câti-tRpti-janakam varDanIyam idam tatas ||atitRpti budDa-tvam |
   tan na śrāvakasādhāraṇena śuddhimātreṇa satvānāṃ janyatae ity arthaḥ |	tat na SrAvaka-sADAraNena SudDi-mAtreNa satvAnAm janyatae iti arTaH |
   ātmabhāvasya kā vṛddhir balânālasya vardhanaṃ ||	Atma-BAvasya kA vRdDiH balânAlasya varDanam ||
   [ Bendall ed p274 ---> ]	[ Bet-dalt ed p274 ---> ]
   tatrâryaratnameghe balam uktaṃ |na sa satvaḥ satvanikāye saṃvidyate yo	tatrârya-ratna-meGe balam uktam |na sa satvaH satva-nikAye saMvidyate yaH-
   bodhisatvasya balena balaṃ mardayed ity ādi ||	boDisatvasya balena balam mardayet iti Adi ||
   tasya kathaṃ vardhanam |	tasya kaTam varDanam |
   yad uktam āryatathāgataguhyasūtre āryavajrapāṇer	yat uktam Arya-taTAgata-guhya-sUtre Arya-vajrapANeH-
   baladarśanavismitâjātaśatrupṛṣṭena bhagavatā |	bala-darSana-vismitâ-jAta-Satru-pRzwena BagavatA |
   daśabhir mahārāja dharmaiḥ samanvāgato bodhisatvâivaṃrūpāṃ balavattāṃ	daSaBiH mahA-rAja DarmEH samanvAgataH boDisatvâi-vaMrUpAm balavat-tAm
   pratilabhate |katamair daśabhiḥ |	pratilaBate |katamEH daSaBiH |
   iha mahārāja bodhisatvaḥ kāyaṃ jīvitaṃ ca parityajati |	iha mahA-rAja boDisatvaH kAyam jIvitam ca parityajati |
   na ca punaḥ saddharmaṃ parityajati |	na ca punar sat-Darmam parityajati |
   sarvasatvānāṃ câvanamati na ca punar mānaṃ bṛṃhayati |	sarva-satvAnAm câvanamati na ca punar mAnam bRMhayati |
   durbalānāṃ ca satvānāṃ kṣamate |	durbalAnAm ca satvAnAm kzamate |
   na pratighaṃ karoti |	na pratiGam karoti |
   jighatsitānāṃ ca satvānām agraṃ varabhojanaṃ dadāti |	jiGatsitAnAm ca satvAnAm agram vara-Bojanam dadAti |
   bhītānāṃ ca satvānām abhayaṃ dadāti |	BItAnAm ca satvAnAm aBayam dadAti |
   glānānāṃ ca satvānāṃ bhūtacikitsāyai utsuko bhavati |	glAnAnAm ca satvAnAm BUta-cikitsAyE utsukaH Bavati |
   daridrāṃś ca satvān bhogaiḥ saṃtarpayati |	daridrAn ca satvAn BogEH saMtarpayati |
   tathāgatacaitye ca sudhāpiṇḍalepanaṃ karoti |	taTAgata-cEtye ca suDA-piNxa-lepanam karoti |
   ānandavacanaṃ satvānāṃ śrāvayati |	Ananda-vacanam satvAnAm SrAvayati |
   daridraduṣkhitānāṃ ca satvānāṃ bhogasaṃvibhāgaṃ karoti |	daridra-duzKitAnAm ca satvAnAm Boga-saMviBAgam karoti |
   śrāntaklāntānāṃ ca satvānāṃ bhāraṃ vahati |	SrAnta-klAntAnAm ca satvAnAm BAram vahati |
   ebhir mahārāja daśabhir iti ||	eBiH mahA-rAja daSaBiH iti ||
   [ Bendall ed p275 ---> ]	[ Bet-dalt ed p275 ---> ]
   anālasyavardhanaṃ katamat |	anAlasya-varDanam katamat |
   yad vīryavardhanaṃ |	yat vIrya-varDanam |
   yathôktaṃ sāgaramatisūtre |	yaTôktam sAgaram-ati-sUtre |
   ārabdhavīryeṇa sāgaramate bodhisatvena bhavitavyaṃ sadā dṛḍhaparākrameṇa |	ArabDa-vIryeNa sAgara-mate boDisatvena Bavitavyam sadA dRXa-parAkrameNa |
   tīvracchandena bodhisatvena bhavitavyam anikṣiptadhureṇa |	tIvra=-Candena boDisatvena Bavitavyam anikzipta-DureNa |
   ārabdhavīryāṇāṃ hi sāgaramate bodhisatvānāṃ na durlabhā bhavaty anuttarā	ArabDa-vIryANAm hi sAgara-mate boDisatvAnAm na durlaBA Bavati anuttarA
   samyaksaṃbodhiḥ |	samyaksaMboDiH |
   tat kasya hetoḥ |	tat kasya hetoH |
   yatra sāgaramate vīryaṃ tatra bodhiḥ |	yatra sAgara-mate vIryam tatra boDiH |
   kusīdānāṃ punaḥ sudūravidūre bodhiḥ |	kusIdAnAm punar su-dUra-vidUre boDiH |
   nâsti kusīdasya dānaṃ yāvan nâsti prajñā	nâsti kusIdasya dAnam yAvat nâsti prajQA
   [ Cambridge MS f120a ---> ]	[ Cambridge M f120aH ---> ]
   nâsti kusīdasya parârthêti ||	nâsti kusIdasya parârTêti ||
   candrapradīpasūtre 'py āha |	candra-pradIpa-sUtre api Aha |
   utpalaṃ vārimadhye vā so 'nupūrveṇa vardhatae |ity ādi ||	utpalam vAri-maDye vA saH anupUrveNa varDatae |iti Adi ||
   iyaṃ saṃkṣepād ātmabhāvavṛddhiḥ ||	iyam saMkzepAt Atma-BAva-vRdDiH ||
   śūnyatā karuṇāgarbhād dānād bhogasya vardhanaṃ ||	SUnyatA karuNA-garBAt dAnAt Bogasya varDanam ||
   yathôktaṃ vajracchedikāyāṃ |	yaTôktam vajra=-CedikAyAm |
   yo bodhisatvo 'pratiṣṭhito dānaṃ dadāti |	yaH boDisatvaH apratizWitaH dAnam dadAti |
