   1. Vairagyaprakarana	1. VEragya prakarana
   oṃ {#1}	om {#1}
        svātantryākhyaguṇeritena satataṃ saṅkṣobhyamāṇān nijād {#2}	svAtantrya AKya guNa Iritena satatam saFkzoByamANAn nijAt {#2}
        icchāmandarakeṇa sārabharitād rūpād alolāt sadā |	icCA mandarakeNa sAra BaritAt rUpAt alolAt sadA |
        svāntaḥsthaṃ svamayaṃ svabhinnasadṛśaṃ tattvāliratnoccayam {#3}	sva antaHsTam sva mayam sva Binna sadRSam tattva ali ratna uccayam {#3}
        bodhāhvaḥ {#4} pratibhāsayan parasarinnātho jayaty adbhutaḥ || *1 ||	boDAhvaH {#4} pratiBAsayan para sarit nATaH jayati adButaH || *1 ||
   ***NOTES:	***NOTa ES:
   #1 (Schreiberspruch:) N11 oṃ śrīgaṇeśāya namaḥ; °4 oṃ namo bhagavate	#1 (H CreibeH spruC:) N11 om SrI gaNeSAya namaH; °4 om namaH Bagavate
   vāsudevāya || oṃ	vAsudevAya || om
   #2 N11: °ṇāt svajād (s.m. auf übergeklebtem Papier)	#2 N11: °NAt svajAt (s.m. Of übergeklebtem PapieH )
   #3 N11: °ścayam	#3 N11: °Scayam
   #4 °4: °āhṇaḥ	#4 °4: °AhNaH
        śuddhaṃ sphāṭikadarpaṇena sadṛśaṃ nityaṃ svaśaktyutthitair {#5}	SudDam sPAwika darpaNena sadRSam nityam sva Sakti utTitEH {#5}
        acchatvāt svamayīkṛtam bahuvidhair {#6} bāhyāntaraiḥ svair malaiḥ |	acCatvAt sva mayIkRtam bahuviDEH {#6} bAhya antarEH svEH malEH |
        śaktyaitān api sarvadātmani layīkurvāṇam ādyaṃ śivam	SaktyA etAn api sarvadA Atmani layIkurvANam Adyam Sivam
        bodhāhvam {#7} praṇato 'smi devam anaghaṃ ṣaṭkośadāvānalam || *2 ||	boDAhvam {#7} praNataH asmi devam anaGam zaz koSa dAva analam || *2 ||
   ***NOTES:	***NOTa ES:
   #5 N11: su°	#5 N11: su°
   #6 °4: °dhaiḥ	#6 °4: °DEH
   #7 °4: °āhṇaḥ	#7 °4: °AhNaH
        bodhābodhavibhedabhāsanaparam {#8} bodhānvitair bodhitam	boDA boDa viBeda BAsana param {#8} boDa anvitEH boDitam
        bodhābodhavihīnamūrtim amalam bodhaikasāraṃ vibhum |	boDA boDa vihIna mUrtim amalam boDa eka sAram viBum |
        bodhābodhavibhedagopanakaraṃ {#9} svasmiṃs tu tasyāpy anu	boDA boDa viBeda gopana karam {#9} svasmin tu tasya api anu
        bodhaṃ taṃ śaraṇaṃ śrayāmi satataṃ sadbodhasamprāptaye || *3 ||	boDam tam SaraNam SrayAmi satatam sat boDa samprAptaye || *3 ||
   ***NOTES:	***NOTa ES:
   #8 °4: °vibodhabhā°	#8 °4: °viboDa BA°
   #9 N11: bodhe bo°; °4: °kaṃraṃ	#9 N11: boDe bo°; °4: °kaMram
        svacchatvāśrayamātṛbhāvabhajanād vaiḍūryanāmārhatām	svacCa tva ASraya mAtR BAva BajanAt vExUrya nAma arha tAm
        āsādyānv avatāranāmakalanām {#10} etyācchameyāspadām {#11} |	AsAdyAnu avatAra nAma kalanAm {#10} etyAt Sameya AspadAm {#11} |
        tattvaṃ svam prakaṭaṃ vidhāya ca tataḥ svam bhāvam evāgato	tattvam svam prakawam viDAya ca tatas svam BAvam eva AgataH 
        yas {#12} tasmai satataṃ svabhāvagurave nairguṇyadhāmne namaḥ || *4	yaH {#12} tasmE satatam svaBAva gurave nErguNya DAmne namaH || *4
   ***NOTES:	***NOTa ES:
   #10 °4: a*va*tā°; N11: °kula°	#10 °4: a*va*tA°; N11: °kula°
   #11 N11: °neyā°	#11 N11: °neyA°
   #12 N11: yaḥ	#12 N11: yaH
        acchācchasvavimarśane 'pi kuśalo vaiḍūryanāmnāśrito	acCa acCa sva vimarSane api kuSalaH vExUrya nAmnA ASritaH 
        yāto 'to 'nv avatārabhāvam amalaṃ tattvopadeśecchayā |	yAtaH atas anu avatAra BAvam amalam tattva upadeSa icCayA |
        śiṣyāṇām upadiśya tattvam atha yaḥ svaṃ rūpam evāgatas	SizyANAm upadiSya tattvam aTa yaH svam rUpam eva Agata s
        tasmai śrīnidhaye prakāśagurave sadbodhadātre namaḥ || *5 ||	tasmE SrIniDaye prakASa gurave sat boDa dAtre namaH || *5 ||
        dehādristhamanodrumotthakalanāśākhālisandhyantarād {#13}	deha adri sTa manaH druma utTa kalanA SAKAli sanDi antarAt {#13}
        draṣṭuṃ jāḍyaharaṃ vimarśavibhavād unmeṣarūpaṃ ravim |	drazwum jAxya haram vimarSa viBavAt unmeza rUpam ravim |
        lagnā ye satataṃ tadekamayatām paśyanta ātmany atho {#14}	lagnAH ye satatam tat ekamaya tAm paSyantaH Atmani aTo {#14}
        saṃsāre 'pi ca tatprakāśavaśato bhāte 'stu tebhyo namaḥ || *6 ||	saMsAre api ca tad prakASa vaSataH BAte astu teByaH namaH || *6 ||
   ***NOTES:	***NOTa ES:
   #13 N11: °morthaka nāśakhā°	#13 N11: °morTa ka nA Sa KA°
   #14 N11: artho	#14 N11: arTaH 
        apūrvaṃ sāmarthyaṃ kim api hṛdayāgocara idam	apUrvam sAmarTyam kim api hRdaya agocaraH idam
        paricchedātītaṃ jayati laghumukhyam bhagavataḥ |	paricCeda atItam jayati laGu muKyam BagavataH |
        vivṛttyākhye karmaṇy atimahati vākpatyaviṣaye {#15}	vivRtti AKye karmaNi ati mahati vAc patya vizaye {#15}
        yadāviṣṭo 'muṣminn api bhajati mūko 'py adhikṛtim {#16} || *7 ||	yadA AvizwaH amuzmin api Bajati mUkaH api aDikRtim {#16} || *7 ||
   ***NOTES:	***NOTa ES:
   #15 N11: vākyatya°	#15 N11: vAkyati a°
   #16 N11: abhi°	#16 N11: aBi°
        svataḥsiddhāl labdham paramagahanaṃ yat svajanakād	svatas sidDAt labDam parama gahanam yat sva janakAt 
        rahasyaṃ saṅkṣepān niratiśayam ābhyantaram alam {#17} |	rahasyam saFkzepAt niratiSayam AByantaram alam {#17} |
        tad etat {#18} sarveṣu prakaṭayitum evātra vihito	tat etat {#18} sarvezu prakawayitum eva atra vihitaH 
        mayāsāv udyogo na nijadhiṣaṇākhyāpanadhiyā || *8 ||	mayA asO udyogaH na nija DizaNa AKyApana DiyA || *8 ||
   ***NOTES:	***NOTa ES:
   #17 N11: idṛm (s.m. auf übergeklebtem Papier)	#17 N11: idRm (s.m. Of übergeklebtem PapieH )
   #18 N11: etatat	#18 N11: etatat 
        svabhāvenaivāndhāḥ {#19} katicid apare roṣatamasā	svaBAvena eva anDAH {#19} katicid apare roza tamasA
        pareṣāṃ nāpekṣā bhavati ca nijālokavibhavāt |	parezAm na apekzA Bavati ca nija Aloka viBavAt |
        ato vyākhyādīpe 'prakaṭa iva nātrāsty adhikṛto {#20}	atas vyAKyA dIpe aprakawaH iva na atra asti aDikRtaH {#20}
        bhaved vā ko 'pīti bhramata iha yatnas tu racitaḥ || *9 ||	Bavet vA kaH api iti BramataH iha yatnaH tu racitaH || *9 ||
   ***NOTES:	***NOTa ES:
   #19 N11: prabodhenai° (s.m. auf übergeklebtem Papier)	#19 N11: praboDenE° (s.m. Of übergeklebtem PapieH )
   #20 N11: vyākhyāyāṃ me khalu ka iva cātrārūpa° (s.m. auf übergeklebtem	#20 N11: vyAKyAyAm me Kalu kaH iva ca atra arUpa° (s.m. Of übergeklebtem
   Papier)	PapieH )
        avatārakaṇṭhaputraḥ pautro vaiḍūryakaṇṭhapādānām |	avatAra kaNWa putraH pOtraH vExUrya kaNWa pAdAnAm |
        bhāskarakaṇṭho racayati vidvatkaṇṭhe vibhūṣaṇaṃ vyākhyām || *10 ||	BAskara kaNWaH racayati vidvat kaNWe viBUzaNam vyAKyAm || *10 ||
        śaktyādīnām abhāve me pravṛttasya pade pade |	Sakti AdInAm aBAve me pravRttasya pade pade |
        skhalitāni bhaviṣyanti santu santo 'valambanam || *11 ||	sKalitAni Bavizyanti santu santaH avalambanam || *11 ||
        nutvā gaṇeśaṃ vibudheśavandyaṃ vāgdevatāṃ ca pratibhāsvarūpām |	nutvA gaNeSam vibuDa ISa vandyam vAgdevatAm ca pratiBA svarUpAm |
        gurūṃs tathā kaulanarottamādīn karomi ṭīkāṃ śrutipātrapeyām || *12 ||	gurUn taTA kOla nara uttama AdIn karomi wIkAm Sruti pAtra peyAm || *12 ||
        gurūṇāṃ caraṇau smṛtvā kṛtvā svātmārcanaṃ svataḥ |	gurUNAm caraNO smRtvA kRtvA sva Atma arcanam svatas |
        mokṣopāyābhidhe granthe vyākhyāṃ kurve samāsataḥ || *13 ||	mokza upAya aBiDe granTe vyAKyAm kurve samAsatas || *13 ||
   iha khalu kaścin mahāpuruṣaḥ {#1}	iha Kalu kaScid mahApuruzaH {#1}
   śrīvālmīkinibaddhaśrīmahārāmāyaṇākhyasāgarādikāṇḍasthaśrīrāmajñānotpādakaśrīvasiṣṭhopadeśaratnaiḥ	SrIvAlmIki nibadDa SrI mahArAmAyaNa AKya sAgara Adi kANxa sTa SrI rAma jQAna utpAdaka SrI vasizWa upadeSa ratnEH
   svayam āsāditasamyagjñānākhyaprakāśaḥ {#2} athānyān prati dayayā	svayam AsAdita samyak jQAna AKya prakASaH {#2} aTa anyAn prati dayayA
   prakaṭīkaraṇārtham proktasāgarāt tāny	prakawIkaraNa arTam prokta sAgarAt tAni 
   uddhartukāmas taduddhṛtinirvighnasamāptigamanāya paradevatāsvarūpam	udDartu kAmaH tad udDRti nirviGna samApti gamanAya para devatA svarUpam
   paramātmānaṃ stauti	paramAtmAnam stOti
        divi bhūmau tathākāśe bahir antaś ca me vibhuḥ /	divi BUmO taTA AkASe bahis antar ca me viBuH /
        yo 'vabhāty avabhāsātmā tasmai viśvātmane namaḥ // Mo_1,1.1 //	yaH avaBAti avaBAsa AtmA tasmE viSvAtmane namaH // MaH _1,1.1 //
   "tasmai" prasiddhāya | "viśvātmane" sarvasāratvena sthitatvāt sarveṣām	"tasmE" prasidDAya | "viSvAtmane" sarva sAra tvena sTita tvAt sarvezAm
   ātmabhūtāyārthāt paramātmane "namaḥ" | aparimitāyāṃ tatsattāyām	Atma BUtAya arTAt paramAtmane "namaH" | aparimitAyAm tad sattAyAm
   parimitasvasattānyagbhāvarūpaḥ prahvībhāvaḥ astu | tatsattāyām eva	parimita sva sattA ani agBAva rUpaH prahvIBAvaH astu | tad sattAyAm eva
   svasattāṃ līnām bhāvayāmīti yāvat | "tasmai" kasmai | "avabhāsātmā"	sva sattAm lInAm BAvayAmi iti yAvat | "tasmE" kasmE | "ava BAsa AtmA"
   bāhyāntarālokagatanānāvidhabāhyāntarapadārthavṛndaviṣayajñānasārabhūtaḥ	bAhya antara Aloka gata nAnAviDa bAhya antara padArTa vRnda vizaya jQAna sAra BUtaH
   {#3} | "yaḥ "viśvātmā | "avabhāti" pratyakṣam eva sphurati | yataḥ	{#3} | "yaH "viSvAtmA | "avaBAti" pratyakzam eva sPurati | yatas 
   pratyakṣaṃ sphurantaḥ nānābhāsāḥ vicāraviṣayīkṛtāḥ santaḥ	pratyakzam sPurantaH nAnA ABAsAH vicAra vizayIkRtAH santaH
   anirvācyatāsvarūpāyām paramātmatāyām eva viśrāmyanti | tataḥ {#4}	anirvAcya tA svarUpAyAm paramAtma tAyAm eva viSrAmyanti | tatas {#4}
   nānāvabhāsāvabhāsena {#5} paramātmaivāvabhātīti bhāvaḥ | "yaḥ"	nAnA avaBAsa avaBAsena {#5} paramAtmA eva avaBAti iti BAvaH | "yaH"
   kathambhūtaḥ | "vibhuḥ" vyāpakaḥ | kutra | "me" parimitapramātṛtāsādanena	kaTamBUtaH | "viBuH" vyApakaH | kutra | "me" parimita pramAtR tA AsAdanena
   cinmātrarūpāparimitapramātṛbhāvāc cyutasyāta eva	cit mAtra rUpA parimita pramAtR BAvAt cyutasya atas eva
   paricchinnavācakāsmacchabdavācyatāṃ gatasya parimitapramātuḥ | "bahiḥ	paricCinna vAcaka asmat Sabda vAcya tAm gatasya parimita pramAtuH | "bahis 
