   1. Gaurava Vilasa	1. GOrava  Vilasa
   hari bhakti vilāsaḥ	hari  Bakti vilAsaH
   prathamo vilāsaḥ	praTamaH vilAsaH
   atha maṅgalācaraṇam	aTa maFgala AcaraNam
   caitanya devaṃ bhagavantam āśraye	cEtanya  devam Bagavantam ASraye
   śrī vaiṣṇavānāṃ pramude'ñjasā likhan |	SrI vEzNavAnAm pramude aQjasA liKan |
   āvaśyakaṃ karma vicārya sādhubhiḥ	AvaSyakam karma vicArya sADuBiH
   sārdhaṃ samāhṛtya samasta śāstrataḥ // Hbhv_1.1 //	sArDam samAhRtya samasta SAstrataH // HBu _1.1 //
   bhakter vilāsāṃś cinute prabodhā 	BakteH vilAsAn cinute praboDA 
   nandasya śiṣyo bhagavat priyasya |	nandasya SizyaH Bagavat  priyasya |
   gopāla bhaṭṭo raghunātha dāsaṃ	gopAla BawwaH raGunATa dAsam
   santoṣayan rūpa sanātanau ca // Hbhv_1.2 //	santozayan rUpa sanAtanO ca // HBu _1.2 //
   mathurā nātha pādābja prema bhakti vilāsataḥ |	maTurA  nATa  pAda abja  prema  Bakti vilAsataH |
   jātaṃ bhakti vilāsākhyaṃ tad bhaktāḥ śīlayantv imam // Hbhv_1.3 //	jAtam Bakti vilAsa AKyam tad  BaktAH SIlayantu imam // HBu _1.3 //
   jīyāsur ātyantika bhakti niṣṭhāḥ śrī vaiṣṇavā māthura maṇḍale'tra |	jIyAsuH Atyantika  Bakti  nizWAH SrI vEzNavAH mATura  maNxale atra |
   kāśīśvaraḥ kṛṣṇa vane cakāstu śrī kṛṣṇa dāsaś ca sa lokanāthaḥ // Hbhv_1.4	kASISvaraH kRzNa  vane cakAH tu SrI kRzNa dAsaH ca sa loka nATaH // HBu _1.4
   tatra lekhya pratijñā	tatra leKya pratijQA
   ādau sa kāraṇaṃ lekhyaṃ śrī gurv āśrayaṇaṃ tataḥ |	AdO sa kAraNam leKyam SrI  guru  ASrayaNam tatas |
   guruḥ śiṣyaḥ parīkṣādir bhagavān manavo 'sya ca // Hbhv_1.5 //	guruH SizyaH parIkzA AdiH BagavAn manavaH asya ca // HBu _1.5 //
   mantrādhikārī siddhy ādi śodhanaṃ mantra saṃskriyāḥ |	mantra aDikArI sidDi  Adi  SoDanam mantra  saMskriyAH |
   dīkṣā nityaṃ brāhma kāle śubhotthānaṃ pavitratā |	dIkzA nityam brAhma kAle SuBa utTAnam pavitra tA |
   prātaḥ smṛtyādi kṛṣṇasya vādyādaiś ca prabodhanam // Hbhv_1.6 //	prAtar smRti Adi kRzNasya vAdya AdEH ca praboDanam // HBu _1.6 //
   nirmālyottāraṇādy ādau maṅgalārātrikaṃ tataḥ |	nirmAlya uttAraNa Ady AdO maFgala ArAtrikam tatas |
