   Kṣaṇabhaṅgasiddhiḥ /	KzaNa BaFga sidDiH /
   namaḥ samantabhadrāya /	namaH samantaBadrAya /
   ākṣiptavyatirekā ya vyāptiranvayarūpiṇī /	Akzipta vyatirekA yaH vyAptiH anvaya rUpiNI /
   sādharmmyavati dṛṣṭānte sattvahetorihocyate //	sADarmmyavati dRzwAnte sattva hetoH iha ucyate //
   yat sat tat kṣaṇikaṃ yathā ghaṭaḥ santaścāmī vivādāspadībhūtāḥ padārthā	yat sat tat kzaNikam yaTA GawaH santaH ca amI vivAda AspadIBUtAH padArTA
   iti /	iti /
   hetoḥ parokṣārthapratipādakatvaṃ hetvābhāsatvaśaṅkānirākaraṇamantareṇa na	hetoH parokza arTa pratipAdaka tvam hetvABAsa tva SaFkA nirAkaraNam antareNa na
   śakyate pratipādayituṃ / hetvābhāsāśca asidvavirudvānaikāntikabhedena	Sakyate pratipAdayitum / hetvABAsAH ca asi dvavirudvAn EkAntika Bedena
   trividhāḥ / tatra na tāvadayamasidvo hetuḥ / yadi nāma darśane darśane	triviDAH / tatra na tAvat ayam asidvaH hetuH / yadi nAma darSane darSane
   nānāprakāraṃ sattvalakṣaṇamuktamāste, arthakriyākāritvaṃ, sattāsamavāyaḥ,	nAnA prakAram sattva lakzaNam uktam Aste, arTa kriyA kAritvaM, sattA samavAyaH,
   svarūpasattvaṃ, utpādavyayaghrauvyayogitvaṃ pramāṇaviṣayatvaṃ,	svarUpa sattvan, utpAda vyaya GrOvya yogi tvam pramANa vizaya tvaM,
   sadupalambhapramāṇagocaratvaṃ vyapadeśaviṣayatvamityādi, tathāpi kimanena	sat upalamBa pramANa gocara tvam vyapadeSa vizaya tvam ityAdi, taTA api kim anena
   aprastutena idānīmeva niṣṭaṅkitena / yadeva hi pramāṇato nirūpyamāṇaṃ	aprastutena idAnIm eva nizwaFkitena / yat eva hi pramANataH nirUpyamANam
   padārthānāṃ sattvamupapannaṃ bhaviṣyati; tadeva vayamapi svīkariṣyāmaḥ /	padArTAnAm sattvam upapannam Bavizyati; tat eva vayam api svIkarizyAmaH /
   kevalaṃ yadetadarthakriyākāritvaṃ sarvvajanaprasidvamāste; tat khalvatra	kevalam yat etad arTa kriyA kAri tvam sarvu ajana prasidvam Aste; tat Kalu atra
   sattvaśabdenābhisandhāya sādhanatvenopāttaṃ / tacca yathāyogaṃ	sattva Sabdena aBisanDAya sADana tvena upAttam / tat ca yaTAyogam
   pratyakṣānumānapramāṇaprasidvasadbhāveṣu bhāveṣu pakṣīkṛteṣu pratyakṣādinā	pratyakza anumAna pramANa prasidvasadBAvezu BAvezu pakzIkRtezu pratyakza AdinA
   pramāṇena pratītamiti na svarūpeṇāśrayadvāreṇa vāsidvasambhāvanāpi //	pramANena pratItam iti na svarUpeNa ASraya dvAreNa vAsi dvasamBAvanA api //
   nāpi viruddhaḥ / sapakṣīkṛte ghaṭe sadbhāvāt / nanu kathamasya	na api virudDaH / sa pakzIkRte Gawe sadBAvAt / nanu kaTam asya
   sapakṣatvaṃ, pakṣavadatrāpi kṣaṇabhaṅgāsiddheḥ / nahyasya pratyakṣata	sa pakza tvan, pakzavat atra api kzaNa BaFga asidDeH / na hi asya pratyakzata
   kṣaṇabhaṅgasiddhiḥ / tathātvenāniścayāt / nāpi sattvānumānataḥ /	kzaNa BaFga sidDiH / taTA tvena aniScayAt / na api sattva anumAnataH /
   punarnidarśanāntarāpekṣāyāmanavasthāprasaṅgāt / na cānyadanumānamasti /	punar nidarSana antara apekzAyAm anavasTA prasaFgAt / na ca anyat anumAnam asti /
   sambhave vā tenaiva pakṣe 'pi kṣaṇabhaṅgasidveralaṃ sattānumāneneti cet /	samBave vA tena eva pakze api kzaNa BaFga sidveH alam satta anumAnena iti ced /
   ucyate / anumānāntarameva prasaṅgaprasaṅgaviparyyayātmakaṃ ghaṭe	ucyate / anumAna antaram eva prasaFga prasaFga viparyyaya Atmakam Gawe
   kṣaṇabhaṅgaprasādhakaṃ pramāṇāntaramasti, tathā ghaṭo varttamānakṣaṇe	kzaNa BaFga prasADakam pramANa antaram asti, taTA GawaH varttamAna kzaNe
   tāvat ekāmarthakriyāṃ karoti / atītānāgatakṣaṇayorapi kiṃ tāme	tAvat ekAm arTa kriyAm karoti / atIta anAga takzaNayoH api kim tAme
   vārthakriyāṃ kuryādanyāṃ vā, navā kāmapi kriyāmiti trayaḥ pakṣāḥ / nātra	vA arTa kriyAm kuryAt anyAm vA, navA kAm api kriyAm iti trayaH pakzAH / na atra
   prathamapakṣo yuktaḥ kṛtasya karaṇāyogāt / atha dvitīyo 'bhyupagamyate	praTama pakzaH yuktaH kRtasya karaNa ayogAt / aTa dvitIyaH aByupagamyate
   tadidamatra vicāryyatām / yadā ghaṭo varttamānakṣaṇabhāvi kāryyaṃ karoti	tat idam atra vicAryyatAm / yadA GawaH varttamAna kzaNa BAvi kAryyam karoti
   tadā kimatītānāgatakṣaṇabhāvinyapi kāryye śakto 'śakto vā / yadi	tadA kim atIta anAga takzaNa BAvini api kAryye SaktaH aSaktaH vA / yadi
   śaktastadā varttamānakṣaṇabhāvikāryyavat atītānāgatakṣaṇabhāvyapi kāryyaṃ	SaktaH tadA varttamAnakzaNa BAvi kAryya vat atItAnAga takzaNa BAvi api kAryyam
   kuryyāt tatrāpi śaktatvāt śaktasya kṣepāyogāt / anyathā	kuryyAt tatra api Sakta tvAt Saktasya kzepA yogAt / anyaTA
   varttamānakṣaṇabhāvino 'pi kāryyasyākaraṇaprasaṅgāt pūrvvāparakālayorapi	varttamAna kzaNa BAvinaH api kAryyasya akaraNa prasaFgAt pUrvva apara kAlayoH api
   śaktatvenāviśeṣāt, samarthasya ca sahakāryyapekṣāyā ayogāt /	Sakta tvena aviSezAt, samarTasya ca sahakAryi apekzAyAH ayogAt /
   athāśaktastadā ekatra kāryye śaktāśaktatvaviruddhadharmmādhyāsāt	aTa aSaktaH tadA ekatra kAryye Sakta aSakta tva virudDa Darmma aDyAsAt
   kṣaṇavidhvaṃso ghaṭasya durvvāraprasaraḥ syāt /	kzaNa viDvaMsaH Gawasya durvvAra prasaraH syAt /
   nāpi tṛtīyaḥ pakṣaḥ saṅgacchate śaktasvabhāvānuvṛttereva / yadā hi	na api tRtIyaH pakzaH saFgacCate Sakta svaBAva anuvRtteH eva / yadA hi
   śaktasya svabhāvasya vilambo 'pyasahyastadā dūrītsāritamakaraṇam / anyathā	Saktasya svaBAvasya vilambaH api asahyaH tadA dUrIt sAritam akaraNam / anyaTA
   vārttamānikasyāpi kāryyasyākaraṇaṃ syāt ityuktaṃ / tasmād yad yadā	vArtta mAnikasya api kAryyasya akaraNam syAt iti uktam / tasmAt yat yadA
   yajjananavyavahārapātraṃ, tattadā tat kuryyāt / akurvvacca na	yat janana vyavahAra pAtraM, tat tadA tat kuryyAt / akurvvat ca na
   jananavyavahārabhājanam / tadevamekatra kāryye samarthetarasvabhāvatayā	janana vyavahAra BAjanam / tat evam ekatra kAryye samarTa itara svaBAva tayA
   pratikṣaṇaṃ bhedāt ghaṭasya sapakṣatvamakṣatam /	pratikzaNam BedAt Gawasya sa pakza tvam akzatam /
