   pañcatantram	paQcatantram
   kathā mukham	kaTA muKam
   oṃ namaḥ śrī śāradā gaṇapati gurubhyaḥ | mahā kavibhyo namaḥ |	om namaH SrI SAradA  gaNapati  guruByaH | mahA  kaviByaH namaH |
   brahmā rudraḥ kumāro hari varuṇa yamā vahnir indraḥ kuberaś	brahmA rudraH kumAraH hari varuNa yamAH vahniH indraH kuberaS
   candrādityau sarasvaty udadhi yuga nagā vāyur urvī bhujaṅgāḥ |	candra AdityO sarasvati  udaDi  yuga nagAH vAyuH urvI BujaFgAH |
   siddhā nadyo 'śvinau śrīr ditir aditi sutā mātaraś caṇḍikādyā	sidDA nadyaH aSvinO SrIH ditiH aditi sutA mAtaraH caNxikA AdyA
   vedās tīrthāni yakṣā gaṇa vasu munayaḥ pāntu nityaṃ grahāś ca ||	vedAH tIrTAni yakzAH gaNa  vasu  munayaH pAntu nityam grahAH ca ||
   manave vācaspataye śukrāya parāśarāya sa sutāya |	manave vAcaspataye SukrAya parASarAya sa sutAya |
   cāṇakyāya ca viduṣe namo 'stu naya śāstra kartṛbhyaḥ ||Panc_0.1||	cANakyAya ca viduze namaH astu naya SAstra kartRByaH ||Pan= _0.1||
   sakalārtha śāstra sāraṃ jagati samālokya viṣṇuśarmedam |	sakala arTa  SAstra sAram jagati samAlokya vizNuSarma idam |
   tantraiḥ pañcabhir etac cakāra sumanoharaṃ śāstram ||Panc_0.2||	tantrEH paQcaBiH etat cakAra su manoharam SAstram ||Pan= _0.2||
   tad yathānuśrūyate | asti dakṣiṇātye janapade mahilāropyaṃ nāma nagaram |	tat yaTA anuSrUyate | asti dakziNAtye janapade mahilA Aropyam nAma nagaram |
   tatra sakalārthi sārtha kalpa drumaḥ pravara nṛpa mukuṭa maṇim	tatra sakala arTi  sArTa  kalpa drumaH pravara  nRpa  mukuwa maNim
   ajarīcayacarcitacaraṇa yugalaḥ sakala kalpa pāraṅgato 'maraśaktir nāma	ajarIcaya carcita caraNa  yugalaH sakala kalpa  pAraFgataH amaraSaktiH nAma
   rājā babhūva | tasya trayaḥ putrāḥ parama durmedhaso vasuśaktir ugraśaktir	rAjA baBUva | tasya trayaH putrAH parama durmeDasaH vasu SaktiH ugra SaktiH 
   anekaśaktiś ceti nāmāno babhūvuḥ |	aneka SaktiH ca iti nAmAnaH baBUvuH |
   atha rājā tān śāstra vimukhān ālokya sacivān āhūya provāca bhoḥ jñātam	aTa rAjA tAn SAstra  vimuKAn Alokya sacivAn AhUya provAca  BoH jQAtam
   etad bhavadbhir yan mamaite trayo 'pi putrāḥ śāstra vimukhā viveka hīnāś	etat BavadBiH yat mama ete trayaH api putrAH SAstra vimuKAH viveka  hInAH 
   ca | tad etān paśyato me mahad api rājyaṃ na saukhyam āvahati | athavā	ca | tat etAn paSyataH me mahat api rAjyam na sOKyam Avahati | aTavA
