   aṣṭama ucchvāsaḥ	azwamaH ucCvAsaH
   sahasā saṃpādayatā manorathaprārthitāni vastūni /	sahasA saMpAdayatA manoraTa-prArTitAni vastUni /
   daivenāpi kriyate bhavyānāṃ pūrvaseveva // 8.1 //	dEvena-api kriyate BavyAnAm pUrva-sevA-iva // 8.1 //
   vidvajjanasaṃparko naṣṭeṣṭajñātidarśanābhyudayaḥ /	vidvat-jana-saMparkaH nazwa-izwa-jQAti-darSana-aByudayaH /
   kasya na sukhāya bhavane bhavati mahāratnalābhaśca // 8.2 //	kasya na suKAya Bavane Bavati mahAratna-lABaH-ca // 8.2 //
   athāparedyurutthāya pārthivastasmād grāmakānnirgatya viveśa vindhyāṭavīm /	aTa-aparedyus-utTAya pArTivaH-tasmAt grAmakAn-nirgatya viveSa vinDya-awavIm /
   āṭa ca tasyāmitaścetaśca subahūndivasān /	Awa ca tasya-am-itaH-ca-itaH-ca su-bahUn-divasAn /
   ekadā tu bhūpaterbhramata evāṭavikasāmantasya śarabhaketoḥ	ekadA tu BUpateH-BramataH eva-Awavika-sAmantasya SaraBa-ketoH
   sūnurvyāghraketurnāma kuto 'pi	sUnuH-vyAGraketuH-nAma kutas api
   kajjalaśyāmalaśyāmalatāvalayenādhilalāṭamuccaiḥ kṛtamaulibandham,	kajjala-SyAmala-SyAma-latA-valayena-ADilalAwam-uccEs kRta-mOli-banDam,
   andhakāriṇīmakāraṇabhuvā bhrakuṭibhaṅgena triśākhena triśākhena	anDa-kAriNIm-akAraNa-BuvA Brakuwi-BaFgena tri-SAKena tri-SAKena
   triyāmāmiva sāhasasahacāriṇīṃ lalāṭasthalīṃ sadā samudvahantam,	triyAmAm-iva sAhasa-sahacAriNIm lalAwa-sTalIm sadA samudvahantam,
   avataṃsitaikaśukapakṣakaprabhāharitāyamānena	avataMsita-eka-Suka-pakzaka-praBA-haritAyamAnena
   pinaddhakācarakācamaṇikarṇikena śravaṇena śobhamānam, kiñciccullasya	pinadDa-kAcara-kAca-maNi-karNikena SravaNena SoBamAnam, kiQcid-cullasya
   praviralapakṣmaṇaścakṣuṣaḥ sahajena rāgarociṣā rasāyanarasopayuktaṃ	pravirala-pakzmaNaH-cakzuzaH sahajena rAgarocizA rasAyana-rasa-upayuktam
   tārakṣavaṃ kṣatajamiva kṣarantam, avanāṭanāsikam cipiṭādharam,	tAra-kzavam kzatajam-iva kzarantam, avanAwa-nAsikam cipiwA-Daram,
   cikinacibukam,	cikina-cibukam,
   apīnahanūtkaṭakapolakūṭāsthiparyantamīṣadavāgragrīvābandham,	apIna-hanu-utkawa-kapola-kUwa-asTi-paryantam-Izat-avAgra-grIvA-banDam,
   skhannaskandhārdhabhāgam,	sKanna-skanDa-arDa-BAgam,
   anavaratakaṭhinakodaṇḍakuṇḍalīkaraṇakarkaśavyāyāmavistāritenāṃsalenorasā	anavarata-kaWina-kodaNxa-kuNxalIkaraNa-karkaSa-vya-AyAma-vistAritena-aMsalena-urasA
   hasantamiva taṭaśilāprathimānaṃ vindhyagireḥ, ajagaragarīyasā ca	hasantam-iva tawa-SilA-praTimAnam vinDyagireH, ajagara-garIyasA ca
   bhujayugalena laghayantaṃ tuhinaśailaśāladrumāṇāṃ drāghimāṇam,	Buja-yugalena laGayantam tuhina-SEla-SAla-drumANAm drAGimANam-,
   varāhabālavalitabandhanābhirnāgadamanajūṭikāvāṭikābhirjaṭilīkṛtapṛṣṭhe	varAha-bAla-valita-banDa-nABiH-nAgadamana-jUwikA-vAwikABiH-jawilIkRta-pRzWe
   prakoṣṭhe pratiṣṭhāṃ gataṃ godantamaṇicitraṃ trāpuṣaṃ valayaṃ bibhrāṇam,	prakozWe pratizWAm gatam godanta-maNi-citram trApuzam valayam biBrANam,
   atundilamapi tuṇḍibham,	atundilam-api tuNxiBam,
   ahīramaṇicarmanirmitapaṭṭikayościtracitrakatvaktārakitaparivārayā	ahIra-maNi-carma-nirmita-pawwikayoH-citra-citraka-tvac-tArakita-parivArayA
   saṃkubjājinajālakitayā śṛṅgamayamasṛṇamuṣṭibhāgabhāsvarayā	saMkubja-ajina-jAlakitayA SRFga-maya-masRNa-muzwi-BAga-BAsvarayA
   pāradarasaleśaliptasamastamastikayā kṛpāṇyā karalitaviśaṅkaṭakaṭipradeśam,	pArada-rasa-leSa-lipta-samastam-astikayA kRpANyA karalita-viSaFkawa-kawi-pradeSam,
   prathamayauvanollikhyamānamadyabhāgabhraṣṭamāṃsabharitāviva	praTama-yOvana-ulliKyamAna-madya-BAga-Brazwa-mAMsa-BaritO=-iva
   sthavīyasāvūrudamḍau dadhatam, acchabhallacarmamayena	sTavIyasO=-UrudamxO daDatam, acCa-Balla-carma-mayena
   bhallīprāyaprabhūtaśarabhṛtā śabalaśārdūlacarmapaṭapīḍite	BallI-prAya-praBUta-SaraBRtA Sabala-SArdUla-carma-pawa-pIxite
   nālikulakālakambalalolalomnā pṛṣṭhabhāgabhājā bhasrābharaṇena	na-ali-kula-kAla-kambala-lola-lomnA pRzWa-BAga-BAjA Basra-ABaraNena
   pallavitamiva kārśyamupadarśayantam	pallavitam-iva kArSyam-upadarSayantam
   uttaratribhāgottaṃsitacāṣapicchacāruśikhare khadirajaṭānirmāṇe kharaprāṇe	uttara-tri-BAga-uttaMsita-cAza-picCa-cAru-SiKare Kadira-jawA-nirmANe Kara-prANe
   pracuramayūrapittapatralatācitritatvaci tvacisāraguṇe guruṇi	pracura-mayUra-pitta-patra-latA-citrita-tvaci tu-acisAra-guNe guruNi
   vāmaskandhādhyāsitadhanuṣi doṣi lambamānenāvākśirasā	vAma-skanDa-aDyAsita-Danuzi dozi lambamAnena-avAc-SirasA
   śitaśarakṛttaikanalakavivarapraveśitetarajaṅgajanitasvastikabandhena	Sita-Sara-kRtta-eka-nalaka-vivara-praveSita-itara-jaFga-janita-svastika-banDena
   bandhūkalohitarudhirarājirañjitaghrāṇavartmanā	banDUka-lohita-ruDira-rAji-raQjita-GrANa-vartmanA
   vapurvitativyaktavibhāvyamānakomalakroḍaromaśuklimnā śaśena	vapuH-vitati-vyakta-viBAvyamAna-komala-kroxa-roma-SuklimnA SaSena
   śitāṭanīśikhāgragrathitagrīveṇa cāpāvṛtacañcūttānatāmratālunā tittiriṇā	SitAwanI-SiKA-agra-graTita-grIveNa cApa-AvRta-caQcu-uttAna-tAmra-tAlunA tittiriNA
   varṇakamuṣṭimiva mṛgayāyāḥ, darśayantam, viṣamaviṣadūṣitavadanena ca	varNaka-muzwim-iva mRgayAyAH, darSayantam, vizama-viza-dUzita-vadanena ca
   vikarṇena kṛṣṇāhineva mūlagṛhītena vyagradakṣiṇakarāgram, jaṅgamamiva	vikarNena kRzNAhinA-iva mUla-gRhItena vyagra-dakziNa-kara-Agram, jaFgamam-iva
   giritaṭatamālapādapam, yantrollikhitamaśmasārastambhamiva bhramantama,	giri-tawa-tamAla-pAda-pam, yantra-ulliKitam-aSmasAra-stamBam-iva Bramantama,
   añjanaśilācchedamiva calantam, ayaḥsāramiva girervindhyasya galantam,	aQjana-SilA-AcCedam-iva calantam, ayaH-sAram-iva gireH-vinDyasya galantam,
   pākalaṃ karikulānām, kālapāśaṃ kuraṅgayūthānām, dhūmaketuṃ	pAkalam kari-kulAnAm, kAla-pASam kuraFga-yUTAnAm, DUmaketum
   mṛgarājacakrāṇām, mahānavamīmahaṃ mahīṣamaṇḍalānām, hṛdayamiva hiṃsāyāḥ,	mRgarAja-cakrANAm, mahAn-avamIm-aham mahIza-maNxalAnAm, hRdayam-iva hiMsAyAH,
   phalamiṃva pāpasya, kāraṇamiva kalikālasya, kāmukamiva kālarātreḥ	Palam-iMva pApasya, kAraNam-iva kalikA-Alasya, kAmukam-iva kAlarAtreH
   śabarayuvānamādāyājagāma /	Sabara-yuvAnam-AdAya-AjagAma /
   dūre ca sthāpayitvā vijñāpayāṃbabhūva--deva! sarvasyāsya vindhyasya svāmī	dUre ca sTApayitvA vijQApayAMbaBUva---deva! sarvasya-asya vinDyasya svAmI
   sarvapallīpatīnāṃ prāgraharaḥ śabarasenāpatirbhūkampo nāma /	sarva-pallI-patInAm prAgraharaH SabarasenApatiH-BUkampaH nAma /
