   atha caturtho 'dhyāyaḥ /	aTa caturTaH aDyAyaH /
   [atra asmin phalādhyāye prathamapāde jīvanmuktinirūpaṇam]	[atra asmin Pala-aDyAye praTama-pAde jIvanmukti-nirUpaNam]
   1 āvṛtti adhikaraṇam / sū. 1-2	1 AvRtti aDikaraNam / sU. 1-2
   āvṛttir asakṛdupadeśāt | BBs_4,1.1 |	AvRttiH asakRt-upadeSAt | BBH-_4,1.1 |
   tṛtīye adhyāye parā aparāsu vidyāsu sādhana āśrayo vicāraḥ prāyeṇātyagāt /	tRtIye aDyAye parAH aparAsu vidyAsu sADanaH ASrayaH vicAraH prAyeNa-atyagAt /
   atha iha caturthe phalāśraya āgamiṣyati /	aTa iha caturTe Pala-ASrayaH Agamizyati /
   prasaṅgāgataṃ ca anyadapi kiñcit cintayiṣyate /	prasaFga-Agatam ca anyat-api kiQcid cintayizyate /
   prathamaṃ tāvat katibhiḥ cidadhikaraṇaiḥ sādhana āśrayavicāraśeṣameva	praTamam tAvat katiBiH cit-aDikaraNEH sADanaH ASraya-vicAra-Sezam-eva
   anusarāmaḥ /	anusarAmaH /
   'ātmā vā are draṣṭavyaḥ śrotavyo mantavyo nididhyāsitavyaḥ' (bṛ. 4.4.21)	aAtmA vE are drazwavyaH SrotavyaH mantavyaH nidiDyAsitavyaH-a (bR. 4.4.21)
   'tameva dhīro vijñāya prajñāṃ kurvīta'(bṛ. 4.5.6) 'so 'nveṣṭavyaḥ sa	atam-eva DIraH vijQAya prajQAm kurvIta-a(bR. 4.5.6) asaH anvezwavyaH sa
   vijijñāsitavyaḥ' (chā. 8.7.1) iti ca evamādiśravaṇeṣu saṃśayaḥ - kiṃ sakṛt	vijijQAsitavyaH-a (CA. 8.7.1) iti ca evamAdi-SravaNezu saMSayaH  kim sakRt-
   pratyayaḥ kartavya āhosvit āvṛttya iti /	pratyayaH kartavyaH Ahosvit AvRttyaH iti /
   kiṃ tāvat prāptaṃ sakṛt pratyayaḥ syāt prayājādivat /	kim tAvat prAptam sakRt pratyayaH syAt prayAja-Adi-vat /
   tāvatā śāstrasya kṛtārthatvāt /	tAvatA SAstrasya kRtArTa-tvAt /
   aśrūyamāṇāyāṃ kriyamāṇāyām aśāstrārthaḥ kṛto bhavet /	aSrUyamANAyAm kriyamANAyAm aSAstra-arTaH kRtaH Bavet /
   nanu asakṛt upadeśā udāhṛtāḥ śrotavyo mantavyo nididhyāsitavya iti	nanu asakRt upadeSAH udAhRtAH SrotavyaH mantavyaH nidiDyAsitavyaH iti
   evamādayaḥ /	evamAdayaH /
   evam api yāvat śabdam āvartayet sakṛt śravaṇaṃ sakṛt mananaṃ sakṛt	evam api yAvat Sabdam Avartayet sakRt SravaNam sakRt mananam sakRt-
   nididhyāsanaṃ ca iti na atiriktam /	nidiDi-Asanam ca iti na atiriktam /
   sakṛt upadeśeṣu tu veda upāsīta iti evamādiṣu anāvṛttiḥ iti /	sakRt upadeSezu tu vedaH upAsIta iti evamAdizu anAvRttiH iti /
   evaṃ prāpte brūmaḥ - pratyayāvṛttiḥ kartavyā /	evam prApte brUmaH  pratyaya-AvRttiH kartavyA /
   kutaḥ - asakṛt upadeśāt /	kutas  asakRt upadeSAt /
   'śrotavyo mantavyo nididhyāsitavyaḥ' iti evañjātīyako hi asakṛt upadeśaḥ	aSrotavyaH mantavyaH nidiDyAsitavyaH-a iti evan-jAtIyakaH hi asakRt upadeSaH
   pratyayāvṛttiṃ sūcayati /	pratyaya-AvRttim sUcayati /
   nanu uktaṃ yāvat śabdameva āvartayet na adhikam iti /	nanu uktam yAvat Sabdam-eva Avartayet na aDikam iti /
   na /	na /
   darśanaparyavasitatvāt adoṣam /	darSana-paryavasita-tvAt adozam /
   darśanaparyavasānāni hi śravaṇādīni āvartyamānāni dṛṣṭārthāni bhavanti /	darSana-paryavasAnAni hi SravaNa-AdIni AvartyamAnAni dRzwa-arTAni Bavanti /
   yathā avaghātādīni taṇḍulādi niṣpattiparyasānāni tadvat //	yaTA avaGAta-AdIni taNxula-Adi nizpatti-paryasAnAni tadvat //
   api ca upāsanaṃ nididhyāsanaṃ ca iti atyantarṇītāvṛttiguṇa eva	api ca upAsanam nidiDi-Asanam ca iti atyanta-rNItOvRtti-guNaH eva
   kriyābhidhīyate /	kriyA-aBiDIyate /
   tathā hi - loke gurum upāste rājānam upāsta iti ca yaḥ tātparyeṇa gurvādīn	taTA hi  loke gurum upAste rAjAnam upAste iti ca yaH tAtparyeNa guru-AdIn
   anuvartate sa evam ucyate /	anuvartate saH evam ucyate /
   tathā dhyāyati proṣitanāthā patim iti yā nirantara smaraṇā patiṃ prati sā	taTA DyAyati prozita-nATA patim iti yA nirantara smaraNA patim prati sA
   utkaṇṭhā sā evam abhidhīyate /	utkaNWA sA evam aBiDIyate /
   vidyupāstyoḥ ca vedānteṣu avyatirekeṇa prayogo dṛśyate /	vidyupAstyoH ca vedAntezu avyatirekeNa prayogaH dRSyate /
   kvacit vidinā upakramya upāsina upasaṃharati yathā - 'yastadveda yatsa	kvacid vidinA upakramya upAsinaH upasaMharati yaTA  ayaH-tat-veda yat-sa
   veda sa mayaitaduktaḥ' (chā. 4.1.4) iti atra 'anu ma etāṃ bhagavo devatāṃ	veda sa mayA-etat-uktaH-a (CA. 4.1.4) iti atra aanu me etAm BagavaH devatAm
   śādhi yāṃ devatāmupāḥse' (chā. 5.2.2) iti /	SADi yAm devatAm-upAHse-a (CA. 5.2.2) iti /
   kvacit ca upāsina upakramya vidinā upasaṃharati yathā - 'mano	kvacid ca upAsinaH upakramya vidinA upasaMharati yaTA  amanaH-
   brahmetyupāsīta' (chā. 3.18.1) iti atra 'bhāti ca tapati ca kīrtyā yaśasā	brahma-iti-upAsIta-a (CA. 3.18.1) iti atra aBAti ca tapati ca kIrtyA yaSasA
   brahmavarcasena ya evaṃ veda' (chā. 3.18.3) iti /	brahmavarcasena yaH evam vedaH-a (CA. 3.18.3) iti /
   tasmat sakṛt upadeśeṣu api āvṛttisiddhiḥ /	tasmat sakRt upadeSezu api AvRtti-sidDiH /
   asakṛt upadeśaḥ tu āvṛtteḥ sūcakaḥ // 1 //	asakRt upadeSaH tu AvRtteH sUcakaH // 1 //
   liṅgāc ca | BBs_4,1.2 |	liFgAt ca | BBH-_4,1.2 |
   liṅgam api pratyayāvṛttiṃ pratyāyayati /	liFgam api pratyaya-AvRttim pratyAyayati /
   tathā hi udgīthavijñānaṃ prastutya 'āditya udgīthaḥ' (chā. 1.5.1) iti etat	taTA hi udgITa-vijQAnam prastutya aAdityaH udgITaH-a (CA. 1.5.1) iti etat-
   ekaputratādoṣeṇa āpodya 'raśamīṃstavaṃ paryāvartayāt' (chā. 1.5.2) iti	eka-putra-tA-dozeNa Apodya araSamIMstavam paryAvartayAt-a (CA. 1.5.2) iti
   raśmibahutva vijñānaṃ bahuputratāyai vidadhat siddhavat pratyayāvṛttiṃ	raSmibahutva vijQAnam bahu-putra-tAyE vidaDat sidDa-vat pratyaya-AvRttim
   darśayati /	darSayati /
   tasmāt tat sāmānyāt sarvapratyayeṣu āvṛttisiddhiḥ /	tasmAt tat sAmAnyAt sarva-pratyayezu AvRtti-sidDiH /
   atra āha - bhavatu nāma sādhyaphaleṣu pratyayeṣu āvṛttiḥ /	atra Aha  Bavatu nAma sADya-Palezu pratyayezu AvRttiH /
   teṣu āvṛttisādyasya atiśayasya saṃbhavāt /	tezu AvRtti-sAdyasya atiSayasya saMBavAt /
   yaḥ tu parabrahmaviṣayaḥ pratyayo nitya śuddha buddha mukta svabhāvameva	yaH tu para-brahma-vizayaH pratyayaH nitya SudDa budDa mukta svaBAvam-eva
   ātmabhūtaṃ paraṃ brahma samarpayati tatra kim arthāvṛttiḥ iti /	Atma-BUtam param brahma samarpayati tatra kim arTa-AvRttiH iti /
   sakṛt śrutau ca brahma ātmatvapratīti anupapatteḥ āvṛtti abhyupagama iti	sakRt SrutO ca brahma Atma-tva-prati-iti anupapatteH AvRtti aByupagamaH iti
   cet /	ced /
   na /	na /
   āvṛttau api tat anupapatteḥ /	AvRttO api tat anupapatteH /
   yadi hi 'tattvamasi' (chā. 6.8.7) iti evañjātīyakaṃ vākyaṃ sakṛt	yadi hi atat-tvam-asi-a (CA. 6.8.7) iti evan-jAtIyakam vAkyam sakRt-
   śrūyamāṇaṃ brahmātmatva pratītiṃ na utpādayet tataḥ tadeva āvartyamānam	SrUyamANam brahma-Atmatva pratItim naH utpAdayet tatas tat-eva AvartyamAnam
   utpādayiṣyati iti kā pratyāśā syāt /	utpAdayizyati iti kA pratyASA syAt /
   atha ucyeta na kevalaṃ vākyaṃ kañcidarthaṃ sākṣātkartuṃ śaknoti ato	aTa ucyeta na kevalam vAkyam kaQcid-arTam sAkzAtkartum Saknoti atas-
   yuktyapekṣaṃ vākyam anubhāvayiṣyati brahmātmatvam iti /	yukti-apekzam vAkyam anuBAvayizyati brahma-Atma-tvam iti /
   tathā api āvṛtti ānarthakyameva /	taTA api AvRtti AnarTakyam-eva /
   sā api hi yuktiḥ sakṛt pravṛttaiva svam artham anubhāvayiṣyati /	sA api hi yuktiH sakRt pravRttA-eva svam arTam anuBAvayizyati /
   athāpi syāt uktyā vākyena ca sāmānyaviṣayameva vijñānaṃ kriyate na	aTa-api syAt uktyA vAkyena ca sAmAnya-vizayam-eva vijQAnam kriyate na
