   Maitrāyaṇī Saṃhitā	MEtrAyaNI  SaMhitA
   [Page I,1]	[Pa ge I,1]
   iṣe tvā subhūtāya vāyavaḥ stha devo vaḥ savitā prārpayatu śreṣṭhatamāya	ize tvA suBUtAya vAyavaH sTa devaH vaH savitA prArpayatu SrezWatamAya
   karmaṇa āpyāyadhvam aghnyā devebhyā indrāya bhāgaṃ mā vaḥ stena īśata	karmaNaH ApyAyaDvam aGnyAH deveByAH indrAya BAgam mA vaH stenaH ISata
   māghaśaṃso dhurvā asmin gopatau syāta bahvīr yajamānasya paśūn pāhi	mAGa SaMsaH DurvA asmin gopatO syAta bahvIH yajamAnasya paSUn pAhi
   //MS_1,1.1//	//n= _1,1.1//
   goṣad asi pratyuṣṭaṃ rakṣaḥ pratyuṣṭārātiḥ //	gozat asi pratyuzwam rakzaH pratyuzwa arAtiH //
        preyam agād dhiṣaṇā barhir acha manunā kṛtā svadhayā vitaṣṭā /	preyam agAt DizaNA barhiH aCa manunA kRtA svaDayA vitazwA /
        tayāvahante kavayaḥ purastāt //	tayA avahante kavayaH purastAt //
   devānāṃ pariṣūtam asi viṣṇoḥ stupo 'tisṛṣṭo gavāṃ bhāgo devasya tvā	devAnAm parizUtam asi vizNoH stupaH atisRzwaH gavAm BAgaH devasya tvA
   savituḥ prasave 'śvinor bāhubhyāṃ pūṣṇo hastābhyāṃ barhir devasadanaṃ dāmi	savituH prasave aSvinoH bAhuByAm pUzNaH hastAByAm barhiH deva sadanam dAmi
   [Page I,2]	[Pa ge I,2]
   atas tvaṃ barhiḥ śatavalśaṃ viroha sahasravalśā vi vayaṃ ruhema //	atas tvam barhiH Sata valSam viroha sahasra valSAH vi vayam ruhema //
   ayupitā yonir adityā rāsnāsīndrāṇyāḥ saṃnahanaṃ pūṣā te granthiṃ grathnātu	ayupitA yoniH adityAH rAsnA asi indrANyAH saMnahanam pUzA te granTim graTnAtu
   sa te māsthād indrasya tvā bāhubhyām udyache bṛhaspater mūrdhnāharāmy urv	sa te mA AsTAt indrasya tvA bAhuByAm udyaCe bRhaspateH mUrDnA AharAmi urv
   antarikṣaṃ vīhy adityās tvā pṛṣṭhe sādayāmi //MS_1,1.2//	antarikzam vIhi adityAH tvA pRzWe sAdayAmi //n= _1,1.2//
   śundhadhvaṃ daivyāya karmaṇe vasūnāṃ pavitram asi śatadhāraṃ sahasradhāram	SunDaDvam dEvyAya karmaNe vasUnAm pavitram asi Sata DAram sahasra DAram
   achidratanu //	aCidra tanu //
   dyaur asi pṛthivy asi mātariśvano gharmaḥ //	dyOH asi pRTivI asi mAtariSvanaH GarmaH //
   viśvahotur dhāmant sīda //	viSva hotuH DAmand sIda //
   poṣāya tvādityā rāsnāsi kām adhukṣaḥ sā viśvāyur astv asau kām adhukṣaḥ sā	pozAya tu A AdityAH rAsnA asi kAm aDukzaH sA viSvAyuH astu asO kAm aDukzaH sA
   viśvabhūr astv asau kām adhukṣaḥ sā viśvakarmāstv asau hutaḥ stoko huto	viSvaBUH astu asO kAm aDukzaH sA viSvakarmA astu asO hutaH stokaH huto
   drapso 'gne pāhi vipruṣaḥ supacā devebhyo havyaṃ pacāgnaye tvā bṛhate	drapsaH agne pAhi vipruzaH supacAH deveByaH havyam paca agnaye tvA bRhate
   nākāya svāhā dyāvāpṛthivībhyām indrāya tvā bhāgaṃ somenātanacmi viṣṇo	nAkAya svAhA dyAvApRTivIByAm indrAya tvA BAgam somena Atanacmi vizNo
   havyaṃ rakṣasvāpo jāgṛta //MS_1,1.3//	havyam rakzasva apaH jAgRta //n= _1,1.3//
   veṣāya vāṃ karmaṇe vāṃ sukṛtāya vāṃ devīr āpo 'greguvo 'greṇīyo 'gre 'sya	vezAya vAm karmaNe vAm sukRtAya vAm devIH ApaH agreguvaH agreNIyaH agre asya
   yajñasya pretāgraṃ yajñaṃ nayatāgraṃ yajñapatiṃ yuṣmān indro 'vṛṇīta	yajQasya preta agram yajQam nayatA agram yajQapatim yuzmAn indraH avRNIta
   vṛtratūrye yūyam indram avṛṇīdhvaṃ vṛtratūrye prokṣitāḥ stha saṃsīdantāṃ	vRtra tUrye yUyam indram avRNIDvam vRtra tUrye prokzitAH sTa saMsIdantAm
   daivīr viśo vānaspatyāsi varṣavṛddham asy urv antarikṣaṃ vīhi pratyuṣṭaṃ	dEvIH viSaH vAnaspatyA asi varza vRdDam asi uru antarikzam vIhi pratyuzwam
   rakṣaḥ pratyuṣṭārātir dhūr asi dhvara dhvarantaṃ yo asmān dhvarād yaṃ	rakzaH pratyuzwa arAtiH DUH asi Dvara Dvarantam yaH asmAn DvarAt yam
   vayaṃ dhvarāma taṃ dhvara //MS_1,1.4//	vayam DvarAma tam Dvara //n= _1,1.4//
   [Page I,3]	[Pa ge I,3]
   devānām asi vahnitamaṃ sasnitamaṃ papritamaṃ juṣṭatamaṃ devahūtamam	devAnAm asi vahnitamam sa snitamam papritamam juzwatamam devahUtamam
   ahrutam asi havirdhānaṃ dṛṃhasva mā hvār viṣṇoḥ kramo 'sy uru vātāya	ahrutam asi havirDAnam dRMhasva mA hvAr vizNoH kramaH asi uru vAtAya
   mitrasya vaś cakṣuṣā prekṣe devasya vaḥ savituḥ prasave 'śvinor bāhubhyāṃ	mitrasya vaH cakzuzA prekze devasya vaH savituH prasave aSvinoH bAhuByAm
   pūṣṇo hastābhyāṃ yachantu pañca gopīthāya vo nārātaye 'gnaye vo juṣṭān	pUzNaH hastAByAm yaCantu paQca gopITAya vaH nArAtaye agnaye vaH juzwAn
   nirvapāmy amuṣmai vo juṣṭān idaṃ devānām idam u naḥ saha dṛṃhantāṃ duryāḥ	nirvapAmi amuzmE vaH juzwAn idam devAnAm idam u naH saha dRMhantAm duryAH
   svāhā dyāvāpṛthivībhyāṃ nir varuṇasya pāśād amukṣi svar abhivyakśaṃ jyotir	svAhA dyAvApRTivIByAm niH varuNasya pASAt amukzi svar aBivyakSam jyotiH 
   vaiśvānaram urv antarikṣaṃ vīhy adityā va upasthe sādayāmi //MS_1,1.5//	vESvAnaram uru antarikzam vIhi adityA vaH upasTe sAdayAmi //n= _1,1.5//
        devo vaḥ savitotpunātv achidreṇa pavitreṇa /	devaH vaH savitA utpunAtu aCidreNa pavitreNa /
        vasoḥ sūryasya raśmibhiḥ //	vasoH sUryasya raSmiBiH //
   agnaye vo juṣṭān prokṣāmy amuṣmai vo juṣṭān yad vo 'śuddha ālebhe tañ	agnaye vaH juzwAn prokzAmi amuzmE vaH juzwAn yat vaH aSudDaH AleBe taQ
   śundhadhvam adityās tvag asy avadhūtaṃ rakṣo 'vadhūtārātir adityās tvag	SunDaDvam adityAH tvac asi avaDUtam rakzaH avaDUta arAtiH adityAH tvac 
   asi prati tvādityās tvag vettu pṛthugrāvāsi vānaspatyaḥ prati tvādityās	asi prati tu A AdityAH tvac vettu pRTu grAvA asi vAnaspatyaH prati tvA AdityAH 
   tvag vettv agner jihvāsi vāco visarjanam āyuṣe vo bṛhadgrāvāsi vānaspatyo	tvac vettu agneH jihvA asi vAcaH visarjanam Ayuze vaH bRhadgrAvA asi vAnaspatyaH 
   devebhyo havyaṃ śamīṣva suśami śamīṣva kuṭarur asi madhujihvas tvayā vayaṃ	deveByaH havyam SamIzva suSami SamIzva kuwaruH asi maDujihvaH tvayA vayam
   saṃghātaṃsaṃghātaṃ jeṣmeṣam āvadorjam āvada rāyaspoṣam āvada //MS_1,1.6//	saMGAtaMsaMGAtam jezma izam Avada Urjam Avada rAyaspozam Avada //n= _1,1.6//
   [Page I,4]	[Pa ge I,4]
   varṣavṛddham asi prati tvā varṣavṛddhaṃ vettu parāpūtaṃ rakṣaḥ	varza vRdDam asi prati tvA varza vRdDam vettu parApUtam rakzaH
   parāpūtārātiḥ praviddho rakṣasāṃ bhāgo 'dityās tvag asy avadhūtaṃ rakṣo	parApUta arAtiH pravidDaH rakzasAm BAgaH adityAH tvac asi avaDUtam rakzaH 
   'vadhūtārātir adityās tvag asi prati tvādityās tvag vettu dhiṣaṇāsi	avaDUta arAtiH adityAH tvac asi prati tu A AdityAH tvac vettu DizaNA asi
   pārvatī prati tvādityās tvag vettu dhiṣaṇāsi pārvatī prati tvā pārvatī	pArvatI prati tu A AdityAH tvac vettu DizaNA asi pArvatI prati tvA pArvatI
   vettv adityāḥ skambho 'si dhānyam asi dhinuhi devān prāṇāya tvāpānāya tvā	vettu adityAH skamBaH asi DAnyam asi Dinuhi devAn prANAya tvA apAnAya tvA
   vyānāya tvā dīrghām anu prasṛtiṃ saṃspṛśethām āyuṣe vo mitrasya vaś	vyAnAya tvA dIrGAm anu prasRtim saMspRSeTAm Ayuze vaH mitrasya vaS
   cakṣuṣāvekṣe devo vaḥ savitā hiraṇyapāṇir upagṛhṇātu //MS_1,1.7//	cakzuzA avekze devaH vaH savitA hiraNya pANiH upagRhNAtu //n= _1,1.7//
   nirdagdhaṃ rakṣo nirdagdhārātiḥ samudraṃ mā dhāg dhruvam asi pṛthivīṃ	nirdagDam rakzaH nirdagDa arAtiH samudram mA DAk Druvam asi pRTivIm
   dṛṃhāpāgne 'gnim āmādaṃ jahi niḥ kravyādaṃ nudasvāgne devayajanaṃ vaha	dRMha apAgne agnim AmAdam jahi niH kravyAdam nudasva agne devayajanam vaha
   dharuṇam asy antarikṣaṃ dṛṃha dhartram asi divaṃ dṛṃha dharmāsi viśvā	DaruNam asi antarikzam dRMha Dartram asi divam dRMha DarmA asi viSvA
   viśvāni dṛṃha cid asi paricid asi viśvāsu dikṣu sīda sajātān asmai	viSvAni dRMha cit asi paricid asi viSvAsu dikzu sIda sajAtAn asmE
   yajamānāya pariveśaya sajātā imaṃ yajamānaṃ pariviśantu vasūnāṃ rudrāṇām	yajamAnAya pariveSaya sajAtAH imam yajamAnam pariviSantu vasUnAm rudrANAm
   ādityānāṃ bhṛgūṇām aṅgirasāṃ gharmasya tapasā tapyadhvam //	AdityAnAm BRgUNAm aFgirasAm Garmasya tapasA tapyaDvam //
        yāni gharme kapālāny upacinvanti vedhasaḥ /	yAni Garme kapAlAni upacinvanti veDasaH /
        pūṣṇas tāny api vrata indravāyū vimuñcatām //MS_1,1.8//	pUzNaH tAni api vrataH indra vAyU vimuQcatAm //n= _1,1.8//
   devasya vaḥ savituḥ prasave 'śvinor bāhubhyāṃ pūṣṇo hastābhyāṃ saṃvapāmi	devasya vaH savituH prasave aSvinoH bAhuByAm pUzNaH hastAByAm saMvapAmi
   [Page I,5]	[Pa ge I,5]
        devo vaḥ savitotpunātv achidreṇa pavitreṇa /	devaH vaH savitA utpunAtu aCidreNa pavitreNa /
        vasoḥ sūryasya raśmibhiḥ //	vasoH sUryasya raSmiBiH //
        sam āpā oṣadhībhir gachantāṃ sam oṣadhayo rasena /	sam ApAH ozaDIBiH gaCantAm sam ozaDayaH rasena /
        saṃ revatīr jagatīḥ śivāḥ śivābhiḥ samasṛkṣatāpaḥ //	sam revatIH jagatIH SivAH SivABiH sama sRkza tApaH //
   sīdantu viśo janayatyai tvā gharmo 'si viśvāyur gharma gharme śrayasvoru	sIdantu viSaH janayatyE tvA GarmaH asi viSvAyuH Garma Garme Srayasva uru
