   śrīghanācārasaṃgrahaḥ	SrIGana-AcAra-saMgrahaH
   prathamo 'dhyāyaḥ	praTamaH aDyAyaH
   buddhanamaskāraḥ	budDa-namaskAraH
   prahīṇāśeṣasaṃkleśajñeyāmbhonidhipāragaṃ |	prahINa-aSeza-saMkleSa-jQeya-amBoniDi-pAragam |
   praṇamya śrāmaṇerāṇāmācāraḥ saṃgrahīṣyate || Śghs_1.1 ||	praNamya SrAmaNerANAm-AcAraH saMgrahIzyate || ŚGs_1.1 ||
   iti saṃghasenena saṃvihitoddhāre śrīghanācārasaṃgrahe buddhanamaskāro nāma	iti saMGasenena saMvihita-udDAre SrIGana-AcAra-saMgrahe budDa-namaskAraH nAma
   prathamo 'dhyāyaḥ ||	praTamaH aDyAyaH ||
   dvitīyo 'dhyāyaḥ	dvitIyaH aDyAyaH
   śrāmaṇerabhāvaḥ	SrAmaNeH-aBAvaH
   śaraṇaṃ gatavān buddhaṃ dharmaṃ saṃghaṃ ca bhaktitaḥ |	SaraNam gatavAn budDam Darmam saMGam ca BaktitaH |
   śikṣāpañcakamādāya yo 'nupravrajito jinaṃ || Śghs_2.1 ||	SikzA-paQcakam-AdAya yaH anupravrajitaH jinam || ŚGs_2.1 ||
   yāvajjīvaṃ vadhasteyamaithunānṛtavākyataḥ |	yAvajjIvam vaDa-steya-mETuna-anRta-vAkyataH |
   virataḥ madyapānācca mahoccaiḥ śayanāsanāt || Śghs_2.2 ||	virataH madya-pAnAt-ca mahA-uccEs Sayana-AsanAt || ŚGs_2.2 ||
   nṛtyāder gandhamālyādyāt vikālāśanatastathā |	nRtya-AdeH ganDa-mAlyAdyAt vikAla-aSanataH-taTA |
   rukmarūpyagrahāccaiṣa śrāmaṇero munermataḥ | Śghs_2.3 ||	rukma-rUpya-grahAt-ca-eza SrAmaNeraH muneH-mataH | ŚGs_2.3 ||
   iti saṃghasenena saṃvihitoddhāre śrīghanācārasaṃgrahe śrāmaṇerabhāvo nāma	iti saMGasenena saMvihita-udDAre SrIGana-AcAra-saMgrahe SrAmaNeH-aBAvaH nAma
   dvitīyo 'dhyāyaḥ ||	dvitIyaH aDyAyaH ||
   tṛtīyo 'dhyāyaḥ	tRtIyaH aDyAyaH
   śrāmaṇerabhāvopāyaḥ	SrAmaNeH-aBAva-upAyaH
   1 prāṇivadhaviratiśikṣāpadaṃ	1 prANi-vaDa-virati-SikzA-padam
   saṃvaratyāgaḥ	saMvara-tyAgaH
   sakalena śarīreṇa śarīrānyatareṇa vā |	sakalena SarIreNa SarIra-anyatareNa vA |
   pañcaśākhādinirvṛttaṃ na hanyāt prāṇinaṃ [yatiḥ] || Śghs_3,1.1 ||	paQca-SAKA-Adi-nirvRttam na hanyAt prANinam [yatiH] || ŚGs_3,1.1 ||
