   (Vaidya 221)	(VEdyaH 221)
   Sukhāvatīvyūhaḥ / [vistaramātṛkā]	SuKAvatI-vyUhaH / [vistara-mAtRkA]
   om namo ratnatrayāya | om namaḥ śrīsarvabuddhabodhisattvebhyaḥ | namo	om namaH ratnatrayAya | om namaH SrI-sarva-budDa-boDisattveByaH | namaH-
   daśadiganantāparyantalokadhātupratiṣṭhitebhyaḥ	daSa-diS-anantA-paryanta-loka-DAtu-pratizWiteByaH
   sarvabuddhabodhisattvāryaśrāvakapratyekabuddhebhyo	sarva-budDa-boDisattva-Arya-SrAvaka-pratyekabudDeByaH-
   'tītānāgatapratyutpannebhyaḥ | namo 'mitābhāya | namo	atIta-anAgata-pratyutpanneByaH | namaH amita-ABAya | namaH-
   'cintyaguṇāntarātmane ||	acintya-guNa-antarAtmane ||
   START Sukhv 1:	START SuKu 1:
   evaṃ mayā śrutam | ekasmin samaye bhagavān rājagṛhe viharati sma	evam mayA Srutam | ekasmin samaye BagavAn rAjagRhe viharati sma
   gṛdhrakūṭaparvate mahatā bhikṣusaṃghena sārdhaṃ dvātriṃśatā	gRDra-kUwaparvate mahatA Bikzu-saMGena sArDam dvAtriMSatA
   bhikṣusahasraiḥ, sarvairarhadbhiḥ kṣīṇāsravairniḥkleśairuṣitavadbhiḥ	Bikzu-sahasrEH, sarvEH-arhadBiH kzINa-AsravEH-niHkleSEH-uzitavadBiH
   samyagājñāsuvimuktacittaiḥ parīkṣacittaiḥ	samyak-AjQA-su-vimukta-cittEH parIkza-cittEH
   parikṣīṇabhavasaṃyojanairanuprāptasvakārthairvijitavadbhiruttamadamathaprāptaiḥ	parikzINa-Bava-saMyojanEH-anuprApta-svaka-arTEH-vijitavadBiH-uttama-dam-aTa-prAptEH
   suvimuktacittaiḥ suvimuktaprajñairmahānāgaiḥ	su-vimukta-cittEH su-vimukta-prajQEH-mahA-nAgEH
   ṣaḍabhijñairvaśībhūtairaṣṭavimokṣadhyāyibhirbalaprāptairabhijñātābhijñaiḥ	zaw-aBijQEH-vaSIBUtEH-azwa-vimokza-DyAyiBiH-bala-prAptEH-aBijQAta-aBijQEH
   sthavirairmahāśrāvakaiḥ | tadyathā - ājñātakauṇḍinyena ca, aśvajitā	sTavirEH-mahA-SrAvakEH | tat-yaTA  AjQAta-kONxinyena ca, aSva-jitA
   ca,bāṣpeṇa ca,mahānāmnā ca, bhadrajitā ca, yaśodevena ca, vimalena	ca,bAzpeNa ca,-mahAnAmnA ca, BadrajitA ca, yaSodevena ca, vimalena
   ca,subāhunā ca, pūrṇamaitrāyaṇīputreṇa ca, urubilvākāśyapena ca,	ca,-subAhunA ca, pUrNa-mEtrAyaNI-putreNa ca, uru-bilva-AkASyapena ca,
   nadīkāśyapena ca, gayākāśyapena ca, kumārakāśyapena ca, mahākāśyapena ca,	nadIkASyapena ca, gayA-kASyapena ca, kumArakASyapena ca, mahAkASyapena ca,
   śāriputreṇa ca, mahāmaudgalyāyanena ca, mahākauṣṭhilyena ca, mahākaphilena	SAriputreNa ca, mahAmOdgalyAyanena ca, mahAkOzWilyena ca, mahAkaPilena
   ca, mahācundena ca, aniruddhena ca, nandikena ca, kampilena ca, subhūtinā	ca, mahA-cundena ca, anirudDena ca, nandikena ca, kampilena ca, suBUtinA
   ca, revatena ca, khadiravanikena ca, vakulena ca, svāgatena ca,	ca, revatena ca, Kadira-vanikena ca, vakulena ca, svAgatena ca,
   amogharājena ca, pārāyaṇikena ca, patkena ca, cullapatkena ca, nandena	amoGa-rAjena ca, pArAyaNikena ca, patkena ca, culla-patkena ca, nandena
   ca,rāhulena ca,āyuṣmatānandena ca,etaiścānyaiśca abhijñātābhijñaiḥ	ca,ra-Ahulena ca,a-AyuzmatA-Anandena ca,etEH-ca-anyEH-ca aBijQAta-aBijQEH
   sthavirairmahāśrāvakairekaṃ pudgalaṃ sthāpayitvā	sTavirEH-mahA-SrAvakEH-ekam pudgalam sTApayitvA
   śaikṣapratidyuttarikaraṇīyaṃ yadidamāyuṣmantamānandam |	SEkza-pratidyuttari-karaNIyam yat-idam-Ayuzmantam-Anandam |
   maitreyapūrvaṃgamaiśca saṃbahulairbodhisattvairmahāsattvaiḥ || Sukhv_1 ||	mEtreya-pUrvaMgamEH-ca saMbahulEH-boDisattvEH-mahAsattvEH || SuKu-_1 ||
   START Sukhv 2:	START SuKu 2:
   atha khalvāyuṣmānānda utthāyāsamādekāṃsamuttarāsaṅgaṃ kṛtvā dakṣiṇaṃ	aTa Kalu-AyuzmAnAndaH utTAya-asamAdeka-aMsam-uttarAsaFgam kRtvA dakziNam
   jānumaṇḍalaṃ pṛthivyāṃ pratiṣṭhāpya yena bhagavāṃstenāñjaliṃ praṇamya	jAnu-maNxalam pRTivyAm pratizWApya yena BagavAn=-tena-aQjalim praNamya
   bhagavantametadavocat - viprasannāni tava bhagavata indriyāṇi,	Bagavantam-etat-avocat  viprasannAni tava BagavataH indriyANi,
   pariśuddhaśchavivarṇaḥ, paryavadāto mukhavarṇaḥ pītanirbhāsaḥ | tadyathāpi	pariSudDaH-Cavi-varNaH, paryavadAtaH muKa-varNaH pIta-nirBAsaH | tat-yaTA-api
   nāma śāradaṃ vanadaṃ pāṇḍupariśuddhaṃ paryavadātaṃ pītanirbhāsam, evameva	nAma SAradam vana-dam pANxu-pariSudDam paryavadAtam pIta-nirBAsam, evam-eva
   bhagavato viprasannānīndriyāṇi, pariśuddho mukhavarṇaḥ,	BagavataH vipra-sannAni-indriyANi, pariSudDaH muKa-varNaH,
   paryavadātaśchavivarṇaḥ pītanirbhāsaḥ | tadyathāpi nāma bhagavan	paryavadAtaH-Cavi-varNaH pIta-nirBAsaH | tat-yaTA-api nAma Bagavan
   jāmbūnadasuvarṇaniṣko dakṣeṇa karmāreṇa karmārāntevāsinā vā ulkāmukhena	jAmbUnada-suvarNa-nizkaH dakzeNa karmAreNa karmArAnteva-asinA vE ulkA-muKena
   saṃpraveśya supariniṣṭhitaḥ (Sukhv, Vaidya 222) pāṇḍukambala uparinikṣipto	saMpraveSya su-parinizWitaH (SuKv, VEdyaH 222) pANxu-kambalaH upari-nikziptaH-
   'tīva pariśuddho bhavati paryavadātaḥ pītanirbhāsaḥ, evameva bhagavato	atIva pariSudDaH Bavati paryavadAtaH pIta-nirBAsaH, evam-eva BagavataH-
   ciprasannānīndriyāṇi, pariśuddho mukhavarṇaḥ, paryavadātaśchavivarṇaḥ	cipra-sannAni-indriyANi, pariSudDaH muKa-varNaH, paryavadAtaH-Cavi-varNaH
