   Garbhopaniṣat	GarBa-upanizad-
   oṃ pañcātmakaṃ pañcasu vartamānaṃ ṣaḍāśrayaṃ ṣaḍguṇayogayuktam / taṃ	om paQca-Atmakam paQcasu vartamAnam zaz-ASrayam zaxguNa-yoga-yuktam / tam
   saptadhātuṃ trimalaṃ dviyoniṃ caturvidhāhāramayaṃ śarīram || GarUp_1	saptaDAtum tri-malam dvi-yonim caturviDa-AhAra-mayam SarIram || GarUp_1
   pañcātmakam iti kasmāt pṛthivy āpas tejo vāyur ākāśam ity asmin pañcātmake	paQca-Atmakam iti kasmAt pRTivI ApaH tejaH vAyuH AkASam iti asmin paQca-Atmake
   śarīre kā pṛthivī kā āpaḥ kiṃ tejaḥ ko vāyuḥ kim ākāśam / tatra pañcātmake	SarIre kA pRTivI kA ApaH kim tejaH kaH vAyuH kim AkASam / tatra paQca-Atmake
   śarīre yat kaṭhinaṃ sā pṛthivī yad dravaṃ tā āpaḥ yad uṣṇaṃ tat tejaḥ yat	SarIre yat kaWinam sA pRTivI yat dravam tAH ApaH yat uzNam tat tejaH yat-
   saṃcarati sa vāyuḥ yac chuṣiraṃ tad ākāśam / tatra pṛthivī dhāraṇe āpaḥ	saMcarati sa vAyuH yat Suziram tat AkASam / tatra pRTivI DAraNe ApaH
   piṇḍīkaraṇe tejaḥ prakāśane vāyur vyūhane ākāśam avakāśapradāne / pṛthak	piNxIkaraNe tejaH prakASane vAyuH vyUhane AkASam avakASa-pradAne / pRTak-
   śrotre śabdopalabdhau tvak sparśe cakṣuṣī rūpe jihvā rasane nāsikā ghrāṇe	Srotre Sabda-upalabDO tvac sparSe cakzuzI rUpe jihvA rasane nAsikA GrANe
   upastha ānandane apānam utsarge buddhyā budhyati manasā saṃkalpayati vācā	upasTaH Anandane apAnam utsarge budDyA buDyati manasA saMkalpayati vAcA
   vadati / ṣaḍāśrayam iti kasmāt madhurāmlalavaṇatiktakaṭukaṣāyarasān	vadati / zaz-ASrayam iti kasmAt maDura-amla-lavaNa-tikta-kawu-kazAya-rasAn
   vindatīti ṣaḍjaṛṣabhagāndhāramadhyamapañcamadhaivataniṣādāś	vindati-iti zaxja-RzaBa-gAnDAra-maDyama-paQcama-DEvata-nizAdAH-
   cetīṣṭāniṣṭaśabdasaṃjñāḥ praṇidhānād daśavidhā bhavanti || GarUp_2	ceti-izwa-anizwa-Sabda-saMjQAH praNiDAnAt daSaviDAH Bavanti || GarUp_2
   saptadhātukam iti kasmāt śuklo raktaḥ kṛṣṇo dhūmraḥ pītaḥ kapilaḥ pāṇḍura	saptaDAtukam iti kasmAt SuklaH raktaH kRzNaH DUmraH pItaH kapilaH pANxura
   iti / yathā devadattasya dravyādiviṣayā jāyante / parasparaṃ	iti / yaTA devadattasya dravya-Adi-vizayAH jAyante / parasparam
   saumyaguṇatvāt ṣaḍvidho rasaḥ rasāc choṇitaṃ śoṇitān māṃsaṃ māṃsān medo	sOmya-guNa-tvAt zaxviDaH rasaH rasAt SoNitam SoNitAn mAMsam mAMsAt medaH-
