   akarotkiṃ mahādeva SkP_26.2c	akarot kim mahAdeva SkP_26.2c
   akasmādatha taṃ devī SkP_13.30a	akasmAt aTa tam devI Sku _13.30a
   akasmādabhavatsarvaṃ SkP_29.61a	akasmAt aBavat sarvam Sku _29.61a
   akāryāṇi kariṣyantu SkP_29.228c	akAryANi karizyantu SkP_29.228c
   akṣatāstaṇḍulayavāḥ SkP_27.29a	akzatAH taNxula yavAH Sku _27.29a
   akṣayatvaṃ ca vaṃśasya SkP_15.29e	akzaya tvam ca vaMSasya Sku _15.29e
   akṣayatvaṃ ca sarvadā SkP_15.34b	akzaya tvam ca sarvadA Sku _15.34b
   akṣayaścāvyayaścaiva SkP_22.5c	akzayaH ca avyayaH ca eva SkP_22.5c
   akṣayaṃ tacca te 'vyayam SkP_29.150b	akzayam tat ca te avyayam Sku _29.150b
   akṣayaṃ balameva ca SkP_12.45d	akzayam balam eva ca Sku _12.45d
   akṣayaṃ sarvakāmikam SkP_15.31d	akzayam sarva kAmikam SkP_15.31d
   akṣayāyāmṛtāyaiva SkP_24.55a	akzayAya amRtAya eva SkP_24.55a
   akṣayāyāvyayāyaiva SkP_21.48a	akzayAya avyayAya eva Sku _21.48a
   akṣasūtrakaraṃ caiva SkP_8.34c	akza sUtra karam ca eva SkP_8.34c
   akṣasūtrakarāya ca SkP_9.6d	akza sUtra karAya ca SkP_9.6d
   akṣṇāṃ sahasraṃ surarāṭ sa bibhrad SkP_13.9a	akzNAm sahasram surarAj sa biBrat Sku _13.9a
   agamadbrahmasadanaṃ SkP_6.13c	agamat brahma sadanam SkP_6.13c
   agaruṃ daśasāhasraṃ SkP_27.28a	agarum daSa sAhasram Sku _27.28a
   agastyasya ca māhātmyaṃ SkP_2.13c	agastyasya ca mAhAtmyam SkP_2.13c
   agāttatra pitāmahaḥ SkP_8.2d	agAt tatra pitAmahaH SkP_8.2d
   agādhena tadā reje SkP_13.94c	agADena tadA reje SkP_13.94c
   agnerdūtatvameva ca SkP_2.16d	agneH dUta tvam eva ca SkP_2.16d
   agnyaṅgārakanetraśca SkP_23.7c	agni aFgAraka netraH ca SkP_23.7c
   agrato 'gniṃ samādhāya SkP_24.16a	agratas agnim samADAya Sku _24.16a
   agre surebhavinipātitavaṃśagulmam SkP_30.39b	agre sura iBa vinipAtita vaMSa gulmam Sku _30.39b
   acintyāyāgrajāya ca SkP_3.18d	acintyAya agrajAya ca SkP_3.18d
   acireṇa trilocanam SkP_20.62b	acireNa trilocanam Sku _20.62b
   acireṇaiva kālena SkP_3.11c	acireNa eva kAlena SkP_3.11c
   ajayyatvaṃ ca yogibhiḥ SkP_29.124b	ajayya tvam ca yogiBiH Sku _29.124b
   ajayyaścāpi sarveṣāṃ SkP_31.11a	ajayyaH ca api sarvezAm Sku _31.11a
