   atha dvitīyo 'dhyāyaḥ /	aTa dvitIyaH aDyAyaH /
   START BsVBh_2,1.1.1	START BsVBh_2,1.1.1
   smṛtyanavakāśadoṣaprasaṅga iti cennānyasmṛtyanavakāśadoṣaprasaṅgāt |	smRti anavakASa doza prasaFgaH iti ced na anya smRti anavakASa doza prasaFgAt |
   BBs_2,1.1 |	BBH _2,1.1 |
   vṛttavartiṣyamāṇayoḥ samanvayavirodhaparihāralakṣaṇayoḥ	vRttavartizyamANayoH samanvaya viroDa parihAra lakzaNayoH
   saṃgatipradarśanāya sukhagrahaṇāya caitanyoḥ	saMgati pradarSanAya suKa grahaNAya cEtanyoH
   saṃkṣepatastātparyārthamāha prathame 'dhyāya iti /	saMkzepataH tAtparya arTamAha  praTame aDyAyaH iti /
   anapekṣavedāntavākyasvarasasiddhasamanvayalakṣaṇasya	anapekza veda anta vAkya svarasa sidDa samanvaya lakzaNasya
   virodhatatparihārābhyāmākṣepasamādhānakaraṇādanena lakṣaṇenāsti	viroDa tad parihArAByAm Akzepa samADAna karaNAt anena lakzaNena asti
   viṣayaviṣayibhāvaḥ saṃbandhaḥ /	vizaya vizayi BAvaH saMbanDaH /
   pūrvalakṣaṇārtho hi viṣayastadgocaratvādākṣepasamādhānayoreṣa ca viṣayīti	pUrva lakzaNa arTaH hi vizayaH tad gocara tvAt Akzepa samADAnayoH eza ca vizayi iti
   tadevamadhyāyamavatārya tadavayavamadhikaraṇamavatārayati tatra prathamaṃ	tat evam aDyAyam avatArya tad avayavam aDikaraNam avatArayati  tatra praTamam
   tāvaditi /	tAvat iti /
   tantryate vyutpādyate mokṣasādhanamaneneti tantraṃ, tadevākhyā yasyāḥ sā	tantryate vyutpAdyate mokza sADanam anena iti tantraM, tat eva AKyAH yasyAH sA
   smṛtistantrākhyā paramarṣiṇā kapilenādividuṣā praṇītā /	smRtiH tantra AKyA parama RziNA kapilena Adi viduzA praNItA /
   anyāścāsuripañcaśikhādipraṇītāḥ smṛtayastadanusāriṇyaḥ /	anyAH ca Asuri paQca SiKA Adi praNItAH smRtayaH tad anusAriNyaH /
   na khalvamūṣāṃ smṛtīnāṃ manvādismṛtivadanyo 'vakāśaḥ śakyo vaditumṛte	na Kalu a mUzAm smRtInAm manu Adi smRti vat anyaH avakASaH SakyaH vaditum Rte
   mokṣasādhanaprakāśanāt /	mokza sADana prakASanAt /
   tadapi cennābhidadhyuranavakāśāḥ satyo 'pramāṇaṃ prasajyeran /	tat api ced nABi daDi uH anavakASAH satyaH apramANam prasajyeran /
   tasmāttadavirodhena kathañcidvedāntā vyākhyātavyāḥ /	tasmAt tat aviroDena kaTaQcid veda antAH vyAKyAtavyAH /
   pūrvapakṣamākṣipati kathaṃ punarīkṣatyādibhya iti /	pUrva pakzamAkzipati kaTam punar Ikzati AdiByaH iti /
   prasādhitaṃ khalu dharmamīmāṃsāyāṃ 'virodhe tvanapekṣaṃ syādasati	prasADitam Kalu Darma mImAMsAyAm aviroDe tu anapekzam syAt asati
   hyanumānam'ityatra, yathā śrutiviruddhānāṃ smṛtīnāṃ	hi anumAnam aityatra, yaTA Sruti virudDAnAm smRtInAm
   durbalatayānapekṣaṇīyatvaṃ tasmānna durbalānurodhena balīyasīnāṃ śrutīnāṃ	durbala tayA anapekzaNIya tvam tasmAt na durbala anuroDena balIyasInAm SrutInAm
   yuktamupavarṇanam, api tu svataḥsiddhapramāṇabhāvāḥ śrutayo durbalāḥ	yuktam upavarNa nam, api tu svatas sidDa pramANa BAvAH SrutayaH durbalAH
   smṛtīrbādhanta eveti yuktam /	smRtIH bADantaH eva iti yuktam /
   pūrvapakṣī samādhatte bhavedayamiti /	pUrva pakzI samADatte  Bavet ayam iti /
   prasādhito 'pyarthaḥ śraddhājaḍānprati punaḥ prasādhyata ityarthaḥ /	prasADitaH api arTaH SradDA jaxAn prati punar prasADyate iti arTaH /
   āpātataḥ samādhānamuktvā paramasamādhānamāha pūrvapakṣī kapilaprabhṛtīnāṃ	ApAtatas samADAnam uktvA parama samADAnam Aha pUrva pakzI  kapila praBRtInAm
   cārṣamiti /	cArzam iti /
   ayamasyābhisaṃdhiḥ brahma hi śāstrasya kāraṇamuktaṃ 'śāstrayonitvāt'iti,	ayam asya aBisaMDiH brahma hi SAstrasya kAraNam uktam aSAstra yoni tvAt aiti,
