   atha tṛtīyo 'dhyāyaḥ /	aTa tRtIyaH aDyAyaH /
   START BsVBh_3,1.1.1	START BsVBh_3,1.1.1
   tadantarapratipattau raṃhati saṃpariṣvaktaḥ praśnanirūpaṇābhyām |	tad antara pratipattO raMhati saMparizvaktaH praSna nirUpaNAByAm |
   BBs_3,1.1 |	BBH _3,1.1 |
   dvitīyatṛtīyādhyāyayorhetumadbhāvalakṣaṇaṃ saṃbandhaṃ darśayan	dvitIya tRtIyA DyAyayoH hetumat BAva lakzaNam saMbanDam darSayan
   sukhāvabodhārthamarthasaṃkṣepamāha dvitīye 'dhyāya iti /	suKa avaboDa arTam arTa saMkzepam Aha dvitIye aDyAyaH iti /
   smṛtinyāyaśrutivirodhaparihāreṇa hi anadhyavasāyalakṣaṇamaprāmāṇyaṃ	smRti nyAya Sruti viroDa parihAreNa hi anaDyavasAya lakzaNam aprAmANyam
   parihṛtaṃ tathāca prāmāṇye niścalīkṛte tārtīyo vicāro bhavatyanyathā tu	parihRtam taTA ca prAmANye niScalIkRte tArtIyaH vicAraH Bavati anyaTA tu
   nirbījatayā na sidhyediti /	nirbIja tayA na siDyet iti /
   avāntarasaṃgatiṃ darśayituntatra ca jīvavyatiriktāni tattvāni	avAntara saMgatim darSayituntatra ca jIva vyatiriktAni tattvAni
   jīvopakaraṇānicetyuktam /	jIva upakaraNA nica iti uktam /
   adhyāyārthasaṃkṣepamuktvā pādārthasaṃkṣepamāha tatra prathame tāvatpāda	aDyAya arTa saMkzepam uktvA pAda arTa saMkzepam Aha tatra praTame tAvat pAda
   iti /	iti /
   tasya prayojanamāha vairāgya iti /	tasya prayojana m Aha vErAgyaH iti /
   pūrvāparapariśodhanāya bhūmikāmāracayati jīvo mukhyaprāṇasaciva iti /	pUrva apara pariSoDanAya BUmikAm Aracayati jIvaH muKya prANa sacivaH iti /
   karaṇopādānavadbhūtopādānasyāśrutatvāditi /	karaNa upAdAna vat BUta upAdAnasya aSruta tvAt iti /
   atra ca karaṇopādānaśrutyaiva bhautikatvāt karaṇānāṃ	atra ca karaNa upAdAna SrutyA eva BOtika tvAt karaNAnAm
   bhūtopādānasiddherindriyopādānātiriktabhūtavivakṣayādhikaraṇārambhaḥ /	BUta upAdAna sidDeH indriya upAdAna atirikta BUta vivakzaya aDikaraNa AramBaH /
   yadi bhūtānyādāyāgamiṣyattadā tadapi karaṇopādānavadevaśroṣyat /	yadi BUtAni AdAya Agamizyat tadA tat api karaNa upAdAna vat eva Srozyat /
   naca śrūyate tasmānna bhūtapariṣvakto raṃhatyapi tu karaṇamātrapariṣvaktaḥ	na ca SrUyate tasmAt na BUta parizvaktaH raMhati api tu karaNa mAtra parizvaktaH
   nahyāgamaikagamyer'the tadabhāvaḥ prameyābhāvaṃ na paricchettumarhati /	na hi Agama eka gamyer aTe tad aBAvaH prameya aBAvam na paricCettum arhati /
   naca dehāntarārambhānyathānupapattyā bhūtapariṣvaktasya raṃhaṇakalpaneti	na ca deha antara AramBAni aTa anupapattyA BUta parizvaktasya raMhaNa kalpanA iti
   yuktamityāha sulabhāśca sarvatra bhūtamātrā iti /	yuktam iti Aha  sulaBAH ca sarvatra BUtamAtrAH iti /
   dyuparjanya iti /	dyuparjanyaH iti /
   iha hi kāyārambhaṇāmagnihotrāpūrvapariṇāmalakṣaṇaṃ śraddhāditvena pañcadhā	iha hi kAya AramBaNAm agnihotrA pUrva pariNAma lakzaNam SradDA Adi tvena paQcaDA
   pravibhajya dyuprabhṛtiṣvagniṣu	praviBajya dyu praBRtizu agnizu
   hotavyatvenopāsanamuttaramārgapratipattisādhanaṃ vivakṣantyāha	hotavya tvena upAsanam uttara mArga pratipatti sADanam vivakzanti Aha
   śrutiḥ 'asau vāva loko gautamāgniḥ'ityādi /	SrutiH  aasO vAva lokaH gOtama agniH aityAdi /
   atra sāyaṃprātaragnihotrāhuto, hute payaḥādisādhane	atra sAyaMprAtar agnihotra Ahuto, hute payaHAdi sADane
   śraddhāpūrvamāhavanīyāgnisamiddhūmārciraṅgāravisphuliṅgabhāvite	SradDA pUrvam AhavanIya agni samiD DUma arciH aFgAra visPuliFga BAvite
   kartrādikārakabhāvite cāntarikṣaṃ krameṇotkrāmya dyulokaṃ praviśantyau	kartR Adi kAraka BAvite ca antarikzam krameNa utkrAmya dyu lokam praviSantyO
   sūkṣmabhūte dravadravyapayaḥprabhṛtyapsaṃbandhādapśabdavācye,	sUkzma BUte drava dravya payaH praBRti apsaMbanDa At ap Sabda vAcye,
   śraddhāhetukatvācca śraddhāśabdavācye /	SradDA hetuka tvAt ca SradDA Sabda vAcye /
   tayorāhutyoradhikaraṇamagniranye ca samiddhūmārciraṅgāravisphuliṅgā	tayoH AhutyoH aDikaraNam agniH anye ca samiD DUma arciH aFgAra visPuliFgA
   rūpakatvena nirdiśyante /	rUpaka tvena nirdiSyante /
   asau vāva dyuloko gautamāgniḥ /	asO vAva dyulokaH gOtama agniH /
   yathāgnihotrādhikaraṇamāhavanīya evaṃ	yaTA agnihotra aDikaraNam AhavanIyaH evam
   śraddhāśabdavācyāgnihotrāhutipariṇāmāvasthārūpāḥ sūkṣmā yā āpaḥ	SradDA Sabda vAcya agnihotra Ahuti pariNAma avasTA rUpAH sUkzmAH yAH ApaH
   śraddhābhāvitāstadadhikaraṇaṃ dyulokaḥ /	SradDA BAvitAH tad aDikaraNam dyulokaH /
   asyāditya eva samit /	asya AdityaH eva samiD /
   tena hīddho 'sau dyuloko dīpyate 'taḥ samindhanātsamit tasyādityasya	tena hi idDaH asO dyulokaH dIpyate atas saminDanAt samiD tasya Adityasya
   raśmayo dhūmā indhanādivādityādraśmīnāṃ samutthānāt /	raSmayaH DUmAH inDanAt iva AdityAt raSmInAm samutTAnAt /
   ahararthiḥ /	ahar arTiH /
   prakāśasāmānyādādityakāryatvācca /	prakASa sAmAnyAt Aditya kArya tvAt ca /
   candramā aṅgāraḥ /	candramAH aFgAraH /
   arciṣaḥ praśame 'bhivyakteḥ /	arcizaH praSame aBivyakteH /
   nakṣatrāpyasya visphuliṅgaḥ candramaso 'ṅgārasyāvayavā iva	nakzatrApi asya visPuliFgaH candramasaH aFgArasya avayavAH iva
   viprakīrṇatāsāmānyādvisphuliṅgaḥ /	viprakIrNa tA sAmAnyAt visPuliFgaH /
   tadetasminnagnau devā yajamānaprāṇā agnyādirūpā adhidevam /	tat etasmin= agnO devAH yajamAna prANAH agni Adi rUpAH aDidevam /
   śraddhāṃ juhvati śraddhā coktā /	SradDAm juhvati SradDA ca uktA /
   parjanyo vāva gautamāgniḥ parjanyo nāma vṛṣṭyupakaraṇābhimānī	parjanyaH vAva gOtama agniH parjanyaH nAma vRzwi upakaraNa aBimAnI
   devatāviśeṣaḥ /	devatA viSezaH /
   tasya vāyureva samit /	tasya vAyuH eva samiD /
   vāyunā hi parjanyo 'gniḥ samidhyate, purovātādiprābalye vṛṣṭidarśanāt /	vAyunA hi parjanyaH agniH samiDyate, purovAta Adi prAbalye vRzwi darSanAt /
   abhraṃ dhūmaḥ /	aBram DUmaH /
   dhūkāryatvāt dhūmasādṛśyācca /	DUkArya tvAt DUma sAdRSyAt ca /
   vidyudarciḥ /	vidyut arciH /
   prakāśasāmānyāt /	prakASa sAmAnyAt /
   aśaniraṅgārāḥ kāṭhinyādvidyutsaṃbandhācca /	aSaniH aFgArAH kAWinyAt vidyut saMbanDAt ca /
   garjitaṃ moghānāṃ visphuliṅgāḥ viprakīrṇatāsāmānyāt /	garjitam moGAnAm visPuliFgAH viprakIrNa tA sAmAnyAt /
   tasmindevā yajamānaprāṇā agnirūpāḥ somaṃ rājānaṃ juhvati tasya	tasmin devAH yajamAna prANAH agni rUpAH somam rAjAnam juhvati tasya
   somasyāhutervarṣaṃ bhavati /	somasya AhuteH varzam Bavati /
   etaduktaṃ bhavati śraddhākhyā āpo dyulokamāhutitvena praviśya candrākāreṇa	etat uktam Bavati SradDA AKyAH ApaH dyulokam Ahuti tvena praviSya candra AkAreNa
   pariṇatāḥ satyo dvitīye paryāye parjanyāgnau hutā vṛṣṭitvena pariṇamanta	pariNatAH satyaH dvitIye paryAye parjanya agnO hutAH vRzwi tvena pariNamanta
   iti /	iti /
   'pṛthivī vāva gautamāgniḥ'tasya pṛthivyākhyasyāgnaiḥ saṃvatsara eva samit	apRTivI vAva gOtama agniH atasya pRTivI AKyasya agnEH saMvatsaraH eva samiD 
   saṃvatsareṇa kālena hi samiddhā bhūmirvrīhyādiniṣpattaye kalpate /	saMvatsareNa kAlena hi samidDA BUmiH vrIhi Adi nizpattaye kalpate /
   ākāśo dhūmaḥ pṛthivyagnerutthita ivākāśo dṛśyate /	AkASaH DUmaH pRTivI agneH utTitaH iva AkASaH dRSyate /
   rātrirarciḥ pṛthivyā śyāmāyā anurūpā śyāmatayā rātriragnerivānurupamarciḥ	rAtriH arciH pRTivyA SyAmAyAH anurUpA SyAma tayA rAtriH agneH iva anurupamarciH
   diśoṅgārāḥ prage rātrirūpārciḥśamane upaśāntānāṃ prasannānāṃ diśāṃ	diSoFgArAH prage rAtri rUpa arciH Samane upaSAntAnAm prasannAnAm diSAm
   darśanāt /	darSanAt /
   avāntaradiśo visphuliṅgāḥ kṣudratvasāmyāt /	avAntara diSaH visPuliFgAH kzudra tva sAmyAt /
   tasminnagnau śraddhāsomapariṇāmakrameṇāgatā apo vṛṣṭirūpeṇa pariṇatā devā	tasmin= agnO SradDA soma pariNAma krameNa AgatAH apaH vRzwi rUpeNa pariNatA devA
   juhvati tasyā āhuterannaṃ vrīhiyavādi bhavati /	juhvati tasyAH AhuteH annam vrIhi yava Adi Bavati /
   puruṣo vāva gautamāgnistasya vāgeva samit /	puruzaH vAva gOtama agniH tasya vAc eva samiD /
   vācā khalvayaṃ tālvādyaṣṭasthānasthitayā	vAcA Kalu ayam tAlu Adi azwa sTAna sTitayA
   varṇapadavākyābhivyaktikrameṇārthajātaṃ prakāśayan samidhyate /	varNa pada vAkya aBivyakti krameNa arTa jAtam prakASayan samiDyate /
   prāṇo dhūmaḥ /	prANaH DUmaH /
   dhūmavanmukhānnirgamanāt /	DUma vat muKAt nirgamanAt /
   jihvārciḥ lohitatvasāmyāt /	jihvA arciH lohita tva sAmyAt /
   cakṣuraṅgārāḥ prabhāśrayatvāt /	cakzuH aFgArAH praBA ASraya tvAt /
   śrotraṃ visphuliṅgāḥ viprakīrṇatvāt /	Srotram visPuliFgAH viprakIrNa tvAt /
   tā evāpaḥ śraddhādipariṇāmakrameṇāgatāḥ vrīhyādirūpeḥ pariṇatā satyaḥ	tAH eva apaH SradDA Adi pariNAma krameNa AgatAH vrIhi Adi rUpeH pariNatA satyaH
   puruṣe 'gnau hutāstāsāṃ pariṇāmo retaḥ saṃbhavati /	puruze agnO hutAH tAsAm pariNAmaH retaH saMBavati /
   yoṣā vāva gautamāgniḥ tasyā upastha eva samit /	yozA vAva gOtama agniH tasyAH upasTaH eva samiD /
   tena hi sā putrādyutpādanāya samidhyate yadupamantrayate sa dhūmaḥ /	tena hi sA putra Adi utpAdanAya samiDyate yat upamantrayate sa DUmaH /
   strīsaṃbhavādupamantraṇasya lomāni vā dhūmaḥ yonirarciḥ lohitatvāt /	strI saMBavAt upamantraNasya lomAni vA DUmaH yoniH arciH lohita tvAt /
   yadantaḥ karoti maithunaṃ te 'ṅgārāḥ /	yat antar karoti mETunam te aFgArAH /
   abhinandāḥ sukhalavā visphuliṅgāḥ, kṣudratvāt /	aBinandAH suKa lavAH visPuliFgAH, kzudra tvAt /
   tasminnetasminnagnau devā reto juhvati tasyā āhutergarbhaḥ saṃbhavati /	tasmin= etasmin= agnO devAH retaH juhvati tasyAH AhuteH garBaH saMBavati /
   evaṃ śraddhāsomavarṣānnaretohavanakrameṇa yoṣāgniṃ prāpyāpo garbhākhyā	evam SradDA soma varza anna retaH ha vana krameNa yoza agnim prApya apaH garBa AKyA
   bhavanti /	Bavanti /
   tatrāpsamavāyitvādāpaḥ puruṣavacaso bhavanti pañcamyāmāhutāviti /	tatra apsamavAyi tvAt ApaH puruza vacasaH Bavanti paQcamyAm AhutO= iti /
   yataḥ pañcamyāmāhutāvāpaḥ puruṣavacaso bhavanti tasmādadbhiḥ pariveṣṭito	yatas paQcamyAm AhutA vApaH puruza vacasaH Bavanti tasmAt adBiH parivezwitaH 
   jīvo rahatīti gamyate /	jIvaH rahati iti gamyate /
   etaduktaṃ bhavati śraddhāśabdavācyā āpa ityagre vakṣyati tāsāṃ	etat uktam Bavati SradDA Sabda vAcyAH ApaH iti agre vakzyati tAsAm
   trivṛtkatatayā tejo 'nnāvinābhāvenābgrahaṇena tejonnayorapi saṃgraha	trivRt kata tayA tejaH anna avinABAvena abgrahaNena tejonnayoH api saMgraha
   ityetadapi vakṣyate /	iti etat api vakzyate /
   yadyapyetāvatāpi bhūtaveṣṭitasya jīvasya raṃhaṇaṃ nāvagamyate tejovannānāṃ	yadi api etAvatA api BUta vezwitasya jIvasya raMhaNam na avagamyate tejaH vannAnAm
   pañcamyāmāhutau puruṣavacastvamātraśravaṇāt, tathāpīṣṭādikāriṇāṃ dhūmādinā	paQcamyAm AhutO puruza vacaH tu amAtra SravaNa at, taTA api izwa Adi kAriNAm DUma AdinA
   pitṛyāṇena pathā candralokaprāptikathanaparayā 'ākāśāccandramasameṣa somo	pitRyANena paTA candra loka prApti kaTana parayA aAkASAt candramasam eza somaH 
   rāṭ'iti śrutyā saha 'śraddhāṃ juhvati tasyā āhuteḥ somo rājā	rAw aiti SrutyA saha aSradDAm juhvati tasyAH AhuteH somaH rAjA
