   Kātyāyanasmṛtisāroddhāraḥ	KAtyAyana-smRti-sAra-udDAraH
   [rāja.guṇāḥ](p.1)	[rAja.-guNAH](p.1)
   K.001a/ vinītaḥ śāstra.saṃpannaḥ kośa.śaurya.samanvitaḥ /	K.001a/ vinItaH SAstra.-saMpannaH koSa.-SOrya.-samanvitaH /
   K.001b/ brahmaṇyo dāna.śīlaḥ (syāt satya.dharma.paro nṛpaḥ //	K.001b/ brahmaNyaH dAna.-SIlaH (syAt satya.-Darma.-paraH nRpaH //
   K.002a/ stambha.upatāpa.paiśunya.cāpala.krodha.varjitaḥ /	K.002a/ stamBa-.-upatApa.-pESunya.cApala.-kroDa.-varjitaH /
   K.002b/ pragalbhaḥ sannata.udagraḥ saṃbhāṣī priyadarśanaḥ //	K.002b/ pragalBaH sannata.udagraH saMBAzI priya-darSanaH //
   K.003a/ vaśya.indriyaṃ jita.ātmānaṃ dhṛta.daṇḍam vikāriṣu /	K.003a/ vaSya.-indriyam jita-.A-AtmAnam DRta.daNxam vikArizu /
   K.003b/ parīkṣya.kāriṇaṃ dhīram atyantaṃ śrīr (niṣevate //	K.003b/ parIkzya.-kAriNam DIram atyantam SrIH (nizevate //
   [rāja.dharmāḥ]	[rAja.-DarmAH]
   K.004a/ śaurya.vidyā.artha.bāhulyāt prabhutvāc ca viśeṣataḥ /	K.004a/ SOrya.vidyA-.arTa.-bAhulyAt praBu-tvAt ca viSezataH /
   K.004b/ sadā cittaṃ narendrāṇāṃ moham (āyāti kāraṇāt //	K.004b/ sadA cittam narendrANAm moham (AyAti kAraNAt //
   K.005a/ tasmāc cittaṃ praboddhavyaṃ rāja.dharme sadā dvijaiḥ /	K.005a/ tasmAt cittam prabodDavyam rAja.-Darme sadA dvijEH /
   K.005b/ pavitraṃ paramaṃ puṇyaṃ smṛti.vākyaṃ na (laṅghayet //	K.005b/ pavitram paramam puNyam smRti.vAkyam na (laFGayet //
   K.006a/ veda.dhvani.prabhāveṇa devāḥ svarga.nivāsinaḥ /	K.006a/ veda.-Dvani.-praBAveNa devAH svarga.-nivAsinaH /
   K.006b/ te^api tatra (pramodante tṛptās tu dvija.pūjanāt //	K.006b/ te^api tatra (pramodante tRptAH tu dvija.-pUjanAt //
   K.007a/ tasmād yatnena kartavyā dvija.pūjā sadā nṛpaiḥ /	K.007a/ tasmAt yatnena kartavyA dvija.-pUjA sadA nRpEH /
   K.007b/ tena bhūyo^api śakratvaṃ narendratvaṃ punaḥ punaḥ //	K.007b/ tena BUyas-^api Sakra-tvam narendra-tvam punar punar //
   K.008a/ sura.adhyakṣaś cyutaḥ svargān nṛpa.rūpeṇa (tiṣṭhati /	K.008a/ sura.aDyakzaH cyutaH svargAt nRpa.-rUpeNa (tizWati /
   K.008b/ kartavyaṃ tena tan nityaṃ yena tattvaṃ (samāpnuyāt //	K.008b/ kartavyam tena tat nityam yena tattvam (samApnuyAt //
