   <B1> caturthaḥ pādaḥ /	<B1> caturTaH pAdaH /
   (1 adhikaraṇam / ) (a.2 pā.4 adhi.1)	(1 aDikaraNam / ) (a.2 pA.4 aDi.1)
   yāvajjīviko 'bhyāsaḥ karmadharmaḥ prakaraṇāt / Jaim_2,4.1 /	yAvat-jIvikaH aByAsaH karma-DarmaH prakaraNAt / JEm_2,4.1 /
   "yāvajjīvaṃ darśapūrṇamāsābhyāṃ yajete" tyatra kāmye eva svargādyarthe	"yAvat-jIvam darSa-pUrNamAsAByAm yajete" tyatra kAmye eva svarga-Adi-arTe
   darśapūrṇamāsakarmaṇi jīvanaparyāptakālavidhiḥ /	darSa-pUrNamAsa-karmaNi jIvana-paryApta-kAla-viDiH /
   naca paurṇamāsyādikālavirodhaḥ; vyāpyavyāpakabhāvena	na-ca pOrNamAsya-Adi-kAla-viroDaH; vyApya-vyApaka-BAvena
   amāvāsyāparāhṇādivadubhayorapyupapatteḥ /	amAvAsyA-aparAhNa-Adi-vat-uBayoH-api-upapatteH /
   ata eva vinigamanāvirahātkāladvayavidhāvapi prayogadvayavidhiḥ /	atas eva vinigamanA-virahAt-kAla-dvaya-viDO=-api prayoga-dvaya-viDiH /
   jīvanaparyāptakālavidhisāmarthyādeva ca	jIvana-paryApta-kAla-viDi-sAmarTyAt-eva ca
   pratipaurṇamāsyādyarthāddarśapūrṇamāsāvṛttiḥ /	pratipOrNamAsya-Adi-arTAt-darSa-pUrNamAsa-AvRttiH /
   ataśca tāvadvyāpyaprayogavyāsaktavyāpakaikaprayogādeva svargādiphalamiti	atas-ca tAvat-vyApya-prayoga-vyAsakta-vyApaka-eka-prayogAt-eva svarga-Adi-Palam-iti
   prāpte ---------- kālalakṣaṇāpatternāyaṃ kālavidhiḥ /	prApte --------- kAla-lakzaNa-ApatteH-na-ayam kAla-viDiH /
   ato dhātusaṃbandhādhikāravihitaṇamulpratyayena jīvanasya	atas DAtu-saMbanDa-aDikAra-vihitaNam-ulpratyayena jIvanasya
   karmasaṃbandhāvagateḥ svāvacchinnakālakatvādirūpasaṃbandhāśrayaṇe ca	karma-saMbanDa-avagateH sva-avacCinna-kAlaka-tva-Adi-rUpa-saMbanDa-ASrayaNe ca
