   aṣṭamaḥ paricchedaḥ	azwamaH paricCedaH
   guṇānāha---	guNAn-Aha---
   rasasyāṅgitvamāptasya dharmāḥ śauryādayo yathā /	rasasya-aFgi-tvam-Aptasya DarmAH SOrya-AdayaH yaTA /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, ka) guṇanirūpaṇamārabhate---guṇānāheti /	(vi, ka) guNa-nirUpaNam-AraBate---guNa-AnAha-iti /
        aṅgitvamāptasyeti /	aFgi-tvam-Aptasya-iti /
        etacca kāvyam aṅgam raso 'ṅgī ityetatpradarśanaparameva,	etat-ca kAvyam aFgam rasaH aFgI iti-etad-pradarSana-param-eva,
   natvaṅgipadādaṅgarasasya vyavṛttistatrapi mādhuryyādyanubhavāt rasapadaṃ	natu-aFgi-padAt-aFga-rasasya vyavRttiH-tatrapi mADuryya-Adi-anuBavAt rasa-padam
   cāsaṃlakṣyakramaparaṃ bhāvādāvapi guṇāṅgīkārāt /	ca-asaMlakzya-krama-param BAva-AdO=-api guNa-aFgIkArAt /
        Locanā:	LocanA:
        (lo, a) evaṃ doṣānnirūpya guṇanirūpaṇamavatārayati /	(lo, a) evam dozAn-nirUpya guNanirUpaNam-avatArayati /
        aṅgitvamāptasya kāvyātmabhūtatayā /	aFgi-tvam-Aptasya kAvya-Atma-BUta-tayA /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   guṇāḥ---	guNAH---
   yathā khalvaṅgitvamāptasyātmana utkarṣahetutvācchauryādayo	yaTA Kalu-aFgi-tvam-Aptasya-AtmanaH utkarza-hetu-tvAt-SOryAdayaH-
   guṇaśabdavācyāḥ, tathā kāvye 'ṅgitvamāptasya rasasya dharmāḥ svarūpaviśeṣā	guNa-Sabda-vAcyAH, taTA kAvye aFgi-tvam-Aptasya rasasya DarmAH sva-rUpa-viSezA
   mādhuryādayo 'pi svasamarpakapadasandarbhasya	mADurya-AdayaH api sva-samarpaka-pada-sandarBasya
   kāvyavyapadeśasyaupayikānuguṇyabhāja ityarthaḥ /	kAvya-vyapadeSasya-Opayika-anuguNya-BAjaH iti-arTaH /
   yathā caiṣāṃ rasamātrasya dharmatvaṃ tathā darśitameva /	yaTA ca-ezAm rasa-mAtrasya Darma-tvam taTA darSitam-eva /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, kha) aṅgitvamāptasyetyanena śarīriṇa ātmana upasthitatvāt taṃ	(vi, Ka) aFgi-tvam-Aptasya-iti-anena SarIriNaH AtmanaH upasTita-tvAt tam
   dṛṣṭāntayati--yathā khalviti /	dRzwAntayati---yaTA Kalu-iti /
        svarūpaviśeṣā iti /	sva-rUpa-viSezAH iti /
        vailakṣaṇyarūpatvena itaravyāvarttakaviśeṣā ityarthaḥ /	vElakzaNya-rUpa-tvena itara-vyAvarttaka-viSezAH iti-arTaH /
