   1. brahmakāṇḍam	1. brahma-kANxam
   anādinidhanaṃ brahma $ śabdatattvaṃ yad akṣaram &	anAdi-niDanam brahma $ Sabda-tattvam yat akzaram &
   vivartate 'rthabhāvena % prakriyā jagato yataḥ // 1.1 //	vivartate arTa-BAvena % prakriyA jagataH yatas // 1.1 //
   ekam eva yad āmnātaṃ $ bhinnaśaktivyapāśrayāt &	ekam eva yat AmnAtam $ Binna-Sakti-vyapASrayAt &
   apṛthaktve 'pi śaktibhyaḥ % pṛthaktveneva vartate // 1.2 //	apRTaktve api SaktiByaH % pRTaktvena-iva vartate // 1.2 //
   adhyāhitakalāṃ yasya $ kālaśaktim upāśritāḥ &	aDyAhita-kalAm yasya $ kAla-Saktim upASritAH &
   janmādayo vikārāḥ ṣaḍ % bhāvabhedasya yonayaḥ // 1.3 //	janma-AdayaH vikArAH zaw % BAva-Bedasya yonayaH // 1.3 //
   ekasya sarvabījasya $ yasya ceyam anekadhā &	ekasya sarva-bIjasya $ yasya ca-iyam anekaDA &
   bhoktṛbhoktavyarūpeṇa % bhogarūpeṇa ca sthitiḥ // 1.4 //	BoktR-Boktavya-rUpeNa % Boga-rUpeNa ca sTitiH // 1.4 //
   prāptyupāyo 'nukāraś ca $ tasya vedo maharṣibhiḥ &	prApti-upAyaH anukAraH ca $ tasya vedaH mahA-RziBiH &
   eko 'py anekavartmeva % samāmnātaḥ pṛthak pṛthak // 1.5 //	ekaH api aneka-vartmA-iva % samAmnAtaH pRTak pRTak // 1.5 //
   bhedānāṃ bahumārgatvaṃ $ karmaṇy ekatra cāṅgatā &	BedAnAm bahu-mArga-tvam $ karmaNi ekatra ca-aFgatA &
   śabdānāṃ yataśaktitvaṃ % tasya śākhāsu dṛśyate // 1.6 //	SabdAnAm yata-Sakti-tvam % tasya SAKAsu dRSyate // 1.6 //
   smṛtayo bahurūpāś ca $ dṛṣṭādṛṣṭaprayojanāḥ &	smRtayaH bahu-rUpAH ca $ dRzwa-adRzwa-prayojanAH &
   tam evāśritya liṅgebhyo % vedavidbhiḥ prakalpitāḥ // 1.7 //	tam eva-ASritya liFgeByaH % veda-vidBiH prakalpitAH // 1.7 //
   tasyārthavādarūpāṇi $ niśritāḥ svavikalpajāḥ &	tasya-arTavAda-rUpANi $ niSritAH sva-vikalpa-jAH &
   ekatvināṃ dvaitināṃ ca % pravādā bahudhāgatāḥ // 1.8 //	ekatvinAm dvEtinAm ca % pravAdAH bahuDA-AgatAH // 1.8 //
   satyā viśuddhis tatroktā $ vidyaivaikapadāgamā &	satyA viSudDiH tatra-uktA $ vidyA-eva-ekapada-AgamAH &
