   Larger Prajñāpāramitā	LargeH PrajQApAramitA
   (LPG 1r) siddhaṃ namaḥ sarvajñāya evaṃ mayā śrutam ekasamaye bhagavān	(LPu 1r) sidDam namaH sarvajQAyaH evam mayA Srutam eka-samaye BagavAn
   rājagṛhe viharati sma gṛdhrākūṭaparvate mahatā bhikṣusaṃghena sārdhaṃ	rAjagRhe viharati sma gRDra-AkUwaparvate mahatA Bikzu-saMGena sArDam
   paṃcamātrair bhikṣusahasraiḥ sarvair arhadbhiḥ kṣīṇāsravair niṣkleśair	paMca-mAtrEH Bikzu-sahasrEH sarvEH arhadBiH kzINa-AsravEH nizkleSEH-
   vaśībhūtaiḥ suvimuktacittaiḥ suvimuktaprajñair ājāneyair mahānāgaiḥ	vaSIBUtEH su-vimukta-cittEH su-vimukta-prajQEH AjAneyEH mahA-nAgEH
   kṛtakṛtyaiḥ kṛtakaraṇīyair apahṛtabhārair anuprāptasvakārthaiḥ	kRtakRtyEH kRta-karaNIyEH apahRta-BArEH anuprApta-svaka-arTEH
   parikṣīṇabhavasaṃyojanaiḥ samyagājñāsuvimuktacittaiḥ	parikzINa-Bava-saMyojanEH samyak-AjQA-su-vimukta-cittEH
   sarvacetovaśitāparamapāramiprāptair ekapudgalaṃ sthāpayitvā yad	sarva-cetaH-vaSitA-parama-pArami-prAptEH eka-pudgalam sTApayitvA yat-
   utāyuṣmantam ānandam* śaikṣaṃ srotāpannaṃ paṃcamātraiś ca bhikṣuṇīśatair	uta-Ayuzmantam Anandam* SEkzam srotApannam paMca-mAtrEH ca BikzuNI-SatEH-
   yaśodharāmahāprajāpatīpramukhaiḥ saṃbahulaiś copāsakair upāsikābhiś ca	yaSoDarA-mahA-prajApatI-pramuKEH saMbahulEH ca-upAsakEH upAsikABiH ca
   sarvair dṛṣṭadharmabhiḥ mahatā ca bodhisatvasaṃghena sārdham	sarvEH dRzwa-DarmaBiH mahatA ca boDisatva-saMGena sArDam
   aprameyāsaṃkhyeyair bodhisatvair mahāsatvaiḥ sarvair dhāraṇīpratilabdhaiḥ	aprameya-asaMKyeyEH boDisatvEH mahAsatvEH sarvEH DAraNI-pratilabDEH
   samādhipratilabdhaiḥ śunyatāvihāribhir ānimittagocarair	samADi-pratilabDEH SunyatO=-ihAriBiH Animitta-gocarEH-
   akalpitapraṇidhānaiḥ sarvadharmasamatākṣāntipratilabdhaiḥ	akalpita-praNiDAnEH sarva-Darma-sama-tA-kzAnti-pratilabDEH
   asaṃgapraṇidhānasamanvāgataiḥ akṣayanirdeśapratisaṃvinnayapratividdhaiḥ	asaMga-praNiDAna-samanvAgatEH akzaya-nirdeSa-pratisaMvinnaya-pratividDEH
   mahābhijñāvikrīḍitair atyantācyutābhijñair ādeyavacanair akusīdair	mahA-aBijQA-vikrIxitEH atyanta-acyuta-aBijQEH Adeya-vacanEH akusIdEH-
   ārabdhavīryaiḥ kāyajīvitanirapekṣair akuhakair alapakair	ArabDa-vIryEH kAya-jIvita-nirapekzEH akuhakEH alapakEH-
   apagatajñātilābhacittair nirāmiṣadharmadeśakaiḥ	apagata-jQAti-lABa-cittEH nirAmiza-Darma-deSakEH
   gaṃbhīradharmakṣāntiparamagatiṃgataiḥ mahāvaiśāradyaprāptaiḥ	gaMBIra-Darma-kzAnti-parama-gatiMgatEH mahA-vESAradya-prAptEH
   asaṃkucitamānasaiḥ sarvamārakarmasamatikrāntaiḥ	asaMkucita-mAnasEH sarva-mAra-karma-samatikrAntEH
   karmāvaraṇapratiprasrabdhaiḥ nihatakarmakleśapratyarthikaiḥ	karma-AvaraNa-pratiprasrabDEH nihata-karma-kleSa-pratyarTikEH
   sarvaparapravādyanabhibhūtaiḥ (LPG 1v)	sarva-para-pravAdI-anaBiBUtEH (LPu 1v)
   sarvaśrāvakapratyekabuddhaduravagāhair	sarva-SrAvaka-pratyekabudDa-durava-gAhEH-
   dharmapravicayavibhaktinirdeśakuśalaiḥ	Darma-pravicaya-viBakti-nirdeSa-kuSalEH
   asaṃkhyeyakalpasusamārabdhapraṇidhānaiḥ smitamukhaiḥ pūrvālāpibhiḥ	asaMKyeya-kalpa-su-samArabDa-praNiDAnEH smita-muKEH pUrva-AlApiBiH
   vyapagatabhrukuṭikaiḥ ślakṣṇamadhuvacanaiḥ gāthābhigītaparālapanakuśalaiḥ	vyapagata-BrukuwikEH SlakzNa-maDu-vacanEH gATA-aBigIta-parAlapana-kuSalEH
   anācchedyapratibhānair anantaparṣadabhibhavanair vaiśāradyasamanvāgatair	anAcCedya-pratiBAnEH ananta-parzad-aBiBavanEH vESAradya-samanvAgatEH-
   anantakalpakoṭīnirdeśajñānaniḥsaraṇakuśalaiḥ	ananta-kalpa-kowI-nirdeSa-jQAna-niHsaraNa-kuSalEH
   māyāmarīcidagacandrasvapnapratiśrutkapratibhāsagaganagandharvanagarapratibiṃbanirmāṇopamadharmādhimuktair	mAyA-marIci-daga-candra-svapna-pratiSrutka-pratiBAsa-gagana-ganDarva-nagara-pratibiMba-nirmANa-upama-Darma-aDimuktEH-
   apagatasaṃlīnacittaiḥ	apagata-saMlIna-cittEH
   sarvasatvacittagatisūkṣmajñānacaryādhimuktyavatārakuśalaiḥ	sarva-satva-citta-gati-sUkzma-jQAna-caryA-aDi-mukti-avatAra-kuSalEH
   sarvasatvāpratihatacittair adhimātrakṣāntisamanvāgataiḥ	sarva-satva-apratihata-cittEH aDimAtra-kzAnti-samanvAgatEH
   sarvadharmatāprativedhajñānakuśalair gaṃbhīradharmatāduravagāhaiḥ	sarva-DarmatA-prativeDa-jQAna-kuSalEH gaMBIra-Darma-tA-duravagAhEH
   svacittavaśitāpratilabdhaiḥ sarvavaśitāprāptaiḥ	sva-citta-vaSita-apratilabDEH sarva-vaSitA-prAptEH
   sarvakarmakleśadṛṣṭyāvaraṇavimuktaiḥ pratītyanirdeśakuśalair	sarva-karma-kleSa-dRzwi-AvaraNa-vimuktEH pratItya-nirdeSa-kuSalEH-
   gaṃbhīrapratītyasamutpādākṣayanayāvatīrṇaiḥ	gaMBIra-pratItyasamutpAda-akzayanayA-avatIrNEH
   sarvadṛṣṭyanuśayaparyutthānavigataiḥ sarvasaṃyojanaprahīṇaiḥ	sarva-dRzwi-anuSaya-paryutTAna-vigatEH sarva-saMyojana-prahINEH
   satyaprativedhajñānakuśalaiḥ	satya-prativeDa-jQAna-kuSalEH
   satatasamitapratiśrutkāsamasarvadharmādhimuktaiḥ	satata-samita-pratiSrutkA-samasarva-Darma-aDimuktEH
   apramāṇadharmanayanirdeśaviśāradair yathātmyāvatāraṇakuśalair	apramANa-Darma-naya-nirdeSa-viSAradEH yaTA-AtmyA-avatAraNa-kuSalEH-
   anantabuddhakṣetravyūhapraṇidhānaprasthānaparigṛhītair	ananta-budDa-kzetra-vyUha-praNiDAna-prasTAna-parigRhItEH-
   asaṃkhyeyalokadhātugatabuddhānusmṛtisamādhisatatasamitam abhimukhībhūtaiḥ	asaMKyeya-loka-DAtu-gata-budDa-anusmRti-samADi-satata-samitam aBimuKIBUtEH
   sarvabuddhotpādopasaṃkramaṇakuśalair aparimitabuddhādhyeṣaṇakuśalair	sarva-budDa-utpAda-upasaMkramaNa-kuSalEH aparimita-budDa-aDyezaNa-kuSalEH-
