   BhP_08.01.001/0 śrīrājovāca	BhP_08.01.001/0 SrI-rAjA-uvAca
   BhP_08.01.001/1 svāyambhuvasyeha guro vaṃśo 'yaṃ vistarāc chrutaḥ	Bhu-_08.01.001/1 svAyamBuvasya-iha guro vaMSaH ayam vistarAt SrutaH
   BhP_08.01.001/3 yatra viśvasṛjāṃ sargo manūn anyān vadasva naḥ	Bhu-_08.01.001/3 yatra viSvasRjAm sargaH manUn anyAn vadasva naH
   BhP_08.01.002/1 manvantare harerjanma karmāṇi ca mahīyasaḥ	Bhu-_08.01.002/1 manvantare hareH-janma karmANi ca mahIyasaH
   BhP_08.01.002/3 gṛṇanti kavayo brahmaṃstāni no vada śṛṇvatām	Bhu-_08.01.002/3 gRNanti kavayaH brahman=-tAni naH vada SRNvatAm
   BhP_08.01.003/1 yadyasminnantare brahman bhagavān viśvabhāvanaḥ	Bhu-_08.01.003/1 yadi-asmin=-antare brahman BagavAn viSvaBAvanaH
   BhP_08.01.003/3 kṛtavān kurute kartā hy atīte 'nāgate 'dya vā	BhP-_08.01.003/3 kRtavAn kurute kartA hi atIte anAgate adya vA
   BhP_08.01.004/0 śrīṛṣiruvāca	BhP_08.01.004/0 SrIRziH-uvAca
   BhP_08.01.004/1 manavo 'smin vyatītāḥ ṣaṭ kalpe svāyambhuvādayaḥ	Bhu-_08.01.004/1 manavaH asmin vyatItAH zaw kalpe svAyamBuva-AdayaH
   BhP_08.01.004/3 ādyaste kathito yatra devādīnāṃ ca sambhavaḥ	Bhu-_08.01.004/3 AdyaH-te kaTitaH yatra deva-AdInAm ca samBavaH
   BhP_08.01.005/1 ākūtyāṃ devahūtyāṃ ca duhitrostasya vai manoḥ	Bhu-_08.01.005/1 AkUtyAm deva-hUtyAm ca duhitroH-tasya vE manoH
   BhP_08.01.005/3 dharmajñānopadeśārthaṃ bhagavān putratāṃ gataḥ	Bhu-_08.01.005/3 Darma-jQAna-upadeSa-arTam BagavAn putra-tAm gataH
   BhP_08.01.006/1 kṛtaṃ purā bhagavataḥ kapilasyānuvarṇitam	Bhu-_08.01.006/1 kRtam purA BagavataH kapilasya-anuvarNitam
   BhP_08.01.006/3 ākhyāsye bhagavān yajño yac cakāra kurūdvaha	Bhu-_08.01.006/3 AKyAsye BagavAn yajQaH yat cakAra kuru-udvaha
   BhP_08.01.007/1 viraktaḥ kāmabhogeṣu śatarūpāpatiḥ prabhuḥ	Bhu-_08.01.007/1 viraktaH kAma-Bogezu SatarUpA-patiH praBuH
   BhP_08.01.007/3 visṛjya rājyaṃ tapase sabhāryo vanamāviśat	Bhu-_08.01.007/3 visRjya rAjyam tapase sa-BAryaH vanam-AviSat-
   BhP_08.01.008/1 sunandāyāṃ varṣaśataṃ padaikena bhuvaṃ spṛśan	Bhu-_08.01.008/1 sunandAyAm varza-Satam padA-ekena Buvam spRSan
   BhP_08.01.008/3 tapyamānastapo ghoramidamanvāha bhārata	Bhu-_08.01.008/3 tapyamAnaH-tapaH Goram-idam-anvAha BArata
   BhP_08.01.009/0 śrīmanuruvāca	BhP_08.01.009/0 SrImanuH-uvAca
   BhP_08.01.009/1 yena cetayate viśvaṃ viśvaṃ cetayate na yam	Bhu-_08.01.009/1 yena cetayate viSvam viSvam cetayate na yam
   BhP_08.01.009/3 yo jāgarti śayāne 'smin nāyaṃ taṃ veda veda saḥ	Bhu-_08.01.009/3 yaH jAgarti SayAne asmin na-ayam tam veda veda saH
   BhP_08.01.010/1 ātmāvāsyamidaṃ viśvaṃ yat kiñcij jagatyāṃ jagat	Bhu-_08.01.010/1 AtmOvAsyam-idam viSvam yat kiQcid jagatyAm jagat-
   BhP_08.01.010/3 tena tyaktena bhuñjīthā mā gṛdhaḥ kasya sviddhanam	Bhu-_08.01.010/3 tena tyaktena BuQjITAH mA gRDaH kasya svid-Danam
   BhP_08.01.011/1 yaṃ paśyati na paśyantaṃ cakṣuryasya na riṣyati	Bhu-_08.01.011/1 yam paSyati na paSyantam cakzuH-yasya na rizyati
   BhP_08.01.011/3 taṃ bhūtanilayaṃ devaṃ suparṇamupadhāvata	Bhu-_08.01.011/3 tam BUta-nilayam devam suparNam-upaDAvata
   BhP_08.01.012/1 na yasyādyantau madhyaṃ ca svaḥ paro nāntaraṃ bahiḥ	Bhu-_08.01.012/1 na yasya-Adi-antO maDyam ca svar paraH na-antaram bahis-
   BhP_08.01.012/3 viśvasyāmūni yadyasmādviśvaṃ ca tadṛtaṃ mahat	Bhu-_08.01.012/3 viSvasya-amUni yadyasmAt-viSvam ca tat-Rtam mahat-
   BhP_08.01.013/1 sa viśvakāyaḥ puruhūtaīśaḥ satyaḥ svayaṃjyotirajaḥ purāṇaḥ	BhP_08.01.013/1 sa viSva-kAyaH puruhUtaISaH satyaH svayaMjyoti-rajaH purANaH
   BhP_08.01.013/3 dhatte 'sya janmādyajayātmaśaktyā tāṃ vidyayodasya nirīha	Bhu-_08.01.013/3 Datte asya janma-Adyajaya-Atma-SaktyA tAm vidyayA-udasya nirIha
   āste	Aste
   BhP_08.01.014/1 athāgre ṛṣayaḥ karmāṇ īhante 'karmahetave	Bhu-_08.01.014/1 aTa-agre RzayaH karmAN Ihante akarma-hetave
   BhP_08.01.014/3 īhamāno hi puruṣaḥ prāyo 'nīhāṃ prapadyate	Bhu-_08.01.014/3 IhamAnaH hi puruzaH prAyas anIhAm prapadyate
   BhP_08.01.015/1 īhate bhagavān īśo na hi tatra visajjate	Bhu-_08.01.015/1 Ihate BagavAn ISaH na hi tatra visajjate
   BhP_08.01.015/3 ātmalābhena pūrṇārtho nāvasīdanti ye 'nu tam	Bhu-_08.01.015/3 Atma-lABena pUrNa-arTaH na-avasIdanti ye anu tam
   BhP_08.01.016/1 tamīhamānaṃ nirahaṅkṛtaṃ budhaṃ nirāśiṣaṃ	Bhu-_08.01.016/1 tamIha-mAnam nirahaFkRtam buDam nirASizam
   pūrṇamananyacoditam	pUrNam-ananya-coditam
   BhP_08.01.016/3 nṝn śikṣayantaṃ nijavartmasaṃsthitaṃ prabhuṃ prapadye	Bhu-_08.01.016/3 nLn Sikzayantam nija-vartma-saMsTitam praBum prapadye
   'khiladharmabhāvanam	aKila-Darma-BAvanam
   BhP_08.01.017/0 śrīśuka uvāca	BhP_08.01.017/0 SrI-SukaH uvAca
   BhP_08.01.017/1 iti mantropaniṣadaṃ vyāharantaṃ samāhitam	Bhu-_08.01.017/1 iti mantra-upanizadam vyAharantam samAhitam
   BhP_08.01.017/3 dṛṣṭvāsurā yātudhānā jagdhumabhyadravan kṣudhā	Bhu-_08.01.017/3 dRzwvA-asurA yAtuDAnA jagDum-aByadravan kzuDA
   BhP_08.01.018/1 tāṃstathāvasitān vīkṣya yajñaḥ sarvagato hariḥ	Bhu-_08.01.018/1 tAn=-taTA-avasitAn vIkzya yajQaH sarva-gataH hariH
