   [śrīḥ]	[SrIH]
   [vṛttaratnākaraḥ]	[vRtta-ratna-AkaraH]
   prathamo 'dhyāyaḥ	praTamaH aDyAyaH
   sukhasantānasiddhyarthaṃ natvā brahmā 'cyutā 'rcitam /	suKa-santAna-sidDi-arTam natvA brahmA acyutA arcitam /
   gaurīvināyakopetaṃ śaṅkaraṃ lokaśaṅkaram // KedV_1.1 //	gOrI-vinAyaka-upetam SaFkaram loka-SaFkaram // KedV_1.1 //
   vedārthaśaivaśāstrajñaḥ pavyeko 'bhūd lokaśaṅkaram /	veda-arTa-SEva-SAstra-jQaH pavi-ekaH aBUt loka-SaFkaram /
   tasya putro 'sti kedāraḥ śivapādārcane rataḥ // KedV_1.2 //	tasya putraH asti kedAraH Siva-pAda-arcane rataH // KedV_1.2 //
   tenedaṃ kriyate chando lakṣyalakṣaṇasaṃyutam /	tena-idam kriyate CandaH lakzya-lakzaNa-saMyutam /
   vṛttaratnākaraṃ nāma bālānāṃ sukhasiddhye // KedV_1.3 //	vRttaratnAkaram nAma bAlAnAm suKa-sidDye // KedV_1.3 //
   piṅgalādibhrācāryairyaduktaṃ laukikaṃ dvidhā /	piFgala-Adi-BrAcAryEH-yat-uktam lOkikam dviDA /
   mātrāvarṇavibhedena cchandastadiha kathyate // KedV_1.4 //	mAtrA-varNa-viBedena cCandaH-tat-iha kaTyate // KedV_1.4 //
   ṣaḍadhyāyanibaddhasya cchandaso 'sya parisphuṭam /	zaz-aDyAya-nibadDasya cCandasaH asya parisPuwam /
   pramāṇamapi vijñeyaṃ ṣaḍtriṃśadadhikaṃ śatam // KedV_1.5 //	pramANam-api vijQeyam zaxtriMSat-aDikam Satam // KedV_1.5 //
   myarastajabhnagairlāntairebhirdaśabhirakṣaraiḥ /	myarasta-jaBna-gErlAntEH-eBiH-daSaBiH-akzarEH /
   samastaṃ vāṅmayaṃ vyāptaṃ trailokyamiva viṣṇunā // KedV_1.6 //	samastam vAc-mayam vyAptam trElokyam-iva vizNunA // KedV_1.6 //
   sarvagurmo mukhāntarlau yarāvantagalau satau /	sarva-gurmaH muKa-antarlO yarAvanta-galO satO /
   gmadhyādyau jmau trilo no 'ṣṭau bhavantyatra gaṇāstrikāḥ // KedV_1.7 //	gmaDyA-AdyO jmO trilaH naH azwO Bavanti-atra gaNAH-trikAH // KedV_1.7 //
   jñeyāḥ sarvāntamadhyādiguravo 'tra catuṣkalāḥ /	jQeyAH sarvAnta-maDyAdi-guravaH atra catuzkalAH /
   gaṇāścaturlaghūpetāḥ pañcāryādiṣu saṃsthitāḥ // KedV_1.8 //	gaNAH-catur-laGu-upetAH paQca-ArI-Adizu saMsTitAH // KedV_1.8 //
   sānusvāro visargānto dīrgho yuktaparaśca yaḥ /	sa-anusvAraH visarga-antaH dIrGaH yukta-paraH-ca yaH /
   vā pādānte tvasau gvakro jñeyo 'nyo mātriko lṛjuḥ // KedV_1.9 //	vA pAda-ante tu-asO gvakraH jQeyaH anyaH mAtrikaH lRjuH // KedV_1.9 //
   pādādāviha varṇasya saṃyogaḥ kramasaṃjñakaḥ /	pAda-AdO=-iha varNasya saMyogaH krama-saMjQakaH /
   puraḥsthitena tena syāllaghutā 'pi kvacid guroḥ // KedV_1.10 //	puras-sTitena tena syAt-laGu-tA api kvacid guroH // KedV_1.10 //
   taruṇaṃ sarṣapaśākaṃ navaudanaṃ picchilāni ca dadhīni /	taruNam sarzapa-SAkam nava-odanam picCilAni ca daDIni /
   alpavyayena sundari (!) grāmyajano miṣṭamiśnāti // KedV_1.11 //	alpa-vyayena sundari (!) grAmya-janaH mizwa-miSnAti // KedV_1.11 //
   abdhibhūtarasādīnāṃ jñeyāḥ saṃjñāstu lokataḥ /	abDiBUta-rasa-AdInAm jQeyAH saMjQAH-tu lokataH /
   jñeyaḥ pādaścaturthāśo yatirvicchedasaṃjñitaḥ // KedV_1.12 //	jQeyaH pAdaH-caturTa-ASaH yatiH-vicCeda-saMjQitaH // KedV_1.12 //
   yuksamaṃ viṣamaṃ cālūksthānaṃ sadbhirnigadyate /	yuj-samam vizamam cAlu-uksTAnam sadBiH-nigadyate /
   samamardhasamaṃ vṛttaṃ viṣamaṃ ca tathāparam // KedV_1.13 //	samam-arDa-samam vRttam vizamam ca taTA-aparam // KedV_1.13 //
   aṅghrayo yasya catvārastulyalakṣaṇalakṣitāḥ /	aFGrayaH yasya catvAraH-tulya-lakzaNa-lakzitAH /
   tacchandaḥśāstratattvajñāḥ samaṃ vṛttaṃ pracakṣate // KedV_1.14 //	tad-CandaHSAstra-tattva-jQAH samam vRttam pracakzate // KedV_1.14 //
   prathamāṅghrisamo yasya tṛtīyaścaraṇo bhavet /	praTama-aFGri-samaH yasya tRtIyaH-caraNaH Bavet /
   dvitīyasturyavadvṛttaṃ tadardhasamamucyate // KedV_1.15 //	dvitIyaH-turya-vat-vRttam tad-arDa-samam-ucyate // KedV_1.15 //
   yasya pādacatuṣke 'pi lakṣma bhinnaṃ parasparam /	yasya pAda-catuzke api lakzma Binnam parasparam /
   tadāhurviṣamaṃ vṛttaṃ chandaḥśāstraviśāradāḥ // KedV_1.16 //	tat-AhuH-vizamam vRttam CandaHSAstra-viSAradAH // KedV_1.16 //
   ārabhyaikākṣārātpādādekaikakṣaravaddhitaiḥ /	AraBya-eka-AkzArAt-pAdAt-ekEkakzara-vat-hitEH /
   pṛthakchando bhavetpādairyāvatṣaḍviṃśatiṃ gatam // KedV_1.17 //	pRTak-CandaH Bavet-pAdEH-yAvat-zaxviMSatim gatam // KedV_1.17 //
   tadūrdhvaṃ caṇḍavṛṣṭyādidaṇḍakāḥ parikīrtitāḥ /	tad-UrDvam caNxa-vRzwi-Adi-daNxakAH parikIrtitAH /
   śeṣaṃ gāthāstribhiḥ ṣaḍbhiścaraṇaiścopalakṣitāḥ // KedV_1.18 //	Sezam gATAH-triBiH zaxBiH-caraNEH-ca-upalakzitAH // KedV_1.18 //
   uktā 'tyuktā tathā madhyā pratiṣṭhā 'nyā supūrvikā /	uktA ati-uktA taTA maDyA pratizWA anyA su-pUrvikA /
   gāyatryuṣṇiganuṣṭup ca bṛhatī paṅktireva ca // KedV_1.19 //	gAyatrI-uzNiganuzwuB ca bRhatI paFktiH-eva ca // KedV_1.19 //
   triṣṭup ca jagatī caiva tathā 'tijagatī matā /	trizwuB ca jagatI ca-eva taTA ati-jagatI matA /
   śakvarī sā 'tipūrvā syādaṣṭyatyaṣṭī tataḥ smṛte // KedV_1.20 //	SakvarI sA ati-pUrvA syAt-azwi-atyazwI tatas smRte // KedV_1.20 //
   dhṛtiścā 'tidhṛtiścaiva krṭiḥ prakṛtirākṛtiḥ /	DRtiH-cA atiDRtiH-ca-eva krwiH prakRtiH-AkRtiH /
   vikṛtiḥ saṅkṛtiścaiva tathā 'tikṛtirutkṛtiḥ // KedV_1.21 //	vikRtiH saFkRtiH-ca-eva taTA atikRtiH-utkRtiH // KedV_1.21 //
   ityuktāśchandasāṃ saṃjñāḥ kramato vacmi sāmpratam /	iti-uktAH-CandasAm saMjQAH kramatas vacmi sAmpratam /
   lakṣaṇaṃ sarvavṛttānāṃ mātrāvṛttā 'nupūrvakam // KedV_1.22 //	lakzaNam sarva-vRttAnAm mAtrA-vRttA anupUrvakam // KedV_1.22 //
   iti śrīkedārabhaṭṭaviracite vṛttaratnākare saṃjñābhidhāno nāma prathamo	iti SrI-kedAra-Bawwa-viracite vRtta-ratna-Akare saMjQA-aBiDAnaH nAma praTamaH-
   'dhyāyaḥ /	aDyAyaH /
   dvitīyo 'dhyāyaḥ	dvitIyaH aDyAyaH
   [ āryā-prakaraṇam (1-7) ]	[ AryA--prakaraNam (1-7) ]
   lakṣmaitatsapta gaṇā gopetā bhavati neha viṣame jaḥ /	lakzma-etat-sapta gaNAH gopetA Bavati na-iha vizame jaH /
   ṣaṣṭho 'yaṃ nalaghū vā prathame 'rdhe niyatamāryāyāḥ // KedV_2.1 //	zazWaH ayam nalaGU vA praTame arDe niyatam-AryAyAH // KedV_2.1 //
   ṣaṣthe dvitīyalātparake nle mukhalācca sayatipadaniyamaḥ /	zazTe dvitIya-lAt-parake nle muKalAt-ca sayati-pada-niyamaH /
   carame 'rdhe pañcake tasmādiha bhavati ṣaṣṭho laḥ // KedV_2.2 //	carame arDe paQcake tasmAt-iha Bavati zazWaH laH // KedV_2.2 //
   triṣvaṅkeṣu pādo dalayorādyeṣu dṛśyate yasyāḥ /	trizu-aFkezu pAdaH dalayoH-Adyezu dRSyate yasyAH /
   pathyeti nāma tasyāḥ prakīrtitaṃ nāgarājena // KedV_2.3 //	paTyA-iti nAma tasyAH prakIrtitam nAga-rAjena // KedV_2.3 //
