   śrīdevī uvāca	SrI-devI uvAca
   anuttaraṃ kathaṃ deva sadyaḥkaulikasiddhidam /	anuttaram kaTam deva sadyaHkOlika-sidDi-dam /
   yena vijñātamātreṇa khecarīsamatāṃ vrajet // ParTri_1 //	yena vijQAta-mAtreNa KecarI-sama-tAm vrajet // ParTri_1 //
   etad guhyaṃ mahāguhyaṃ kathayasva mama prabho /	etat guhyam mahA-guhyam kaTayasva mama praBo /
   hṛdayasthā tu yā śaktiḥ kaulinī kulanāyikā // ParTri_2 //	hRdaya-sTA tu yA SaktiH kOlinI kula-nAyikAH // ParTri_2 //
   tāṃ me kathaya deveśa yena tṛptiṃ labhāmy aham /	tAm me kaTaya deveSa yena tRptim laBAmi aham /
   śrībhairava uvāca	SrI-BEravaH uvAca
   śṛṇu devi mahābhage uttarasyāpy anuttaram // ParTri_3 //	SRNu devi mahA-Bage uttarasya-api anuttaram // ParTri_3 //
   yad ayaṃ kauliko vidhir mama hṛdvyomny avasthitaḥ /	yat ayam kOlikaH viDiH mama hRd-vyomni avasTitaH /
   kathayāmi na saṃdehaḥ sadyaḥ kaulikasiddhidam // ParTri_4 //	kaTayAmi na saMdehaH sadyas kOlika-sidDi-dam // ParTri_4 //
   athādyās tithayaḥ sarve svarā bindvavasānakāḥ /	aTa-AdyAH tiTayaH sarve svarAH bindu-avasAnakAH /
   tadantaḥ kālayogena somasūryau prakīrtitau // ParTri_5 //	tad-antar kAla-yogena soma-sUryO prakIrtitO // ParTri_5 //
   pṛthivyādīni tattvāni puruṣāntāni pañcasu /	pRTivI-AdIni tattvAni puruza-antAni paQcasu /
   kramāt kādiṣu vargeṣu makārānteṣu suvrate // ParTri_6 //	kramAt ka-Adizu vargezu makAra-antezu suvrate // ParTri_6 //
   vāyvagnisalilendrāṇāṃ dhāraṇānāṃ catuṣṭayam /	vAyu-agni-salila-indrANAm DAraNAnAm catuzwayam /
   tadūrdhve śādivikhyātaṃ purastād brahmapañcakam // ParTri_7 //	tad-UrDve SAdi-viKyAtam purastAt brahmapaQcakam // ParTri_7 //
   [var. 7cd: ūrdvhaṃ]	[var. 7cd: UrdvhaM]
   amūlā tatkramā jñeyā kṣāntā sṛṣṭir udāhṛtā /	amUlA tad-kramA jQeyA kzAntA sRzwiH udAhRtA /
   sarveṣāṃ caiva mantrāṇāṃ vidyānāṃ ca yaśasvini // ParTri_8 //	sarvezAm ca-eva mantrANAm vidyAnAm ca yaSasvini // ParTri_8 //
   iyaṃ yoniḥ samākhyātā sarvatantreṣu sarvadā /	iyam yoniH samAKyAtA sarva-tantrezu sarvadA /
   caturdaśayutaṃ bhadre tithīśāntasamanvitam // ParTri_9 //	caturdaSa-yutam Badre tiTI-ISAnta-samanvitam // ParTri_9 //
   tṛtīyam brahma suśroṇi hṛdayam bhairavātmanaḥ /	tRtIyam brahma suSroNi hRdayam BErava-AtmanaH /
   etan nāyoginījāto nārudro labhate sphuṭam // ParTri_10 //	etat na-ayoginI-jAtaH na-arudraH laBate sPuwam // ParTri_10 //
   hṛdayaṃ devadevasya sadyo yogavimokṣadam /	hRdayam devadevasya sadyas yoga-vimokza-dam /
   asyoccāre kṛte samyaṅ mantramudrāgaṇo mahān // ParTri_11 //	asya-uccAre kRte samyak mantra-mudrA-gaNaH mahAn // ParTri_11 //
   sadyas tanmukhatām eti svadehāveśalakṣaṇam /	sadyas tad-muKa-tAm eti sva-deha-AveSa-lakzaNam /
   muhūrtaṃ smarate yas tu cumbakenābhimudritaḥ // ParTri_12 //	muhUrtam smarate yaH tu cumbakena-aBimudritaH // ParTri_12 //
   sa badhnāti tadā dehaṃ mantramudrāgaṇaṃ naraḥ /	sa baDnAti tadA deham mantra-mudrA-gaNam naraH /
   atītānāgatānarthān pṛṣṭo 'sau kathayaty api // ParTri_13 //	atIta-anAgatAn-arTAn pRzwaH asO kaTayati api // ParTri_13 //
   praharād yad abhipretaṃ devatārūpam uccaran /	praharAt yat aBipretam devatA-rUpam uccaran /
   sakṣāt paśyaty asaṃdigdham ākṛṣṭaṃ rudraśaktibhiḥ // ParTri_14 //	sakzAt paSyati asaMdigDam AkRzwam rudra-SaktiBiH // ParTri_14 //
   praharadvayamātreṇa vyomastho jāyate smaran /	prahara-dvaya-mAtreNa vyoma-sTaH jAyate smaran /
   trayeṇa mātaraḥ sarvā yogeśvaryo mahābalāḥ // ParTri_15 //	trayeNa mAtaraH sarvAH yogeSvaryaH mahA-balAH // ParTri_15 //
   vīrā vīreśvarāḥ siddhā balavāñ chākinīgaṇaḥ /	vIrAH vIra-ISvarAH sidDAH balavAn CAkinI-gaNaH /
   āgatya samayaṃ dattvā bhairaveṇa pracoditāḥ // ParTri_16 //	Agatya samayam dattvA BEraveNa pracoditAH // ParTri_16 //
   yacchanti paramāṃ siddhiṃ phalaṃ yad vā samīhitam /	yacCanti paramAm sidDim Palam yat vA samIhitam /
   anena siddhāḥ setsyanti sādhayanti ca mantriṇaḥ // ParTri_17 //	anena sidDAH setsyanti sADayanti ca mantriNaH // ParTri_17 //
   yat kiṃcid bhairave tantre sarvam asmāt prasiddhyati /	yat kiMcid BErave tantre sarvam asmAt prasidDyati /
   adṛṣṭamaṇdalo 'py evaṃ yaḥ kaścid vetti tattvataḥ /	adRzwa-maNdalaH api evam yaH kaScid vetti tattvataH /
   sa siddhibhāg bhaven nityaṃ sa yogī sa ca dīkṣitaḥ // ParTri_18 //	sa sidDi-BAj Bavet nityam sa yogI sa ca dIkzitaH // ParTri_18 //
   anena jñātamātreṇa jñāyate sarvaśaktibhiḥ /	anena jQAta-mAtreNa jQAyate sarva-SaktiBiH /
   śākinīkulasāmānyo bhaved yogaṃ vināpi hi // ParTri_19 //	SAkinI-kula-sAmAnyaH Bavet yogam vinA-api hi // ParTri_19 //
   avidhijño vidhānajño jāyate yajanaṃ prati // ParTri_20 //	aviDi-jQaH viDAna-jQaH jAyate yajanam prati // ParTri_20 //
   kālāgnim āditaḥ kṛtvā māyāntam brahmadehagam /	kAlAgnim Aditas kRtvA mAyA-antam brahma-deha-gam /
   śivo viśvādyanantāntaḥ paraṃ śaktitrayaṃ matam // ParTri_21 //	SivaH viSvAdi-ananta-antar param Sakti-trayam matam // ParTri_21 //
   tadantar varti yat kiṃcic chuddhamārge vyavasthitam /	tad-antar varti yat kiMcid SudDa-mArge vyavasTitam /
   aṇur viśuddham acirād aiśvaraṃ jñānam aśnute // ParTri_22 //	aNuH viSudDam acirAt ESvaram jQAnam aSnute // ParTri_22 //
   taccodakaḥ śivo jñeyaḥ sarvajñaḥ parameśvaraḥ /	tat-ca-udakaH SivaH jQeyaH sarvajQaH parameSvaraH /
   sarvago nirmalaḥ svacchas tṛptaḥ svāyatanaḥ śuciḥ // ParTri_23 //	sarvagaH nirmalaH svacCaH tRptaH su-a-AyatanaH SuciH // ParTri_23 //
   yathā nyagrodhabījasthaḥ śaktirūpo mahādrumaḥ /	yaTA nyagroDa-bIja-sTaH Sakti-rUpaH mahA-drumaH /
   tathā hṛdayabījasthaṃ jagad etac carācaram // ParTri_24 //	taTA hRdaya-bIja-sTam jagat etat carAcaram // ParTri_24 //
   evaṃ yo vetti tattvena tasya nirvāṇagāminī /	evam yaH vetti tattvena tasya nirvANa-gAminI /
   dīkṣā bhavaty asaṃdigdhā tilājyāhutivarjitā // ParTri_25 //	dIkzA Bavati asaMdigDA tila-Ajya-Ahuti-varjitAH // ParTri_25 //
   mūrdhni vaktre ca hṛdaye guhye mūrtau tathaiva ca /	mUrDni vaktre ca hRdaye guhye mUrtO taTA-eva ca /
   nyāsaṃ krtvā śikhāṃ baddhvā saptaviṃśatimantritām // ParTri_26 //	nyAsam krtvA SiKAm badDvA saptaviMSati-mantritAm // ParTri_26 //
   ekaikaṃ tu diśāṃ bandhaṃ daśānām api yojayet /	ekEkam tu diSAm banDam daSAnAm api yojayet /
   tālatrayam purā dattvā saśabdaṃ vighnaśāntaye // ParTri_27 //	tAla-trayam purA dattvA sa-Sabdam viGna-SAntaye // ParTri_27 //
   śikhāsaṃkhyābhijaptena toyenābhyukṣayet tataḥ /	SiKA-saMKyA-aBijaptena toyena-aByukzayet tatas /
   puṣpādikaṃ kramāt sarvaṃ liṅge vā sthaṇḍile 'thavā // ParTri_28 //	puzpa-Adikam kramAt sarvam liFge vA sTaNxile aTavA // ParTri_28 //
   caturdaśābhijaptena puṣpeṇāsanakalpanā /	caturdaSa-aBijaptena puzpeNa-Asana-kalpanA /
   tatra sṛṣṭiṃ yajed vīraḥ punar evāsanaṃ tataḥ // ParTri_29 //	tatra sRzwim yajet vIraH punar eva-Asanam tatas // ParTri_29 //
   sṛṣṭiṃ tu sampuṭīkṛtya paścād yajanam ārabhet /	sRzwim tu sampuwIkRtya paScAt yajanam AraBet /
   sarvatattvasusampūrṇām sarvābharaṇabhūṣitām // ParTri_30 //	sarva-tattva-su-sampUrNAm sarva-ABaraNa-BUzitAm // ParTri_30 //
   yajed devīṃ maheśānīṃ saptaviṃśatimantritām /	yajet devIm maheSAnIm saptaviMSati-mantritAm /
   tataḥ sugandhipuṣpais tu yathāśaktyā samarcayet // ParTri_31 //	tatas suganDi-puzpEH tu yaTASaktyA samarcayet // ParTri_31 //
   pūjayet parayā bhaktyā ātmanaṃ ca nivedayet /	pUjayet parayA BaktyA Atmanam ca nivedayet /
   evaṃ yajanam ākhyātam agnikārye 'py ayaṃ vidhiḥ // ParTri_32 //	evam yajanam AKyAtam agni-kArye api ayam viDiH // ParTri_32 //
   kṛtapūjāvidhiḥ samyak smaran bījaṃ prasiddhyati /	kRta-pUjA-viDiH samyak smaran bIjam prasidDyati /
   ādyantarahitaṃ bījaṃ vikasat tithimadhyagam /	Adi-anta-rahitam bIjam vikasat tiTi-maDya-gam /
   hṛtpadmāntargataṃ dhyāyet somāṃśaṃ nityam abhyasyet // ParTri_33 //	hRd-padma-antargatam DyAyet soma-aMSam nityam aByasyet // ParTri_33 //
   evaṃ mantraphalāvāptir ity etad rudrayāmalam /	evam mantra-Pala-avAptiH iti etat rudrayAmalam /
   etad abhyāsataḥ siddhiḥ sarvajñatvam avāpyate // ParTri_35 //	etat aByAsataH sidDiH sarvajQa-tvam avApyate // ParTri_35 //
