   BhG 8.1	Bhu 8.1
   arjuna uvāca	arjunaH uvAca
   kiṃ tad brahma kim adhyātmaṃ kiṃ karma puruṣottama |	kim tat brahma kim aDyAtmam kim karma puruzottamaH |
   adhibhūtaṃ ca kiṃ proktam adhidaivaṃ kim ucyate ||1||	aDiBUtam ca kim proktam aDidEvam kim ucyate ||1||
   śrīdharaḥ -	SrIDaraH -
   brahma-karmādhibhūtādi viduḥ kṛṣṇaika-cetasaḥ |	brahma-karma-aDiBUta-Adi viduH kRzNa-eka-cetasaH |
   ity uktaṃ brahma-karmādi spaṣṭam aṣṭama ucyate ||	iti uktam brahma-karma-Adi spazwam azwamaH ucyate ||
   pūrvādhyāyānte bhagavatopakṣiptānāṃ brahmādhyātmādi-saptānāṃ padarthānāṃ	pUrva-aDyAya-ante BagavatA-upakziptAnAm brahma-aDyAtma-Adi--saptAnAm pad-arTAnAm
   tattvaṃ jijñāsur arjuna uvāca kiṃ tad brahmeti dvābhyām | spaṣṭo 'rthaḥ	tattvam jijQAsuH arjunaH uvAca kim tat brahma-iti dvAByAm | spazwaH arTaH
   madhusūdanaḥ - pūrvādhyāyānte te brahma tad viduḥ kṛtsnam adhyātmaṃ karma	maDusUdanaH  pUrva-aDyAya-ante te brahma tat viduH kRtsnam aDyAtmam karma
   cākhilam ity ādinā sārdha-ślokena sapta-padārthā jñeyatvena bhagavatā	ca-aKilam iti AdinA sArDa--Slokena sapta-padArTA jQeya-tvena BagavatA
   sūtritās teṣāṃ vṛtti-sthānīyo 'yam aṣṭamo 'dhyāya ārabhyate | tatra	sUtritAH tezAm vRtti-sTAnIyaH ayam azwamaH aDyAyaH AraByate | tatra
   sūtritāni sapta-vastūni viśeṣato bubhutsamānaḥ ślokābhyām |	sUtritAni sapta-vastUni viSezataH buButsamAnaH SlokAByAm |
   taj-jñeyatvenoktaṃ brahma kiṃ sopādhikaṃ nirupādhikaṃ vā | evam ātmānaṃ	tat--jQeya-tvena-uktam brahma kim sa-upADikam nirupADikam vA | evam AtmAnam
   deham adhikṛtya tasminn adhiṣṭhāne tiṣṭhatīty adhyātmaṃ kiṃ	deham aDikRtya tasmin aDizWAne tizWati-iti aDyAtmam kim
   śrotrādikaraṇa-grāmo vā pratyak-caitanyaṃ vā | tathā karma cākhilam ity	Srotra-Adi-karaNa--grAmaH vA pratyak--cEtanyam vA | taTA karma ca-aKilam iti-
   atra kiṃ karma yajña-rūpam anyad vā vijñāntaṃ yajñaṃ tanute karmāṇi tanute	atra kim karma yajQa--rUpam anyat vA vijQAntam yajQam tanute karmANi tanute
   'pi ca iti śrutau dvaividhya-śravaṇāt |	api ca iti SrutO dvEviDya--SravaNAt |
   tava mama ca samatvāt kathaṃ tvaṃ māṃ pṛcchasīti śaṅkām apanudan	tava mama ca samatvAt kaTam tvam mAm pRcCasi-iti SaFkAm apanudan
   sarva-puruṣebhya uttamasya sarvajñasya tava na kiṃcid ajñeyam iti	sarva--puruzeByaH uttamasya sarvajQasya tava na kiMcid ajQeyam iti
   saṃbodhanena sūcayati he puruṣottameti | adhibhūtaṃ ca kiṃ proktaṃ	saMboDanena sUcayati he puruzottamA-iti | aDiBUtam ca kim proktam
   pṛthivyādibhūtam adhikṛtya yat kiṃcit kāryam adhibhūta-padena vivakṣitaṃ	pRTivI-Adi-BUtam aDikRtya yat kiMcid kAryam aDiBUta--padena vivakzitam
   kiṃ vā samastam eva kārya-jātam | ca-kāraḥ sarveṣāṃ praśnānāṃ	kim vA samastam eva kArya-jAtam | ca-kAraH sarvezAm praSnAnAm
   samuccayārthaḥ | adhidaivaṃ kim ucyate devatā-viṣayam anudhyānaṃ vā	samuccaya-arTaH | aDidEvam kim ucyate devatA--vizayam anuDyAnam vA
   sarvadaivateṣv ādiyta-maṇḍalādiṣv anusyūtaṃ caitanyaṃ vā ||1||	sarva-dEvatezu Adiyta--maNxala-Adizu anusyUtam cEtanyam vA ||1||
   viśvanāthaḥ ---	viSvanATaH ---
   pārtha-praśnottaraṃ yogaṃ miśrāṃ bhaktiṃ prasaṅgataḥ |	pArTa-praSna-uttaram yogam miSrAm Baktim prasaFgataH |
   śuddhāṃ ca bhaktiṃ provāca dve gatī api cāsṭame ||	SudDAm ca Baktim provAca dve gatI api ca-aswame ||
   pūrvādhyāyānte brahmādi-sapta-padārthānāṃ jñānaṃ bhagavatoktam | atra	pUrva-aDyAya-ante brahma-Adi-sapta--padArTAnAm jQAnam BagavatA-uktam | atra
   teṣāṃ tattvaṃ jijñāsuḥ pṛcchati dvābhyām | atra dehe ko 'dhiyajño	tezAm tattvam jijQAsuH pRcCati dvAByAm | atra dehe kaH aDiyajQaH-
   yajñādhiṣṭhātā, sa cāsmin dehe kathaṃ jñeya ity uttarasyānusaṅgī ||1-2||	yajQa-aDizWAtA, sa ca-asmin dehe kaTam jQeyaH iti uttarasya-anusaFgI ||1-2||
   baladevaḥ -	baladevaH -
   utkān pṛṣṭaḥ kramād vyākhyad brahmādīn harir aṣṭame |	utkAn pRzwaH kramAt vyAKyat brahma-AdIn hariH azwame |
   yoga-miśrāṃ ca śuddhāṃ ca bhakti-mārga-dvayaṃ tathā ||	yoga-miSrAm ca SudDAm ca Bakti--mArga--dvayam taTA ||
   pūrvādhyāyānte mumukṣāṇāṃ jñeyatayoddiṣṭān brahmādīn saptārthān viboddhum	pUrva-aDyAya-ante mumukzANAm jQeyatayA-uddizwAn brahma-AdIn sapta-arTAn vibodDum
   arjunaḥ pṛcchati | kiṃ tad brahmeti kiṃ paramātma-caitanyaṃ vā | kiṃ	arjunaH pRcCati | kim tat brahma-iti kim paramAtma--cEtanyam vA | kim
   jīvātma-caitanyaṃ vā tad brahmety arthaḥ | kim adhyātmam iti ātmānaṃ deham	jIvAtma--cEtanyam vA tat brahma-iti arTaH | kim aDyAtmam iti AtmAnam deham
