   Sūtrārthasamuccayopadeśaḥ	SUtra arTa samuccaya upadeSaH
   namo ratnatrayāya	namaH ratnatrayAya
   saṃdṛśya gambhīramudāramabdhyākāśopamaṃ sūtrasumātṛkāṃ ca /	saMdRSya gamBIram udAram abDi AkASa upamam sUtrasumAtRkAm ca /
   śrīmadgurorāsyasamudgatārthān duṣprāpaṇīyāṃn vilikhāmi cāham // 1 //	SrImat guroH Asya samudgata arTAn duzprApaNIyAn viliKAmi ca aham // 1 //
   atra bodhisattvānāṃ ratnopamāḥ pañcāśad dharmāḥ prāṇopamādayaḥ / tān	atra boDisattvAnAm ratna upamAH paQcASat DarmAH prANa upama AdayaH / tAn
   abhidhāsye kiñcit / tadyathā 	aBiDAsye kiQcid / tat yaTA 
   āyurjīvitamādhāra ūṣmavijñānayorhi yaḥ / 2 a ba /	AyuH jIvitam ADAraH Uzma vijQAnayoH hi yaH / 2 a baH /
   yathā sattvāḥ prāṇeṣu snihyantaḥ prāṇāṃścāśrayante, tathā bodhisattvā api	yaTA sattvAH prANezu snihyantaH prANAn= ca ASrayante, taTA boDisattvAH api
   prāṇopamabodhicitte snihyantastadāśrayante / mātāpitṛsamo dharmastu	prANa upama boDi citte snihyantaH tat ASrayante / mAtA pitR samaH DarmaH tu
   śūnyatā karuṇe / tadanotpāde na bodhisattvasambhavaḥ / gṛhiṇīvat	SUnya tA karuNe / tadana utpAde na boDisattva samBavaH / gRhiNI vat 
   mṛti śikṣā karmaṇisaṃcitisaṃjñāni ahorātraṃ triḥ samāgamaḥ / gṛhavad daśa	mRti SikzA  karmaNi saMciti saMjQAni ahorAtram tris samAgamaH / gRha vat daSa
   kuśalāni / imāmi tu gṛhameva durgatidvārapidhānāt / dhanopamāni	kuSalAni / imAmi tu gRham eva durgati dvAra piDAnAt / Dana upamAni
   āryasaptadhanāni, alpecchatā, saṃtoṣaśca / mitravat tridhātuprayogaṃ	Arya sapta DanAni, alpa icCatA, saMtozaH ca / mitra vat tri DAtu prayogam
