   nyāyakusumāñjaliḥ //	nyAya-kusuma-aQjaliH //
   prathamastabakaḥ /	praTama-stabakaH /
   [ku.1.101] satpakṣaprasaraḥsatāṃ parimalaprodbodhabaddhotsavaḥ /	[ku.1.101] sat-pakza-prasaraH-satAm parimala-prodboDa-badDa-utsavaH /
   vimlāno na vimardane 'mṛtarasa(1)prasyandamādhvīkabhūḥ //	vimlAnaH na vimardane amRta-rasa-(1)-prasyanda-mADvIka-BUH //
   īśasyaiṣa niveśitaḥ padayuge bhṛṅgāyamāṇaṃ bhramat /	ISasya-eza niveSitaH pada-yuge BRFgAyamANam Bramat /
   ceto me ramayatvavighnamanagho(ghaṃ)(2)(gha)nyāyaprasūnāñjaliḥ //1 //	cetaH me ramayatu-a-viGnam-anaGo(GaM)(2)(Ga)nyAya-prasUna-aQjaliH //1 //
   svargāpavargayormārgamāmananti manīṣīṇaḥ /	svarga-apavargayoH-mArgam-Amananti manIzINaH /
   yadupāstimasāvatra paramātmā nirūpyate //2 //	yat-upAstim-asO=-atra paramAtmA nirUpyate //2 //
   [ku.1.102] iha yadyapi yaṃ kamapi puruṣārthamarthayamānāḥ-	[ku.1.102] iha yadi-api yam kam-api puruza-arTam-arTayamAnAH-
   śuddhabuddhasvabhāva ityaupaniṣadāḥ, ādividvān siddha iti kāpilāḥ,	SudDa-budDa-svaBAvaH iti-OpanizadAH, Adi-vidvAn sidDaH iti kApilAH,
   kleśakarmavipākā'śayairaparāmṛṣṭo nirmāṇakāyamadhiṣṭhāya	kleSa-karma-vipAkA-aSayEH-aparAmRzwaH nirmANa-kAyam-aDizWAya
   sampradāyapradyota(3)(varta)ko 'nugrāhakaśceti pātañjalāḥ,	sampradAya-pradyota(3)(varta)kaH anugrAhakaH-ca-iti pAtaQjalAH,
   lokavedaviruddhairapi nirlepaḥ svatantraśceti mahāpāśupatāḥ, śiva iti	loka-veda-virudDEH-api nirlepaH svatantraH-ca-iti mahA-pASupatAH, SivaH iti
   śaivāḥ, puruṣottama iti vaiṣṇavāḥ, pitāmaha iti paurāṇikāḥ, yajñapuruṣa	SEvAH, puruzottamaH iti vEzNavAH, pitAmahaH iti pOrANikAH, yajQapuruza
   iti yājñikāḥ, (4)sarvatra iti saugatāḥ, nivāraṇa iti digambarāḥ,	iti yAjQikAH, (4)sarvatra iti sOgatAH, nivAraNaH iti digambarAH,
   upāsyatvena deśita (nodita) iti mīmāṃsakāḥ, lokavyavahārasiddha iti	upAsya-tvena deSitaH (nodita) iti mImAMsakAH, loka-vyavahAra-sidDaH iti
   cārvākāḥ,(5) yāvaduktopapanna iti naiyāyikāḥ, kiṃ bahunā- kāravo 'pi yaṃ	cArvAkAH,(5) yAvat-ukta-upapannaH iti nEyAyikAH, kim bahunA kAravaH api yam
   viśvakarmeti upāsate, tasminneva	viSvakarmA-iti upAsate, tasmin=-eva
   jātigotrapravaracaraṇakuladharmādivadāsaṃsāraṃ prasiddhānubhā(bha)ve	jAti-gotra-pravara-caraNa-kula-Darma-Adi-vadA-saMsAram prasidDa-anuBA(-Ba)ve
   bhagavati bhave sandeha eva kutaḥ? kiṃ nirūpaṇīyam?- [ku.1.103] tathāpi-	Bagavati Bave sandehaH eva kutas-? kim nirUpaNIyam? [ku.1.103] taTA-api-
   nyāyacarceyamīśasya mananavyapadeśabhāk /	nyAya-carcA-iyam-ISasya mananavyapadeSa-BAj /
   upāsanaiva kriyate śravaṇānantarāgatā //3 //	upAsana-eva kriyate SravaNa-anantara-AgatAH //3 //
   śruto hi bhagavān bahuśaḥ śrutismṛtītihāsapurāṇeṣvidānīṃ mantavyo	SrutaH hi BagavAn bahuSas Sruti-smRti-itihAsa-purANezu-idAnIm mantavyaH-
   bhavatiḥ, "śrotavyo mantavya" iti śruteḥ; "āgamenānumānena	BavatiH, "SrotavyaH mantavya" iti SruteH; "Agamena-anumAnena
   dhyānābhyāsarasena ca /	DyAna-aByAsa-rasena ca /
   tridhā prakalpayan prajñāṃ labhate yogamuttam" //	triDA prakalpayan prajQAm laBate yogam-uttam" //
   iti smṛteśca /	iti smRteH-ca /
   [ku.1.104] tadiha saṅkṣepataḥ pañcatayī vipratipattiḥ- alaukikasya	[ku.1.104] tat-iha saFkzepataH paQcatayI vipratipattiH alOkikasya
   paralokasādhanasyābhāvāt ; anyathāpi paralokasādhanānuṣṭhānasambhavāt ;	para-loka-sADanasya-aBAvAt ; anyaTA-api para-loka-sADana-anuzWAna-samBavAt ;
   tadabhāvā'vedakapramāṇasadbhāvāt ; sattve 'pi tasyāpramāṇatvāt ;	tad-aBAvA-avedaka-pramANa-sadBAvAt ; sattve api tasya-apramANa-tvAt ;
   tatsādhakapramāṇābhāvācceti //	tad-sADaka-pramANa-aBAvAt-ca-iti //
   [ku.1.105] tatra na(6) prathamaḥ kalpaḥ- yataḥ-	[ku.1.105] tatra na(6) praTamaH kalpaH yatas--
   (7)sāpekṣatvādanāditvādvaicitryādviśvavṛttitaḥ /	(7)sa-apekza-tvAt-anAdi-tvAt-vEcitryAt-viSva-vRttitaH /
   pratyātmaniyamādbhukterasti heturalaukikaḥ //4 //	pratyAtma-niyamAt-BukteH-asti hetuH-alOkikaH //4 //
   [ku.1.106] na hyayaṃ saṃsāraḥ (8) aneka(naika)vidha(vidho)dukhamayo	[ku.1.106] na hi-ayam saMsAraH (8) aneka(na-eka)viDa(viDo)duKam-ayaH-
   nirapekṣo bhavitumarhati /	nirapekzaH Bavitum-arhati /
   tadā hi- syādeva, na syādeva vā- na tu kadācit syāt //	tadA hi syAt-eva, na syAt-eva vA na tu kadAcid syAt //
   akasmādeva bhavatīti cenna- hetubhūtiniṣedho na svānupākhyavidhirna ca /	akasmAt-eva Bavati-iti ced-na hetu-BUti-nizeDaH na svAn-upAKya-viDiH-na ca /
   svabhāvavarṇanā naivamavadherniyatatvataḥ //5 //	svaBAva-varNanA na-evam-avaDeH-niyata-tvataH //5 //
   [ku.1.107] hetuniṣedhe bhavanasyānapekṣatvena (9) sarvadā bhavanam,	[ku.1.107] hetu-nizeDe Bavanasya-anapekza-tvena (9) sarvadA Bavanam,
   aviśeṣāt /	aviSezAt /
   bhavanapratiṣedhe, prāgiva paścādapyabhavanam, aviśeṣāt /	Bavana-pratizeDe, prAk-iva paScAt-api-aBavanam, aviSezAt /
   utpatteḥ pūrvaṃ svayamasataḥ svotpattāvaprabhutvena svasmāditi	utpatteH pUrvam svayam-asataH sva-utpattO=-apraBu-tvena svasmAt-iti
   pakṣānupapatteḥ /	pakza-anupapatteH /
   paurvāparya(10) niyamaśca kāryakāraṇabhāvaḥ /	pOrvAparya(10) niyamaH-ca kArya-kAraNa-BAvaH /
   na caikaṃ pūrvamaparaṃ ca,tattvasya bhedādhiṣṭhānatvāt /	na ca-ekam pUrvam-aparam ca,-tattvasya Beda-aDizWAna-tvAt /
   anupākhyasya hetutve prāgiti satvaprasaktau punaḥ sadātanatvāpatteḥ /	anupAKyasya hetu-tve prAk-iti satva-prasaktO punar sadAtana-tva-ApatteH /
   [ku.1.108] syādetat- na akasmāditi kāraṇaniṣedhamātraṃ vā	[ku.1.108] syAt-etat na akasmAt-iti kAraNa-nizeDa-mAtram vA
   bhavanapratiṣedho vā svātmahetukatvaṃ vā nirupākhyahetukatvaṃ	Bavana-pratizeDaH vA sva-Atma-hetuka-tvam vA nirupAKya-hetuka-tvam
   vābhidhitsitam /	vA-aBiDitsitam /
   api tvanapekṣa eva kaścinniyatadeśa(11)svabhāvavanniyatakālasvabhāva iti	api tu-anapekzaH eva kaScid-niyata-deSa-(11)svaBAva-vat-niyata-kAla-svaBAvaH iti
   brūmaḥ- (12)na, niravadhitve aniyatāvadhikatve vā kādācitkatvavyāghātāt /	brUmaH (12)na, niravaDi-tve aniyatO=-aDika-tve vA kAdAcitka-tva-vyAGAtAt /
   na hyuttarakālasiddhitvamātraṃ kādācitkatm; kiṃ tu prāgasatve sati /	na hi-uttara-kAla-sidDi-tva-mAtram kAdAcid-katm; kim tu prAc-asatve sati /
   sāvadhītve tu sa eva prācyo heturityucyate /	sa-avaDI-tve tu saH eva prAcyaH hetuH-iti-ucyate /
   [ku.1.109] astu prāgabhāva evāvadhiriti cenna, anyeṣāmapi tatkāle satvāt	[ku.1.109] astu prAc-aBAvaH eva-avaDiH-iti ca-id-na, anyezAm-api tad-kAle satvAt-
   anyathā tasyaiva nirūpaṇānupapatteḥ /	anyaTA tasya-eva nirUpaNa-anupapatteH /
   tathā ca na tadekāvadhitvamaviśeṣāt /	taTA ca na tad-eka-avaDi-tvam-aviSezAt /
   itaranirapekṣasya prāgabhāvasyāvadhitve prāgapi tadavadheḥ(13) kāryasya	itara-nirapekzasya prAgaBAvasya-avaDi-tve prAk-api tad-avaDeH(13) kAryasya
   sattvaprasaṅgāt /	sattva-prasaFgAt /
   [ku.1.110] santu ye kecidavadhayaḥ, na tu te 'pekṣyanta iti svabhāvārtha	[ku.1.110] santu ye kecid-avaDayaH, na tu te apekzyante iti svaBAva-arTa
   iti cet-"nāpekṣyanta" iti kor'thaḥ? kiṃ na niyatāḥ, āhosvinniyatā	iti cet-"na-apekzyanta" iti kor-aTaH? kim na niyatAH, Ahosvit-niyatA
   apyanupakārakāḥ? prathame dhūmo dahanavat gardabhamapyavadhīkuryāt,	api-anupakArakAH? praTame DUmaH dahana-vat gardaBam-api-avaDIkuryAt,
   niyāmakābhāvāt /	niyAmaka-aBAvAt /
   dvitīye tu kimupakārāntareṇa, niyamasyaivāpekṣārthatvāt, tasyaiva ca	dvitIye tu kim-upakAra-antareNa, niyamasya-eva-apekzA-arTa-tvAt, tasya-eva ca
   kāraṇātmatvāt, īdṛśasya ca svabhāvavādasyeṣṭatvāt /	kAraNa-Atma-tva-at, IdRSasya ca svaBAva-vAdasya-izwa-tvAt /
   [ku.1.111] ṭhanityasvabhāvaniyamavadetat /	[ku.1.111] Wanitya-svaBAva-niyama-vat-etat /
   na hyākāśasya tattvamākasmikamiti sarvasya kiṃ na syāditi vaktumucitam"	na hi-AkASasya tattvam-Akasmikam-iti sarvasya kim na syAt-iti vaktum-ucitam"
   iti cenna, sarvasya bhavataḥ svabhāvatvānupapatteḥ /	iti ced-na, sarvasya BavataH svaBAva-tva-anupapatteH /
   na hyekamanekasvabhāvaṃ (vo)(14)nāma, vyāghātāt /	na hi-ekam-aneka-svaBAvam (vaH-)(14)nAma, vyAGAtAt /
   nanvevamihāpi sarvadā bhavataḥ kādācitkatvasvabhāvavyāghāta iti tulyaḥ	nanu-evam-iha-api sarvadA BavataH kAdAcid-ka-tva-svaBAva-vyAGAtaH iti tulyaH
   parihāraḥ- na tulyaḥ- niravadhitve aniyatāvadhitve vā	parihAraH na tulyaH niravaDi-tve aniyata-avaDi-tve vA
   kādācitkatvavyāghātāt niyatāvadhitve hetuvādābhyupagamāt /	kAdAcitka-tva-vyAGAtAt niyata-a=-aDi-tve hetu-vAda-aByupagamAt /
   [ku.1.112] syādetat- uttarasya pūrvaḥ, pūrvasyottaro	[ku.1.112] syAt-etat uttarasya pUrvaH, pUrvasya-uttaraH-
   madhyamasyobhayamavadhirastu; darśanasya durapahnavatvāt /	maDyamasya-uBayam-avaDiH-astu; darSanasya durapahnava-tvAt /
   tvayāpyetadabhyupagantavyam /	tvayA-api-etat-aByupagantavyam /
   na hi bhāvavadabhāve 'pyubhayāvadhitvamasti /	na hi BAva-vat-aBAve api-uBaya-avaDi-tvam-asti /
   tadvadbhāveṣvapyanupalambhamānaikaikakoṭiṣu syāt- na syāt, anāditvāt /	tadvat-BAvezu-api-anupalamBamAna-eka-eka-kowizu syAt na syAt, anAdi-tvAt /
   [ku.1.113] pravāho nādimāneṣa na vijātyekaśaktimān /	[ku.1.113] pravAhaH na-AdimAn-eza na vijAti-eka-SaktimAn /
   tattve yatnavatā bhāvyamanvayavyatirekayoḥ //6 //	tattve yatnavatA BAvyam-anvaya-vyatirekayoH //6 //
   [ku.1.114] prāgabhāvo hyuttarakālāvadhiranādiḥ, evaṃ bhāvo 'pi ghaṭādiḥ	[ku.1.114] prAgaBAvaH hi-uttara-kAla-avaDiH-anAdiH, evam BAvaH api Gawa-AdiH
   syāt /	syAt /
   anupalabhyamānaprākkoṭikaghaṭādiviṣayaṃ nedamaniṣṭamiti cenna-	anupalaByamAna-prAk-kowika-Gawa-Adi-vizayam na-idam-anizwam-iti ced-na-
   tāvanmātrāvadhisvabhāvatve tadaharvat pūrvedyurapi tamavadhīkṛtya	tAvat-mAtra-avaDi-svaBAva-tve tat-ahar-vat pUrvedyus-api tam-avaDIkRtya
   taduttarasya satvaprasaṅgāt; apekṣaṇīyāntarābhavāt /	tad-uttarasya satva-prasaFgAt; apekzaNIya-antarA-aBavAt /
   evaṃ pūrvapūrvamapi /	evam pUrva-pUrvam-api /
   bhāve, tadeva sadātanatvāt /	BAve, tat-eva sadAtana-tvAt /
   tadaharevānena bhavitavyamiti asya svabhāva iti cenna-tasyāpyahnaḥ	tat-ahar-eva-anena Bavitavyam-iti asya svaBAvaH iti ced-na-tasya-api-ahnaH
   pūrvanyāyena pūrvamapi satvaprasaṅgāt /	pUrva-nyAyena pUrvam-api satva-prasaFgAt /
   tasmāttasyāpi tatpūrvakatvaṃ, evaṃ tatpūrvasyāpītyanāditvameva jyāyaḥ /	tasmAt-tasya-api tad-pUrvaka-tvan, evam tat-pUrvasya-api-iti-anAdi-tvam-eva jyAyaH /
   na tvapūrvānutpādeḥ kasyacidapūrvasya sambhava iti /	na tu-apUrvA-anutpAdeH kasyacid-apUrvasya samBavaH iti /
   [ku.1.115] tathāpi vyaktyapekṣayā niyamo 'stu, na jātyapekṣayeti cenna,	[ku.1.115] taTA-api vyakti-apekzayA niyamaH astu, na jAti-apekzayA-iti ced-na,
   niyatajātīyasvabhāvatāvyāghātāt /	niyata-jAtIya-svaBAva-tA-vyAGAtAt /
   (15) yadi hi yataḥ kutaścidbhavanneva tajjātīyasvabhāvaḥsyāt, sarvasya	(15) yadi hi yatas kutaScid-Bavan=-eva tad-jAtIya-svaBAvaHsya-at, sarvasya
   sarvajātīyatvamekajātīyatvaṃ vā syāt /	sarva-jAtIya-tvam-eka-jAtIya-tvam vA syAt /
   evaṃ (yadi) tajjātīyena yataḥ kutaścidbhavitavyamiti asya svabhāvaḥ,	evam (yadi) tad-jAtIyena yatas kutaScid-Bavitavyam-iti asya svaBAvaH,
   tada'pi sarvasmātsarvajātīyamekajātīyaṃ vā syāt /	tat-as-api sarvasmAt-sarva-jAtIyam-eka-jAtIyam vA syAt /
   [ku.1.116] kathaṃ tarhi tṛṇāraṇimaṇibhyo bhavannāśuśukṣaṇirekajātīyaḥ?	[ku.1.116] kaTam tarhi tRNa-araNi-maNiByaH Bavat-na-aSu-SukzaNiH-eka-jAtIyaH?
   (16) ekaśaktimatvāditi cenna; yadi hi	(16) eka-Saktima-tvAt-iti ca-id-na; yadi hi
