   kauthumagṛhyasūtram	kOTum-agRhya-sUtram
   KauthGS 1:	KOTG 1:
   athātaḥ prāyaścittāni /	aTa-atas prAyaScittAni /
   athātaḥ kramāṇāṃ vadaye gṛhastho vā brahmacārī vā gṛhastho gṛhāgnau	aTa-atas kramANAm vadaye gRhasTaH vA brahmacArI vA gRhasTaH gRha-agnO
   brahmacārī laukikāgnau gṛhasyeṣviticaraṇena paricaraṇe vā	brahmacArI lOkika-agnO gRhasya-izu-iti-caraNena paricaraNe vA
   brahmacaryavicchinne laukikāgnau prātarāhutipūrvakaṃ naimittikaṃ kāryaṃm /	brahmacarya-vicCinne lOkika-agnO prAtar-Ahuti-pUrvakam nEmittikam kAryanm /
   punarādhāne varjayet sāyamupakramya tātkālikaprāyaścittāpattau cettābhyāṃ	punar-ADAne varjayet sAyam-upakramya tAtkAlika-prAyaScitta-ApattO cettAByAm
   tatra kāryam /	tatra kAryam /
   paurṇamyāhutyāmatītaṃ cettābhyāṃ tattatkuryuḥ parvaṇā cetsaṃkalya kāryam	pOrNamya-AhutyAm-atItam cettAByAm tat-tat-kuryuH parvaNA ced-saMkalya kAryam
   tadabhāve sadyaḥ kuryād apareṇa darśaṃ tve prāyaścittiḥ trirātraṃ	tad-aBAve sadyas kuryAt apareNa darSam tve prAyaScittiH tri-rAtram
   pañcarātraṃ vā dadharātrāttāḥ prāyaścittapūrvayajña yajete tāvubhau parvā	paQca-rAtram vA daDarAtrAt-tAH prAyaScitta-pUrva-yajQa yajete tO=-uBO parvA
   saṃkalya tītau tāmiṣṭau tadvat tatra yadi lopaṃ vā taṃ māmāsādatītaṃ vā	saMkalya tItO tAm-izwO tadvat tatra yadi lopam vA tam mAm-AsAt-atItam vA
   punarādhānaṃ kuryuḥ /	punar-ADAnam kuryuH /
   prāyaścittārthe prājāpatyaṃ vā tadūrdhvaṃ viśeṣaśca gṛhāgnau gṛhyāgniṃ	prAyaScitta-arTe prAjApatyam vA tad-UrDvam viSezaH-ca gRha-agnO gRhya-agnim
   yadi sparśettaṃtra ta meko vā kāryo mantrāṇāṃ tāvubhau brūyāttaṃtrī	yadi sparSet-taMtra te mekaH vA kAryaH mantrANAm tO=-uBO brUyAt-taMtrI
