   Prajñāpāramitopadeśaśāstre	PrajQApAramita upadeSa SAstre
   ācaryaharibhadrakṛtā	Acarya hariBadra kRtA
   Abhisamayālaṅkāravṛttiḥ sphuṭārthā	ABisamaya alaFkAra vRttiH sPuwa arTA
   sarvākārajñatādhikāraḥ prathamaḥ	sarva AkAra jQa tA aDikAraH praTamaH
   namaḥ sarvabuddhabodhisattvebhyaḥ	namaH sarva budDa boDisattveByaH
   maṃgalācaraṇam	maMgala AcaraNam
   prajñāpāramitāyai yasyāstadalaṅkārakārikāṇām /	prajQApAramitAyE yasyAH tad alaFkAra kArikANAm /
   sarvālaṅkaraṇārthaṃ kriyate vyākhyā namastasyai // Abhis_0.1 //	sarva alaFkaraNa arTam kriyate vyAKyA namaH tasyE // ABiH _0.1 //
   jagadāsaṅgasaṅgena tvāryāsaṅgena tāyinā /	jagat AsaFga saFgena tu AryAsaFgena tAyinA /
   ākarṇyājitanāthāttanmahāśāstraṃ vyabhajyata // Abhis_0.2 //	AkarNya ajita nATAt tat mahASAstram vyaBajyate // ABiH _0.2 //
   jagaddhitaparo bandhuḥ vasubandhuḥ svakāśayam /	jagat hita paraH banDuH vasubanDuH sva kASayam /
   cāntarjñeyaṃ samāśritya tadvyākhyāmakarottataḥ // Abhis_0.3 //	ca antar jQeyam samASritya tat vyAKyAm akarot tataH // ABiH _0.3 //
   āryāntargaṇitaḥ khyāto vimuktiriti tatkṛtām /	Arya antar gaNitaH KyAtaH vimuktiH iti tad kRtAm /
   akṛtāmiva tāṃ draṣṭvā cakre 'nyāṃ madhyayā dhiyā // Abhis_0.4 //	akRtAm iva tAm drazwvA cakre anyAm maDyayA DiyA // ABiH _0.4 //
   tato vimuktisenena śāstrāṇyaprāpya sarvaśaḥ /	tatas vimukti senena SAstrANi aprApya sarvaSas /
   śraddhābhūmisthitenāpi vyākhyātā svamanīṣayā // Abhis_0.5 //	SradDA BUmi sTitena api vyAKyAtA sva manIzayA // ABiH _0.5 //
   evaṃ vidvadvaraiḥ prokte kiñcannaiyūnyamīkṣyate /	evam vidvat varEH prokte kiQcat nEyUnyam Ikzyate /
   asmin sarvaṃ susampannaṃ mahadāścaryakārakam // Abhis_0.6 //	asmin sarvam su sampannam mahat AScarya kArakam // ABiH _0.6 //
   ayaṃ sudurlabhaḥ panthāḥ gambhīraśca yathārthakaḥ /	ayam su durlaBaH panTAH gamBIraH ca yaTArTakaH /
   suvimṛśyaśca vidvadbhiḥ prāpto buddhānukampayā // Abhis_0.7 //	su vimRSyaH ca vidvadBiH prAptaH budDa anukampayA // ABiH _0.7 //
   sarvathā mama nāstyeva gocaro 'pyahamutsahe /	sarvaTA mama na asti eva gocaraH api aham utsahe /
   puṇyavidhyanukūlatvāt svaparopacikīrṣayā // Abhis_0.8 //	puNya viDi anukUla tvAt sva para upacikIrzayA // ABiH _0.8 //
   āryamaitreyaḥ sadācārānuvṛttimātmanaḥ prakhyāpayan svapratisaṃvijjñānena	Aryam EtreyaH sat AcAra anuvRttim AtmanaH praKyApayan sva pratisaMvid jQAnena
   prajñāpāramitāviṣayakaḥ prasāda eva sarvaśreyaḥ	prajQApAramitA vizayakaH prasAdaH eva sarva SreyaH
   prāptipradhānaheturityavadhṛtya paraṃ	prApti praDAna hetuH iti avaDRtya param
   niratiśayānantaguṇaratnākarabhagavatyāṃ pravartayituṃ prasādotpādanāya	niratiSaya ananta guNa ratnAkara BagavatyAm pravartayitum prasAda utpAdanAya
   tāvadādau yathāguṇābhidhānapuraḥsuraṃ jananīṃ namaskurvannāha  	tAvat AdO yaTA guNa aBiDAna puras suram jananIm namaskurvan= Aha  
   yā sarvajñatayā nayatyupaśamaṃ śāntaiṣiṇaḥ śrāvakān	yA sarvajQa tayA nayati upaSamam SAnta eziNaH SrAvakAn
   yā mārgajñatayā jagaddhitakṛtāṃ lokārthasampādikā /	yA mArga jQa tayA jagat hita kRtAm loka arTa sampAdikA /
   sarvākāramidaṃ vadanti munayo viśvaṃ yayā saṃgatās	sarva AkAram idam vadanti munayaH viSvam yayA saMgata as
   tasyai śrāvakabodhisattvagaṇino buddhasya mātre namaḥ // Abhis_1.1//	tasyE SrAvaka boDisattva gaNinaH budDasya mAtre namaH // ABiH _1.1//
   anayā kārikayā asyāḥ atiśayamāhātmyavattvam amihitam / tacchrutvā	anayA kArikayA asyAH atiSaya mAhAtmyavat tvam amihitam / tat SrutvA
   tāvacchraddhānusāriṇaḥ asyāṃ niḥsaṃśayamacireṇa śraddhāmutpādayanti /	tAvat SradDA anusAriNaH asyAm niHsaMSayam acireNa SradDAm utpAdayanti /
   dharmānusāriṇo 'pi ekānekasvabhāvaviyuktatvādityādipramāṇena	Darma anusAriNaH api eka aneka svaBAva viyukta tvAt ityAdi pramANena
