   // śrīḥ //	// SrIH //
   // Āryamañjuśrīmūlakalpam /	// Ārya maQju SrI mUla kalpam /
   namaḥ sarvabuddhabodhisattvebhyaḥ /	namaH sarva budDa boDisattveByaH /
   evaṃ mayā śrutam / ekasmin samaye bhagavāṃ śuddhāvāsopari	evam mayA Srutam / ekasmin samaye BagavAm SudDAvAsa upari
   gaganatalapratiṣṭhite 'cintyā	gagana tala pratizWite acintyA
   ścaryādbhutapravibhaktabodhisattvasannipātamaṇḍalamāḍe viharati sma /	ScaryA adButa praviBakta boDisattva sannipAta maNxalam Axe viharati sma /
   tatra bhagavāṃ śuddhāvāsakāyikān devaputrānāmantrayate sma / śṛṇvantu	tatra BagavAm SudDAvAsa kAyikAn deva putrAn Amantrayate sma / SRNvantu
   devaputrāḥ mañjuśriyasya kumārabhūtasya bodhisattvasya	deva putrAH maQju Sriyasya kumAra BUtasya boDisattvasya
   mahāsattvasyācintyādbhutaprātihāryacaryāsamādhiśuddhiviśeṣavimokṣamaṇḍalabodhisattvavikurvaṇaṃ	mahAsattvasya acintya adButa prAtihArya caryA samADi SudDi viSeza vimokza maNxala boDisattva vikurvaNam
   sarvasattvopajīvyamāyurārogyaiścaryamanorathapāpāripūrakāṇi mantrapadāni	sarva sattva upajIvyam AyuH ArogyEH carya manoraTa pApa ari pUrakANi mantra padAni
   sarvasattvānāṃ hitāya bhāṣiṣye / taṃ śṛṇu, sādhu ca suṣṭhu ca manasi kuru,	sarva sattvAnAm hitAya BAzizye / tam SRNu, sADu ca suzWu ca manasi kuru,
   bhāṣiṣye 'haṃ te //	BAzizye aham te //
   atha te śuddhāvāsakāyikā devaputrāḥ sāñjalayo bhūtvā *+ ++ ++ ++ ++ ++ ++	aTa te SudDAvAsa kAyikAH deva putrAH sa aQjalayaH BUtvA *+ ++ ++ ++ ++ ++ ++
   viśeṣabhūmipratilābhavajrāsanākramaṇamāradharṣaṇadharmacakrapravartanasarvaśrāvakapratyekabuddhaniryāṇadevamanuṣyopapattisarvaduḥkhapraśamanadaridravyādhitaāḍhyarogopakarṣaṇatāṃ	viSeza BUmi pratilABa vajrAsana AkramaNa mAra DarzaNa Darma cakra pravartana sarva SrAvaka pratyekabudDa niryANa deva manuzya upapatti sarva duHKa p
   sarvalaukikalokottaramantracaryānabhibhavanatāṃ sarvāśāparipūraṇataḥ	sarva lOkika loka uttara mantra caryA anaBiBavana tAm sarva ASAparipUraNataH
   sarvatathāgatānāmavaśyavacanadhāraṇam / tad vadatu bhagavān maitracitto	sarva taTAgatAnAm avaSya vacana DAraNam / tat vadatu BagavAn mEtra cittaH 
   hitacitto 'smākamanukampāmupādāya sarvasattvānāṃ ca //	hita cittaH asmAkam anukampAm upAdAya sarva sattvAnAm ca //
   atha bhagavān śākyamuniḥ sarvāvantaṃ śuddhāvāsabhavanaṃ	aTa BagavAn SAkya muniH sarvAvantam SudDAvAsa Bavanam
   buddhacakṣuṣāvalokya viśuddhaviṣayajyotirvikaraṇavidhvaṃsinīṃ nāma	budDa cakzuzA avalokya viSudDa vizaya jyotiH vikaraNa viDvaMsinIm nAma
   samādhiṃ samāpadyate sma / samanantarasamāpannasya bhagavata + ++ ++	samADim samApadyate sma / samanantara samApannasya BagavataH + ++ ++
   saṅkusumitabodhisattvasañcodanī nāma raśmi + ++ ++ ++ ++ ++ +	saFkusumita boDisattva saQcodanI nAma raSmi + ++ ++ ++ ++ ++ +
   sitaraśmyavabhāsaṃ dṛṣṭvā, īṣat prahasitavadano bhūtvā taṃ	sita raSmi avaBAsam dRzwvA, Izat prahasita vadanaH BUtvA tam
   bodhisattvagamāmantrayate sma / iyaṃ bho jinaputrāḥ asmākaṃ raśmisañcodanī	boDisattva gam Amantrayate sma / iyam Bo jinaputrAH asmAkam raSmi saQcodanI
   / ihāyāta / sajjībhavantu bhavantaḥ //	/ iha AyAtaH / sajjIBavantu BavantaH //
   atha khalu mañjuśrīḥ kumārabhūto bodhisattvo mahāsattva utphullanayano	aTa Kalu maQjuSrIH kumAra BUtaH boDisattvaH mahAsattvaH utPulla nayanaH 
   'nimipanayano yenāsau raśmyavabhāsaḥ, tenābhimukhastasthau / atha sā	animipa nayanaH yena asO raSmi avaBAsaH, tena aBimuKaH tasTO / aTa sA
   raśmiḥ sañcodanī kusumāvatī lokadhātuṃ mahatāvabhāsenāvabhāsya bhagavataḥ	raSmiH saQcodanI kusumAvatI lokaDAtum mahatA avaBAsena avaBAsya BagavataH
   saṅkusumitarājendrasya tathāgatasya triḥ pradakṣiṇīkṛtya mañjuśriyasya	saFkusumita rAja indrasya taTAgatasya tris pradakziNIkRtya maQju Sriyasya
   bodhisattvasya mahāsattvasya mūrdhanyantardhīyate sma // atha mañjuśrīḥ	boDisattvasya mahAsattvasya mUrDani antarDIyate sma // aTa maQjuSrIH
   kumārabhūta utthāyāsanād bhagavantaṃ saṅkusumitarājendraṃ tathāgataṃ triḥ	kumAra BUtaH utTAya AsanAt Bagavantam saFkusumita rAja indram taTAgatam tris 
   pradakṣiṇīkṛtya, śirasā praṇamya, dakṣiṇaṃ jānumaṇḍalaṃ pṛthivyāṃ	pradakziNIkRtya, SirasA praNamya, dakziNam jAnu maNxalam pRTivyAm
   pratiṣṭhāpya, bhagavantaṃ saṅkusumitarājendrametadavocat   samanvāhṛtāsya	pratizWApya, Bagavantam saFkusumita rAja indram etat avocat  samanvAhRta asya
   bhagavatā śākyamuninā tathāgatenārhatā samyak sambuddhena / gacchāmo vayaṃ	BagavatA SAkya muninA taTAgatena arhatA samyak sambudDena / gacCAmaH vayam
   bhagavannito sahāṃ lokadhātuṃ bhagavantaṃ śākyamuniṃ draṣṭuṃ	Bagavat = itas sahAm lokaDAtum Bagavantam SAkya munim drazwum
   vanditumupāsituṃ sarvamantracaryāsādhanaupayikamaṇḍalavidhānaṃ	vanditum upAsitum sarva mantra caryA sADa na Opayika maNxala viDAnam
   kalparahasyapaṭavidhānarūpasarvatathāgatahṛdayaguhyamudrābhiṣekaṃ	kalpa rahasya pawa viDAna rUpa sarva taTAgata hRdaya guhya mudrA aBizekam
   nirdeṣṭuṃ sarvasattvānāṃ sarvāśāṃ paripūrayitum //	nirdezwum sarva sattvAnAm sarva ASAm paripUrayitum //
   (Vaidya 2) evamukte bhagavān saṅkusumitarājendrastathāgato mañjuśriyaṃ	(VEdyaH 2) evam ukte BagavAn saFkusumita rAja indraH taTAgataH maQju Sriyam
   kumārabhūtametadavocat ḥ gaccha tvaṃ mañjuśrīḥ kumāra yasyedānīṃ kālaṃ	kumAra BUtam etat avocat H gacCa tvam maQjuSrIH kumAra yasya idAnIm kAlam
   manyase / api tvasmadvacanena bhagavān śākyamuniralpābādhatāmalpātaṅkatāṃ	manyase / api tu asmad vacanena BagavAn SAkya muniH alpa AbADa tAm alpa AtaFka tAm
   laghūtyānatāṃ sanyāsavihāratāṃ praṣṭavyaḥ //	laGUti Ana tAm sanyAsa vihAra tAm prazwavyaH //
   atha bhagavān saṅkusumitarājendrastathāgato mañjuśriyaṃ	aTa BagavAn saFkusumita rAja indraH taTAgataH maQju Sriyam
   kumārabhūtametadavocat   api tu kumāra	kumAra BUtam etat avocat  api tu kumAra
   śatasahasragaṅgānadīsikataprakhyaistathāgatairarhadbhiḥ samyak	Sata sahasragaFgA nadI sikata praKyEH taTAgatEH arhadBiH samyak 
   sambuddhaistvadīyaṃ	sambudDEH tvadIyam
   mantracaryāmaṇḍalakalparahasyābhiṣekamudrāpaṭalavidhānahomajapaniyamasarvāśāpāripūrakasarvasattvasantoṣaṇajyotiratnapaṭalavisarātītānāgatavartamānajñānarājyaiśvaryavyākaraṇamantrāvartanadeśaniṣṭhāvasānāntardhānakālasamayavisarapaṭalasamastāśeṣalaukikalokottarasarvabuddhabodhisattvāryaśrāvakapratyekabuddhabodhisattvabhūmākramaṇataścaryāniṣṭhaṃ	mantra caryA maNxala kalpa rahasya aBizeka mudrA pawala viDAna homa japa niyama sarva ASApAripUraka sarva sattva santozaNa jyoti ratna pawala visarAt
   bhāṣiatavantaḥ, bhāṣiṣyante ca mayāpyetarhi / anumoditumeva gaccha tvaṃ	BAziatavantaH, BAzizyante ca mayA api etarhi / anumoditum eva gacCa tvam
   mañjuśrīḥ kumārabhūta yasyedānīṃ kālaṃ manyase / śākyamunisamīpaṃ	maQjuSrIH kumAra BUta yasya idAnIm kAlam manyase / SAkya muni samIpam
   sammukham / iyaṃ dharmaparyāyaṃ śroṣyasi / tvamapi bhāṣiṣyase / bhavati	sammuKam / iyam Darma paryAyam Srozyasi / tvam api BAzizyase / Bavati
   cātra mantraḥ  	ca atra mantraH  
   namaḥ sarvatathāgatānāmacintyāpratihataśāsanānāṃ oṃ ra ra smara /	namaH sarva taTAgatAnAm acintya apratihata SAsanAnAm om ra ra smara /
   apratihataśāsanakumārarūpadhāriṇa hūm hūm phaṭ phaṭ svāhā //	apratihata SAsana kumAra rUpa DAriNa hUm hUm Paw Paw svAhA //
   ayaṃ sa kumāra mañjuśrīḥ mūlamantraḥ / sarveṣāṃ tathāgatānāṃ hṛdayaḥ,	ayam sa kumAra maQjuSrIH mUlamantraH / sarvezAm taTAgatAnAm hRdayaH,
   sarvaiśca tathāgatairbhāṣitaḥ, bhāṣiṣyante / sa tvamapīdānīṃ bhāṣiṣyase /	sarvEH ca taTAgatEH BAzitaH, BAzizyante / sa tvam api idAnIm BAzizyase /
   sahāṃ lokadhātuṃ gatvā vistara vibhāgaśaḥ sarvakarmakaram / śākyamuninā	sahAm lokaDAtum gatvA vistara viBAgaSaH sarva karma karam / SAkya muninA
   tathāgatenābhyanujñātaḥ / paramahṛdayaṃ bhavati cātra oṃ vākye da namaḥ /	taTAgatena aByanujQAtaH / parama hRdayam Bavati ca atra om vAkye da namaH /
   upahṛdayaṃ cātra vākye hūm //	upahRdayam ca atra vAkye hUm //
   atha khalu mañjuśrīḥ kumārabhūto bhagavān saṅkusumitarājena	aTa Kalu maQjuSrIH kumAra BUtaH BagavAn saFkusumita rAjena
   tathāgatenābhyanujñātaḥ sarvavyūhālaṅkāro	taTAgatena aByanujQAtaH sarva vyUha alaFkAraH 
   bodhisattvacaryāniṣyandabodhimaṇḍalasamanuprāpaṇaṃ nāma samādhiṃ	boDisattvacaryAnizyandaboDimaNxalasamanuprApaNam nAma samADim
   samāpadyate / samanantarasamāpannasya mañjuśriyaḥ kumārabhūtasya	samApadyate / samanantara samApannasya maQju SriyaH kumAra BUtasya
   caturdigvyāpannāgra antordhvamadhastiryak sarvaṃ sarvāvantaṃ diśaṃ	catur diS vyApanna agre anta UrDvam aDas tiryak sarvam sarvAvantam diSam
   buddhairbhagavadbhiḥ saṃpūrṇaṃ taṃ lokadhātumabhavat / sādhu sādhu bho	budDEH BagavadBiH saMpUrNam tam lokaDAtum aBavat / sADu sADu Bo
   jinaputra yat tvamimaṃ samādhiviśeṣaṃ samāpadyase / na śakyaṃ	jinaputra yat tvam imam samADi viSezam samApadyase / na Sakyam
   sarvaśrāvakapratyekabuddhairbodhisattvaiśca	sarva SrAvaka pratyekabudDEH boDisattvEH ca
   caryāpraviṣṭairdaśabhūmipratiṣṭhitairapi + +	caryA pravizwEH daSa BUmi pratizWitEH api + +
   saṅkusumitarājendrastathāgatastaiśca buddhairbhagavadbhiḥ sārdhaṃ	saFkusumita rAja indraH taTAgataH tEH ca budDEH BagavadBiH sArDam
   sammantrya idaṃ mañjuśriyaḥ kumārabhūtasya paramahṛdayaṃ paramaguhyaṃ	sammantrya idam maQju SriyaH kumAra BUtasya parama hRdayam parama guhyam
   sarvārthasādhanaṃ mantraṃ bhāṣate sma / ekākṣaraṃ nāma paramaguhyaṃ	sarva arTa sADanam mantram BAzate sma / ekAkzaram nAma parama guhyam
   sarvasattvānāmarthakaraṃ divyamanyairapi mantracaryāviśeṣaiḥ sādhanīyam //	sarva sattvAnAm arTa karam divyam anyEH api mantra caryA viSezEH sADanIyam //
