   (Vaidya 1)	(VEdyaH 1)
   Suvikrāntavikrāmiparipṛcchā nāma	SuvikrAnta-vikrAmi-paripRcCA nAma
   sārdhadvisāhasrikā prajñāpāramitā /	sArDa-dvi-sAhasrikA prajQApAramitA /
   START Svp 1	START Svp 1
   1 nidānaparivartaḥ /	1 nidAna-parivartaH /
   evaṃ mayā śrutam / ekasmin samaye bhagavān rājagṛhe viharati sma veṇuvane	evam mayA Srutam / ekasmin samaye BagavAn rAjagRhe viharati sma veNu-vane
   kalandakanivāpe mahatā bhikṣusaṃghena	kalandaka-nivApe mahatA Bikzu-saMGena
   sārdhamardhatrayodaśabhirbhikṣuśataiḥ, aprameyāsaṃkhyaiśca	sArDam-arDa-trayodaSaBiH-Bikzu-SatEH, aprameya-asaMKyEH-ca
   bodhisattvairmahāsattvaiḥ	boDisattvEH-mahAsattvEH
   nānābuddhakṣetrasaṃnipatitairekajātipratibaddhaiḥ / tena khalu punaḥ	nAnA-budDa-kzetra-saMnipatitEH-eka-jAti-pratibadDEH / tena Kalu punar-
   samayena bhagavānanekaśatasahasrayā parṣadā parivṛtaḥ puraskṛto dharmaṃ	samayena BagavAn-aneka-Sata-sahasrayA parzadA parivRtaH puraskRtaH Darmam
   deśayati sma //	deSayati sma //
   atha khalu tasyāmeva parṣadi suvikrāntavikrāmī nāma bodhisattvo	aTa Kalu tasyAm-eva parzadi suvikrAnta-vikrAmI nAma boDisattvaH-
   mahāsattvaḥ saṃnipatito 'bhūtsaṃniṣaṇṇaḥ / sa	mahAsattvaH saMnipatitaH aBUt-saMnizaNNaH / sa
   utthāyāsanādekāṃsamuttarāsaṅgaṃ kṛtvā dakṣiṇaṃ jānumaṇḍalaṃ pṛthivyāṃ	utTAya-AsanAt-eka-aMsam-uttarAsaFgam kRtvA dakziNam jAnu-maNxalam pRTivyAm
