   Vajrasūcī (Vs)	Vajra sUcI (Vs)
   jagadguruṃ mañjughoṣaṃ natvā vākkāyacetasā /	jagadgurum maQjuGozam natvA vAkkAya cetasA /
   aśvaghoṣo vajrasūcīṃ sūtrayāmi yathāmatam // Vs_1 //	aSva GozaH vajrasUcIm sUtrayAmi yaTAmatam // VH _1 //
   vedāḥ pramāṇaṃ smṛtayaḥ pramāṇaṃ dharmārthayuktaṃ vacanaṃ pramāṇam /	vedAH pramANam smRtayaH pramANam Darma arTa yuktam vacanam pramANam /
   yasya pramāṇaṃ na bhavetpramāṇaṃ kastasya kuryādvacanaṃ pramāṇam // Vs_2	yasya pramANam na Bavet pramANam kaH tasya kuryAt vacanam pramANam // VH _2
   saptavyādhā daśārṇeṣu mṛgāḥ kālañjare girau /	sapta vyADAH daSArNezu mRgAH kAlaQjare girO /
   cakravākāḥ śaradvīpe haṃsāḥ sarasi mānase // Vs_3 //	cakravAkAH SaradvIpe haMsAH sarasi mAnase // VH _3 //
   te 'pi jātāḥ kurukṣetre brāhmaṇā vedapāragāḥ // Vs_4 //	te api jAtAH kurukzetre brAhmaNAH vedapAragAH // VH _4 //
   adhītya caturo vedān sāṅgopāṅgena tavatttaḥ /	aDItya caturaH vedAn sa aFga upAFgena tavatttaH /
   śūdrātpratigrahagrāhī brāhmaṇo jāyate kharaḥ // Vs_5 //	SUdrAt pratigraha grAhI brAhmaNaH jAyate KaraH // VH _5 //
   kharo dvādaśajanmāni ṣaṣṭhijanmāni śūkaraḥ /	KaraH dvAdaSa janmAni zazWi janmAni SUkaraH /
   śvānaḥ saptatijanmāni ityevaṃ manurabravīt // Vs_6 //	SvAnaH saptati janmAni iti evam manuH abravIt // VH _6 //
   hastinyāmacalo jāta ulūkyāṃ keśapiṅgalaḥ /	hastinyAm acalaH jAtaH ulUkyAm keSa piFgalaH /
   agastyo 'gastipuṣpācca kauśikaḥ kuśasambhavaḥ // Vs_7 //	agastyaH agastipuzpAt ca kOSikaH kuSa samBavaH // VH _7 //
   kapilaḥ kapilājjātaḥ śaragulmācca gautamaḥ /	kapilaH kapilAt jAtaH Sara gulmAt ca gOtamaH /
