   Sarva Tathāgata Tattva Saṅgrah	Sarva TaTAgataH Tattva SaFgrah
   CHAPTER 1	CHA aPTER 1
   VAJRADHATU MAHA MANDALA VIDHI VISTARA MANDALA I.1	Va aJRa aDHATU MAHA a MANDALA  VIDHI  VI STARA MANDALAH I.1
   [evaṃ mayā śru]tamekasmin samaye bhagavān	[evam mayA Sru]tam ekasmin samaye BagavAn
   sarvatathāgata vajrādhiṣṭhānasamayajñānavividhaviśeṣasamanvāgataḥ,	sarva taTAgata  vajra aDizWAna samaya jQAna viviDa viSeza samanvAgataH,
   sarvatathāgataratnamukuṭatraidhātukadharmarājyābhiṣekaprāptaḥ,	sarva taTAgata ratna mukuwa trEDAtuka Darma rAjya aBizeka prAptaH,
   sarvatathāgatasarvajñānamahāyogīśvaraḥ,	sarva taTAgata sarva jQAna mahA yogi ISvaraH,
   sarvatathāgatasarvamudrāsamatādhigataviśvakāryakaraṇatāśeṣānavaśeṣasattvadhātusarvāśāparipūrakaḥ,	sarva taTAgata sarvamudrA samatA aDigata viSva kArya karaNa tA SezAn avaSeza sattva DAtu sarva ASAparipUrakaH,
   mahākṛpo vairocanaḥ śāśvatastryadhvasamayavyavasthitaḥ	mahAkRpaH vErocanaH SASvataH tri aDva samaya vyavasTitaH
   sarvakāyavākcittavajrastathāgataḥ, sarvatathāgatādhyuṣitapraśastastavite	sarva kAya vAc citta vajraH taTAgataH, sarva taTAgata aDyuzita praSasta stavite
   mahāmaṇiratnapratyupte	mahA maNi ratna pratyupte
   vicitravarṇaghaṇṭāvasaktamārutoddhatapaṭṭasrakcāmarahārārdhahāracandropaśobhite	vicitra varNa GaNwA avasakta mAruta udData pawwa sraj ca amara hAra arDa hAra candra upaSoBite
   akaniṣṭhadevarājasya bhavane vijahāra / navanavatibhirbodhisattvakoṭibhiḥ	akanizWa deva rAjasya Bavane vijahAra / navanavatiBiH boDisattva kowiBiH
   sārdhaṃ, tadyathā vajrapāṇinā ca bodhisattvena, avalokiteśvareṇa ca	sArDaM, tat yaTA vajrapANinA ca boDisattvena, avalokita ISvareNa ca
   bodhisattvena, ākāśagarbheṇa ca, vajramuṣṭinā ca, mañjuśriyā ca,	boDisattvena, AkASa garBeNa ca, vajramuzwinA ca, maQju SriyA ca,
   sahacittotpādadharmacakrapravartinā ca, gaganagañjena ca	saha citta utpAda Darma cakra pravartinA ca, gagana gaQjena ca
   sarvamārabalapramardinā ca,	sarvam Ara bala pramardinA ca,
   evaṃpramukhairnavanavatibhirbodhisattvakoṭibhiḥ;	evaMpramuKEH navanavatiBiH boDisattva kowiBiH;
   gaṅgānadīvālukāsamākhyātaiśca tathāgataiḥ, tadyathāpi nāma tilabimbamiva	gaFgA nadI vAlukA samAKyAtEH ca taTAgatEH, tat yaTA api nAma tila bimbam iva
   paripūrṇaṃ jambūdvīpe saṃdṛśyate / taiścāprameyaistathāgatairekaikasmācca	paripUrNam jambUdvIpe saMdRSyate / tEH ca aprameyEH taTAgatEH ekEkasmAt ca
   tathāgatakāyādaprameyāsaṃkhyeyāni buddhakṣetrāṇi saṃdṛśyante, teṣu ca	taTAgata kAyAt aprameya asaMKyeyAni budDa kzetrANi saMdRSyante, tezu ca
   buddhakṣetreṣu imameva dharmanayaṃ deśayanti sma /	budDa kzetrezu imam eva Darmanayam deSayanti sma /
   atha bhagavān mahāvairocanaḥ sarvākāśadhātusadāvasthitakāyavākcittavajraḥ	aTa BagavAn mahA vErocanaH sarva AkASa DAtu sada avasTita kAya vAc citta vajraH
   sarvatathāgatasamavasaraṇatayā sarvavajradhātvavabodhanajñānasattvaḥ	sarva taTAgata samavasaraNa tayA sarva vajra DAtu avaboDana jQAna sattvaH
   sarvākāśadhātuparamāṇurajo vajrādhiṣṭhānasambhavajñānagarbhaḥ	sarva AkASa DAtu paramANu rajaH vajra aDizWAna samBava jQAna garBaH
   sarvatathāgatānantatayā mahavajrajñānābhiṣekaratnaḥ	sarva taTAgata ananta tayA maha vajra jQAna aBizeka ratnaH
   sarvākāśaspharaṇatathatājñānābhisambodhyabhisambodhibhūtaḥ	sarva AkASa sParaNa taTatA jQAna aBisamboDi aBisamboDi BUtaH
   sarvatathāgatātmabhāvaśuddhitayāsvabhāvaśuddhasarvadharmaḥ	sarva taTAgata Atma BAva SudDi tayA svaBAva SudDa sarva DarmaH
   sarvākāśacaryāgryaḥ sarvatathāgatāmoghājñākāritayā	sarva AkASa caryA agryaH sarva taTAgatA amoGa AjQA kAri tayA
   sarvāsamānuttaraviśvakarmā / sarvatathāgatamahābodhidṛḍhasattvaḥ	sarva asamA anuttara viSvakarmA / sarva taTAgata mahA boDi dRXa sattvaH
   sarvatathāgatakarṣaṇasamayaḥ sarvatathāgatānurāgaṇajñāneśvaraḥ	sarva taTAgata karzaNa samayaH sarva taTAgata anurAgaNa jQAna ISvaraH
   sarvatathāgatasādhukāraḥ sarvatathāgatamahābhiṣekaratnaḥ	sarva taTAgata sADukAraH sarva taTAgata mahA aBizeka ratnaH
   sarvatathāgatasūryaprabhāmaṇḍalaḥ sarvatathāgatacintārājamaṇiratnaketuḥ	sarva taTAgata sUrya praBA maNxalaH sarva taTAgata cintA rAja maNi ratna ketuH
   sarvatathāgatamahāhāsaḥ sarvatathāgatamahāśuddhadharmaḥ	sarva taTAgata mahA hAsaH sarva taTAgata mahA SudDa DarmaH
   sarvatathāgataprajñājñānaḥ sarvatathāgatacakraḥ	sarva taTAgata prajQA jQAnaH sarva taTAgata cakraH
   sarvatathāgatamahāvīryasudṛḍhakavacaḥ	sarva taTAgata mahA vIrya su dRXa kavacaH
   sarvatathāgatarakṣaparipālanavajrayakṣaḥ	sarva taTAgata rakza paripAlana vajrayakzaH
   sarvatathāgatakāyavākcittavajrabandhamudrājñānaḥ /	sarva taTAgata kAya vAc citta vajra banDa mudrA jQAnaH /
   Eulogy of Samantabhadra the mahabodhistattva	EulogI of SamantaBadra Te maha boDiH tattva
   samantabhadraḥ svamoghaḥ māraḥ prāmodyanāyakaḥ /	samantaBadraH su amoGaH mAraH prAmodya nAyakaH /
   khagarbhaḥ su[mahāte]jā ratnaketurmahāsmitaḥ // 1 //	KagarBaH su [mahAte]jAH ratnaketuH mahAsmitaH // 1 //
   avalokitamaheśaś ca mañjuśrīḥ sarvamaṇḍalaḥ /	avalokita maheSaH ca maQjuSrIH sarva maNxalaH /
   avāco viśvakarmā ca vīryaścaṇḍo [dṛḍhagrahaḥ] // 2 //	avAcaH viSvakarmA ca vIryaH caNxaH [dRXa grahaH] // 2 //
   vajro 'ṅ kuśaḥ śarastuṣṭiḥ ratnaḥ sūryo dhvajaḥ smitaḥ /	vajraH aF kuSaH SaraH tuzwiH ratnaH sUryaH DvajaH smitaH /
   padmaḥ kośaḥ sucakro vāk karma varma ravayo grahaḥ // 3 //	padmaH koSaH su cakraH vAc karma varma ravayaH grahaH // 3 //
   anādinidha[naḥ śānto rudraḥ krodho mahā]kṣamaḥ /	anAdiniDa[naH SAntaH rudraH kroDaH mahA] kzamaH /
   yakṣaḥ surākṣaso dhīraḥ sauriḥ saurirmahāvibhuḥ // 4 //	yakzaH su rAkzasaH DIraH sOriH sOriH mahA viBuH // 4 //
   umāpatiḥ prajānātho viṣṇurjiṣṇurmahāmuniḥ /	umApatiH prajA nATaH vizNuH jizNuH mahA muniH /
   lokapālo nabho bhūmi[striloka]stu tridhātukaḥ // 5 //	lokapAlaH naBaH BUmi[H triloka]H tu tri DAtukaH // 5 //
   mahābhūtaḥ susattvārthaḥ sarvaḥ śarvaḥ pitāmahaḥ /	mahABUtaH su sattva arTaH sarvaH SarvaH pitAmahaH /
   saṃsāro nirvṛtiḥ śaśvat samyagvṛttirmahāmahaḥ // 6 //	saMsAraH nirvRtiH SaSvat samyak vRttiH mahAmahaH // 6 //
   buddhaḥ śuddho mahāyānastribhavaḥ śāśvato hisaḥ /	budDaH SudDaH mahAyAnaH tri BavaH SASvataH hisaH /
   trilokavijayī śambhuḥ śambhunāthaḥ pradāmakaḥ // 7 // //	triloka vijayI SamBuH SamBunATaH pradAmakaH // 7 // //
   vajranāthaḥ subhūmyagryo jñānaḥ pāramitānayaḥ /	vajra nATaH su BUmi agryaH jQAnaH pAramitA anayaH /
   vimokṣo bodhisattvaśca caryaḥ sarvatathāgataḥ // 8 //	vimokzaH boDisattvaH ca caryaH sarva taTAgataH // 8 //
   buddhārtho buddhahṛdayaḥ sarvabodhiranuttaraḥ /	budDa arTaH budDa hRdayaH sarva boDiH anuttaraH /
   vairocano jino nāthaḥ svayaṃbhūrdhāraṇī smṛtiḥ // 9 //	vErocanaH jinaH nATaH svayaMBUH DAraNI smRtiH // 9 //
   mahāsattvo mahāmudraḥ samādhirbuddhakarmakṛt /	mahAsattvaH mahAmudraH samADiH budDa karma kRt /
   sarvabuddhātmako bhūtaḥ sattvo nityārthabodhakaḥ // 10 //	sarva budDa AtmakaH BUtaH sattvaH nitya arTa boDakaH // 10 //
   mahāsthāṇurmahākālo mahārāgo mahāsukhaḥ /	mahA sTANuH mahAkAlaH mahA rAgaH mahAsuKaH /
   mahāpāpo mahāgryāgryaḥ sarvāgryo bhuvaneśvaraḥ // 11 //	mahA pApaH mahA agrya agryaH sarva agryaH BuvaneSvaraH // 11 //
   bhagavān mahābodhicittaḥ samantabhadro mahābodhisattvaḥ	BagavAn mahA boDi cittaH samantaBadraH mahA boDisattvaH
   sarvatathāgatahṛdayeṣu vijahāra / atha sarvatathāgatairidaṃ buddhakṣetraṃ	sarva taTAgata hRdayezu vijahAra / aTa sarva taTAgatEH idam budDa kzetram
   tadyathā tilabimbamiva paripūrṇama //	tat yaTA tila bimbam iva paripUrNama //
   atha khalu sarvatathāgatā mahāsamājamāpadya, yena	aTa Kalu sarva taTAgatAH mahA samAjam Apadya, yena
   sarvārthasiddhirbodhisattvo mahāsattvaḥ bodhimaṇḍaniṣaṇṇastenopajagmuḥ /	sarva arTa sidDiH boDisattvaH mahAsattvaH boDimaNxa nizaNNaH tena upajagmuH /
   upetya bodhisattvasya sāṃbhogikaiḥ kāyairdarśanandatvaivamāhuḥ  "kathaṃ	upetya boDisattvasya sa aMBogikEH kAyEH darSanandatvA evam AhuH "kaTam
   kulaputrānuttarāṃ samyaksambodhim abhisaṃbhotsyase, yastvaṃ	kula putrAn uttarAm samyaksamboDim aBisaMBotsyase, yaH tvam
   sarvatathāgatatattvānabhijñatayā sarvaduḥkarāṇyutsahasī ?"ti /	sarva taTAgata tattva anaBijQa tayA sarva duHkarANi utsahasI ?"ti /
   atha sarvārthasiddhirbodhisattvo	aTa sarva arTa sidDiH boDisattvaH 
   mahāsatvassarvatathāgatacoditaḥsamānastata āsphānasamādhito vyutthāya,	mahA satva ssarva taTAgata coditaH samAnaH tatas AsPAna samADitaH vyutTAya,
   sarvatathāgatān praṇipatyāhū yaivamāha  "bhagavantastathāgatā ājñāpayata	sarva taTAgatAn praNipatya AhU yA evam Aha "BagavantaH taTAgatAH AjQApayata
   kathaṃ pratipadyāmi kīdṛśaṃ tat tattvam" iti / evamukte sarvatathāgatāstaṃ	kaTam pratipadyAmi kIdRSam tat tattvam" iti / evam ukte sarva taTAgatAH tam
   bodhisattvamekakaṇṭhenaivamāhuḥ  "pratipadyasva kulaputra	boDisattvam eka kaNWena evam AhuH "pratipadyasva kula putra
   svacittapratyavekṣaṇasamādhānena prakṛtisiddhena rucijaptena mantreṇa" iti	sva citta pratyavekzaNa samADAnena prakRti sidDena ruci japtena mantreNa" iti
   oṃ cittaprativedhaṃ karomi /	om citta prativeDam karomi /
   atha bodhisattvaḥ sarvatathāgatānevamāha  "ājñātaṃ me	aTa boDisattvaH sarva taTAgatAn evam Aha "a ajQAtam me
   bhagavantastathāgatāḥ svahṛdi candramaṇḍalākāraṃ paśyāmi" /	BagavantaH taTAgatAH sva hRdi candra maNxala AkAram paSyAmi" /
   sarvatathāgatāḥ procuḥ  "prakṛtiprabhāsvaramidaṃ kulaputra cittaṃ,	sarva taTAgatAH procuH "prakRti praBAsvaram idam kula putra cittaM,
   tadyathā parikarṣyate tat tathaiva bhavati / tadyathāpi nāma śvetavastre	tat yaTA parikarzyate tat taTA eva Bavati / tat yaTA api nAma Sveta vastre
   rāgarañjanam" iti /	rAga raQjanam" iti /
   atha sarvatathāgatāḥ prakṛtiprabhāsvaracittajñānasya sphītīkaraṇahetoḥ	aTa sarva taTAgatAH prakRti praBA svara citta jQAnasya sPItIkaraNa hetoH
   punarapi tasmai bodhisattvāya oṃ bodhicittamutpādayāmi ityanena	punar api tasmE boDisattvAya om boDi cittam utpAdayAmi iti anena
   prakṛtisiddhena mantreṇa bodhicittamutpāditavantaḥ /	prakRti sidDena mantreNa boDi cittam utpAditavantaH /
   atha bodhisattvaḥ punarapi sarvatathāgatājñayā bodhicittamutpādyaivamāha 	aTa boDisattvaH punar api sarva taTAgata AjQayA boDi cittam utpAdya evam Aha 
   "yat taccandramaṇḍalākāraṃ taccandramaṇḍalameva paśyāmi" / sarvatathāgatā	"yat tad candra maNxala AkAram tat candra maNxalam eva paSyAmi" / sarva taTAgatA
   āhuḥ  "sarvatathāgatahṛdayante samantabhadraścittotpādaḥ sāmīcībhūtaḥ,	AhuH "sarva taTAgata hRdayante samantaBadraH citta utpAdaH sAmIcIBUtaH,
   tatsādhu pratipadyatām, sarvatathāgatasamantabhadracittotpādasya	tat sADu pratipadyatAm, sarva taTAgata samantaBadra citta utpAdasya
   dṛḍhīkaraṇahetoḥ svahṛdi candramaṇḍale vajrabimbaṃ cintayānena mantreṇa oṃ	dRXIkaraNa hetoH sva hRdi candra maNxale vajra bimbam cintayA anena mantreNa om
   tiṣṭha vajra /	tizWa vajra /
   bodhisattva āha  "paśyāmi bhagavantastathāgatāścandramaṇḍale vajram" /	boDisattvaH Aha "paSyAmi BagavantaH taTAgatAH candra maNxale vajram" /
   sarvatathāgatā āhuḥ  "dṛḍhīkurvidaṃ	sarva taTAgatAH AhuH "dRXIkurvidam
   sarvatathāgatasamantabhadracittavajramanena mantreṇa oṃ vajrātmako 'ham //	sarva taTAgata samantaBadra cittava jram anena mantreNa om vajra AtmakaH aham //
   atha yāvantaḥ sarvākāśadhātusamavasaraṇāḥ	aTa yAvantaH sarva AkASa DAtu samavasaraNAH
   sarvatathāgatakāyavākcittavajradhātavaḥ, te sarve	sarva taTAgatakAya vAc citta vajra DAtavaH, te sarve
   sarvatathāgatādhiṣṭhānena tasmin sattvavajre praviṣṭāḥ / tataḥ	sarva taTAgata aDizWAnena tasmin sattva vajre pravizwAH / tatas 
   sarvatathāgataiḥ sa bhagavān sarvārthasiddhirmahābodhisattvo	sarva taTAgatEH sa BagavAn sarva arTa sidDiH mahA boDisattvaH 
   vajradhāturvajradhāturiti vajranāmābhiṣekeṇābhiṣiktaḥ /	vajraDAtuH vajraDAtuH iti vajra nAma aBizekeNa aBiziktaH /
   atha vajradhāturmahābodhisattvastān sarvatathāgatānevamāha "paśyāmi	aTa vajraDAtuH mahA boDisattvaH tAn sarva taTAgatAn evam Aha "paSyAmi
   bhagavantastathāgatāḥ sarvatathāgatakāyamātmānam" / sarvatathāgatāḥ	BagavantaH taTAgatAH sarva taTAgata kAyam AtmAnam" / sarva taTAgatAH
   prāhuḥ  "tena hi mahāsattva sattvavajraṃ sarvākāravaropetaṃ	prAhuH "tena hi mahA sattva sattva vajram sarva AkAra vara upetam
   buddhabimbamātmānaṃ bhāvayānena prakṛtisiddhena mantreṇa rucitaḥ parijapya	budDa bimbam AtmAnam BAva yAnena prakRti sidDena mantreNa rucitaH parijapya
   oṃ yathā sarvatathāgatāstathāham" //	om yaTA sarva taTAgatAH taTA aham" //
   athaivamukte vajradhāturmahābodhisattvastathāgatamātmānamabhisambudhya,	aTa evam ukte vajraDAtuH mahA boDisattvaH taTAgatam AtmAnam aBisambuDya,
   tān sarvatathāgatān praṇipatyāhū yaivamāha "adhitiṣṭhata māṃ	tAn sarva taTAgatAn praNipatya AhU yA evam Aha "aDitizWata mAm
   bhagavantastathāgatā imāmabhisaṃbodhiṃ dṛḍhīkuruta ceti" / athaivamukte	BagavantaH taTAgatAH imAm aBisaMboDim dRXIkuruta ceti" / aTa evam ukte
   sarvatathāgatā vajradhātostathāgatasya tasmin sattvavajre praviṣṭā iti //	sarva taTAgatAH vajraDAtoH taTAgatasya tasmin sattva vajre pravizwAH iti //
   atha bhagavān vajradhātustathāgatastasmin eva kṣaṇe	aTa BagavAn vajraDAtuH taTAgataH tasmin eva kzaNe
   sarvatathāgatasamatājñānābhisaṃbuddha	sarva taTAgata samatA jQAna aBisaMbudDa
   sarvatathāgatavajrasamatājñānamudrāguhyasamayapraviṣṭaḥ	sarva taTAgata vajra samatA jQAna mudrA guhya samaya pravizwaH
   sarvatathāgatadharmasamatājñānādhigamasvabhāvaśuddhaḥ	sarva taTAgata Darma samatA jQAna aDigama svaBAva SudDaH
   sarvatathāgatasarvasamatāprakṛtiprabhāsvarajñānākarabhūtastathāgato 'rhān	sarva taTAgata sarva sama tA prakRti praBA svara jQAna Akara BUtaH taTAgataH arhAn
   samyaksaṃbuddhaḥ saṃvṛtta iti //	samyaksaMbudDaH saMvRttaH iti //
   atha sarvatathāgatāḥ punarapi tataḥ sarvatathāgatasattvavajrān	aTa sarva taTAgatAH punar api tatas sarva taTAgata sattva vajrAn
   niḥsṛtyākāśagarbhamahāmaṇiratnābhiṣekeṇābhiṣicyāvalokiteśvaradharmajñānamutpādya	niHsRtya AkASa garBa mahA maNi ratna aBizekeNa aBizicya avalokita ISvara Darma jQAnam utpAdya
   sarvatathāgataviśvakarmatāyāṃ pratiṣṭhāpya yena sumerugirimūrdhā yena ca	sarva taTAgata viSva karma tAyAm pratizWApya yena sumeru giri mUrDA yena ca
   vajramaṇiratnaśikharakūṭāgārastenopasaṃkrāntāḥ, upasaṃkramya	vajra maNi ratna SiKara kUwa agAraH tena upasaMkrAntAH, upasaMkramya
   vajradhātuntathāgataṃ sarvatathāgatatve 'dhiṣṭhya, sarvatathāgatasiṃhāsane	vajraDAtun taTA gatam sarva taTAgata tve aDizWya, sarva taTAgata siMhAsane
   sarvatomukhaṃ pratiṣṭhāpayāmāsuriti //	sarvatomuKam pratizWApayAmAsuH iti //
   Emanation of the 37 deities from samadhi	Emanation of Te 37 deitieH from samaDi
   atha khalu akṣobhyastathāgato ratnasaṃbhavaśca tathāgato lokeśvararājaśca	aTa Kalu akzoByaH taTAgataH ratna saMBavaH ca taTAgataH loka ISvara rAjaH ca
   tathāgato amoghasiddhiśca tathāgataḥ sarvatathāgatatvaṃ	taTAgataH amoGa sidDiH ca taTAgataH sarva taTAgata tvam
   svayamātmanyadhiṣṭhāya, bhagavataḥ śākyamunestathāgatasya	svayam Atmani aDizWAya, BagavataH SAkya muneH taTAgatasya
   sarvasamatāsuprativedhatvāt sarvadiksamatāmabhyālambya, catasṛṣu dikṣu	sarva sama tAsu prativeDa tvAt sarva diS samatAm aByAlambya, catasRzu dikzu
   niṣaṇṇāḥ //	nizaNNAH //
   I.1.6 Vajrasattva	I.1.6 Vajra sattva
   atha bhagavān vairocanastathāgataḥ acirābhisaṃbuddhaḥ	aTa BagavAn vErocanaH taTAgataH acira aBisaMbudDaH
   sarvatathāgatasamantabhadrahṛdayasarvatathāgatākāśasaṃbhavamahāmaṇiratnābhiṣekābhiṣiktaḥ	sarva taTAgata samantaBadra hRdaya sarva taTAgata AkASa saMBava mahA maNi ratna aBizeka aBiziktaH
   sarvatathāgatāvalokiteśvaradharmajñānaparamapāramitāprāptaḥ	sarva taTAgata avalokita ISvara Darma jQAna parama pAramitA prAptaH
   sarvatathāgataviśvakarmatāmoghāpratihataśāsanaḥ paripūrṇakāryaḥ	sarva taTAgata viSva karma tA moGa apratihata SAsanaH paripUrNa kAryaH
   paripūrṇamanorathaḥ sarvatathāgatatvaṃ svayamātmanyadhiṣṭhāya,	paripUrNa manoraTaH sarva taTAgata tvam svayam Atmani aDizWAya,
