   bhāmatī	BAmatI
   brahmasūtraśāṅkarabhāṣyam /	brahmasUtra SAFkara BAzyam /
   START BsVBh_1,1.1.1	START BsVBh_1,1.1.1
   anirvācyāvidyā(*1)dvitayasacivasya prabhavato vivartā(*2) yasyaite	anirvAcya avidyA (*1)dvitaya sacivasya praBavataH vivartA(*2) yasya ete
   viyadanilatejo 'bavanayaḥ /	viyat anila tejaH abavanayaH /
   yataścābhūdviśvaṃ caramacaramuccāvacamidaṃ	yatas ca aBUt viSvam caramacaram uccAvacam idam
   namāmastadbrahmāparimitasukhajñānamamṛtam //1//	namAmaH tat brahma aparimita suKa jQAnam amRtam //1//
   FN *1 mūlavidyā, tūlāvidyeti dvitayam	F *1 mUla vidyA, tUla avidyA iti dvitayam
   FN *2 svarūpopamardanaṃ vinānyathābhāvaḥ	F *2  svarUpa upamardanam vinA anyaTa aBAvaH
   niḥśvasitamasya vedā vīkṣitametasya pañca bhūtāni /	niHSvasitam asya vedAH vIkzitam etasya paQca BUtAni /
   smitametasya carācaramasya ca suptaṃ mahāpralayaḥ //2//	smitam etasya carAcaram asya ca suptam mahApralayaH //2//
   ṣaḍbhiraṅgairupetāya vividhairavyayairapi /	zaxBiH aFgEH upetAya viviDEH avyayEH api /
   śāśvatāya namaskurmo vedāya ca bhavāya ca //3//	SASvatAya namaskurmaH vedAya ca BavAya ca //3//
   mārtaṇḍatilakasvāmimahāgaṇapatīn vayam /	mArtaNxa tilaka svAmi mahAgaNapatIn vayam /
   viśvavandyānnamasyāmaḥ sarvasiddhividhāyinaḥ //4//	viSva vandyAt namasyAmaH sarva sidDi viDAyinaH //4//
   brahmasūtrakṛte tasmai vedavyāsāya vedhase /	brahmasUtra kRte tasmE vedavyAsAya veDase /
   jñānaśaktyavatārāya namo bhagavato hareḥ //5//	jQAna Sakti avatArAya namaH BagavataH hareH //5//
   natvā viśuddhavijñānaṃ śaṅkaraṃ karuṇānidhim /	natvA viSudDa vijQAnam SaFkaram karuNA niDim /
   bhāṣyaṃ prasannagambhīraṃ tatpraṇītaṃ vibhajyate //6//	BAzyam prasanna gamBIram tat praNItam viBajyate //6//
   ācāryakṛtiniveśanamapyavadhūtaṃ vaco 'smadādīnām /	AcArya kRti niveSanam api avaDUtam vacaH asmad AdInAm /
   rathyodakamiva gaṅgāpravāhapātaḥ pavitrayati //7//	raTyA udakam iva gaFgA pravAha pAtaH pavitrayati //7//
   atha yadasaṃdigdhamaprayojanaṃ ca na tatprekṣāvatpratipitsāgocaraḥ, yathā	aTa yat asaMdigDam aprayojanam ca na tad prekzA vat pratipitsA gocaraH, yaTA
   samanaskendriya  saṃnikṛṣṭaḥ sphītālokamadhyavartī ghaṭaḥ, karaṭadantā	sa manaska indriya saMnikRzwaH sPIta Aloka maDya vartI GawaH, karawa dantA
   vā;tathā cedaṃ brahmeti vyāpaka	vA;taTA ca idam brahma iti vyApaka
   FN: 1 yatra jijñāsyatvaṃ tatraiva saṃdigdhatvaṃ saprayojanatvaṃ ceti	FN: 1 yatra jijQAsya tvam tatra eva saMdigDa tvam sa prayojana tvam ca iti
   jijñāsyatvavyāpake saṃdigdhatvasaprayojanatve /	jijQAsya tva vyApake saMdigDa tva saprayojana tve /
   tayorviruddhasya tadabhāvasyehopalabdhirjñānam /	tayoH virudDasya tad aBAvasya iha upalabDiH jQAnam /
   tathāca vyāpakābhāve tadvyāptajijñāsyatvābhāvo 'tretyarthaḥ /	taTA ca vyApaka aBAve tad vyApta jijQAsya tva aBAvaH atra iti arTaH /
   atraivaṃ prayagoḥ brahma mumukṣvavicāryaṃ taṃ pratyasaṃdigdhatvāt,	atra evam prayagoH brahma mumukzu avicAryam tam pratyasaMdigDa tvAt,
   niṣprayojanatvācca /	nizprayojana tvAt ca /
   tathāvidhakumbha kākadantavaditi bhāvaḥ /	taTAviDa kumBa kAka danta vat iti BAvaH /
   viruddhopalabdhiḥ /	virudDa upalabDiH /
   tathā hi   bṛhattvādbṛṃhaṇa	taTA hi  bRhat tvAt bRMhaNa
   FN: 2 vṛddhyarthakabṛhabṛhidhātujaṃ brahmannitirūpam /	FN: 2 vRdDi arTaka bRha bRhi DAtu jam brahman= iti rUpam /
   bṛṃhaṇaṃ ca dehādīnāṃ pariṇāmayitṛtvarūpaṃ bodhyam /	bRMhaNam ca deha AdInAm pariNAmayitR tva rUpam boDyam /
   tvādvātmaiva brahmeti gīyate /	tvAdvAtmA eva brahma iti gIyate /
   sa cāyam ākīṭapataṅgebhya ā ca devarṣibhyaḥ	sa ca ayam AkIwa pataFgeByaH A ca devaRziByaH
   prāṇabhṛnmātrasyedaṅkārāspadebhyo dehendriyamanobuddhiviṣayebhyo vivekena	prANa BRt mAtrasyet aFkAra AspadeByaH deha indriya manaH budDi vizayeByaH vivekena
   'aham'ityasaṃdigdhāviparyastāparokṣānubhavasiddha iti na jijñāsāspadam /	aaham aitya saMdigDa aviparyasta aparokza anuBava sidDaH iti na jijQAsA Aspadam /
   na hi jātu kaścidatra saṃdigdhe 'ahaṃ vā nāhaṃ vā'iti /	na hi jAtu kaScid atra saMdigDe aaham vA na aham vA aiti /
   na ca viparyasyati 'nāhameva'iti /	na ca viparyasyati anAham eva aiti /
   na ca 'ahaṃ kṛśaḥ, sthūlaḥ, gacchāmi'ityādidehadharmasāmānā	na ca aaham kRSaH, sTUlaH, gacCAmi aitya Adi deha Darma sAmAnA
   FN: 3 ekārthapratipādakatvajñānādityatharḥ /	FN: 3 eka arTa pratipAdaka tva jQAnAt iti aTarH /
   dhikaraṇyadarśanāddehālambano 'yamahaṅkāra iti sāṃpratam /	DikaraNya darSanAt deha AlambanaH ayam ahaFkAraH iti sAMpratam /
   tadālambanatve hi 'yo 'haṃ bālye pitarāvanvabhavaṃ sa eva sthāvire	tad Alambana tve hi ayaH aham bAlye pitarO= anvaBavam saH eva sTAvire
   praṇaptṝnanubhavāmi'iti pratisaṃdhānaṃ na bhavet /	praNaptLn anuBavAmi aiti pratisaMDAnam na Bavet /
   na hi bālasthavirayoḥ śarīrayorasti manāgapi pratyabhijñāna	na hi bAla sTavirayoH SarIrayoH asti manAk api pratyaBijQAna
   FN: 1 pūrvānubhūtasya sākṣātkṛtavyaktyaikyāvagāhinī dhīḥ /	FN: 1  pUrva anuBUtasya sAkzAtkRta vyakti Ekya avagAhinI DIH /
   gandho yenaikatvaṃ adhyavasīyeta /	ganDaH yena ekatvam aDyavasIyeta /
   tasmādyeṣu vyāvartamāneṣu yadanuvartate tattebhyo bhinnaṃ yathā ca	tasmAt yezu vyAvartamAnezu yat anuvartate tat teByaH Binnam yaTA ca
   kusumebhyaḥ sūtram /	kusumeByaH sUtram /
   tathā bālādiśarīreṣu vyāvartamāneṣvapi paramahaṅkārāspadamanuvartamānaṃ	taTA bAla Adi SarIrezu vyAvartamAnezu api paramahaFkAra Aspadam anuvartamAnam
   tebhyo bhidyate /	teByaH Bidyate /
   api ca svapnānte divyaśarīrabhedamāsthāya taducitānbhogānbhuñjāna eva	api ca svapna ante divya SarIra Bedam AsTAya tad ucitAn BogAn BuQjAnaH eva
   pratibuddho manuṣyaśarīramātmānaṃ paśyan 'nāhaṃ devo manuṣya eva'iti	pratibudDaH manuzya SarIram AtmAnam paSyan anAham devaH manuzyaH eva aiti
   devaśarīre bādhyamāne 'pyahamāspadamabādhyamānaṃ śarīrādbhinnaṃ	deva SarIre bADyamAne api aham Aspadam abADyamAnam SarIrAt Binnam
   pratipadyate /	pratipadyate /
   api ca yoga	api ca yoga
   FN: 2 aṇimādisiddhilābhāllīlādyarthaṃ yogamahimnā vyāghraśarīraṃ kṛtvā	FN: 2 aNima Adi sidDi lABAt lIlA Adi arTam yoga mahimnA vyAGra SarIram kRtvA
   tadābhimānītyarthaḥ atredaṃ bodhyam avayavopacayāpacayātmake bālye	tadA aBimAni iti arTaH atra idam boDyam avayava upacaya apacaya Atmake bAlye
   sthāvire vā na śarīrabhedaḥ siddhyati, śarīramiti	sTAvire vA na SarIra BedaH sidDi ati, SarIram iti
   buddheranugatatvādityarucyā 'svapnānte'ityudāhṛtam /	budDeH anugata tva Aditya rucyE asvapna ante aiti udAhRtam /
   svāpnabhramavādināṃ mate tadasiddhyā yogavyāghradṛṣṭāntaḥ, jāgratyapi	svApna Brama vAdinAm mate tad asidDyA yoga vyAGra dRzwAntaH, jAgrati api
   darśayituṃ veti bodhyam /	darSayitum vA iti boDyam /
   vyāghraḥ śarīrabhede 'pyātmānamabhinnamanubhavatīti nāhaṅkārālambanaṃ	vyAGraH SarIra Bede api AtmAnam aBinnam anuBavati iti na ahaFkAra Alambanam
   dehaḥ /	dehaH /
   ata eva nendriyāṇyapyasyālambanam, indriyabhede 'pi 'yo 'hamadrākṣaṃ sa	atas eva na indriyANi api asya Alambanam, indriya Bede api ayaH aham adrAkzam sa
   evaitarhi spṛśāmi'ityahamālambanasya pratyabhijñānāt /	eva etarhi spRSAmi aiti aham Alambanasya pratyaBijQAnAt /
   viṣayebhyastvasya vivekaḥ sthavīyāneva /	vizayeByaH tu asya vivekaH sTavIyAn eva /
   buddhimanasośca karaṇayoḥ 'aham'iti kartṛpratibhāsaprakhyānā	budDi manasoH ca karaNayoH aaham aiti kartR pratiBAsa praKyAnA
   FN: 3 prakhyānaṃ śabdaḥ / karaṇānāṃ kartṛpadavācyatvānupapatteriti bhāvaḥ	FN: 3  praKyAnam SabdaH / karaNAnAm kartR pada vAcya tva anupapatteH iti BAvaH
   lambanatvāyogaḥ /	lambana tva ayogaH /
   'kṛśo 'ham' 'andho 'ham'ityādayaśca prayogā asatyapyabhede kathañcinmañcāḥ	akRSaH aham a aanDaH aham aitya AdayaH ca prayogAH asati api aBede kaTaQcid maQcAH
   FN: 4 ātmā śarīrādibhyo bhinna	FN: 4 AtmA SarIra AdiByaH Binna
   ityadhastādvyavasthāpitatvāttadanupapatterlakṣaṇāvāśrayaṇīyeti bhāvaḥ /	iti aDastAt vyavasTApita tvAt tad anupapatteH lakzaNO= ASrayaNIyA iti BAvaH /
   krośanti ityādivadaupacārikā iti yuktamutpaśyāmaḥ /	kroSanti iti Adi vat OpacArikAH iti yuktam utpaSyAmaH /
   tasmādidaṅkārāspadebhyo dehendriyamanobuddhiviṣayebhyo vyāvṛttaḥ	tasmAt idaFkAra AspadeByaH deha indriya manaH budDi vizayeByaH vyAvRttaH
   sphuṭatarāhamanubhavagamya ātmā saṃśayābhāvādajijñāsya iti siddham /	sPuwatarAham anuBava gamyaH AtmA saMSaya aBAvAt ajijQAsyaH iti sidDam /
   aprayoja	aprayoja
   FN: 1 dvitīyahetuṃ vibhajate /	FN: 1 dvitIya hetum viBajate /
   natvācca /	na tvAt ca /
   tathā hi saṃsāranivṛttirapavarga iha prayojanaṃ vivakṣitam /	taTA hi saMsAra nivRttiH apavargaH iha prayojanam vivakzitam /
   saṃsāraśca ātmayāthātmyānanubhavanimitta ātmayāthātmyajñānena nivartanīyaḥ	saMsAraH ca Atma yATAtmyAn anuBava nimittaH AtmayATAtmya jQAnena nivartanIyaH
   sa cedayamanādiranādinā ātmayāthātmyajñānena sahānuvartate, kuto 'sya	sa ced ayama nAdiH anAdinA AtmayATAtmya jQAnena saha anuvartate, kutas asya
   nivṛttiḥ avirodhāt?kutaścātmayāthātmyānanubhavaḥ?na hi	nivRttiH aviroDAt?kutas ca Atma yATAtmyAn anuBavaH?na hi
   'aham'ityanubhavādanyadātmayāthātmyajñānamasti /	aaham aiti anuBavAt anyat Atma yATAtmya jQAnam asti /
   na ca 'aham'iti sarvajanīnasphuṭatarānubhavasamarthita ātmā	na ca aaham aiti sarva janIna sPuwatara anuBava samarTitaH AtmA
   dehendriyādivyatiriktaḥ śakya upaniṣadāṃ sahasrairapyanyathayitum,	deha indriya Adi vyatiriktaH SakyaH upanizadAm sahasrEH api anyaTayitum,
   anubhavavirodhāt /	anuBava viroDAt /
   na hyāgamāḥ sahasramapi ghaṭaṃ paṭayitumīśate /	na hi AgamAH sahasram api Gawam pawayitum ISate /
   tasmādanubhavavirodhādupacaritārthā evopaniṣada iti yuktamutpaśyāma	tasmAt anuBava viroDAt upacarita arTAH eva upanizadaH iti yuktam utpaSyAma
   ityāśayavānāśaṅkya pariharati yuṣmadasmatpratyayagocarayoḥ iti /	iti ASayavAn ASaFkya pariharati yuzmad asmad pratyaya gocarayoH iti /
   atra ca yuṣmadasmadityādirmithyābhavituṃ yuktamityantaḥ śaṅkāgranthaḥ /	atra ca yuzmad asmat iti AdiH miTyA Bavitum yuktam iti antar SaFkA granTaH /
   tathāpītyādiparihāragranthaḥ /	taTA api ityAdi parihAra granTaH /
   tathāpītyabhisaṃbandhācchaṅkāyāṃ yadyapīti paṭhitavyam /	taTA api iti aBisaMbanDAt SaFkAyAm yadi api iti paWitavyam /
   idamasmatpratyayagocarayoriti vaktavye	idam asmad pratyaya gocarayoH iti vaktavye
   yuṣmadgrahaṇamatyantabhedopalakṣaṇārtham /	yuzmad grahaNam atyanta Beda upalakzaNa arTam /
   yathā hyahaṅkārapratiyogī tvaṅkāro naivamidaṅkāraḥ, 'ete vayam, ime	yaTA hi ahaFkAra pratiyogI tu aFkAraH na evam idaFkAraH, aete vayam, ime
   vayamāsmahe'iti bahulaṃ	vayam Asmahe aiti bahulam
   FN: 2 idaṃśabdasya parākpratipādakatvāviśeṣe 'pi ete vayamityādi	FN: 2 idaMSabdasya parAk pratipAdaka tva aviSeze api ete vayam ityAdi
   pracuraprayogavaśānmukhyavadbhānaṃ bhavatīti tattatra nirūḍhamiti bhāvaḥ /	pracura prayoga vaSAn muKya vat BAnam Bavati iti tat tatra nirUXam iti BAvaH /
   prayogadarśanāditi /	prayoga darSanAt iti /
   citsvabhāva ātmā viṣayī, jaḍasvabhāvā buddhīndriyadehaviṣayā viṣayāḥ /	cit svaBAvaH AtmA vizayI, jaxa svaBAvAH budDIndriya deha vizayAH vizayAH /
   ete hi cidātmānaṃ visinvanti avabadhnanti;svena rūpeṇa nirūpaṇīyaṃ	ete hi cit AtmAnam visinvanti avabaDnanti; svena rUpeNa nirUpaNIyam
   kurvantīti yāvat /	kurvanti iti yAvat /
   parasparānadhyāsahetāvatyantavailakṣaṇye dṛṣṭāntaḥ 'tamaḥ prakāśavaditi' /	para sparAn aDyAsa hetO= atyanta vElakzaNye dRzwAntaH  atamaH prakASa vat iti a /
