   Rādhā-kṛṣṇārcana-dīpikā	RADA--kRzNA-arcana-dIpikA
   sanātana-samo yasya	sanAtana--samaH yasya
   jyāyān śrīmān sanātanaḥ |	jyAyAn SrImAn sanAtanaH |
   śrī-vallabho 'nujaḥ so 'sau	SrI--vallaBaH anujaH saH asO
   śrī-rūpo jīva-sad-gatiḥ ||1||	SrI--rUpaH jIva--sad-gatiH ||1||
   [*NOTE: This verse is used by Jiva as the maṅgalācaraṇa in other works	[*NOTE: ThiH verse is uset bi Jiva aH Te maFgala-AcaraNaH id oTeH works
   also.]	also.]
   purāṇa-saṃhitā-tantra-	purANa--saMhitA--tantra-
   mantra-śruti-samanvitam |	mantra--Sruti--samanvitam |
   gītā-bhāgavataṃ śāstraṃ	gIta-a--BAgavatam SAstram
   jayatād vraja-dhāmasu ||2||	jayatAt vraja--DAmasu ||2||
   śrī-dāmodara-rādhārcanam arhati vraja-sthānām |	SrI-dAmodara--rADa-arcanam arhati vraja--sTAnAm |
   āvaśyakatām aśāvyanayo ratrādhidevyaṃ hi ||3||	AvaSyaka-tAm aSAvI-anayaH ratrADidevyam hi ||3||
   tatra kaścit śāstra-pramāṇakatvaṃ na manyate, taṃ pratīdaṃ brūmaḥ -	tatra kaScid SAstra--pramANaka-tvam na manyate, tam prati-idam brUmaH -
   lakṣmīr abhitaḥ strītamā gopyo lakṣmītamāḥ prathitāḥ |	lakzmIH aBitas strI-itamAH gopyaH lakzmItamAH praTitAH |
   rādhā gopītamā ced asyāḥ kā samā rāmā ||4|| iti ||	rADA gopItamA ced asyAH kA samAH rAmA ||4|| iti ||
   [*NOTE: This verse is quoted at Gopāla-campū 1.25.]	[*NOTE: ThiH verse iH quotet at GopAla--campU 1.25.]
   āstāṃ tāvat lakṣmī-vijetṛ-guṇa-gaṇa-gopī-gaṇa-pradhānatayā	AstAm tAvat lakzmI--vijetR--guNa--gaNa--gopI--gaNa--praDAna-tayA
   śrī-kṛṣṇa-sandarbhādau nirṇītā |	SrI--kRzNa--sandarBa-AdO nirNItA |
   [*NOTE: Portions of RKAD have been lifted wholesale from the Sandarbhas.]	[*NOTE: Portia-uns of RKAD have beet liftet wholesale from Te SandarBas.]
   atra ca nirṇeṣyamāṇā svayaṃ bhagavataḥ śrī-kṛṣṇasya svayaṃ lakṣmī-rūpā	atra ca nirNezyamANA svayam BagavataH SrI--kRzNasya svayam lakzmI--rUpA
   śrī-rādhā | gopī-jana-mātra-saṃvalitaḥ sa upāsyata ity atra śāstrāṇi śṛṇu	SrI--rADA | gopI-jana--mAtra--saMvalitaH saH upAsyate iti atra SAstrANi SRNu
   | tatrāroha-bhūmikā-krameṇa darśyate |	| tatra-Aroha--BUmikA-krameNa darSyate |
   ārādhanaṃ hi kṛṣṇasya	ArADanam hi kRzNasya
   bhaved āvaśyakaṃ yathā |	Bavet AvaSyakam yaTA |
