   // Daśabhūmikasūtram //	// DaSa BUmika sUtram //
   1 pramuditā nāma prathamā bhūmiḥ /	1 pramuditA nAma praTamA BUmiH /
   evaṃ mayā śrutam / ekasmin samaye bhagavān paranirmitavaśavartiṣu	evam mayA Srutam / ekasmin samaye BagavAn paranirmita vaSavartizu
   devabhuvaneṣu viharati sma acirābhisaṃbuddho dvitīye saptāhe vaśavartino	deva Buvanezu viharati sma acira aBisaMbudDaH dvitIye sapta ahe vaSavartinaH 
   devarājasya vimāne maṇiratnagarbhe prabhāsvare prāsāde mahatā	devarAjasya vimAne maNi ratna garBe praBAsvare prAsAde mahatA
   bodhisattvagaṇena sārdhaṃ sarvairavaivartikairekajātipratibaddhaiḥ /	boDisattva gaNena sArDam sarvEH avEvartikEH eka jAti pratibadDEH /
   yaduta anuttarāyāṃ samyaksaṃbodhāvanyonyalokadhātusaṃnipatitaiḥ / sarvaiḥ	yat uta anuttarAyAm samyaksaMboDO= anyonya loka DAtu saMnipatitEH / sarvEH
   sarvabodhisattvajñānaviṣayagocarapratilabdhavihāribhiḥ	sarva boDisattva jQAna vizaya gocara pratilabDa vihAriBiH
   sarvatathāgatajñānaviṣayapraveśāvatārāpratiprasrabdhagocaraiḥ	sarva taTAgata jQAna vizaya praveSa avatAra apratiprasrabDa gocarEH
   sarvajagatparipācanavinayayathākālakṣaṇādhiṣṭhānasarvakriyāsaṃdarśanakuśalaiḥ	sarva jagat paripAcana vinaya yaTA kA lakzaNa aDizWAna sarva kriyA saMdarSana kuSalEH
   sarvabodhisattvapraṇidhānābhinirhārāpratiprasrabdhagocaraiḥ	sarva boDisattva praNiDAna aBinirhAra apratiprasrabDa gocarEH
   kalpārthakṣetracaryāsaṃvāsibhiḥ	kalpa arTa kzetra caryA saMvAsiBiH
   sarvabodhisattvapuṇyajñānarddhisaṃbhārasuparipūrṇākṣayasarvajagadupajīvyatāpratipannaiḥ	sarva boDisattva puNya jQAna RdDi saMBAra su paripUrNa akzaya sarva jagat upajIvyata apratipannEH
   sarvabodhisattvaprajñopāyaparamapāramitāprāptaiḥ	sarva boDisattva prajQA upAya parama pAramitA prAptEH
   saṃsāranirvāṇamukhasaṃdarśanakuśalaiḥ bodhisattvacaryopādānāvyavacchinnaiḥ	saMsAra nirvANa muKa saMdarSana kuSalEH boDisattva caryA upAdAna avyavacCinnEH
   sarvabodhisattvadhyānavimokṣasamādhisamāpatyabhijñājñānavikrīḍitābhijñāsarvakriyāsaṃdarśanakuśalaiḥ	sarva boDisattva DyAna vimokza samADi samApati aBijQA jQAna vikrIxita aBijQA sarva kriyA saMdarSana kuSalEH
   sarvabodhisattvarddhibalavaśitāprāptānabhisaṃskāracittakṣaṇasarvatathāgataparṣanmaṇḍalopasaṃkramaṇapūrvaṃgamakathāpuruṣaiḥ	sarva boDisattva RdDi bala vaSitA prApta anaBisaMskAra citta kzaNa sarva taTAgata parzan maNxala upasaMkramaNa pUrvaMgama kaTA puruzEH
   sarvatathāgatadharmacakrasaṃdhāraṇavipulabuddhapūjopasthānābhyutthitaiḥ	sarva taTAgata Darma cakra saMDAraNa vipula budDa pUjA upasTAna aByutTitEH
   sarvabodhisattvakarmasamādānasamatāprayogasarvalokadhātukāyapratibhāsaprāptaiḥ	sarva boDisattva karma sama AdAna sama tA prayoga sarva loka DAtu kAya pratiBAsa prAptEH
   sarvadharmadhātvasaṅgasvararutaghoṣānuravitasarvatryadhvāsaṅgacittajñānaviṣayaspharaṇaiḥ	sarva DarmaDAtu asaFga svara ruta Goza anuravita sarva tri aDvAsaFga citta jQAna vizaya sParaNEH
   sarvabodhisattvaguṇapratipattisuparipūrṇānabhilāpyakalpādhiṣṭhānasaṃprakāśanāparikṣīṇaguṇavarṇanirdeśakaiḥ	sarva boDisattva guNa pratipatti su paripUrNa anaBilApya kalpa aDizWAna saMprakASanA parikzINa guNa varNa nirdeSakEH
   / yadidamvajragarbheṇa ca bodhisattvena mahāsattvena / ratnagarbheṇa ca /	/ yat idam vajra garBeNa ca boDisattvena mahAsattvena / ratna garBeNa ca /
   padmagarbheṇa ca / śrīgarbheṇa ca / padmaśrīgarbheṇa ca / ādityagarbheṇa	padma garBeNa ca / SrI garBeNa ca / padma SrI garBeNa ca / Aditya garBeNa
   ca / sūryagarbheṇa ca / kṣitigarbheṇa ca / śaśivimalagarbheṇa ca /	ca / sUrya garBeNa ca / kziti garBeNa ca / SaSi vimala garBeNa ca /
   sarvavyūhālaṃkārapratibhāsasaṃdarśanagarbheṇa ca / jñānavairocanagarbheṇa	sarva vyUha alaMkAra pratiBAsa saMdarSana garBeNa ca / jQAna vErocana garBeNa
   ca / ruciraśrīgarbheṇa ca / candanaśrīgarbheṇa ca / puṣpaśrīgarbheṇa ca /	ca / rucira SrI garBeNa ca / candana SrI garBeNa ca / puzpaSrI garBeNa ca /
   kusumaśrīgarbheṇa ca / utpalaśrīgarbheṇa ca / devaśrīgarbheṇa ca /	kusuma SrI garBeNa ca / utpala SrI garBeNa ca / deva SrI garBeNa ca /
   puṇyaśrīgarbheṇa ca / anāvaraṇajñānaviśuddhigarbheṇa ca / guṇaśrīgarbheṇa	puNya SrI garBeNa ca / anAvaraNa jQAna viSudDi garBeNa ca / guNa SrI garBeNa
   ca / nārāyaṇaśrīgarbheṇa ca / amalagarbheṇa ca / vimalagarbheṇa ca /	ca / nArAyaNa SrI garBeNa ca / amala garBeNa ca / vimala garBeNa ca /
   vicitrapratibhānālaṃkāragarbheṇa ca / mahāraśmijālāvabhāsagarbheṇa ca /	vicitra pratiBAna alaMkAra garBeNa ca / mahA raSmi jAla avaBAsa garBeNa ca /
   vimalaprabhāsaśrītejorājagarbheṇa ca /	vimala praBA sa SrI tejaH rAjagarBeNa ca /
   sarvalakṣaṇapratimaṇḍitaviśuddhiśrīgarbheṇa ca /	sarva lakzaNa pratimaNxita viSudDi SrI garBeNa ca /
   vajrārciḥśrīvatsālaṃkāragarbheṇa ca / jyotirjvalanārciḥśrīgarbheṇa ca /	vajra arciH SrIvatsa alaMkAra garBeNa ca / jyotiH jvalana arciH SrI garBeNa ca /
   nakṣatrarājaprabhāvabhāsagarbheṇa ca / gaganakośānāvaraṇajñānagarbheṇa ca	nakzatra rAja praBAva BAsa garBeNa ca / gagana koSAnAvaraNa jQAna garBeNa ca
   / anāvaraṇasvaramaṇḍalamadhuranirghoṣagarbheṇa ca /	/ anAvaraNa svara maNxala maDura nirGoza garBeNa ca /
   dhāraṇīmukhasarvajagatpraṇidhisaṃdhāraṇagarbheṇa ca / sāgaravyūhagarbheṇa	DAraNI muKa sarva jagat praNiDi saMDAraNa garBeNa ca / sAgara vyUha garBeNa
   ca / (Dbh 2) meruśrīgarbheṇa ca / sarvaguṇaviśuddhigarbheṇa ca /	ca / (DB 2) meru SrI garBeNa ca / sarva guNa viSudDi garBeNa ca /
   tathāgataśrīgarbheṇa ca / buddhaśrīgarbheṇa ca / vimukticandreṇa ca	taTAgata SrI garBeNa ca / budDa SrI garBeNa ca / vimukti candreNa ca
   bodhisattvena mahāsattvena / evaṃpramukhair	boDisattvena mahAsattvena / evaMpramuKEH 
   aparimāṇāprameyāsaṃkhyeyācintyātulyāmāpyānantāparyantāsīmāprāptānabhilāpyānabhilāpyairbodhisattvairmahāsattvaiḥ	aparimANa aprameya asaMKyeya acintya atulyAm Apya anantA paryanta AsIm A prApta anaBilApya anaBilApyEH boDisattvEH mahAsattvEH
   sārdhaṃ nānābuddhakṣetrasaṃnipatitairvajragarbhabodhisattvapūrvaṃgamaiḥ //	sArDam nAnA budDa kzetra saMnipatitEH vajra garBa boDisattva pUrvaMgamEH //
   atha khalu vajragarbho bodhisattvayāṃ velāyāṃ buddhānubhāvena	aTa Kalu vajragarBaH boDisattvayAm velAyAm budDa anuBAvena
   mahāyānaprabhāsaṃ nāma bodhisattvasamādhiṃ samāpadyate sma /	mahAyAna praBAsam nAma boDisattva samADim samApadyate sma /
   samanantarasamāpannaśca vajragarbho bodhisattva imaṃ mahāyānaprabhāsaṃ	samanantara samApannaH ca vajragarBaH boDisattvaH imam mahAyAna praBA sam
   nāma bodhisattvasamādhim,atha tāvadeva daśasu dikṣu	nAma boDisattva samADim ,aTa tAvat eva daSasu dikzu
   daśabuddhakṣetrakoṭiparamāṇurajaḥsamānāṃ lokadhātūnāmapareṇa	daSa budDa kzetra kowi paramANu rajaH samAnAm lokaDAtUnAm apareNa
   daśabuddhakṣetrakoṭiparamāṇurajaḥsamāstathāgatā mukhānyupardaṣayāmāsuṃ	daSa budDa kzetra kowi paramANu rajaH samAH taTAgatAH muKAni upardazayAmAsum
   yadidaṃ vajragarbhasamanāmakā eva / te cainaṃ buddhā bhagavanta evamūcuḥ  	yat idam vajra garBa sama nAmakAH eva / te ca enam budDAH BagavantaH evam UcuH  
   sādhu sādhu bho jinaputra, yastvamimaṃ mahāyānaprabhāsaṃ	sADu sADu Bo jinaputra, yaH tvam imam mahAyAna praBA sam
   bodhisattvasamādhiṃ samāpadyase / api tu khalu punastvaṃ kulaputra, amī	boDisattva samADim samApadyase / api tu Kalu punar tvam kula putra, amI
   daśasu dikṣu daśabuddhakṣetrakoṭiparamāṇurajaḥsamānāṃ lokadhātūnāmapareṇa	daSasu dikzu daSa budDa kzetra kowi paramANu rajaH samAnAm lokaDAtUnAm apareNa
   daśabuddhakṣetrakoṭiparamāṇurajaḥsamāstathāgatā adhitiṣṭhanti sarve	daSa budDa kzetra kowi paramANu rajaH samAH taTAgatAH aDitizWanti sarve
   vajragarbhasamanāmānaḥ asyaiva bhagavato vairocanasya	vajra garBa sama nAmAnaH asya eva BagavataH vErocanasya
   pūrvapraṇidhānādhiṣṭhānena tava ca puṇyajñānaviśeṣeṇa sarvabodhisattvānāṃ	pUrva praNiDAna aDizWAnena tava ca puNya jQAna viSezeNa sarva boDisattvAnAm
   ca acintyabuddhadharmālokaprabhāvanājñānabhūmyavatāraṇāya /	ca acintya budDa Darma Aloka praBAvanA jQAna BUmi avatAraNAya /
   sarvakuśalamūlasaṃgrahaṇāya / sarvabuddhadharmanirdeśāya /	sarva kuSala mUla saMgrahaNAya / sarva budDa Darma nirdeSAya /
   asaṃbhinnajñānavyavadānāya / sarvalokadharmānupalepāya /	asaMBinna jQAna vyavadAnAya / sarva loka DarmAn upalepAya /
   lokottarakuśalamūlapariśodhanāya / acintyajñānaviṣayādhigamāya /	loka uttara kuSala mUla pariSoDanAya / acintya jQAna vizaya aDigamAya /
   yāvatsarvajñānaviṣayādhigamāya / yadidaṃ daśānāṃ	yAvat sarva jQAna vizaya aDigamAya / yat idam daSAnAm
   bodhisattvabhūmīnāmārambhapratilambhāya /	boDisattva BUmInAm AramBa pratilamBAya /
   yathāvadbodhisattvabhūmivyavasthānanirdeśāya /	yaTAvat boDisattva BUmi vyavasTAna nirdeSAya /
   sarvabuddhadharmādhyālambanāya / anāsravadharmapravibhāgavibhāvanāya /	sarva budDa Darma aDyAlambanAya / anAsrava Darma praviBAga viBAvanAya /
   suvicitavicayamahāprajñālokakauśalyāya /	su vicita vicaya mahA prajQA loka kOSalyAya /
   sunistīritakauśalyajñānamukhāvatāraṇāya /	su nistIrita kOSalya jQAna muKa avatAraNAya /
   yathārhasthānāntaraprabhāvanāmandapratibhānālokāya /	yaTArha sTAna antara praBAvanA manda pratiBAna AlokAya /
   mahāpratisaṃvidbhūministīraṇāya / bodhicittasmṛtyasaṃpramoṣāya /	mahA pratisaMvid BUmi nistIraNAya / boDi citta smRti asaMpramozAya /
   sarvasattvadhātuparipācanāya /	sarva sattva DAtu paripAcanAya /
   sarvatrānugataviniścayakauśalyapratilambhāya / api tu khalu punaḥ	sarvatra anugata viniScaya kOSalya pratilamBAya / api tu Kalu punar 
   kulaputra pratibhātu te 'yaṃ dharmālokamukhaprabhedakauśalyadharmaparyāyo	kula putra pratiBAtu te ayam Darma Aloka muKa praBeda kOSalya Darma paryAyaH 
   buddhānubhāvena tathāgatajñānālokādhiṣṭhānena svakuśalamūlapariśodhanāya	budDa anuBAvena taTAgata jQAna Aloka aDizWAnena sva kuSala mUla pariSoDanAya
   dharmadhātusuparyavadāpanāya sattvadhātvanugrahāya dharmakāyajñānaśārīrāya	DarmaDAtu su paryavadApanAya sattva DAtu anugrahAya Darma kAya jQAna SArIrAya
   sarvabuddhābhiṣekasaṃpratīcchanāya sarvalokābhyudgatātmabhāvasaṃdarśanāya	sarva budDa aBizeka saMprati icCanAya sarva loka aByudgata Atma BAva saMdarSanAya
   sarvalokagatisamatikramāya lokottadharmagatipariśodhanāya	sarva loka gati samatikramAya loka utta Darma gati pariSoDanAya
   sarvajñajñānaparipūraṇāya //	sarvajQa jQAna paripUraNAya //
   atha khalu te buddhā bhagavanto vajragarbhasya bodhisattvasya	aTa Kalu te budDAH BagavantaH vajragarBasya boDisattvasya
   anabhibhūtātmabhāvatāṃ copasaṃharanti sma / asaṅgapratibhānanirdeśatāṃ ca	anaBiBUta Atma BAva tAm ca upasaMharanti sma / asaFga pratiBAna nirdeSa tAm ca
   suviśobhitajñānavibhaktipraveśatāṃ ca smṛtyasaṃprabhoṣādhiṣṭhānatāṃ ca	su viSoBita jQAna viBakti praveSa tAm ca smRtya saMpraBozA aDizWAna tAm ca
   suviniścitamatikauśalyatāṃ ca sarvatrānugatabuddhyanutsargatāṃ ca	su viniScitam ati kOSalya tAm ca sarvatra anugata budDi anutsarga tAm ca
   samyaksaṃbuddhabalānavamṛdyatāṃ ca tathāgatavaiśāradyānavalīnatāṃ ca	samyaksaMbudDa bala anavamRdyatAm ca taTAgata vESAradyA navalInatAm ca
   sarvajñajñānapratisaṃvidvibhāgadharmanayanistīraṇatāṃ ca	sarvajQa jQAna pratisaMvid viBAga Darma naya nistIraNa tAm ca
   sarvatathāgatasuvibhaktakāyavākcittālaṃkārābhinirhāratāṃ copasaṃharanti	sarva taTAgata su viBakta kAya vAc citta alaMkAra aBinirhAra tAm ca upasaMharanti
   sma / tatkasmāddhetoḥ? yathāpi nāma asyaiva samādherdharmatāpratilambhena	sma / tat kasmAt hetoH? yaTA api nAma asya eva samADeH DarmatA pratilamBena
   pūrvaṃ praṇidhānābhirhāreṇa ca supariśodhitādhyāśayatayā ca	pUrvam praNiDAnABiH hAreNa ca su pariSoDita aDyASaya tayA ca
   svavadātajñānamaṇḍalatayā ca susaṃbhṛtasaṃbhāratayā ca sukṛtaparikarmatayā	su avat Ata jQAna maNxala tayA ca su saMBRta saMBAra tayA ca sukRta parikarma tayA
   (Dbh 3) ca apramāṇasmṛtibhājanatayā ca prabhāsvarādhimuktiviśodhanatayā ca	(DB 3) ca apramANa smRti BAjana tayA ca praBAsvarADi mukti viSoDana tayA ca
   supratividvadhāraṇīmukhāsaṃbhedanatayā ca	su pratividvaDAraNI muKa asaMBedana tayA ca
   dharmadhātujñānamudrāsumudritatayā ca //	DarmaDAtu jQAna mudrA su mudrita tayA ca //
   atha khalu te buddhā bhagavantastatrasthā eva ṛddhyanubhāvena dakṣiṇān	aTa Kalu te budDAH BagavantaH tatrasTAH eva RdDi anuBAvena dakziNAn
